AverageAction,StdEsReturn,Iteration,AverageDiscountedReturn,AverageEsReturn,AverageReturn,AverageQLoss,AverageQ,PolicyRegParamNorm,Epoch,MaxEsReturn,AverageY,StdReturn,AverageAbsQ,MinEsReturn,AveragePolicySurr,MinReturn,AverageAbsY,MaxReturn,QFunRegParamNorm,AverageAbsQYDiff
0.69586,151.569532129,24,130.931221811,232.225326945,475.795257874,1.4915,12.2584,21.519,24,440.947949966,12.2607900351,79.3911821044,13.3436,17.8076683652,-14.1832,105.058284165,13.3615515967,616.012674966,23.2791,0.677645975326
0.625983,139.324217233,25,137.459869101,341.058781441,455.054227028,1.96274,13.699,21.9562,25,481.394284913,13.7034035783,101.105143144,14.7234,104.86531516,-15.6055,292.836958413,14.7425452205,788.121733807,24.0341,0.745421671045
0.637263,132.884498302,26,129.593862334,322.970584843,381.328844284,2.12258,15.27,22.4653,26,482.559482836,15.2748734549,67.20482994,16.1905,80.4372515532,-17.2066,235.833147227,16.2065305414,627.612276137,24.6953,0.780083866393
0.670884,130.378729402,27,121.3183146,276.009902061,361.735798434,2.49953,16.8692,22.9565,27,396.042771298,16.8751404379,79.3521603631,17.7411,27.1938803139,-18.846,82.4032234065,17.7529784367,607.820956624,25.4053,0.834469395215
0.695385,135.411007173,28,116.968505808,197.179171551,287.104387704,3.12095,18.2904,23.4894,28,333.263921786,18.2954148671,50.1356603247,19.1213,0.0184159568934,-20.2997,95.1099857848,19.1291120689,399.469076011,26.1412,0.904605530289
0.730827,158.389233508,29,124.523390226,228.993555477,367.134772143,3.18165,19.566,24.0482,29,409.869694829,19.5734349463,67.2657763252,20.3967,14.8195645283,-21.6196,205.618364847,20.4082962892,545.999300952,26.8166,0.949557634345
0.672966,102.969781135,30,116.855220526,350.069468762,230.995001959,3.714,21.2674,24.5298,30,484.257025371,21.2739509489,68.6370394211,21.9836,258.94157206,-23.4282,103.261038909,21.9948478493,409.724147954,27.5168,1.02440665355
0.761713,136.21897967,31,125.28181298,156.329636449,300.125202805,3.70197,22.8014,24.9443,31,388.969219398,22.8100302689,106.027286685,23.4612,10.9400852022,-24.9379,161.709561715,23.4716358025,654.7365137,28.2068,1.05008849094
0.738638,152.837495753,32,115.77690903,193.96854018,261.988393638,4.15527,23.9723,25.392,32,445.879276142,23.9783403496,96.4297860857,24.6131,37.2021355537,-26.1719,34.2184123773,24.6236122986,550.9570677,28.9116,1.11361705523
0.763539,134.335940016,33,105.668113898,179.621774783,259.991848076,5.1141,25.463,25.7599,33,360.623845438,25.4693186148,122.79359328,26.0874,-9.55080899059,-27.6531,32.9934849518,26.0958395902,543.491986772,29.6874,1.21882497184
0.738861,155.234485268,34,97.9107838018,128.167696087,264.097428622,5.16534,26.7535,26.1275,34,409.612629287,26.7624054312,162.881155042,27.3732,-10.4871634622,-28.9635,21.2546771057,27.3825815908,976.035649207,30.3939,1.24180358774
0.715951,158.397678002,35,95.6874507242,126.824942451,290.499672354,5.66619,28.0147,26.4714,35,427.340343315,28.0245529273,161.115065593,28.6381,-6.83625941722,-30.2658,15.9997442911,28.6488978879,767.575757705,31.1458,1.31207902392
0.75855,172.224253875,36,116.260282038,160.390142507,364.586383462,5.94668,29.4411,26.8072,36,387.399960038,29.4519673794,116.251408618,30.0258,1.08952093861,-31.8042,29.1842628843,30.0359463089,573.857159128,31.848,1.38200827498
0.750216,143.114164139,37,90.6436169302,199.12749055,218.521121399,6.39777,30.9007,27.1503,37,386.960768095,30.9094278603,126.473589976,31.4809,5.72451975714,-33.1747,11.3558453997,31.4895301497,793.780387021,32.5221,1.42345639414
0.700171,129.714734674,38,110.010849768,135.698553616,219.530236596,7.41163,32.1659,27.4612,38,330.617221193,32.1764607285,73.3088522316,32.7168,-26.313731732,-34.44,103.648753341,32.7305327962,626.288272824,33.1743,1.52570630403
0.688993,125.894344024,39,114.386019781,126.35191973,341.674149628,8.41853,33.3218,27.8523,39,325.601844714,33.3297072233,110.857260945,33.8845,-31.2115791902,-35.6468,175.457421734,33.895920687,745.949018526,33.8173,1.6149086958
0.747962,131.433252632,40,112.002603365,67.9909433546,258.129592713,8.9074,34.8397,28.233,40,432.700482014,34.8493005841,77.7525142448,35.3978,-22.6602485999,-37.1797,140.941388294,35.4117586083,533.695729493,34.4196,1.66753815587
0.720338,91.9344922344,41,110.825658524,91.6805878112,254.819452905,9.84526,36.1589,28.6288,41,237.613265267,36.1679971632,56.8743183981,36.7394,-32.4595346008,-38.5286,138.930664682,36.7528345248,377.110714711,35.0757,1.75274023142
0.709752,37.027750264,42,119.825778065,41.6995106883,277.191240836,10.2722,37.2801,28.9906,42,86.1301020471,37.2893519524,59.7072255058,37.8382,-7.82881110134,-39.7935,136.034784483,37.8498855992,414.707811865,35.7102,1.80781761309
0.740238,75.1827537568,43,90.2062015813,104.589379907,279.265138284,10.9695,38.6377,29.3983,43,232.091245582,38.6486616643,118.785618543,39.1284,-13.5619658751,-41.1809,8.52654349752,39.1436092289,519.480635219,36.2794,1.87086680621
0.677411,86.5702814293,44,81.2702706045,146.015105968,209.170420528,11.7375,40.2258,29.7425,44,273.95027821,40.2355313346,69.7528388884,40.6942,24.4577867601,-42.8179,26.5918114514,40.7069361181,350.587475662,36.8245,1.9700953777
0.730679,58.3990785697,45,92.0858351016,88.365221009,252.949302479,12.8256,41.7106,30.1089,45,191.301708093,41.7239002552,121.774031969,42.1555,10.8222406187,-44.5057,2.06870230219,42.1718030101,597.171859861,37.3862,2.05020398481
0.726339,65.7517283536,46,77.6549706143,53.9612902262,208.591444134,13.6888,43.5005,30.4731,46,190.445895874,43.5104303064,78.8090351661,43.9116,-6.83556038219,-46.4309,-21.3411468849,43.9225560586,343.528896007,37.9509,2.11954002285
0.755837,73.2950385972,47,88.0299940943,92.1895650185,440.041226921,14.1199,45.2235,30.7691,47,197.787424901,45.2357159926,296.402797551,45.5966,2.20606053491,-48.1472,95.4180964992,45.6073063647,964.085915691,38.5244,2.1677976968
0.742744,70.955220091,48,117.346318606,93.7358862045,209.578664551,15.4256,46.965,31.0874,48,262.213666919,46.9768033806,80.5287095063,47.3201,5.41020973312,-50.0295,98.8537313674,47.3310735086,615.282040719,39.0136,2.27440580952
0.723225,64.6628043107,49,96.827882009,113.755242565,168.086127126,15.8479,49.0841,31.2721,49,203.935537868,49.0988483881,52.2730646312,49.4046,28.5112317918,-52.1694,86.6402309041,49.4154099805,428.051182204,39.5308,2.31910571471
0.717619,75.5325269,50,90.1757010193,80.9908656907,277.373868667,16.4539,50.9222,31.5009,50,220.650697953,50.9344817306,115.619352855,51.2312,-17.6392929042,-54.1103,47.9747149963,51.2405216544,579.774638833,40.0425,2.36773151596
0.714283,59.7013546807,51,114.647688805,110.350475229,249.892027869,17.9076,53.0237,31.7119,51,184.347068528,53.0411503031,38.7300323129,53.2905,29.2054564635,-56.356,144.427784442,53.3056323485,320.636755096,40.5012,2.43420759731
0.743214,92.1350641366,52,113.721667759,201.893792724,260.28659786,19.5237,55.048,31.9019,52,344.991768808,55.0640675866,70.035965148,55.3028,96.4447709651,-58.4934,151.02954695,55.3146293945,621.377692855,41.0141,2.50706284172
0.738411,106.220201313,53,101.600140467,120.770937335,196.209957895,20.0445,57.2312,32.0955,53,297.785974711,57.2494008808,47.3643647337,57.4823,4.24989011246,-60.8035,135.590669667,57.4929737812,343.204844363,41.4746,2.52019654463
0.725645,89.5187694882,54,110.61290822,162.076360456,240.850928086,21.4738,59.4221,32.3549,54,282.675229232,59.4356615949,54.6330880474,59.6526,28.2043328893,-62.9944,159.656208054,59.6583222409,372.441810111,41.9052,2.62235015257
0.807292,108.955859278,55,80.3877430184,164.170432553,322.696049306,21.1516,61.8533,32.5383,55,322.738319326,61.8724852483,244.599529704,62.0625,26.51261175,-65.4627,-48.2020387723,62.0716967179,919.577787293,42.2582,2.64438734938
0.761132,117.480762664,56,105.876678278,211.465467314,285.983032787,23.5591,63.991,32.7351,56,374.077510009,64.016487517,159.914759566,64.1946,76.5435659615,-67.6627,141.129941642,64.208151143,785.020893142,42.6817,2.71508164315
0.747466,113.74299574,57,100.666719728,109.083704233,218.54435055,24.985,65.8382,32.936,57,406.906481563,65.8555755031,95.1574927521,66.0374,0.788440565163,-69.4988,139.727808784,66.048718023,696.817816275,43.1188,2.77237387232
0.770918,167.269393914,58,124.068146789,187.869128803,269.006212167,23.5024,67.8741,33.1523,58,452.830385515,67.8957472333,84.499386744,68.0592,26.2138107719,-71.6917,139.98413381,68.0711877918,435.888870628,43.4868,2.7395858091
0.831252,84.1984407738,59,123.695210564,197.635163755,251.188955057,24.3484,70.0452,33.4041,59,371.322589274,70.0611967937,58.0588429927,70.2116,97.4383647756,-73.7993,163.116789337,70.2190797547,447.23066484,43.8774,2.77789949137
0.774587,139.423090388,60,126.188716953,235.575261606,282.607769336,26.4766,71.9783,33.6236,60,487.066527103,71.9970266027,64.2287244877,72.1255,97.4290485772,-75.707,160.584640282,72.1310019876,478.636259569,44.3374,2.85349100243
0.777114,143.878541801,61,127.137280355,151.470177866,265.142373551,26.9847,74.1247,33.8587,61,374.259109075,74.1452629852,61.0438331166,74.2597,5.13602427157,-77.7987,137.899810888,74.2709006212,380.323046111,44.7402,2.85792915799
0.775952,129.826625743,62,108.41061327,139.492450737,378.868462084,26.4778,75.9026,34.0772,62,449.021942662,75.9186158655,144.898309222,76.0199,2.53411919309,-79.4993,158.677200329,76.0262934689,754.341004996,45.1641,2.8616151656
0.770909,93.1159261168,63,110.097739345,171.111590847,333.467234339,27.4522,77.4394,34.2825,63,379.530333855,77.4561801943,80.7829312187,77.5553,46.6846489127,-81.0664,136.786971914,77.5601128067,604.317800808,45.5962,2.89486360652
0.854236,148.365117543,64,155.178201346,138.086955387,472.691196163,29.4183,79.0905,34.481,64,420.168411772,79.1084395602,104.109806195,79.2106,7.96607371334,-82.6654,217.258012281,79.2153783488,643.633326494,46.0247,2.98125847712
0.806784,73.9766340953,65,84.5658973138,142.762961892,218.975368699,30.8351,80.9158,34.7402,65,266.568316329,80.933816145,160.119016768,81.0337,3.78639727817,-84.4784,-21.49466389,81.0339306292,613.947902108,46.4251,3.06338649495
0.765558,77.6082271144,66,114.576918754,110.012310437,343.29145772,29.5174,82.6305,34.9504,66,222.764772869,82.6494864342,147.545984964,82.7329,11.1355620648,-86.1699,76.1239375673,82.7361281682,1056.29153886,46.7425,3.01061290284
0.800153,54.5450020163,67,95.407601099,54.0374065614,464.009294025,30.925,84.2318,35.1999,67,163.701403235,84.2479323571,188.682663227,84.3241,-6.30984899327,-87.7591,55.9915506992,84.3263482679,833.731287374,47.1526,3.11338716196
0.834838,165.15506839,68,90.6177694469,172.589628651,206.51066833,33.1635,85.6668,35.4313,68,441.982870734,85.6847513052,134.569296675,85.762,7.24301553797,-89.2683,-62.7040677982,85.7695239798,446.240162717,47.4785,3.15865533846
0.854025,107.623158035,69,-9.58469691017,77.9818065784,-22.7398282113,32.3103,87.2677,35.679,69,311.189852581,87.2915346527,63.5536158793,87.366,-68.0083489964,-90.8263,-195.263308462,87.3749035945,284.211619906,47.8174,3.19961455317
0.851872,22.6895733582,70,11.1004353832,27.7626128571,25.8125630105,33.8673,88.6709,35.9116,70,73.1310699887,88.6881095749,115.372637427,88.7708,-0.920034031251,-92.1514,-176.187223383,88.7685966665,397.786523214,48.133,3.25016155643
0.838976,85.1599771293,71,29.8608741538,48.1175980157,52.1881980421,34.4534,89.8243,36.1,71,226.723107553,89.8384823449,97.9928630333,89.9401,-39.177845347,-93.2671,-99.707038359,89.9290568385,418.219731402,48.5193,3.28711678423
0.837048,165.639291514,72,54.460535886,133.605486057,120.647744563,37.9593,91.1989,36.3733,72,531.085105389,91.2172672137,149.939240028,91.3054,-4.29700534741,-94.5821,-52.8917850792,91.3013030151,578.744005738,48.8797,3.37243275549
0.801182,41.1172827222,73,20.0334099215,28.3341758798,30.5166619624,35.0103,92.4107,36.5671,73,154.805096892,92.4302844902,67.370104658,92.5069,-6.73954241464,-95.9426,-200.797978867,92.5070276475,381.939066045,49.2045,3.36716044224
0.819409,130.802451019,74,53.7662393697,70.1044515772,120.102747293,35.1047,93.8236,36.7618,74,282.431522372,93.8405027657,135.351820586,93.9126,-78.0584707661,-97.394,-60.1166961654,93.9148671817,431.942138223,49.5025,3.36649013063
0.838641,43.3083182428,75,88.4418549886,209.92233893,283.00355728,37.1665,95.2346,36.9894,75,260.171475083,95.2526121198,139.848257266,95.3279,148.551438669,-98.7923,62.1282355183,95.3254640967,630.018188997,49.8577,3.42545406201
0.799446,148.360756821,76,111.644705347,162.744314926,299.118691633,36.462,96.3616,37.23,76,444.632204429,96.3788287213,98.5330246423,96.454,-9.53090856677,-100.067,92.2612664542,96.4489281568,554.376786444,50.1927,3.43366596116
0.81606,86.0369915558,77,33.2113037427,34.4584715082,64.011780659,39.4088,97.8613,37.4639,77,226.551205196,97.8861500065,99.5416233679,97.9511,-93.3642145683,-101.514,-86.5704067423,97.955525614,299.571116946,50.5404,3.4775393586
0.811659,140.401050042,78,117.714696714,102.926538641,303.398863089,41.1331,99.2203,37.6026,78,407.101264998,99.2391300919,69.9872481724,99.2992,-0.401682087098,-102.87,177.820594659,99.304940396,518.895955912,50.8556,3.54323873963
0.805308,152.830097831,79,107.578475787,218.90902538,351.859228519,40.6134,100.207,37.8241,79,453.303925359,100.229042731,135.806275477,100.293,19.9379978419,-103.847,36.8960313989,100.296027295,770.359234187,51.1906,3.54517123395
0.813812,117.421948606,80,124.174969828,106.559522442,295.953153017,38.8693,102.121,38.0519,80,312.309311368,102.134083994,77.2571180278,102.208,-37.7349665901,-105.695,121.438609492,102.201849524,413.132223431,51.4601,3.53187604523
0.802325,125.889190251,81,119.740243004,173.201656829,336.844860052,39.6252,103.227,38.2611,81,361.113485474,103.246216326,97.921910561,103.309,9.77806016607,-106.811,171.402097662,103.313740662,570.852365536,51.7574,3.53777333453
0.822235,114.837104927,82,101.367157343,99.6362397255,313.103813497,43.0569,104.433,38.4953,82,368.893810242,104.457341683,122.493887218,104.516,2.05370615502,-107.898,26.0303314889,104.521439332,624.605204094,52.0799,3.62145095099
0.820791,147.48545873,83,95.5360936341,163.599604459,151.607919534,39.7851,105.955,38.7197,83,426.063136756,105.970818836,55.1585125035,106.038,16.5582615229,-109.467,99.264840944,106.037119002,465.681233335,52.411,3.61095935939
0.82574,112.451642192,84,116.665630494,166.335205229,212.875973083,41.2546,107.082,38.9124,84,382.599761474,107.102606448,67.8992603464,107.185,1.58180503637,-110.688,122.504790214,107.178044238,488.708992947,52.72,3.61834466341
0.839599,121.05239943,85,114.801073518,183.49928722,195.487954738,40.524,108.493,39.1234,85,419.732153052,108.513278809,60.839509749,108.598,1.44828421021,-112.071,107.15630408,108.586058533,393.189476618,53.113,3.59991018439
0.850399,135.191417841,86,117.157123435,231.981115436,197.673320761,46.1711,109.888,39.3826,86,370.736262206,109.905480808,55.153635743,109.99,37.2513924728,-113.556,129.974466359,109.977282602,388.398102357,53.4403,3.73687036004
0.854717,98.1192238209,87,145.215796195,140.878677207,356.90318219,43.2746,111.248,39.5722,87,352.341082462,111.265604838,118.735151726,111.348,5.6640759717,-114.845,165.424086749,111.336089629,955.138614884,53.7617,3.6952744718
0.829168,113.114886646,88,131.418640875,139.959901994,620.294580829,45.8373,112.637,39.7448,88,322.109781919,112.655534183,210.785981437,112.743,2.80111229866,-116.258,327.745293279,112.729675799,1187.04020793,54.041,3.7953424679
0.848803,97.2952774879,89,123.819178807,186.46803568,343.699950094,48.7136,113.815,39.9184,89,392.17527913,113.836939826,140.518891087,113.922,101.308355358,-117.451,110.470547809,113.918053214,790.110639044,54.3766,3.85729360384
0.849131,128.921253305,90,120.940750096,259.754242969,381.17793207,45.3033,115.139,40.1187,90,474.85469737,115.161715252,134.637120469,115.243,121.090691741,-118.71,45.7710931875,115.238895278,670.54109878,54.6327,3.8138583031
0.822653,242.358684784,91,142.027044909,243.373684292,414.072050935,47.9627,116.711,40.3271,91,579.379197629,116.733604018,91.0125413168,116.819,5.90616234852,-120.261,231.347007394,116.813158248,661.984849414,54.9444,3.90446237074
0.836958,146.165846491,92,123.925433478,170.208161585,213.889505464,48.7381,117.864,40.5505,92,411.442235497,117.877695623,40.2385483303,117.974,-10.2884031962,-121.522,140.321196012,117.953741973,315.769272435,55.2516,3.88174650342
0.843327,116.853638081,93,139.951561303,144.624946518,296.778804266,47.9727,119.03,40.6889,93,360.148200251,119.048850948,74.9940695061,119.139,5.74621458949,-122.551,144.26099095,119.129769765,514.898415134,55.549,3.89845235331
0.822191,107.778202375,94,136.107110425,229.012451432,255.852996962,48.0093,120.424,40.8794,94,350.940994549,120.446512622,45.4848591958,120.52,10.5474609699,-123.948,142.004858424,120.517066819,414.438924166,55.8423,3.92503862691
0.833927,137.75234035,95,129.092991113,175.847404206,242.190791694,49.597,120.975,41.0667,95,406.298649851,120.994517212,48.7761807383,121.078,-1.00310676168,-124.533,147.461174973,121.067366663,383.129704637,56.1107,3.9899463271
0.857405,154.710211266,96,120.466904543,174.177450359,210.702068107,53.7099,121.971,41.241,96,484.765466448,121.983797137,60.5698714116,122.075,0.0612640901404,-125.498,113.396692458,122.06390278,373.244780892,56.4147,4.02252356637
0.851545,118.965690625,97,113.405500055,160.354703202,185.127198826,52.5598,123.217,41.4498,97,345.341719026,123.239348761,36.4529096003,123.321,22.4941813397,-126.785,112.456027255,123.310422065,255.428015945,56.6685,4.05627635352
0.841378,130.087190105,98,144.632178208,279.079462734,293.587451998,52.6284,124.442,41.6604,98,483.474612121,124.462739579,33.9103063215,124.55,35.4151128244,-127.977,238.656626486,124.536201323,412.742655798,56.9364,4.06268415424
0.829824,125.512877382,99,123.736740508,233.378540056,252.266536589,54.2019,125.547,41.7965,99,411.130455266,125.571177426,34.9322570045,125.65,19.2170027389,-129.159,138.72311754,125.642118339,337.31166422,57.2347,4.08227752896
0.819656,102.699190529,100,128.72421796,193.339461176,262.555000515,51.3892,126.711,42.034,100,314.334495012,126.727671411,24.8847124685,126.811,40.811535979,-130.24,204.630672732,126.79535453,326.026397699,57.5157,4.06373118537
0.796267,119.818477844,101,136.163916882,132.037258943,263.354311966,52.4712,127.626,42.1675,101,308.598919582,127.648402988,22.4576727967,127.723,0.189051797727,-131.211,177.188720589,127.713756442,317.589397137,57.7749,4.11283198586
0.819635,136.439166648,102,132.575370335,244.684650336,249.584523683,51.4592,128.877,42.3618,102,469.777783117,128.899816494,26.5556792067,128.978,2.56915015988,-132.524,183.340673443,128.963458089,327.61027196,58.0496,4.11020962407
0.841537,155.43278307,103,138.134090911,280.054917529,296.808779363,56.2737,129.912,42.5523,103,560.595837978,129.932669714,30.8155100328,130.013,0.0480458243697,-133.691,221.103493292,129.994302789,363.743617813,58.3575,4.22600792534
0.843155,133.925107373,104,126.216117578,180.676487833,249.958003715,57.218,131.297,42.7399,104,373.359383611,131.320708805,23.1666066638,131.385,-3.85011849798,-134.982,201.236734828,131.376838466,361.176966818,58.5679,4.21399290133
0.829726,146.82010321,105,136.67735707,136.828958908,284.224203653,60.1928,132.41,42.9345,105,349.901240267,132.432696498,28.5783170449,132.507,-6.21222036213,-136.076,225.904210695,132.489985016,348.913493009,58.797,4.29483599986
0.869875,109.377661725,106,133.093688078,133.61517386,273.221468765,61.1548,133.636,43.1057,106,297.630490004,133.656362645,49.0306291971,133.726,-1.11997806617,-137.317,202.85453617,133.710722842,476.147823727,59.0594,4.268577347
0.849845,139.723924387,107,137.761362875,156.745013278,279.934964246,61.9299,134.332,43.2842,107,412.873838843,134.354837459,23.834139933,134.424,0.596334478105,-138.247,224.42514687,134.41510389,332.681872985,59.295,4.29152637238
0.855247,122.937646942,108,137.144067874,100.451155944,297.020618158,64.1103,135.655,43.4783,108,311.395252835,135.6729433,36.5217727581,135.746,-1.43994040737,-139.393,203.050753972,135.724668653,420.345319054,59.5583,4.3873641725
0.860884,174.592759707,109,113.506984304,189.342141459,224.87096143,59.8323,136.736,43.6406,109,540.220675308,136.753290725,68.5034149436,136.831,-0.445382390542,-140.581,128.125943151,136.806287152,361.562112815,59.8113,4.33567768635
0.876203,140.538689558,110,134.978212733,145.960609117,285.559966546,60.0905,138.237,43.8142,110,408.983389094,138.25907984,59.691093311,138.33,0.16974239105,-142.102,179.383492661,138.313747475,448.528471594,60.0461,4.33129423201
0.837258,128.238116177,111,124.917805397,208.340056227,237.824028304,66.3803,139.339,43.9919,111,372.241100195,139.367171995,29.6214195873,139.437,-0.465520189654,-143.234,172.666953078,139.416528347,332.273303494,60.2925,4.48741654953
0.866385,128.575657138,112,134.324006262,177.257292468,287.028689338,58.0824,140.306,44.1151,112,377.972952188,140.325897164,32.3194746198,140.393,-1.83517729716,-144.184,244.993797821,140.378967581,391.904493967,60.5472,4.33353116497
0.857988,113.838566094,113,121.968801724,142.472732238,240.195716912,67.226,141.346,44.2647,113,330.598605885,141.366647188,31.7995224132,141.442,0.529776657896,-145.323,177.039133127,141.427652632,323.076475386,60.8046,4.47151166758
0.867598,122.481063374,114,129.211093018,179.530564866,272.364559731,66.7013,142.762,44.4576,114,341.172625129,142.789084962,33.5010259507,142.859,-8.96933646807,-146.638,200.110954552,142.843600883,390.589573881,61.012,4.46775608724
0.861398,128.909051576,115,137.464102372,154.786104438,321.711662774,67.4401,143.781,44.6623,115,338.240808222,143.800840336,27.142188786,143.883,-0.481524904214,-147.611,247.468994972,143.853502728,415.113842891,61.2746,4.4957426455
0.88972,164.832190736,116,129.319532741,247.335655479,264.04417655,62.805,144.89,44.8145,116,510.625397748,144.912082721,37.2509760549,144.99,6.13092754296,-148.86,206.762853067,144.963321564,450.021695395,61.4871,4.43951358463
0.882585,97.2177398128,117,108.711280041,211.75370908,193.938724051,66.1603,145.792,44.9936,117,326.372553342,145.809794072,37.3755818471,145.903,50.8697048681,-149.623,138.060986366,145.86993719,318.082609434,61.6771,4.55207288876
0.875376,89.9401740613,118,126.803439951,225.226566424,272.031460717,68.0662,146.737,45.183,118,332.616289556,146.762084612,50.6835242925,146.831,54.6833479972,-150.61,126.196180981,146.821158973,381.661086217,61.9514,4.52775313467
0.870934,118.435187931,119,115.144005952,179.372952335,214.350092864,70.0556,147.615,45.3577,119,367.360441476,147.63562599,34.3974455792,147.726,0.948448034524,-151.371,159.049575264,147.698707328,306.189844988,62.1855,4.53342807949
0.893487,119.576089349,120,122.95001824,159.905211052,254.490603068,69.2143,148.375,45.5752,120,301.630678972,148.392521994,51.9891005049,148.488,-3.75199206828,-152.136,167.120895663,148.460304265,443.580315518,62.4233,4.5916849583
0.88828,102.969991228,121,114.89290057,141.221918703,229.298266008,69.0319,149.339,45.7943,121,350.609786234,149.356855459,48.2527607395,149.452,24.4961294239,-153.167,130.854347095,149.422740904,380.633883208,62.6149,4.57124714466
0.885463,117.519893033,122,110.903523487,97.4759737316,186.480173373,68.9291,149.946,45.9623,122,318.000458823,149.97111817,21.1423627876,150.062,-23.2668074781,-153.781,123.057834851,150.034779673,222.047058757,62.8345,4.56294040178
0.88263,103.445709153,123,114.665464248,88.4726414857,221.074516872,68.965,150.755,46.1286,123,258.335787642,150.78808044,47.9199279664,150.875,-28.3566852834,-154.593,129.63255339,150.855023814,333.02951143,63.0139,4.57684919504
0.894314,109.582301414,124,107.969201081,119.089527067,218.826207,67.3976,151.845,46.2986,124,307.862427854,151.86343135,43.795188084,151.988,0.340651407052,-155.822,142.152903131,151.945358452,376.652207898,63.2109,4.63324404771
0.91251,129.551202247,125,98.3791704638,133.813657814,158.654502263,74.4457,153.148,46.4761,125,346.93170277,153.177412201,24.1176573185,153.278,-1.64811826435,-157.03,123.970424343,153.247571723,320.210806878,63.4357,4.71949397832
