StdEsReturn,AverageQLoss,QFunRegParamNorm,MinReturn,AverageAbsQ,Iteration,Epoch,MaxEsReturn,AverageAction,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsQYDiff,MaxReturn,AverageQ,PolicyRegParamNorm,AverageAbsY,StdReturn,AveragePolicySurr,MinEsReturn,AverageY
46.1065739567,0.000364194,15.0479,-18.9923106129,0.0635376,28,28,82.8003621426,0.188843,-1.89013192497,-18.8654076213,36.6937881859,0.00524441102733,-18.7398644965,0.0635352,18.008,0.0635744035206,0.113805268926,-0.0647278,-9.41278577087,0.0635738686235
48.195122103,0.00029394,15.3152,-47.0234382772,0.0656524,29,29,95.4157732248,0.408369,-3.85250973243,-2.07875386562,61.9001981497,0.00462560728046,67.8086738037,0.0656499,18.6041,0.0656836483311,49.6636990557,-0.0670834,-21.2343608158,0.0656826558425
6.35793086439,0.000341977,15.5939,-46.7709724518,0.0707726,30,30,94.2959095973,0.470458,-4.60170009292,-7.07242538131,87.9379787329,0.00515454553931,69.2037890318,0.0707724,18.9858,0.0707996361706,51.8758252387,-0.0723266,81.5800478685,0.0707984591347
11.044769225,0.000202365,15.8914,-60.6205064419,0.0741496,31,31,95.0471811198,0.616295,-3.44064120638,21.9631657052,83.0663381842,0.00397147849661,87.5555434732,0.0741492,19.3022,0.0741707694983,64.6120565902,-0.075597,62.8956135894,0.0741696755154
35.9473759034,0.000258244,16.2592,-55.1425537317,0.0759011,32,32,78.7851858169,0.550726,-5.39229883045,-55.0175452906,44.5318275575,0.00488923327719,-54.8911087119,0.0759011,19.6429,0.0759295920397,0.0873613628363,-0.0778,-5.12716377827,0.0759286950532
40.8762985169,0.000164834,16.6068,-99.8515291256,0.0783036,33,33,73.7247750953,0.999491,-9.99448333029,-99.8491179424,32.8484765784,0.00370852932151,-99.8453634455,0.0783036,19.8591,0.0783171428967,0.00208038073582,-0.0801502,-8.02782193846,0.0783166198709
49.6665404439,0.000111745,17.1262,-99.8333905145,0.0806907,34,34,94.1509782423,0.995129,-2.22790290079,-31.1450759809,59.7720530936,0.00329756818374,89.3257457318,0.0806907,19.9961,0.0807117162293,84.9987244635,-0.0822239,-38.3305231398,0.0807109395297
39.3194332674,0.000295028,17.6375,-99.8618605465,0.0836794,35,35,88.4410810902,0.992882,14.8058178146,40.3768273111,53.5382256923,0.00551441016321,90.1091890264,0.0836794,20.2038,0.0837014848509,78.8298581721,-0.0858305,-12.8171134287,0.0837008219267
35.7456088934,0.000176652,18.1577,-99.8553762843,0.0861801,36,36,93.5811843733,0.990454,15.9124130048,53.4021753003,67.5785535827,0.00460335965204,90.3761275345,0.0861801,20.3458,0.0861995341671,63.9304668828,-0.0882793,-1.1,0.0861982061058
4.32436307419,0.000272632,18.6368,-99.7631519226,0.0910621,37,37,94.5648655402,0.9865,19.2553759332,67.6624003321,89.8897470134,0.00500055175403,90.6673069044,0.0910621,20.56,0.0910796364509,51.2321563361,-0.0935541,80.4724427604,0.091078869223
1.98872525857,0.000277754,19.181,90.5053512309,0.0968969,38,38,92.8710714345,0.979087,35.1945625712,91.219684976,91.2921251007,0.00506326035945,91.6050867903,0.0968969,20.8679,0.0969187398184,0.230404530323,-0.100057,86.3033300858,0.0969181637951
4.47323517397,0.000191805,19.7806,89.8926525497,0.104222,39,39,96.5115671444,0.980786,33.1496710995,90.7512843442,91.299350453,0.00536882155423,91.1579574221,0.104222,21.085,0.104235573981,0.292693148175,-0.107487,82.3970086787,0.10423464758
5.03153916513,0.000273511,20.3106,91.8709603826,0.110567,40,40,94.859215605,0.97172,39.433783261,92.1486607808,90.8103848127,0.00583550008693,92.4700099095,0.110567,21.1778,0.110582021887,0.123387342941,-0.114072,77.0290861965,0.110581165833
2.70375032706,0.000358795,20.8849,92.3369371213,0.116153,41,41,99.2655268244,0.969632,41.3730617296,92.5360719977,93.461890275,0.00603800902638,92.6544564087,0.116153,21.2219,0.116176823586,0.0945068148034,-0.120043,87.7638899749,0.116175989815
2.43947216153,0.000292181,21.4889,92.4656358234,0.121579,42,42,94.7371508956,0.94333,41.3337032717,92.7022533752,92.199060627,0.00601317194783,92.8291425517,0.121579,21.2808,0.121587325643,0.104876226553,-0.12616,88.9139724116,0.121586802264
1.95065389985,0.000367953,22.1516,-13.8025134495,0.129537,43,43,95.561903936,0.233825,14.5314749418,72.2797314799,92.1914239834,0.00665203277327,95.4115433496,0.129537,21.3993,0.129556766975,39.738981703,-0.135493,88.7744128314,0.12955629317
2.35101684638,0.000312598,22.7712,88.0355086267,0.139014,44,44,99.8024474521,0.623694,28.8350907361,92.659994907,94.0700846979,0.00665624994525,95.1246826136,0.139014,21.4859,0.139035792243,1.68085500054,-0.145576,90.3164539604,0.139035047805
2.76583581878,0.000536356,23.4035,91.7511717239,0.149065,45,45,99.6026808524,0.7124,41.4383308238,94.2387500298,93.2429276933,0.00803439149991,95.0784137482,0.149065,21.6678,0.149064033178,0.840712073685,-0.157315,90.2072099799,0.149063127292
1.32735610585,0.000460624,24.0577,90.0012600428,0.1605,46,46,97.1020018472,0.816284,29.7415579975,91.2727099177,93.9111466826,0.00762757342153,94.3701687323,0.1605,21.9689,0.16051577948,1.50690829967,-0.170377,92.2266287796,0.160514996135
1.80797315666,0.000384496,24.6665,90.903674877,0.17067,47,47,96.723545201,0.803518,38.0251362206,92.9521011531,93.2742585335,0.00752997092471,94.536721228,0.17067,22.2704,0.170697677703,1.46957121242,-0.181179,90.7555631694,0.17069727955
3.05439548107,0.000479994,25.2648,86.82070284,0.184865,48,48,98.499810235,0.763652,35.8717767436,92.7820447767,92.9477492825,0.0079102000128,94.7551057644,0.184865,22.434,0.184906737269,1.93369263042,-0.195802,88.3436030807,0.184905640145
