MinEsReturn,StdEsReturn,AverageQ,MaxReturn,PolicyRegParamNorm,Epoch,MaxForwardProgress,AverageY,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,StdReturn,MinForwardProgress,AverageAction,MaxEsReturn,QFunRegParamNorm,AverageAbsY,AveragePolicySurr,MinReturn,AverageQLoss,StdForwardProgress,AverageReturn,AverageForwardProgress
0.192322262862,8.77502264008,-0.0086756,40.9253459228,14.1287,9,0.213604039521,0.0256922894733,23.3073423254,0.00873786,17.1754698884,0.034367886281,6.33766140158,-0.0504624175802,0.000337341,41.7838495225,14.1908,0.0256922894733,-0.0202162,7.67585736447,0.00135306,0.0510125639499,25.5468494048,0.0918855157557
0.165499850429,28.8054963546,0.0531741,109.659779098,15.0785,10,0.691875057847,0.0532389649826,52.3275223605,0.0532391,46.1433220628,0.00452258638355,10.5833843557,0.303594064528,0.941152,82.5101256327,14.924,0.0533501545836,-0.082945,53.5054086654,6.68307e-05,0.0759585770052,80.6128470736,0.49271650173
-4.63905558626,4.44640377043,0.115696,16.332993327,15.5039,11,0.0758842867394,0.115790538988,6.15854072016,0.115711,5.22210833742,0.00600995165495,3.92645722618,-0.07448618544,0.981846,19.4749879028,15.861,0.115796342035,-0.138614,-3.41285476599,0.000140778,0.0301120843665,6.10418902408,0.00066810340042
1.16311453839,3.20738362716,0.160821,19.9021864215,15.5692,12,0.10649434717,0.160864826925,6.5418436724,0.160823,5.37568277479,0.00774028794774,4.00350517712,-0.0971693713243,0.999676,14.6660331768,16.6204,0.160867428604,-0.169295,-6.59688546503,0.000222071,0.0307982007416,6.27321903195,0.00251051808963
-2.76047404745,4.33331164065,0.189243,14.2760638182,15.6475,13,0.0652212042545,0.189284526954,4.991970695,0.189248,4.75382092039,0.00867104602137,3.6908744083,-0.0786344244897,0.997128,15.3864847462,17.3929,0.189290233748,-0.188653,-3.8845639133,0.000271566,0.0284190785041,5.54485956074,-0.00322690257105
-14.8047319421,38.8224695082,0.215386,102.745527678,15.9923,14,0.651363572368,0.215403117558,35.5397752702,0.215398,43.2640231277,0.00979277808518,13.7143188205,0.0821784344338,0.99692,95.1474234734,18.2413,0.215422411169,-0.225126,25.0858409372,0.00034756,0.099126985303,74.9841718757,0.448615105692
23.5683493315,18.4177367356,0.263765,103.150196113,16.1233,15,0.66848861132,0.263812579605,73.66546005,0.263788,43.3402075486,0.0119718030989,11.7864225387,0.242196274853,0.999918,97.2735887153,19.0482,0.26383868251,-0.279435,45.8602475745,0.000590155,0.087825009472,74.9917324632,0.449589234431
51.2447575409,11.6258296566,0.324745,100.364319788,16.1856,16,0.634237624326,0.324875095748,73.3878768453,0.324821,43.7434302818,0.0139868761711,13.8303856705,0.164872548983,0.99993,87.6388129551,19.8539,0.324949004248,-0.340902,33.4307683375,0.000864588,0.0981412481212,75.7940515167,0.456520161741
35.3020781614,15.0983218245,0.383031,99.770752341,16.2885,17,0.626208426293,0.383045673316,67.7670998235,0.383176,42.9593550899,0.0162870810575,14.7487776571,0.0300703887906,0.999434,88.0537953181,20.5977,0.383200791185,-0.399558,13.6105553066,0.00115311,0.105080247014,73.4471843337,0.440315836473
0.362005898986,12.2688368822,0.441485,25.7133603281,16.8228,18,0.148799106335,0.441634206228,14.0127448413,0.441711,6.91682248103,0.0198526367303,4.71262494968,-0.0785692161661,0.982391,50.6889666356,21.5757,0.441862284496,-0.488818,-3.82685904384,0.00182093,0.0363446386614,8.24938611802,0.0142302287081
1.00060288395,3.90215823848,0.515999,15.9272195896,17.2485,19,0.0693592721076,0.51621312152,7.61697747845,0.516308,5.52905348886,0.0234951621835,4.43746827589,-0.10858075509,0.967962,17.4737940929,22.5336,0.516531518415,-0.579353,-6.1807434913,0.002463,0.035587541577,6.50977176412,-0.00517518126369
1.67430649871,12.6178221325,0.602671,78.0761310586,17.5938,20,0.463280582997,0.602889007564,14.2952035422,0.602965,23.5858005979,0.026155971808,10.7559059587,-0.0320579599055,0.959039,42.1065158903,23.3031,0.603208516234,-0.660266,3.84039377711,0.00284495,0.0768593138797,35.6507011902,0.1786838655
-0.987448531915,14.755941819,0.674834,43.2895985034,17.9415,21,0.271702386923,0.675036773383,26.6989575919,0.675091,12.7378850276,0.0276926695348,11.9476984626,-0.154884160572,0.96273,50.9651329722,24.0368,0.675292873626,-0.74029,-8.89199992557,0.00285403,0.102310720474,16.2940646717,0.0459946916049
3.54380782058,7.92464973897,0.75098,42.918578501,18.1722,22,0.269697135149,0.751210618068,14.9188664293,0.751262,14.0100180412,0.0295669568857,10.4096691036,-0.122883929949,0.959892,30.9142699454,24.7109,0.751495273122,-0.818611,-7.82338939759,0.00324705,0.0705877076153,20.1259341723,0.0751189769842
-0.554621446141,12.8057304787,0.823576,51.5808211164,18.4338,23,0.306414168613,0.823826853403,15.9602396862,0.823786,15.3789402519,0.0309876496003,12.1755343415,-0.0710690301687,0.957413,41.4154265338,25.3668,0.824004091635,-0.887022,-1.40223953779,0.00358886,0.0811518480702,22.2359875623,0.090906965809
4.33163344112,16.1443589732,0.885767,68.2370032156,18.6701,24,0.451778473913,0.886086371519,30.7008208828,0.88594,23.5963904859,0.0330507699433,17.0712965983,-0.0603441987089,0.970292,53.5914976347,26.0301,0.886199012967,-0.958866,-0.254047122988,0.00388676,0.12796070152,32.0485875056,0.172577255201
