AverageEsReturn,AverageQLoss,AverageAbsQYDiff,StdReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,QFunRegParamNorm,StdEsReturn,MinReturn,AverageQ,MinEsReturn,MaxEsReturn,AverageReturn,Iteration,AveragePolicySurr,MaxReturn,Epoch,AverageAbsY,AverageAction,AverageDiscountedReturn
9.88341330274,3.37822,1.76314646909,0.0483128860637,1.5275977917,11.2294,0.287182,11.1297,7.12330902005,9.13700513325,-0.235549,2.84151145942,65.5041020063,9.24545370918,9,-0.00365765,9.37874106593,9,1.5275977917,0.216607,8.81929046602
3.76446729411,0.0623095,0.132822856929,0.0450958512008,1.18916083958,11.5277,1.18722,11.3932,0.835049945977,5.07528081494,1.17886,2.44487975479,7.2063087064,5.29815578541,10,-1.24934,5.40366700651,10,1.20063035849,0.895771,5.1367583269
6.83987242884,0.0148831,0.0767932262977,0.0412736363744,1.38025940328,12.3507,1.39555,11.7122,3.51298611397,5.07700620778,1.37935,2.75786318485,31.9390072126,5.29640846059,11,-1.38287,5.41434696774,11,1.39579958943,0.999996,5.13538063261
32.676959764,0.0346832,0.0981712409249,0.890085914017,1.87289976402,12.708,1.89534,12.2701,16.788410771,36.6733118512,1.87159,4.27298316129,67.6708259683,38.7505019551,12,-2.10268,40.7080754115,12,1.89513719343,0.999999,34.4420517857
43.3366921427,0.117825,0.159748729907,0.944706243731,2.83731716183,12.7106,2.86239,13.136,10.0678186344,36.575158914,2.8347,23.7478346896,95.093462903,38.7659868863,13,-3.18703,40.7514618561,13,2.86231415038,0.999999,34.4526095662
40.4611506206,0.22465,0.215152671043,0.910785232261,3.88381976584,12.7183,3.90397,14.3286,5.58731714543,36.7585709949,3.88097,8.58586652057,48.0846270787,38.7398932575,14,-4.33679,40.7648458133,14,3.90432513285,0.999999,34.43611824
42.1665216505,0.333281,0.262332731566,0.934953684143,5.04353219135,12.7336,5.06082,15.5899,4.9312022234,36.7042146704,5.04048,30.7416038147,60.4898031546,38.7536586564,15,-5.60613,40.7360588398,15,5.06094944269,1.0,34.4449528463
41.274966674,0.388428,0.299600857395,0.931243683847,6.20671615752,12.7381,6.22168,16.7898,4.96225893186,36.6558825838,6.20378,16.7056527162,52.9778762749,38.8054234218,16,-6.86559,40.7288499406,16,6.22139630769,1.0,34.4856015145
41.1406380715,0.391617,0.307498023176,0.907167485938,7.45991673154,12.7402,7.47374,17.8407,6.6185331092,36.6349787568,7.4579,6.27803193618,58.6496516541,38.9035558354,17,-8.22686,41.8252836075,17,7.47271265477,1.0,34.5649420019
42.1556081879,0.388876,0.323597433662,0.968600492644,8.76683012934,12.7417,8.77713,18.9806,8.28259410575,36.7113648295,8.76419,3.06137334478,60.1840052381,38.8035314258,18,-9.60823,41.8377800576,18,8.77661636622,1.0,34.4819831915
42.0118126916,0.386931,0.339661885584,0.937922860769,10.0370932628,12.7431,10.0465,19.8179,4.13370619196,36.5411624463,10.0344,35.3844334912,55.0203244277,38.8011498709,19,-10.9675,40.8931217686,19,10.0456572872,1.0,34.4804024775
41.3606708931,0.427422,0.35095594341,0.926047473952,11.3576168799,12.7443,11.3674,20.5556,3.73594994082,36.6802143662,11.3554,36.1915161893,58.2957624866,38.8522639689,20,-12.3343,40.7235471779,20,11.3664562323,1.0,34.5218416246
42.3733376364,0.418673,0.367099024632,0.975894625385,12.5500477479,12.7454,12.559,21.2466,6.78717455328,36.6857806019,12.5467,22.6445442497,71.3447820326,38.7235381661,21,-13.6133,41.758331252,21,12.5569090686,1.0,34.4203561177
41.0346177,0.495795,0.382768936592,0.970339539413,13.9422207854,12.7463,13.95,22.0512,7.46804658305,36.6229505386,13.9393,6.40333542884,63.767345373,38.713768264,22,-15.0531,40.6437218615,22,13.9487629123,1.0,34.4122483829
40.4932898967,0.514022,0.398125483006,0.867419261628,15.0203882585,12.7476,15.0308,22.8586,6.31821095073,36.7598555131,15.0193,9.97615714568,55.8335437957,38.7911242695,23,-16.19,40.6401032908,23,15.0264388093,1.0,34.4742094682
41.2456182994,0.677141,0.434323911502,0.925558445554,16.1954446554,12.7487,16.2025,23.5461,5.54062133812,36.5736651189,16.1926,24.0544533057,68.0503781274,38.7669960572,24,-17.398,41.7792592152,24,16.2000573037,1.0,34.4560002359
41.2326367883,0.744224,0.448661616698,0.954859876042,17.1829546796,12.7495,17.1918,24.2985,6.21752694393,36.7429342696,17.1808,23.1125743971,64.5745345277,38.7899826996,25,-18.4314,40.8151636693,25,17.1887339196,1.0,34.472563566
41.293144733,0.792786,0.469182170689,0.919348819159,18.1388375259,12.75,18.1459,25.0891,9.11220399734,36.5437148901,18.1354,3.04672205013,63.2864406785,38.786854581,26,-19.3824,40.7219010219,26,18.143509477,1.0,34.4700735976
41.5845898269,0.800715,0.47579025355,0.927339496466,19.0914425987,12.7514,19.0994,25.7384,5.22831165154,36.6524876127,19.0895,22.947636018,56.9244138846,38.7765718712,27,-20.305,40.7932770116,27,19.0960510366,1.0,34.4623935236
40.5213244267,0.779107,0.47592653249,0.927760900883,19.7038848481,12.7519,19.7094,26.3669,6.39888790428,36.6645784252,19.7012,6.21979597799,53.7263808967,38.7847737926,28,-20.888,41.7718714966,28,19.7074168872,1.0,34.4697770372
43.213821654,0.789543,0.480065226257,0.924023798616,20.2035513869,12.7522,20.2112,27.0618,7.49872621624,36.4504655244,20.2021,36.2976660669,73.7151457745,38.8052267273,29,-21.3245,40.6583333681,29,20.2070632699,1.0,34.4847863858
41.6394187104,0.786333,0.486998700358,0.885602768713,20.7021571682,12.7535,20.7098,27.6755,4.86986920227,36.7093063819,20.7008,19.5873316347,52.2403912888,38.6921867123,30,-21.8014,40.7485972876,30,20.7051934911,1.0,34.395693523
41.3101936025,0.773712,0.496826753834,0.912601799668,21.2123399076,12.7532,21.2174,28.236,5.03193968856,36.6997095894,21.2092,32.5350943912,60.141959268,38.7305744114,31,-22.2638,40.7395210749,31,21.2153609309,1.0,34.4270753305
41.6802639869,0.929607,0.496954656331,0.925235513467,21.4430934271,12.7551,21.4488,28.7414,6.01743476807,36.6733876654,21.4413,29.6603798353,73.1032637866,38.7338885389,32,-22.4588,41.9101523977,32,21.4461583853,1.0,34.4278261596
40.7532327141,0.941897,0.503588341356,0.944717593589,21.6653932359,12.7566,21.6723,29.2269,3.75518378141,36.6463942302,21.6631,36.4280182401,59.1573868813,38.8524278014,33,-22.6384,40.7986455224,33,21.6691160849,1.0,34.5216153033
41.846550355,0.682382,0.461595453421,0.919606857516,21.9196177566,12.7572,21.9268,29.567,7.38239215928,36.5806256474,21.9189,30.2526632704,82.9221823613,38.7737834768,34,-22.832,41.7901966368,34,21.9222269342,1.0,34.4590802762
40.6632068751,0.601683,0.44380960304,0.952210601548,21.9947626783,12.7573,22.002,29.9387,8.49529457723,36.6648382638,21.9929,4.28828648889,60.045418306,38.8571533754,35,-22.8853,40.7888516888,35,21.9982024273,1.0,34.526822205
42.6366995783,0.780118,0.46063238879,0.918375079885,22.1101643075,12.7576,22.1176,30.3478,5.55044265998,36.6752062097,22.1089,37.0508589635,67.2008851535,38.7481519905,36,-22.9212,40.7859316843,36,22.1133642272,1.0,34.4394282125
41.6511180968,0.711534,0.444583054364,0.924547794468,22.1268237475,12.7572,22.1339,30.6077,7.82812978332,36.8039215502,22.1245,12.6740566218,74.1661797388,38.8068910968,37,-22.9161,40.6513085562,37,22.1310421939,1.0,34.4875227377
44.3552969702,0.906358,0.474965942893,0.935185125068,22.1086193317,12.7571,22.1149,30.9629,11.2924204532,36.6558057388,22.1078,17.6794088815,78.2797542028,38.8065224606,38,-22.8172,40.6424992262,38,22.1109050388,1.0,34.487228136
44.1680236662,0.709943,0.438441005842,0.904151780188,22.1378765969,12.757,22.1424,31.1936,14.0709917962,36.7009804309,22.1358,3.08167952244,102.481117861,38.7347478744,39,-22.8465,40.6884507403,39,22.1401137627,1.0,34.4294945136
24.0796321777,0.959034,0.465266204415,0.263144858154,22.1522748555,13.5609,22.1578,31.5255,21.4621336885,-2.16863211817,22.1506,-1.62910855934,56.5256000047,-1.49457284257,40,-23.2725,-0.937896835432,40,22.1552981425,0.94796,-0.744184441277
0.158069281373,1.36772,0.565151052439,0.264002432622,23.1618934954,14.5686,23.1651,31.923,1.80096173659,-2.03913579391,23.1579,-1.96630947825,6.30136691662,-1.49330943646,41,-26.7465,-0.598580455986,41,23.1657726139,0.868976,-0.731014410583
23.7860368819,2.22054,0.786116730225,1.05126584286,26.6536377711,15.6892,26.6607,32.5955,40.1067838448,42.0045322771,26.65,-1.56467552137,181.274859205,43.8073257601,42,-30.1075,46.70417694,42,26.6590154455,0.588811,36.8243205562
143.656928751,3.52966,0.903209658819,0.427976203606,29.3035651898,16.6044,29.3081,33.3154,79.2247083588,990.032020105,29.2967,27.4551549681,237.982309667,990.537489176,43,-32.6581,991.516976934,43,29.3085108147,0.565226,100.490255279
144.817498491,3.58466,0.901466143055,26.2032295475,31.6289209163,17.1587,31.6382,33.9672,112.92735859,1030.44613959,31.6244,14.2692613442,310.079113053,1050.13935862,44,-34.7268,1119.44452078,44,31.6333398727,0.449397,112.555088779
168.490546477,3.99382,0.929827179104,0.617200908611,33.6251100579,17.934,33.6326,34.6607,111.850502247,1003.07079661,33.6179,66.210652546,398.962045016,1004.17650988,45,-36.3473,1005.28301584,45,33.629897483,0.462644,103.209551937
280.283669702,3.85104,0.91806659164,127.367915343,35.2125987102,18.6008,35.2264,35.2715,267.409297291,214.48544729,35.2075,39.700834862,722.35944014,380.464495862,46,-37.8055,808.443416841,46,35.2189069823,0.595144,111.300871141
105.354831736,4.14661,0.950401855969,5.36621477089,36.7098170707,19.2119,36.7247,35.9389,61.1607040786,88.3193752461,36.7028,10.1749541427,241.357998109,98.6595728126,47,-39.345,116.770861943,47,36.7166278995,0.850847,73.6021021543
148.153501529,4.31761,0.992160209353,8.13895645211,38.2107033364,19.6918,38.2331,36.4385,70.2882193931,149.081913686,38.2047,36.4575923102,276.527656456,183.088222722,48,-40.7726,206.311969423,48,38.2185794596,0.813069,112.377591139
162.745301822,4.63066,1.02622634474,10.7731109881,39.6451313932,20.229,39.6646,36.915,62.7564403674,138.877503114,39.6381,87.7604678083,289.780717257,158.089730618,49,-42.343,186.614286001,49,39.6521011481,0.698846,98.9351125919
208.070632516,5.77361,1.09045558582,32.251842443,41.272542065,20.5953,41.2866,37.445,97.612324682,230.051886995,41.2651,52.8827341661,345.122601437,288.913511255,50,-44.091,352.790153727,50,41.2788188562,0.793782,144.067667312
234.84856082,5.30265,1.1317757777,56.0762479882,42.9672542066,21.1015,42.9867,38.0278,116.126430895,366.185468084,42.9613,100.185868708,447.941098284,437.253227945,51,-45.8134,616.627390615,51,42.9725774181,0.844854,167.634715459
238.681752122,6.25718,1.17060580315,58.8811849367,44.5128226573,21.4735,44.5311,38.5491,151.587796603,173.137983572,44.5044,4.99985463377,436.977744885,345.902145443,52,-47.5112,488.531060719,52,44.519044847,0.889173,154.617742215
228.185536433,6.57797,1.22452790789,2.6565098859,46.3491993925,21.9121,46.3637,39.1511,126.146897556,103.008823816,46.3394,84.0447750521,451.312313534,112.209454126,53,-49.4531,120.120606772,53,46.355089341,0.950709,81.5245928155
133.354953576,7.11625,1.26196733602,71.2874892154,48.0645750956,22.2646,48.0781,39.5829,60.0868746917,96.4791075498,48.0539,57.1238825357,303.019943436,126.523046228,54,-51.1121,464.27677226,54,48.0696129019,0.932196,83.4601355022
286.086344018,7.46077,1.27547752561,124.798321685,49.8316383862,22.6497,49.8407,40.1211,156.558808738,218.354223415,49.8185,114.4546839,641.549720587,387.777959596,55,-52.9098,854.894169261,55,49.836034447,0.914235,161.390595392
326.416230586,7.4035,1.27469807459,33.5027755653,51.530269259,22.9796,51.55,40.5795,178.346382623,320.33066441,51.5241,82.8597292066,616.043827139,382.023135511,56,-54.6813,475.638858678,56,51.5341805544,0.907014,173.644860671
291.423095634,9.7726,1.42771983675,70.5218999852,53.250738812,23.2067,53.2617,40.965,89.6408848993,202.001067822,53.2334,131.586357185,481.987574993,366.346593739,57,-56.4642,661.681804279,57,53.2551980051,0.911033,165.731931723
285.639843694,9.25762,1.366296818,97.0936430006,55.2015847527,23.4621,55.2165,41.3723,169.144152903,243.129261719,55.1914,72.5032618254,632.287230531,303.858327412,58,-58.402,982.757119482,58,55.2059780853,0.780193,147.486110265
279.912873927,10.2955,1.41781573055,15.9591458946,56.5074849984,23.668,56.5259,41.8336,73.6314099585,229.75398081,56.493,160.012096948,414.918228478,307.232627335,59,-59.6747,343.361555736,59,56.5116820282,0.739614,153.424912846
244.42039181,9.1359,1.36041315384,21.9233091727,58.1882062866,23.9469,58.2099,42.1758,184.244805754,181.171783956,58.1748,67.2936058296,634.219180695,206.383143119,60,-61.445,339.734872271,60,58.1923886213,0.736904,122.46304112
251.045886262,10.5177,1.41298945557,27.2993150357,59.7233153317,24.2147,59.7397,42.5328,107.540671397,252.132636348,59.7083,47.7970568836,351.964628256,336.879342104,61,-62.9386,372.486657824,61,59.7270520733,0.716,164.014475317
300.093832107,11.1016,1.44089311356,9.49880978434,61.1173217095,24.5618,61.1423,42.9013,106.196644852,356.170230172,61.108,89.7472445193,432.068325375,376.204883786,62,-64.3845,403.684369454,62,61.121272119,0.709052,174.853887111
296.147045853,12.6084,1.51223278783,55.8323896962,62.7141124639,24.9088,62.7321,43.3379,210.833922449,297.572563404,62.6958,68.363302421,682.216881643,341.374765679,63,-65.9621,755.595043772,63,62.7177701954,0.720868,161.841608305
235.900663097,13.1681,1.52375109942,11.0000262412,64.07299705,25.2926,64.0966,43.7423,121.859551627,263.512180488,64.0587,49.8162174408,518.037392943,292.812832774,64,-67.3441,315.559696227,64,64.0773562231,0.668789,152.533431351
254.07734808,13.0522,1.5467201822,81.3249728057,65.7730304506,25.6686,65.7975,44.1832,159.659252419,280.821231269,65.76,36.3200638007,559.425423804,365.06168618,65,-69.0211,926.514907655,65,65.7772775148,0.710831,167.807189351
285.167859357,13.0206,1.50402769177,27.5602095012,67.2450747336,26.0332,67.2709,44.4913,125.113396598,249.461827155,67.2354,109.911466042,560.613799242,326.197136349,66,-70.5509,368.631921541,66,67.2487323307,0.666733,163.069176276
258.851490984,13.8078,1.58122310953,74.1281424716,68.3934020344,26.4137,68.4157,44.9137,88.9210416499,160.415787264,68.3776,94.3785041471,354.741833857,230.162634481,67,-71.6669,360.175069081,67,68.3970758229,0.711313,129.54926343
408.954087667,14.9342,1.65398755071,19.0635535281,69.9073401184,26.7682,69.9363,45.3649,262.091395848,314.52605307,69.8968,127.452682238,1037.90846709,355.395592107,68,-73.1933,388.600090313,68,69.9106669595,0.603301,169.597367614
251.625932706,14.2054,1.62777823937,15.1543804189,71.067731697,27.0691,71.0914,45.6839,74.3694081005,331.348544075,71.0509,158.144176545,363.968272774,350.883272304,69,-74.3654,414.196476369,69,71.071330137,0.539178,171.117992651
310.448441231,15.0379,1.658981754,4.46541868497,72.4598124545,27.4297,72.4871,46.0923,283.941561557,324.902902694,72.4464,30.76644908,972.489557777,333.844152039,70,-75.7955,346.303361453,70,72.4649420582,0.453948,165.950527729
198.809607822,14.8391,1.66836107697,10.8843791351,74.0183525279,27.7905,74.044,46.4342,110.940767444,305.650512521,74.0062,46.3298153235,400.430959392,324.75572446,71,-77.3734,348.455782343,71,74.0232487777,0.492165,161.02313214
242.723254397,17.6525,1.80331406765,30.2283921932,75.5079896529,28.1774,75.5373,46.8967,122.197120777,278.522576395,75.4912,6.62080363131,425.235956961,314.110483094,72,-78.8294,381.457073436,72,75.5129439387,0.506083,154.469593119
269.984744589,15.3789,1.68865602261,17.1321430921,76.7543146822,28.5215,76.7874,47.2713,144.107398271,306.442122497,76.745,59.7677654339,472.880233246,339.622361142,73,-80.1858,379.62903461,73,76.758743997,0.473563,163.639408579
256.823397882,16.4953,1.7253095942,18.5433795002,78.0967677997,28.8224,78.1287,47.6147,104.618538187,311.097067056,78.0849,77.9624846638,395.631525227,341.994269448,74,-81.5182,378.278794797,74,78.1013339223,0.552027,162.817612059
279.344356223,17.1264,1.76246545828,5.97729798993,79.8841575201,29.1164,79.9139,47.9773,110.868626891,371.118118212,79.8698,136.461871905,510.331143156,385.652252271,75,-83.3321,399.947830701,75,79.8898784114,0.543054,173.443328568
331.344898088,19.7531,1.85713140432,23.321096653,81.09806991,29.4202,81.1189,48.4161,112.288917766,261.042298415,81.0835,159.941680977,451.869708633,351.648294646,76,-84.6701,384.284030913,76,81.1019117226,0.536232,164.199374031
253.614398084,17.023,1.82783490917,5.89924184124,82.9645726466,29.6753,82.9927,48.8737,165.72671205,344.835602597,82.9528,12.5598814584,621.861559618,365.158754909,77,-86.6544,375.431030312,77,82.9679833438,0.524287,169.564685779
288.550013506,20.9679,1.93454119809,90.9503683809,84.4291649299,30.0175,84.4595,49.2477,106.81500255,334.999358247,84.4153,54.1970739868,401.266398933,400.348902537,78,-88.013,743.127425184,78,84.433736294,0.545563,177.759496398
263.429959985,21.2151,1.9607391269,569.069910122,85.6635273662,30.3128,85.6947,49.6353,100.626104907,308.326549297,85.6466,60.9737407296,364.901354413,695.346426022,79,-89.1799,1992.3587958,79,85.6670246662,0.472558,173.711738912
304.629174938,17.5686,1.89346078106,232.843283993,87.1242098309,30.6645,87.1575,50.0435,83.8383335706,304.488014908,87.1123,169.906342075,463.961416246,623.980062161,80,-90.6743,912.345799431,80,87.1287066399,0.503932,192.660618323
278.526114621,22.4206,2.03932523377,19.9584690059,89.0149790854,30.9923,89.0484,50.3822,274.34128504,794.97778888,88.9986,7.56506406799,824.465817067,835.465246977,81,-92.7312,891.847533306,81,89.0212051218,0.458301,214.602225175
287.555354828,23.2446,2.00888814339,207.799656951,90.5938153187,31.267,90.6287,50.6941,167.813403681,295.146060716,90.5823,13.4629441357,507.421510456,664.059611856,82,-94.256,802.272198746,82,90.5983081628,0.462706,195.993596676
249.349628151,27.2837,2.14907906392,17.6491727461,92.348929495,31.6612,92.3842,51.0815,144.984732438,342.25112152,92.332,59.4972622147,404.736100661,377.063498524,83,-96.0145,422.188799004,83,92.3564296327,0.584101,175.64434139
420.653709546,24.8121,2.04309309006,50.793820604,94.2273984963,31.9231,94.2629,51.4637,187.19638766,322.467801727,94.2177,100.027716842,731.712244533,447.448650655,84,-97.8735,477.041735291,84,94.2323510046,0.455601,190.434022979
286.766529847,30.1024,2.21701678395,498.832510509,95.6048728711,32.2017,95.6358,51.8491,203.486921669,321.837432232,95.5811,43.7211560822,736.316847887,849.407226526,85,-99.2766,2525.98808891,85,95.6088612206,0.432646,200.138368871
369.173990971,26.9054,2.16755922662,13.3777261563,97.0908648319,32.4918,97.1339,52.2374,294.770225776,355.883285117,97.0752,52.3688883847,1034.65045953,377.348831742,86,-100.722,401.308008687,86,97.0968592834,0.593552,175.991747994
325.439355786,28.5242,2.25537793227,29.2988096337,98.2860923068,32.8099,98.3324,52.6368,118.637963695,379.577399049,98.2738,170.374067513,593.638332502,417.717318762,87,-102.023,503.901994623,87,98.2942492449,0.570388,177.74084087
328.152896404,28.745,2.32281273477,281.069926997,100.123936479,33.0527,100.169,53.0244,146.045676379,382.866522237,100.109,137.51673947,621.586258712,479.067076759,88,-103.827,2493.55154546,88,100.129094854,0.520302,182.488981321
319.454493237,25.0817,2.17238470391,14.4958715625,101.508641569,33.3737,101.542,53.3884,197.367474318,331.438454118,101.492,12.7891466843,603.048808104,359.909674222,89,-105.254,401.216811165,89,101.51488419,0.661694,168.610605388
316.095869772,30.5115,2.35652730471,237.858451115,103.518250463,33.5957,103.557,53.7219,204.002416817,421.50105815,103.497,10.8094156009,710.648119157,772.600315075,90,-107.495,1487.73954789,90,103.524425358,0.622899,204.615436563
250.485689553,30.8504,2.32374068793,635.855445195,105.169216971,33.8502,105.218,54.0807,133.098396,601.747633525,105.156,13.7781372059,401.191448007,1381.30108337,91,-109.163,2788.23644782,91,105.176388126,0.48105,217.68173172
347.988800205,36.3327,2.48328040014,32.133509409,107.113125848,34.1408,107.151,54.5328,190.381784936,648.412006973,107.095,80.5054023612,692.182136058,708.642084149,92,-111.203,779.045984153,92,107.117670777,0.614743,205.629029117
234.680690802,31.8905,2.41934201951,478.572987579,108.824191397,34.4828,108.872,54.9642,130.950682033,274.175686977,108.809,27.9933040785,407.850467229,856.190313743,93,-112.807,2763.2055638,93,108.83169723,0.599783,196.960886215
367.595039278,34.562,2.45474904357,526.528511326,111.001149607,34.658,111.047,55.4048,218.1710996,736.476982216,110.983,142.81264352,739.454806096,1264.64608606,94,-115.103,2769.54905327,94,111.012108441,0.582282,225.057099749
284.66996348,35.4503,2.5344351922,174.887086796,112.323476556,34.976,112.381,55.7444,144.057679113,618.402357408,112.301,76.5434179284,509.703627023,845.832222395,95,-116.416,1382.95134461,95,112.337069066,0.628895,206.773495692
294.670126503,33.8634,2.53444728636,438.899786908,114.563621161,35.2882,114.625,56.094,194.079178945,649.47798788,114.549,15.498290779,757.920490597,1255.75893559,96,-118.772,2469.28401207,96,114.579028756,0.58638,212.813667166
306.662230329,37.2328,2.60683375825,690.484610578,116.45477523,35.5388,116.51,56.5333,284.932240399,560.972268367,116.439,32.0393613194,773.300090334,1191.78957053,97,-120.754,2677.69318619,97,116.466266764,0.604321,217.249468581
374.273076654,39.2116,2.61004902539,258.067209148,118.619214163,35.8239,118.675,56.9277,277.79389882,233.211964877,118.595,114.301951256,877.919232413,595.724400515,98,-122.994,1352.22661524,98,118.638038913,0.629633,181.109322654
267.096396132,42.3278,2.72818946863,261.191557283,120.474175787,36.0981,120.523,57.377,93.5256418549,190.742672431,120.459,181.117706504,451.76960958,301.332399491,99,-124.921,1239.03431931,99,120.482558021,0.744294,127.622706038
410.893731954,38.8356,2.68593904629,173.43672866,122.839289513,36.3899,122.906,57.7844,219.3120108,380.481219573,122.824,48.2130867534,777.757303255,507.879144296,100,-127.301,1176.9703519,100,122.853024338,0.652328,167.68797647
267.423026821,43.1429,2.77446022255,170.557260998,124.648275625,36.6545,124.708,58.2576,161.118894944,176.938470824,124.623,23.4714900204,477.23936288,242.06937268,101,-128.82,1283.55826583,101,124.66765786,0.71563,121.111491403
304.338036142,43.8926,2.86533747538,192.284858166,126.052300942,36.9511,126.138,58.7067,144.325054481,206.811345778,126.034,149.662176621,544.202947997,337.462238257,102,-130.387,913.229435165,102,126.07378311,0.697323,143.772225534
