MinReturn,AverageQLoss,Epoch,AverageReturn,MaxReturn,AverageY,AverageEsReturn,PolicyRegParamNorm,AverageAction,MaxEsReturn,AverageAbsQ,StdEsReturn,MinEsReturn,Iteration,AverageAbsY,AverageQ,StdReturn,AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,AverageAbsQYDiff
13.0,0.0163294,9,19.2326923077,43.0,0.0827555898966,5.81046511628,10.4743,0.000921524,24.0,0.0734794,2.84933811448,3.0,9,0.0997147589845,0.065261,6.78471758819,17.3897028245,10.4458,-0.0663402,0.113065241033
2.0,0.000978929,10,2.39750659314,3.0,0.129615709802,2.82303370787,11.1986,0.99992,7.0,0.131778,0.644447162249,2.0,10,0.13347594729,0.129383,0.489382367429,2.37959621194,10.6927,-0.179733,0.0177457342447
2.0,0.000471492,11,2.39717162033,3.0,0.194167794119,2.83002832861,11.052,0.999669,5.0,0.194153,0.457241698524,2.0,11,0.194167794119,0.194131,0.489312092977,2.37926790508,11.008,-0.168469,0.0123161703429
28.0,0.000396658,12,29.2543859649,31.0,0.219819330099,5.61235955056,12.4816,0.733636,48.0,0.219795,6.35214411691,2.0,12,0.219819330099,0.219779,0.702685785412,25.4717146794,11.4193,-0.255685,0.0119825521184
46.0,0.000773795,13,52.497382199,63.0,0.300468445114,31.1290322581,13.7695,0.725474,74.0,0.300429,17.0799673934,4.0,13,0.300468445114,0.300428,3.80530677334,40.9561323414,12.2501,-0.357056,0.0175950954419
55.0,0.000942783,14,57.2514285714,60.0,0.375720621065,33.1612903226,14.8745,0.863088,73.0,0.375645,19.2355463529,5.0,14,0.375720621065,0.375642,1.15866214195,43.747984151,13.0563,-0.44298,0.0183923583598
64.0,0.00123959,15,67.5503355705,73.0,0.452945534505,35.25,15.7136,0.361075,102.0,0.452839,23.0753811298,3.0,15,0.452945534505,0.452813,1.96764514183,49.2728283042,13.9353,-0.53155,0.0192658348282
70.0,0.00153569,16,77.4846153846,94.0,0.531573417762,40.56,16.3982,0.367215,107.0,0.531497,25.7574532903,9.0,16,0.531573417762,0.531455,3.84954465916,54.0678853694,14.8691,-0.622392,0.0210742234174
49.0,0.00200987,17,56.7231638418,66.0,0.613358353256,34.1379310345,17.0,0.391065,90.0,0.613301,22.797041759,5.0,17,0.613358353256,0.613236,4.25821574014,43.4004743869,15.7765,-0.71996,0.0228046043066
59.0,0.00219239,18,70.5070422535,83.0,0.697576692973,27.8888888889,17.5305,0.440958,110.0,0.69754,22.7849582178,3.0,18,0.697576692973,0.697414,4.96997531503,50.7064944779,16.6876,-0.815684,0.023944545792
53.0,0.00278059,19,63.6202531646,67.0,0.779407382727,32.4193548387,17.9086,0.372859,130.0,0.779442,26.8409583425,3.0,19,0.779407382727,0.779276,1.91796171784,47.2294898172,17.6151,-0.899806,0.026829299559
63.0,0.00374973,20,67.1275167785,81.0,0.861880608118,21.8695652174,18.2823,0.252428,80.0,0.861901,18.3488048369,4.0,20,0.861880608118,0.86168,3.50318855833,49.0358594384,18.6206,-0.993501,0.0291862545088
57.0,0.00385974,21,74.4444444444,88.0,0.940944222468,15.2,19.0519,0.344458,101.0,0.941054,13.7731064593,3.0,21,0.940944222468,0.940814,6.47120879047,52.5762787734,19.6018,-1.08548,0.0303094068129
60.0,0.00493697,22,79.6984126984,91.0,1.02803245462,16.2258064516,19.7143,0.284478,84.0,1.02833,15.9114681252,3.0,22,1.02803245462,1.02784,6.67769307336,55.0094893239,20.4407,-1.18086,0.0333111133724
44.0,0.00585162,23,53.3031914894,64.0,1.10185367635,15.6666666667,20.4563,0.2653,71.0,1.10229,12.1981002945,3.0,23,1.10186010218,1.10167,3.91377687009,41.4297536529,21.3239,-1.26471,0.0359273279933
51.0,0.00769524,24,61.5337423313,72.0,1.18784163477,19.6470588235,21.0015,0.222709,63.0,1.18839,15.2094185595,3.0,24,1.18784163477,1.18762,4.03859024269,46.0769981439,22.2921,-1.35517,0.0405349585932
53.0,0.00734001,25,56.3764044944,69.0,1.26770107267,12.2125,21.6164,0.189642,64.0,1.26811,10.2697294877,3.0,25,1.26770107267,1.26744,2.58320080485,43.236092751,23.1094,-1.44668,0.0381267747886
36.0,0.00979249,26,42.0125523013,56.0,1.3451528952,12.6463414634,22.2135,0.305534,47.0,1.346,10.3598332589,3.0,26,1.34515393348,1.34499,4.84356206585,34.3648926927,23.8622,-1.52973,0.044616357549
41.0,0.0103717,27,47.3301886792,74.0,1.42372360298,13.1733333333,22.8224,0.268058,60.0,1.42466,12.0403469865,3.0,27,1.42372360298,1.42354,6.30471775753,37.7326183048,24.7508,-1.6199,0.04462099173
52.0,0.0127507,28,126.0375,251.0,1.49947092207,12.5185185185,23.489,0.227562,77.0,1.49999,12.114791603,3.0,28,1.49947274675,1.49903,38.4071750295,69.8458926455,25.5854,-1.70458,0.0486974074155
66.0,0.0138444,29,111.377777778,297.0,1.58213191773,12.4155844156,23.9793,0.191876,80.0,1.58336,11.4283205403,3.0,29,1.58213191773,1.58189,41.3055223044,65.0178734201,26.2262,-1.79788,0.0514469387258
39.0,0.0163316,30,42.8803418803,50.0,1.65790049876,15.1029411765,24.3581,0.211624,50.0,1.65953,12.569968536,3.0,30,1.65790294644,1.65783,2.4570233995,34.9919551541,26.9084,-1.88223,0.0551983559562
54.0,0.0178289,31,100.52,554.0,1.7382226226,13.5866666667,24.7188,0.131322,55.0,1.73981,11.9343686702,3.0,31,1.73822766871,1.73789,91.0401537784,54.4324958641,27.5459,-1.97891,0.0580359589571
43.0,0.0181594,32,416.12,1000.0,1.8193512366,10.0918367347,25.2878,0.204412,76.0,1.82086,10.9972971955,3.0,32,1.81936090418,1.81912,438.001307761,65.2408839952,28.2185,-2.05953,0.0569196948216
1000.0,0.0205348,33,1000.0,1000.0,1.89774957023,12.4814814815,25.7046,0.235858,47.0,1.89956,10.2078535623,3.0,33,1.89775923207,1.89759,0.0,99.9956828753,28.9893,-2.15315,0.0616591024525
45.0,0.0226275,34,53.8548387097,1000.0,1.97533689155,13.0657894737,26.0819,0.371336,48.0,1.97742,10.0267215694,3.0,34,1.9753531153,1.9749,69.958324024,38.9258187211,29.6527,-2.24017,0.0651165780335
36.0,0.0255855,35,41.4504132231,130.0,2.05715463703,12.4444444444,26.505,0.309667,49.0,2.05885,11.3311544747,3.0,35,2.05719274728,2.05685,11.3821494576,33.7288588113,30.3062,-2.32497,0.0667846862222
38.0,0.0314012,36,39.9123505976,41.0,2.11473494892,14.5072463768,26.8239,0.336633,49.0,2.11738,12.101770368,3.0,36,2.114800818,2.11466,0.703071556908,33.0421961631,30.9027,-2.394,0.0728040104289
36.0,0.0309661,37,52.0,154.0,2.19537546919,11.3953488372,27.2751,0.406737,53.0,2.198,9.63795678164,2.0,37,2.1954238321,2.19499,20.9395874182,39.6449471325,31.5885,-2.47709,0.0735695820301
46.0,0.0320664,38,106.157894737,261.0,2.26550642452,11.5287356322,27.6256,0.443828,80.0,2.26834,11.796979041,3.0,38,2.265556988,2.26527,33.3199215863,64.0689453428,32.104,-2.56335,0.0780003545644
70.0,0.0328992,39,212.708333333,561.0,2.3409671795,12.987012987,27.9411,0.179346,58.0,2.34374,10.5121988587,3.0,39,2.34098523075,2.34081,135.820954191,78.5658033088,32.6724,-2.64458,0.0743507994026
39.0,0.0350892,40,53.3670212766,99.0,2.42459188039,11.4302325581,28.1136,0.375117,51.0,2.42805,9.65514767832,3.0,40,2.42464599606,2.42428,8.90244872239,41.2872656573,33.159,-2.72502,0.0767564973328
50.0,0.0367407,41,55.2872928177,67.0,2.4983963363,11.5568181818,28.3616,0.28363,41.0,2.50184,9.05269667827,3.0,41,2.49847752624,2.49811,2.67075503373,42.6100431865,33.6616,-2.81452,0.0800439780171
