QFunRegParamNorm,Iteration,AverageY,MaxReturn,StdEsReturn,AverageAction,AverageQLoss,AverageEsReturn,Epoch,AverageAbsY,AverageReturn,MaxEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,AverageAbsQ,AverageAbsQYDiff
15.8815,29,-0.100559904098,464.223614062,90.4542268127,0.734762,0.00256117,97.0982493482,29,0.354830879049,217.754861348,291.047041658,133.337901764,-0.100702,84.4942184835,17.5441,64.8887630166,-0.0792772,-4.32956430354,0.353412,0.031531881716
16.3952,30,-0.0303402561308,264.692820001,78.2459560782,0.957376,0.00290565,206.205574562,30,0.387149994921,237.725156514,284.910931837,16.6793942658,-0.0304824,118.514419502,18.0582,186.764509247,-0.15371,101.942581348,0.38578,0.0326626054865
16.8696,31,0.0538138705818,907.468931037,117.18093978,0.46692,0.0036243,124.77129471,31,0.431466701855,220.580182468,280.289282304,298.305745559,0.0535669,45.6000677819,18.6729,-2.13863791821,-0.2583,-20.4879634605,0.430009,0.0358028305233
17.3999,32,0.140077569211,324.821089432,126.810768186,0.761134,0.00477058,231.311831404,32,0.474096290331,258.417509488,478.888775802,23.368219721,0.139788,117.428257234,19.4295,216.770364842,-0.362019,54.2145953091,0.47228,0.0399642778508
17.8825,33,0.247072818839,394.571880047,71.724867027,0.831434,0.00593914,114.219582834,33,0.533313747777,260.02277029,222.275168582,69.3684993999,0.246862,107.230871059,20.0762,80.1310004659,-0.468056,27.3611796413,0.531486,0.0430664390955
18.387,34,0.343123946969,352.892260678,106.746463534,0.864754,0.00773051,179.898725671,34,0.599766551654,218.977253776,347.465993539,36.906206629,0.342763,107.556873381,20.7176,146.691832534,-0.575679,8.17881769266,0.597529,0.0477646454905
18.8737,35,0.44503422975,369.073063032,47.4364450356,0.894997,0.00899148,189.652920926,35,0.675527516873,209.466056977,273.606834438,55.4759001794,0.444861,98.2290461152,21.113,63.7777651377,-0.680459,125.98465854,0.67298,0.0524945669724
19.4295,36,0.573261816446,484.229296756,121.466978227,0.841885,0.011943,189.505618393,36,0.775986921315,413.187199909,354.389651006,34.8919973545,0.572775,123.996622308,21.6435,349.379521269,-0.831741,8.95095508924,0.773131,0.0598625937952
19.8918,37,0.686351642655,422.101752451,100.96169615,0.875122,0.012787,264.318375771,37,0.872030917256,276.215781209,359.228742843,47.1363975871,0.685902,117.003955017,22.0406,184.281290935,-0.961299,93.0372610551,0.869325,0.0626267946847
20.408,38,0.823268235278,1066.51502897,69.3167006708,0.809345,0.0163252,238.880880997,38,0.981561318017,1053.39405502,344.786278212,8.0148355878,0.822676,108.478328418,22.4851,1038.19679793,-1.10636,160.405741229,0.978675,0.0691765444299
20.9102,39,0.955163566747,299.710394004,118.410506019,0.823338,0.0164143,257.135764141,39,1.09091739338,224.766718043,387.007980763,27.826435872,0.954585,115.060442983,23.0288,155.672307876,-1.23806,49.4415779533,1.08859,0.0706599802348
21.3557,40,1.07813960771,360.45212796,98.8228967311,0.867094,0.017568,258.441633177,40,1.2028250355,177.412576656,479.572578006,107.418748447,1.07758,88.1834992263,23.5189,-5.3389592504,-1.36514,174.789716653,1.20103,0.074798594076
21.8255,41,1.20637321509,923.978446373,97.431976681,0.888706,0.022998,158.690832487,41,1.31703772628,326.056281073,285.047553,195.721168196,1.20558,95.9829084761,23.7793,29.9078304625,-1.51861,7.57443467935,1.31479,0.0841978128043
22.2709,42,1.35937634335,939.514125737,106.27765573,0.874953,0.0268346,154.74776888,42,1.46500073966,140.599917611,323.757915912,151.015223905,1.3588,70.3353025342,24.1286,-13.4394173924,-1.67071,7.93178188447,1.46286,0.0902406628049
22.7455,43,1.49080233548,295.020726533,128.426059618,0.908721,0.0360389,157.537394075,43,1.59594944548,128.464201258,328.037433665,89.0619035317,1.49,64.4054575154,24.6457,-16.1909497064,-1.81966,-4.1104600548,1.5936,0.100987625085
23.144,44,1.61677626511,796.33597752,301.67069986,0.849853,0.0324517,255.328332951,44,1.72451813873,187.67870039,752.607295565,173.739203964,1.61579,68.2225852075,25.1066,10.9911448784,-1.9379,-13.5046447984,1.7218,0.103292368529
23.6153,45,1.75014299216,648.908876639,89.9464742822,0.856071,0.0436774,102.931274334,45,1.86150859012,131.750654581,247.955296928,171.566219771,1.7494,47.5490609998,25.4927,-85.7307062881,-2.08014,7.10636443808,1.85919,0.115771525935
24.0287,46,1.8961922379,470.037960851,112.802235044,0.824141,0.043167,90.3841825554,46,2.00019226196,98.2284178108,322.336161033,131.894103603,1.89538,41.2469604683,25.8518,3.71592901617,-2.23461,-2.90811984087,1.99762,0.11900071004
24.4321,47,1.99881729982,375.744907892,122.402332917,0.818205,0.053791,288.17639665,47,2.09914471842,111.07807766,425.706082218,110.607502921,1.99796,64.1265132609,26.2034,-31.3909229769,-2.35467,72.2014986952,2.09618,0.126586776327
24.8063,48,2.16172198925,1058.15875696,57.1752253476,0.869189,0.0488255,192.162388672,48,2.24570898442,307.747466848,290.09517127,271.35816736,2.16096,96.8916814156,26.4964,41.9318531725,-2.52237,105.612444086,2.24281,0.124935173813
25.2417,49,2.30162900513,993.533265307,127.206198826,0.902332,0.0577369,180.161575097,49,2.38836174822,389.460925039,446.453252438,362.200731085,2.30066,85.4552115118,26.7256,17.3449167569,-2.64725,56.9484157336,2.38528,0.137525503105
25.6411,50,2.44044234014,282.044659052,110.242008638,0.881021,0.0660668,147.859841849,50,2.52670837939,61.0552324403,322.554792534,60.1275683748,2.4392,40.6695767116,26.9124,-21.6313216051,-2.81668,-3.67249939189,2.52462,0.142682741079
26.0924,51,2.60752303993,821.899036984,107.608596005,0.886813,0.0803458,117.472317565,51,2.684724535,202.333408144,323.224411857,80.8783685211,2.60663,106.054314226,27.2194,123.838249275,-2.99981,5.37203336902,2.68319,0.152493490378
26.4498,52,2.78297957481,916.295457597,92.2734840595,0.892412,0.0788414,122.150537883,52,2.85767613528,238.948104042,256.431374696,212.680664417,2.78189,89.0317820706,27.4245,14.7184643663,-3.16572,-14.852573393,2.85558,0.156098230005
26.8076,53,2.93001872798,919.848221113,77.3223230308,0.880089,0.0839084,104.484302272,53,2.99775901966,223.71794871,207.436465633,283.075384852,2.92846,69.2362625262,27.6339,-31.3121854577,-3.33058,9.75447887962,2.99557,0.163204419644
27.2319,54,3.12753963923,891.002268546,77.0262240934,0.88715,0.108476,94.1760960461,54,3.19458842145,208.919953014,282.423363128,162.452335538,3.12599,90.13832023,27.8241,-2.25940748061,-3.52852,5.23072443789,3.19228,0.1792229293
27.6052,55,3.27805416973,225.942064884,66.9701190893,0.90732,0.106715,82.0188564138,55,3.34112627481,172.435418902,169.99181571,25.479487537,3.27695,93.1580676715,28.0418,39.021889084,-3.72175,4.972378097,3.33905,0.182718183853
27.9699,56,3.48122675134,898.113742775,83.178125518,0.874091,0.126901,70.0428220247,56,3.53978819122,248.009502327,221.772846202,233.67128629,3.4793,80.0714510058,28.2753,72.5397472906,-3.94317,1.86896731704,3.53588,0.19459787817
28.3187,57,3.70904934629,258.754621175,89.7425541592,0.83832,0.127406,91.0671954575,57,3.76052673268,152.053192464,228.78868818,26.1945601497,3.70739,89.727512752,28.4478,124.865585187,-4.17969,3.01188963768,3.75745,0.199161180406
28.6431,58,3.87754531639,299.200176652,77.5752918117,0.844806,0.140285,67.5131456604,58,3.92404517069,166.465347627,260.070030801,40.8089772415,3.87614,96.2170440316,28.6357,117.38764703,-4.37328,-1.15436873087,3.92198,0.207645516218
28.9698,59,4.12229758517,448.360713995,75.0585016509,0.853652,0.145748,137.809213128,59,4.16185307836,352.514551917,276.219974498,118.952940632,4.12043,125.646331076,28.965,111.686189279,-4.6199,20.4609277784,4.15886,0.216311169938
29.2913,60,4.33541957616,960.475869658,70.3089575567,0.735621,0.157803,82.5719675543,60,4.36831238075,609.134547342,206.938216231,350.057163279,4.33387,72.9592477068,29.2978,43.996547636,-4.84066,1.88059631188,4.36495,0.221857665048
29.6372,61,4.52781650575,337.786973415,57.4952708107,0.863207,0.174905,87.4384223236,61,4.55852322404,187.846815635,172.0941388,38.2425043983,4.52613,104.953172637,29.5936,125.106375154,-5.06823,13.36594029,4.55561,0.230103005251
30.0172,62,4.75286840452,798.227276693,63.3645370848,0.878821,0.179588,73.0590189739,62,4.77972467598,249.279462542,203.180541405,110.973067013,4.75068,96.6281380996,29.9036,73.7283567315,-5.31506,1.88188649237,4.7773,0.23825186219
30.3879,63,5.00740109686,354.135786194,72.1247440751,0.89109,0.208095,79.7969454132,63,5.02976902602,176.07114816,217.537062703,73.3613504645,5.00514,93.3624444545,30.2244,-115.177890378,-5.57901,4.66283846047,5.02723,0.25150223827
30.713,64,5.26938803913,441.378300548,114.274252142,0.906454,0.218459,140.045355594,64,5.28919636195,66.752151169,349.643660572,125.807679307,5.2675,44.4847843325,30.6024,-225.449393782,-5.83452,12.7509668256,5.28787,0.261557763578
31.0929,65,5.44968458615,304.201223165,146.968054561,0.899125,0.219254,98.2354330965,65,5.47110761131,90.5332692414,374.928476726,111.9815471,5.44767,38.4178966613,30.9463,-84.0647029717,-5.99422,-11.2966665015,5.46953,0.261571487767
