AverageDiscountedReturn,AverageQLoss,AverageForwardProgress,StdReturn,AverageY,MinReturn,AverageAbsQ,MinEsReturn,AverageAbsQYDiff,AverageAbsY,AverageQ,MaxEsReturn,PolicyRegParamNorm,Epoch,MaxReturn,QFunRegParamNorm,MinForwardProgress,StdForwardProgress,AveragePolicySurr,MaxForwardProgress,AverageEsReturn,AverageReturn,StdEsReturn,AverageAction
2.65080575118,0.00192018,0.0227541988952,1.51794472986,0.0113931430013,-0.930625012715,0.0267422,-31.1882050724,0.0365999903877,0.0162665630604,-0.0236125,26.1608698645,16.0017,9,8.23953346866,14.8932,0.00412151960009,0.00716125134791,0.0140743,0.0485967972976,3.32759295598,2.95039824996,12.0379248304,0.986317
-2.0099367684,9.2713e-05,-0.00452068169753,1.64433761281,0.0101793671183,-7.36505723345,0.0266654,-6.7773148982,0.00426201820005,0.0270489528635,0.0101421,5.60353515983,16.7161,10,2.77145872393,15.191,-0.0289871571705,0.00776866101894,-0.0210694,0.0188421384024,-3.34657746381,-2.17778501866,2.29218897247,0.99205
-1.45454697572,0.000155231,-0.00236682911127,1.87925471474,0.0165501021288,-7.72814737461,0.0364005,-3.63647977982,0.00552719846152,0.0370626418966,0.016611,9.81337159984,16.8052,11,5.3085911173,15.6002,-0.0323287745431,0.00892250517722,-0.0300195,0.0304602704584,0.566004603596,-1.55789635641,2.91580510799,0.953869
-1.09198876657,0.000156262,0.00496393402534,3.88219439525,0.0249975335163,-9.88386231274,0.045001,-5.97853263385,0.00606710392577,0.0456534427797,0.0249769,8.02416508699,16.9038,12,9.552633606,15.9707,-0.0383390500833,0.0187305370743,-0.0311,0.0568685355975,-1.08016762113,-1.09890553419,2.80223113515,0.983409
-0.5912441909,0.000153476,0.00681045926809,4.03319052069,0.0285814400048,-10.4909415023,0.0488663,-4.78731995543,0.00620208168471,0.0494444499141,0.0285044,8.12296774557,17.3767,13,11.9256256124,16.323,-0.0418201023082,0.0198517094542,-0.0355415,0.0683240433049,-0.571155275654,-0.470854970816,3.36477944998,0.967816
5.6801825917,0.000183764,0.0423538577243,1.79843786123,0.0323783395545,0.582794291175,0.0510345,-5.76039660639,0.0071172902132,0.0514327361754,0.0319888,8.94898240965,17.4855,14,12.1529150617,16.6994,0.0147049269371,0.00863126599695,-0.0401957,0.0693434293516,0.676180757151,6.45380844746,3.9856923272,0.960029
2.41125390034,0.000135867,0.021632536381,1.50810863698,0.0389289658517,-2.33660044023,0.057635,-5.719859008,0.00675407175341,0.058368592659,0.0388826,4.36939531396,17.774,15,7.07391424045,17.0946,-0.00257327955856,0.00712073180705,-0.0509655,0.0423197788581,-1.19983270275,2.70979876684,2.22220385097,0.997011
2.3640324099,0.000172476,0.0213362468331,1.54999980579,0.0525193404045,-2.77684940019,0.0690779,-1.77579941098,0.00756116287633,0.0698552096954,0.0525501,7.28627849987,17.9148,16,7.52003251441,17.4507,-0.0042848782489,0.00734642775845,-0.0668397,0.0442825363093,2.77131443925,2.65911897646,1.75228512631,0.99991
5.7243590185,0.00028877,0.0429287976387,1.78275864881,0.0673869808152,2.16789410108,0.0817854,-5.06113794878,0.00937521286143,0.0828882505758,0.067228,10.3449338616,17.907,17,12.5431184395,17.9706,0.0220845413122,0.00848596814596,-0.0781829,0.0719436844885,4.33726450484,6.50974790799,3.75295609816,0.997975
5.65190348935,0.000223055,0.0425751932468,1.7802686397,0.0859283513144,0.811924568117,0.0993613,2.6199294234,0.00908814782339,0.100408471723,0.085967,9.92770106984,17.9638,18,11.2312107297,18.3593,0.0149851830445,0.00853726714851,-0.0991145,0.0656741964645,6.17004847321,6.42914641542,1.73489613024,0.999558
5.6888037857,0.000234285,0.0427882375564,1.85804901356,0.108920993397,1.3076083613,0.119333,3.95964764831,0.00919982061999,0.120351605256,0.108949,10.2841710281,17.9258,19,12.2157810621,18.7494,0.0181461442296,0.00889735249897,-0.124422,0.0701107260895,6.53670074472,6.47038195919,1.59944556404,0.999308
5.61525468971,0.000265491,0.0423783548792,1.76496197719,0.133876469336,0.985698590618,0.141424,2.28573492417,0.0098247968067,0.142211424754,0.133784,10.0426326762,17.9227,20,11.4296138718,19.1685,0.016514739593,0.00846865301941,-0.152461,0.0669632733593,6.55953740181,6.39060725387,1.69745812932,0.99844
4.18243294943,0.000384231,0.0347489916837,4.49080381035,0.16162969628,-17.2932211683,0.167348,-9.43491350077,0.0113763802843,0.168137807462,0.161302,9.77838557927,18.0611,21,12.8592530869,19.6227,-0.0713087267969,0.0213316108829,-0.191589,0.0732101753774,4.56051683161,4.80835030282,4.13947200591,0.977185
5.63447499053,0.000557695,0.0425650107743,1.77277813959,0.188201297023,-0.0601383010197,0.192835,-3.27721277324,0.0137070714078,0.193678770698,0.187797,10.6059580149,18.4358,22,11.7544620933,20.0962,0.0113642238506,0.00847446663439,-0.21622,0.0678284020731,5.6934470567,6.4128163328,2.49188070346,0.998855
5.67663010182,0.000503699,0.0428010976865,1.74457068945,0.221584363794,1.62545977743,0.225532,0.335647929351,0.013197079301,0.226178020119,0.221526,9.79174307699,18.6849,23,10.7310075142,20.5298,0.0198603142953,0.00840114605583,-0.248579,0.0632610012163,6.6266151564,6.46022723273,1.82405282423,0.999887
5.62771583122,0.000557892,0.0425617774161,1.76944856809,0.254331711121,-0.0777985984123,0.257754,1.4923458499,0.0135014143453,0.258450493223,0.254053,10.7314186721,18.8351,24,12.5195582544,20.9653,0.0114312784196,0.00845221419988,-0.284203,0.0722477843189,6.23286758881,6.40430408555,1.69988775116,0.999873
