AveragePolicySurr,AverageEsReturn,Epoch,AverageY,AverageAbsY,AverageDiscountedReturn,StdReturn,Iteration,AverageQLoss,MinEsReturn,AverageAbsQ,MinReturn,AverageAbsQYDiff,StdEsReturn,MaxReturn,PolicyRegParamNorm,AverageAction,AverageReturn,QFunRegParamNorm,MaxEsReturn,AverageQ
-49.3788,187.556821073,19,48.2137524459,48.2137899129,151.565363484,9.17221694976,19,17.9457,142.867819037,48.1683,166.154021129,2.59503374362,15.7268571926,207.620242149,22.4634,1.0,184.900038698,35.7636,213.899574596,48.1646
-52.2332,186.060596008,20,51.1398582319,51.139970633,150.834397935,8.59535948446,20,18.0408,43.4876608358,51.0966,165.818318858,2.63046311294,38.9245517481,208.042065495,22.4634,1.0,183.888329486,38.0449,249.964462627,51.0905
-54.6676,188.153380656,21,53.7056687405,53.7059805585,150.560607282,9.34102028935,21,19.1433,148.181820759,53.6759,162.698236966,2.7089497693,20.6647658147,208.512320969,22.4634,1.0,183.361673757,40.4459,220.362498711,53.6623
-56.8238,189.461229545,22,55.9454669269,55.9459047126,151.119881565,9.13680326845,22,18.4876,114.659935325,55.9106,166.001721709,2.74530935655,28.0880947195,207.670141765,22.4634,1.0,184.190692849,42.6421,242.449811053,55.8995
-58.8732,173.1687437,23,58.0804713455,58.0814480439,150.912351738,9.0463555531,23,19.4821,48.4902233195,58.0527,166.389097835,2.77481819171,35.5122366591,210.53356895,22.4634,1.0,183.904579336,45.0475,209.618536665,58.0431
-61.0515,199.035283846,24,60.2752348854,60.2764547674,151.521621302,9.49542639208,24,19.688,126.065679306,60.2538,161.344424884,2.8256967311,28.2796944723,211.785801957,22.4634,1.0,184.849267142,47.1892,247.574025628,60.2406
-63.2101,185.940569668,25,62.3962401501,62.3963491008,151.293972293,9.29028859545,25,20.0216,68.4779380413,62.3693,164.794027851,2.83533600312,32.3762600452,210.99263385,22.4634,1.0,184.526436276,49.2854,240.346018163,62.3606
-65.2889,187.032679436,26,64.3686636611,64.3688112882,151.876859097,8.88943822378,26,21.6211,139.158496403,64.3394,164.256788762,2.97492011431,27.1206919083,206.555984137,22.4634,1.0,185.349139135,51.6019,255.95570842,64.3313
-67.2808,176.183146764,27,66.1727968314,66.1728342985,151.569753597,9.45291700898,27,22.4599,79.4722569169,66.1475,163.161433518,3.00769779859,37.7511228246,208.024440737,22.4634,1.0,184.877184485,53.6559,218.879157555,66.1441
-70.0689,181.224790481,28,68.8393014694,68.8393389364,151.472162499,8.89674507379,28,23.0364,102.119447638,68.811,163.641720851,3.09773357059,28.920887593,206.180835014,22.4634,1.0,184.774821925,55.4795,231.144843043,68.8066
-71.9072,181.239175426,29,70.6539543519,70.6542085461,150.268110958,9.43036029318,29,24.0316,19.1346394883,70.6253,163.020797057,3.14716003971,41.2694715855,206.751903012,22.4634,1.0,182.964189115,57.4864,232.653336748,70.6234
-74.1776,182.623209859,30,72.8222180994,72.8222930334,151.184175645,8.74960556384,30,26.9196,80.2564832317,72.7942,168.632426689,3.27854452488,39.6646980209,210.715889912,22.4634,1.0,184.363352029,59.4894,264.660561319,72.7887
-76.3344,181.285717879,31,74.8575043146,74.8577821613,150.474389296,8.99361251858,31,25.4126,97.8256913644,74.8361,166.647071545,3.22359311081,29.678008272,209.111255004,22.4634,1.0,183.282678272,61.2624,222.288326109,74.8333
-78.174,183.156796593,32,76.5887542912,76.5892011383,151.061557566,9.10995073651,32,27.2553,62.9284809584,76.5485,164.576292277,3.41056677026,32.5329823447,207.415579976,22.4634,1.0,184.162187735,63.0995,239.760086912,76.545
-80.9201,182.021216887,33,79.2002501571,79.2002501571,150.729953592,9.33664430352,33,27.4489,43.5507149442,79.1748,164.198746581,3.37394415118,36.5834554654,209.931525894,22.4634,1.0,183.664706471,64.7815,246.727493708,79.1722
-82.1545,177.830660667,34,80.4200736058,80.4204394889,151.436835251,9.45088874845,34,29.828,81.0658611153,80.393,162.503560135,3.49694209325,38.0886838394,208.458603711,22.4634,1.0,184.720551752,66.6307,232.389268612,80.39
-84.6004,175.291369181,35,82.7765084565,82.7770312931,150.98234728,8.96274521665,35,33.2918,103.999778775,82.7512,165.422259862,3.66570614709,34.9181740681,203.795238228,22.4634,1.0,184.080128825,68.4474,246.406050083,82.7482
-86.7792,180.984046768,36,84.9399894217,84.9400643558,151.066196377,9.08104997339,36,29.3912,81.0989468224,84.9127,165.886354741,3.51332556931,29.9225111284,208.444543902,22.4634,1.0,184.12819316,70.145,226.366691279,84.9083
-88.2598,186.142107745,37,86.4223140549,86.4232765776,151.356278655,9.82314088887,37,32.7384,71.3720660333,86.3998,165.004132421,3.63637704153,33.9187400932,208.977418571,22.4634,1.0,184.586922057,71.7749,247.894634205,86.3911
-89.6579,185.575402508,38,87.7619434983,87.7625986203,151.451777533,9.14432449588,38,35.0414,101.713978098,87.741,166.243033502,3.78788899175,32.6189015748,211.233704285,22.4634,1.0,184.691121158,73.364,243.982780809,87.7358
-91.8521,180.952741149,39,89.9290775113,89.9291864672,151.144174329,9.84076327793,39,31.4699,84.0522149848,89.8987,160.186184792,3.66261027159,26.5307772516,211.374157947,22.4634,1.0,184.300908517,74.8049,224.101999652,89.8943
-92.768,176.359851185,40,90.8807487479,90.8808636621,152.054340159,9.69236650604,40,33.3134,57.3630321184,90.8636,165.484315047,3.72697798169,39.7779004556,208.130711144,22.4634,1.0,185.619804082,76.2291,226.794949291,90.8599
-93.1177,190.67005824,41,91.2681250918,91.2688576192,151.086736608,9.03228932643,41,34.9129,99.8671064392,91.2477,162.79315573,3.7702073934,31.6510364702,207.42020778,22.4634,1.0,184.214039232,77.8481,252.189142137,91.239
-94.4026,179.71562924,42,92.4913637511,92.491522358,151.11040249,9.05390317782,42,36.0489,86.467588464,92.4686,165.467338493,3.8773413129,30.2349309468,210.751352736,22.4634,1.0,184.207463325,79.4733,220.646477465,92.4599
-95.9632,181.360512208,43,93.9959243455,93.9964289965,151.350017776,9.48951652052,43,39.0731,96.8475930991,93.984,161.450878907,3.92278117459,25.9342728452,207.763637466,22.4634,1.0,184.637108677,80.9333,223.028373868,93.9762
-97.1801,168.909857102,44,95.2440485353,95.2452896681,151.380440037,9.01446575907,44,38.7801,9.69171858247,95.2185,167.173349699,3.95546676336,48.5383629262,210.931080366,22.4634,1.0,184.590914222,82.4182,239.082480785,95.2098
-97.4227,180.988221025,45,95.4587658732,95.4587658732,151.251297644,9.5459998068,45,35.8561,63.5951816559,95.4425,165.696096854,3.85482870469,35.8651144738,211.428235261,22.4634,1.0,184.52562979,83.8412,230.404044453,95.4313
-98.5263,179.338898315,46,96.5540977482,96.5547616833,151.518881684,9.20418659333,46,42.8721,107.820484148,96.5338,165.985089637,3.99724276602,28.7045124304,209.426234964,22.4634,1.0,184.80847509,85.319,232.879488559,96.5283
-99.3439,188.237616118,47,97.3904180924,97.3906711184,151.236567031,9.71719590891,47,44.2777,75.1664253657,97.3741,161.50852555,3.97716406535,46.6918591009,209.155312571,22.4634,1.0,184.349509132,86.6604,246.686524834,97.3673
-100.191,181.231615115,48,98.1861595763,98.1876187264,151.517766661,10.0536242745,48,35.83,103.106776606,98.1676,163.455589735,3.82159566869,26.2186345779,209.714227445,22.4634,1.0,184.853904774,87.9472,212.785846737,98.1626
-100.031,190.109392696,49,98.0373496472,98.0375511455,151.536755287,9.20575313523,49,39.7095,117.165466265,98.0248,164.177916442,3.88403736312,30.1930467326,211.385733347,22.4634,1.0,184.799753082,89.2624,232.801043245,98.0136
-100.785,184.191967113,50,98.76220572,98.7640306352,151.096526583,9.61739074471,50,37.457,126.880530416,98.749,162.514723557,3.91996830953,25.3874053634,209.559846833,22.4634,1.0,184.267826048,90.6052,225.448305419,98.7402
-101.204,181.686204783,51,99.1760193202,99.1768877185,150.915407773,9.40059426399,51,40.6633,104.945558642,99.157,166.210209339,3.96061625759,30.3230913569,207.321407965,22.4634,1.0,183.948525844,91.9763,234.199497275,99.1465
-101.744,183.520899116,52,99.7060795683,99.7063071265,151.243671717,9.31597128565,52,40.6672,53.867044234,99.6959,164.499914405,3.97178944073,41.2788559462,208.401059523,22.4634,1.0,184.413135324,93.2968,251.329423091,99.6886
-101.329,177.110390121,53,99.3387729297,99.3387729297,151.273571422,9.09417417664,53,39.518,100.739833851,99.3303,163.479428073,3.86732765911,26.5863309705,209.120101091,22.4634,1.0,184.479002958,94.4069,231.340833602,99.3214
-100.897,183.691551822,54,98.9077416469,98.9089535396,151.348178794,9.52507594263,54,41.0111,113.367246649,98.8843,163.519357682,3.91396583982,26.9907684106,212.603625233,22.4634,1.0,184.559223966,95.659,222.386497835,98.8783
-101.527,182.607299434,55,99.5223887076,99.5243317527,150.656319531,9.55260185491,55,37.3824,145.784973811,99.5072,164.03766896,3.89216354712,19.3639035728,207.592073301,22.4634,1.0,183.6394923,96.8817,216.832768557,99.4997
-101.595,181.989258411,56,99.5868548135,99.5904445679,151.841219966,9.28183316323,56,38.3237,75.6444910939,99.5699,165.021679841,3.88313090358,30.9901962369,209.87045755,22.4634,1.0,185.277097721,98.0119,222.8369593,99.5615
-102.035,186.014288452,57,99.9883155306,99.9887914158,151.48634075,10.1994889764,57,42.7749,82.4504076564,99.9691,161.757444291,3.93276672247,31.1291256829,210.303464109,22.4634,1.0,184.765843298,99.3172,230.753593341,99.9615
-101.162,184.382963672,58,99.161214774,99.1614988949,150.966761528,9.60959450157,58,37.1718,82.1397086757,99.1513,164.077424741,3.76979182341,30.926278992,208.239197016,22.4634,1.0,184.042730731,100.248,235.594057927,99.1448
-101.888,180.319455568,59,99.9406318228,99.9407231968,151.247807117,9.31901102323,59,38.9687,90.9266975872,99.918,162.865232477,3.81253161708,27.0039213722,209.477005359,22.4634,1.0,184.411759282,101.276,217.269978804,99.912
-101.359,191.728680496,60,99.5084271843,99.5086856432,151.364742007,9.95207983714,60,37.4319,69.9635987442,99.4941,162.781081728,3.72988689047,37.514301679,209.20792885,22.4634,1.0,184.635147402,102.395,271.05314112,99.4867
-100.956,186.315243082,61,99.1669465434,99.1676320583,150.973524978,9.86227094188,61,37.6433,68.2510627675,99.1437,162.096688638,3.73183344447,36.4657581793,209.553914053,22.4634,1.0,184.083671545,103.544,246.613607339,99.1367
-100.005,179.476477324,62,98.302064867,98.3030634344,150.687872283,9.23421309979,62,33.7519,24.1219580791,98.2962,162.438466299,3.59981313361,41.8099596423,207.801914366,22.4634,1.0,183.60416511,104.589,226.217571343,98.2887
-99.6922,190.191869349,63,98.0298461615,98.0310600037,151.787933056,7.96519238402,63,38.8009,149.92069792,98.0099,164.496200841,3.79675455381,28.1146294766,206.593741964,22.4634,1.0,185.122335286,105.677,271.517194246,98.0019
-99.5256,183.886232911,64,97.9563263142,97.9563263142,151.919948097,9.29154203874,64,38.8396,28.900101736,97.9426,165.250940042,3.67827343358,46.5456126765,210.122008574,22.4634,1.0,185.311706115,106.609,266.380025639,97.9384
-99.3173,178.489476778,65,97.7178868217,97.7179242887,150.989047977,9.80908014506,65,35.3633,85.1176719665,97.7037,163.158069573,3.60824269492,28.359916167,209.792946667,22.4634,1.0,184.082971647,107.6,220.133226929,97.7003
-99.4258,197.027137219,66,97.9139563308,97.9146624714,152.106703225,9.12944156951,66,31.1442,145.842718572,97.8975,162.579614917,3.48374513919,22.4369596662,210.022439402,22.4634,1.0,185.636783339,108.612,236.895882014,97.8929
-97.7392,180.277128897,67,96.3169744159,96.3176407498,151.278953739,8.91368665011,67,31.9371,86.187862381,96.3135,166.481485419,3.49409355447,30.8534548922,205.198618167,22.4634,1.0,184.472331663,109.795,236.144139307,96.3056
-97.5686,189.182876932,68,96.2200337632,96.2209751322,150.668788054,10.1303211398,68,35.5952,136.192632269,96.1989,162.370725563,3.49927491659,26.5318753946,214.292411221,22.4634,1.0,183.583212011,110.691,243.414409639,96.1926
-98.1496,181.786637274,69,96.8197916049,96.8208102632,151.565790629,9.55997736237,69,28.9384,90.9752146873,96.8021,163.585376737,3.38017171076,32.4327050018,213.354815314,22.4634,1.0,184.904791464,111.705,247.734106627,96.7981
-97.3684,179.411784399,70,96.0330681711,96.0335593378,151.326755188,9.79494145166,70,30.4123,43.0495006578,96.0235,162.223439082,3.43073917941,37.4729276796,206.847290617,22.4634,1.0,184.493729464,112.706,245.45398497,96.018
-96.7621,180.46659472,71,95.4308934629,95.4314853073,151.369316577,9.16739453725,71,31.8166,135.804174836,95.4196,166.645296703,3.44575112636,23.824712569,211.130113154,22.4634,1.0,184.623531394,113.714,230.18513949,95.4155
-97.1736,180.699792394,72,95.7785886808,95.7788740897,150.977252895,9.075376305,72,30.8288,101.945052069,95.7652,162.294690561,3.33147830136,26.7129092188,207.958826038,22.4634,1.0,184.03760328,114.656,228.19394235,95.7616
-96.0156,189.329845728,73,94.6224109441,94.6224484111,151.150552088,9.73337807797,73,28.6754,43.0689721575,94.61,162.18258212,3.22967888302,37.6405445801,209.08089703,22.4634,1.0,184.24323746,115.587,248.794081612,94.608
-96.6013,182.094740099,74,95.2822511723,95.2822890636,150.80255678,9.39272547306,74,30.4245,24.1354178109,95.266,161.379303191,3.30499543537,38.5524878749,206.512825729,22.4634,1.0,183.829202041,116.569,222.803653932,95.2606
-96.2032,181.842481851,75,94.9180507486,94.9184995339,151.746249979,9.33645937752,75,32.6594,92.9440480598,94.9059,161.71141213,3.32958468523,30.6037920726,205.118453254,22.4634,1.0,185.117335582,117.595,241.558288676,94.9018
-96.3645,183.934232119,76,95.164870859,95.1655280004,151.630419963,9.99233935605,76,27.6096,111.720726113,95.1568,161.876213224,3.17979213536,25.8129570836,210.93078119,22.4634,1.0,185.043841504,118.549,233.762824677,95.1496
-95.6508,186.484751306,77,94.4857904964,94.4869211937,151.426163394,9.93269014788,77,29.0352,99.8741914091,94.4729,162.004237254,3.27242880135,31.2721503101,207.00440558,22.4634,1.0,184.731512042,119.665,235.782588881,94.4671
-95.5914,183.00480623,78,94.4503679357,94.4517011619,150.810392324,9.33886266846,78,30.3699,76.2373038836,94.4388,164.834241914,3.20689131422,32.2930580734,203.793956911,22.4634,1.0,183.81132451,120.641,232.806690375,94.4346
-95.4715,193.042363015,79,94.2906100761,94.2924527449,150.658275966,9.17475421402,79,26.6446,147.045229506,94.2798,163.647166593,3.16171229202,21.3687489369,209.186879185,22.4634,1.0,183.562492512,121.666,234.646718862,94.2727
-95.3699,180.578489575,80,94.1627103243,94.1637306556,150.956594258,9.00157899441,80,26.7066,69.7256433432,94.1498,161.231756449,3.11853399379,36.142005912,204.985950469,22.4634,1.0,183.997386896,122.477,244.860926942,94.1456
-95.4734,174.23767501,81,94.3277966179,94.327834085,151.314993616,9.58872746279,81,27.1724,75.3346796479,94.3143,163.5438065,3.10677715164,38.1916212893,208.533729346,22.4634,1.0,184.544692941,123.468,233.271279041,94.3116
-94.6376,180.721562928,82,93.5081791726,93.5086340288,151.240008193,9.4367947526,82,29.791,116.611621984,93.499,163.148892529,3.22448928664,31.363006423,208.39449493,22.4634,1.0,184.38079506,124.526,252.560622739,93.4921
-94.8786,193.87682672,83,93.7342927654,93.7352329293,151.033126657,9.59526551999,83,26.6577,97.3261124595,93.7165,161.057133867,3.05010488617,28.4037523255,207.889523705,22.4634,1.0,184.1325804,125.306,233.358156198,93.7134
-94.2554,173.501597482,84,93.1385577131,93.1386154132,151.395442559,9.17036450856,84,27.9667,62.4856602263,93.1247,165.95413669,3.04120194629,35.6013903369,206.719284943,22.4634,1.0,184.62894106,126.326,221.4201275,93.1201
-94.4907,192.161796969,85,93.4059221795,93.4064136107,150.72926557,9.57269978652,85,23.0962,151.390533666,93.4091,162.189343416,2.91727669815,18.4393134693,208.23260431,22.4634,1.0,183.650048205,127.215,225.144473858,93.4005
-94.2192,189.603030981,86,93.1275117285,93.1279729738,151.579259762,9.82319170647,86,23.65,9.61681293554,93.1163,163.974621566,2.91936305842,44.3524827951,209.003269005,22.4634,1.0,184.927575411,128.255,247.228428349,93.1115
-94.6896,186.192815178,87,93.5918125571,93.59378126,151.058494622,9.63887707366,87,29.2855,102.643202966,93.5842,164.055727489,3.06130698947,35.2823766431,211.539749804,22.4634,1.0,184.19369576,129.207,255.087599855,93.5766
-94.7816,179.734374198,88,93.6448831889,93.6453978715,150.97839871,9.38228684474,88,22.8458,19.1512744807,93.6322,164.918542756,2.95721351105,44.5922063644,210.488100752,22.4634,1.0,184.019441066,130.128,270.056289508,93.6276
-94.1758,180.277009488,89,93.1467932562,93.1509681742,151.768128844,8.91517650279,89,28.4614,87.0139149099,93.1378,162.82255829,3.01901943508,32.4958921932,205.870456097,22.4634,1.0,185.254055022,131.179,278.06178736,93.1301
-94.8839,185.02874122,90,93.8595811814,93.8607808009,151.18991336,9.29565495217,90,25.7177,14.3489881768,93.8571,163.473533436,2.91862199485,51.6210500398,206.240286305,22.4634,1.0,184.348674419,132.156,254.841333237,93.8522
-94.0682,182.04331014,91,92.9898463739,92.9917922771,150.788478709,9.03205013,91,23.7494,48.1509222092,92.9815,163.332745348,2.93892977749,34.1388604362,205.776761597,22.4634,1.0,183.725065551,133.148,234.636248333,92.9724
-94.725,191.573928877,92,93.6459787699,93.6471382795,151.964543414,9.52483964408,92,24.0232,142.582540406,93.6325,161.73766612,2.88613499665,20.1071000365,209.57558634,22.4634,1.0,185.423710448,133.978,221.379508741,93.6296
-93.8976,188.438980659,93,92.8467529926,92.8472232413,151.66946207,8.93724527159,93,29.145,145.420344226,92.8358,166.773210386,2.96052808977,23.9541009386,213.369117728,22.4634,1.0,185.045143959,135.023,236.28461067,92.8311
-94.3001,192.05535067,94,93.267599632,93.2682407532,151.099138144,9.52499567867,94,28.1788,106.863695748,93.2589,167.241404047,2.95419248853,28.4501166526,209.511686437,22.4634,1.0,184.199121206,136.058,266.102874812,93.2546
-94.5505,194.782056894,95,93.5093407699,93.5096761409,151.590983911,9.30977084685,95,21.6998,120.031343294,93.4979,163.411368514,2.84075650426,33.7982531444,205.377704364,22.4634,1.0,184.970559225,137.079,251.914333804,93.4933
-94.4992,186.706243014,96,93.4994349778,93.4995052583,150.962900386,9.57811172751,96,21.2064,110.814770724,93.4882,162.570962018,2.82390999994,36.0520055636,208.126348263,22.4634,1.0,184.064568199,138.031,262.779684115,93.4856
-94.3596,175.243253058,97,93.3611661893,93.3612036564,151.855751455,9.16694053273,97,27.0354,50.4779078649,93.344,164.060186697,2.94461856339,48.0957301049,205.134194886,22.4634,1.0,185.284768221,139.086,260.105259881,93.341
-94.8672,183.223755818,98,93.8807739097,93.8815335438,151.043929958,9.10141120509,98,24.7643,91.8632320471,93.8728,162.972908432,2.90034912201,41.4221467918,208.553721551,22.4634,1.0,184.178230515,140.096,253.523953049,93.8681
-94.4648,177.800631007,99,93.4825102881,93.4826639084,151.683155131,9.21467941733,99,26.7786,67.5409069397,93.4674,165.727648311,2.97350592726,34.3242701097,207.92020332,22.4634,1.0,185.002839977,141.184,219.387754845,93.465
-94.0515,189.857658533,100,93.07795629,93.078583436,151.207707246,8.98435677799,100,28.825,143.524309588,93.0627,165.529022397,2.95267447158,19.6424250889,205.289401875,22.4634,1.0,184.367277319,142.046,228.868541422,93.0594
-94.17,186.004212544,101,93.2464044151,93.2480883534,151.260208659,9.18110603997,101,21.6483,45.4265907533,93.2408,160.480102668,2.79233998473,35.6972002281,208.316716733,22.4634,1.0,184.438538481,142.844,230.635110482,93.235
-93.2126,182.720422574,102,92.2688449017,92.2694242356,151.108728028,9.01274052776,102,28.001,43.2160262705,92.2594,161.968340087,2.8699695464,42.4094261201,208.313500411,22.4634,1.0,184.258566601,143.665,256.149843536,92.2542
-93.6044,170.377189047,103,92.7000636692,92.700498884,151.684730005,9.55824650771,103,28.6531,68.7996189888,92.6889,160.721840025,2.92914066383,31.8182837448,209.986195611,22.4634,1.0,185.032024949,144.622,213.459046792,92.6851
-94.0119,181.872159976,104,93.1283960763,93.1296511527,151.573009856,9.55047755029,104,23.5675,106.275719479,93.1181,166.397054316,2.77365540633,30.8148487522,209.967678787,22.4634,1.0,184.92250569,145.475,245.709135397,93.1143
-93.6194,186.371999924,105,92.718644236,92.718644236,150.913362474,9.51568589061,105,24.1884,33.7437981413,92.7063,164.610363338,2.75466931038,39.065830327,208.527666898,22.4634,1.0,183.909603566,146.283,241.981284814,92.7037
-93.9984,183.522346616,106,93.120028734,93.120028734,151.039913614,9.35462353751,106,22.9555,38.4382168446,93.1106,162.792614128,2.77373824039,43.4201972018,205.281876383,22.4634,1.0,184.125479731,147.072,235.637290107,93.1084
-93.1312,185.483533941,107,92.260431112,92.2609491052,151.05006474,9.36177779276,107,22.2625,126.81999327,92.2539,164.205907254,2.75899780788,26.1932071225,212.228372676,22.4634,1.0,184.128493694,148.153,244.478882399,92.2454
-93.8553,182.803207303,108,92.910950958,92.910950958,150.429531557,9.39074181587,108,26.4265,105.720770512,92.9075,165.11524821,2.79907363039,27.4388739697,214.618954688,22.4634,1.0,183.242226493,148.95,227.567494557,92.9016
-93.6025,175.341969982,109,92.7507373421,92.7511016107,151.254584314,9.63975373217,109,23.4095,72.1197567543,92.7363,167.117656397,2.77404696886,36.8452609801,209.878502937,22.4634,1.0,184.432266906,149.866,256.719786881,92.7314
-93.7453,183.568014603,110,92.8844538847,92.8845987894,150.718700569,9.48823639012,110,26.359,62.1277817016,92.883,161.712760786,2.81687873769,33.1461526942,208.335565117,22.4634,1.0,183.636831357,150.818,224.495191375,92.8773
-93.4255,191.371540137,111,92.5695988427,92.5714944816,150.370472356,9.38616304005,111,23.8373,80.7164112168,92.5667,166.427622271,2.7196765365,31.9282017291,206.803206278,22.4634,1.0,183.244245773,151.79,258.686378657,92.5613
-93.486,180.628761749,112,92.63880285,92.6392994397,151.584278891,9.22462711005,112,25.0089,84.1941772615,92.6286,163.838007629,2.77203165295,32.5258304648,210.841240192,22.4634,1.0,184.919376644,152.699,235.892779449,92.6233
-94.1272,182.191806521,113,93.2481382619,93.2482131959,151.660784992,9.52608717196,113,21.5029,9.80976934856,93.2404,162.020774417,2.69870043304,43.5368352408,212.327987049,22.4634,1.0,185.040543174,153.478,241.544359762,93.2375
-93.609,184.90764724,114,92.7525324462,92.7525699132,151.456321023,9.19577346717,114,26.6238,93.9481741796,92.7453,166.785299491,2.78249009002,33.2834712071,207.306976918,22.4634,1.0,184.709377159,154.453,243.274372639,92.7428
-93.8715,183.209967143,115,92.9941437497,92.9943397964,151.073882008,9.00733273932,115,22.0759,127.379694088,92.9793,161.770190128,2.67669331222,28.4759034912,206.640413728,22.4634,1.0,184.217067999,155.252,239.238014094,92.9772
-93.7578,183.178390625,116,92.9196604774,92.9207942433,151.047497064,9.07342539191,116,26.9284,9.66351692632,92.9022,164.433024072,2.76669818934,39.8700857046,210.814980355,22.4634,1.0,184.067633867,156.043,222.160170615,92.8984
-93.7455,175.646228694,117,92.866619882,92.867045343,150.533299645,8.89425424972,117,24.2003,78.7748926299,92.8633,164.170897731,2.71083845431,32.688233139,206.327884611,22.4634,1.0,183.350754551,156.878,221.748708564,92.8603
-93.1553,175.217515241,118,92.3275546969,92.3275679567,151.326409645,9.36685876477,118,23.9127,85.778859162,92.3151,163.434117113,2.68801256891,35.9879335654,208.591430057,22.4634,1.0,184.489317962,157.587,242.331334641,92.3126
-93.8768,172.225515012,119,93.0622503838,93.0622672933,151.269467012,9.30492711034,119,25.2438,78.2201486302,93.0571,166.610518257,2.74653034919,36.7683163515,206.070876317,22.4634,1.0,184.477206756,158.629,221.858782058,93.0528
-93.2673,178.814972277,120,92.482262639,92.4822648455,151.110266691,9.37435556753,120,24.2427,86.3843143472,92.476,164.623925886,2.70582670358,25.3176102856,208.065749805,22.4634,1.0,184.20973832,159.542,221.942698889,92.4682
-93.1962,187.241190938,121,92.4203758299,92.4207061204,151.769222457,9.24990288298,121,23.803,117.544824059,92.4154,166.222531109,2.66263665991,39.0778167297,207.051792371,22.4634,1.0,185.178900734,160.405,283.047159919,92.4095
-93.339,179.260784756,122,92.5837097197,92.5842357184,150.869379173,9.18343485817,122,22.2591,99.9475657743,92.5764,164.195047007,2.62260335919,30.2125495473,206.826826235,22.4634,1.0,183.907796358,161.224,230.485516887,92.5722
-92.6864,178.156536583,123,91.9489901235,91.950190873,150.946101955,9.69934317578,123,23.4877,69.2966759161,91.9369,163.041506106,2.64154464024,42.0831526209,210.465702764,22.4634,1.0,184.080748981,161.979,239.063108636,91.9332
-93.3928,202.768804906,124,92.6574338262,92.6581409841,150.952380885,9.07211192359,124,22.088,79.7419992515,92.6523,162.363552841,2.614563882,35.1663855708,205.669510441,22.4634,1.0,183.991756373,162.835,249.658344828,92.6445
-93.2096,180.805688702,125,92.4663574206,92.4663574206,151.770989123,8.89193016875,125,23.2487,79.9241868174,92.4589,167.572649541,2.71052156953,29.3447638762,210.09380312,22.4634,1.0,185.095858317,163.687,238.485334009,92.4562
-92.4042,195.710803327,126,91.684942755,91.6852702452,150.879620443,9.3148796898,126,27.363,141.340156985,91.6776,163.870486349,2.70955843285,20.870836556,209.352764184,22.4634,1.0,183.891755851,164.48,228.890447873,91.6734
