AveragePolicySurr,AverageEsReturn,Epoch,AverageY,AverageAbsY,AverageDiscountedReturn,StdReturn,Iteration,AverageQLoss,MinEsReturn,AverageAbsQ,MinReturn,AverageAbsQYDiff,StdEsReturn,MaxReturn,PolicyRegParamNorm,AverageAction,AverageReturn,QFunRegParamNorm,MaxEsReturn,AverageQ
-12.7186,104.429681953,9,62.3736899797,62.3736899797,54.827202659,1.15416283592,9,11136.8,61.0678950689,8.9664,56.8434997162,64.0052758075,40.3137837193,60.4225335121,16.6617,0.853302,58.2167409321,16.4048,242.28236398,-1.63159
-21.8267,64.1686521957,10,21.5671979268,21.5673103279,50.9782424926,1.47003454333,10,431.618,22.819249592,21.2101,49.0802245406,8.92157561279,6.81289328528,59.5553471625,17.3678,0.999992,54.0890460514,17.4276,77.8162982104,21.1575
-17.9733,81.1656120446,11,17.2107458436,17.2109331787,160.396014914,9.27983554221,11,47.9192,53.6228562049,17.1002,174.883308043,3.79558468513,46.2550715978,223.402637975,17.7366,0.999912,195.522453819,18.2852,253.099969273,17.0815
-22.2413,169.478057892,12,21.072604101,21.072641568,158.965448035,8.7725468552,12,19.2559,69.6059056558,20.985,172.015877575,2.68563069803,42.6846182526,212.660798591,17.94,0.999955,193.228980463,19.5162,249.535673389,20.9732
-26.683,190.646847476,13,25.2277868916,25.2279742267,149.36536076,10.0957814666,13,12.7519,105.89178818,25.1573,160.191451898,2.29769539525,35.0037907651,212.08092287,18.9813,0.99998,181.047660618,21.1535,241.946093865,25.1512
-31.218,185.508432049,14,29.5857996914,29.5858371584,155.891994637,9.22672946162,14,15.1618,73.4739007468,29.5183,169.840465868,2.4654594448,41.4964185726,213.092436669,19.7913,1.0,191.057368514,23.3368,273.316506855,29.5136
-35.4046,217.186080049,15,33.9425785826,33.9426909837,160.744098108,8.73219496374,15,16.4678,118.415287897,33.8893,176.611568234,2.5213980166,32.7785442193,217.015893072,21.4062,1.0,196.094670767,25.9169,266.135147938,33.8815
-39.1987,205.051565996,16,37.9223338,37.922371267,161.375277628,9.28304545498,16,16.1403,61.547055099,37.8779,175.605601645,2.47095274456,43.1800532868,223.169348468,22.4914,1.0,196.902540122,28.4216,274.397094366,37.8753
-42.9065,196.196322202,17,41.7231385467,41.7232509478,150.967847849,9.73455465243,17,18.0388,126.196233157,41.6654,161.931160655,2.58515899091,30.6101109475,212.671780925,22.4634,1.0,183.977710161,31.0706,258.704545126,41.6616
-46.4024,187.775024506,18,45.1744317824,45.1744317824,151.051827171,9.1949688262,18,18.2359,95.4910882377,45.1277,162.140967858,2.60649611475,34.1726904257,211.212048163,22.4634,1.0,184.110262806,33.556,241.715184135,45.125
