AveragePolicySurr,MaxForwardProgress,AverageAbsQ,AverageDiscountedReturn,StdForwardProgress,QFunRegParamNorm,MinReturn,PolicyRegParamNorm,AverageEsReturn,AverageQLoss,MinForwardProgress,StdReturn,MaxReturn,MaxEsReturn,Epoch,AverageAbsY,AverageAction,AverageReturn,AverageY,AverageQ,AverageAbsQYDiff,AverageForwardProgress,StdEsReturn,MinEsReturn
-2.14308,0.0905651282591,1.68298,14.0494219316,0.0222824046634,12.013,6.1557458305,15.7708,9.25110444637,2.87324,-0.0305694411164,4.16169827551,26.892068096,62.6995829226,9,0.112498016247,0.988583,15.1262707479,0.112498016247,1.68129,1.57434173197,0.0230667450199,6.59904911006,2.57597519294
-0.33542,0.0559676860324,0.261945,8.6020497385,0.0134567516987,12.0718,5.4113479645,15.8176,10.1194914672,0.119208,-0.0404348557831,1.13555249898,12.4508527969,36.177187386,10,0.277612477595,0.940784,8.93203533038,0.103944848594,0.145136,0.22352455874,0.011617859183,3.15343580801,4.19328677831
-0.417276,0.0645841960214,0.361937,8.96004129188,0.0166330183083,12.159,5.67973938123,15.9126,9.87706596586,0.0142648,-0.0438864791576,1.46637305981,14.6130137833,24.0361643397,11,0.367742500901,0.946016,9.34227361364,0.36016905883,0.360997,0.0775172269513,0.00509622748326,2.28415020479,5.68417399997
-0.497469,0.0815538815804,0.452619,24.7164526181,0.0562860304714,12.5318,9.73846746718,16.053,27.8942246062,0.00841894,-0.175622562756,9.32306511257,74.3697325217,71.4182084506,12,0.451746416913,0.989438,29.0326070076,0.451743029745,0.45252,0.0610748596974,0.000752465964711,16.2824977107,8.43017092934
-0.600561,0.00430367441888,0.530291,10.9092130482,0.023183338084,12.9963,6.07152733866,16.1545,11.3382155458,0.00869811,-0.14235131481,3.38569640883,24.1259250681,55.0178921115,13,0.530413301512,0.97378,11.6975834509,0.530413301512,0.530112,0.0612684981436,-0.0800104869369,9.22044686781,3.90498183152
-0.665842,0.0217829996452,0.599755,7.29543954303,0.0172331924102,13.6357,4.60229320771,16.2022,8.45603767036,0.0101149,-0.0877791937628,1.14604923977,12.4836967203,34.3635485392,14,0.599983848819,0.96759,7.56996385915,0.599983848819,0.599256,0.0639666618104,-0.0224247315375,3.40795205735,5.77191831592
-0.720554,0.0763849626084,0.663666,12.4963845413,0.0215531820771,14.3286,7.17690326837,16.2185,14.7230979992,0.0123359,-0.0489978983807,3.17527784388,24.2683182527,24.2492306733,15,0.663714405087,0.940086,13.3275035263,0.663714405087,0.662974,0.0690862846836,0.0108402398365,3.96208378619,7.11942108169
-0.749849,0.461382328048,0.714041,22.4826725269,0.136479440706,15.0155,9.73393903022,16.332,10.1435909975,0.0141863,-0.0718707707418,18.9601279882,75.9302837427,86.3632568293,16,0.713847982005,0.90189,26.2971395614,0.713847982005,0.713345,0.0742557051113,0.0892204773091,11.49680072,4.12388991865
-0.843283,0.563526088652,0.767408,52.239853428,0.0416943184305,15.6482,28.0315466247,16.5926,30.6281010944,0.0149416,0.0818953768331,4.09670469637,74.1104774595,74.0015743496,17,0.767163919123,0.931573,64.8922494088,0.767163919123,0.766677,0.0750299363809,0.473273169702,20.8025266782,9.0665431552
-0.962042,0.552215624285,0.855685,54.719476186,0.0224273144031,16.4323,62.2702267082,17.1546,49.9021654464,0.0182562,0.423881952196,2.59683634674,76.7298220899,75.2053840988,18,0.855199132311,0.765255,68.9692450852,0.855199132311,0.854951,0.081946908425,0.487165882936,22.0466621541,12.9010062343
