AverageEsReturn,AverageDiscountedReturn,MaxForwardProgress,AverageY,AverageQLoss,MaxReturn,AverageAbsQ,MinForwardProgress,AverageForwardProgress,AverageAction,PolicyRegParamNorm,MinReturn,Epoch,MinEsReturn,AveragePolicySurr,MaxEsReturn,StdReturn,AverageReturn,AverageAbsQYDiff,StdForwardProgress,StdEsReturn,QFunRegParamNorm,AverageQ,AverageAbsY
-2.59282866135,-16.0577353065,0.105554579718,0.000379020912794,8.25504e-05,-15.6429663201,0.00655508,-0.129951421399,0.00425307122902,0.865693,14.4281,-38.663861836,10,-29.7808093813,-0.00548487,3.58027874543,4.28171205396,-25.558395769,0.00373136686057,0.0435363196481,5.39761751974,10.4139,0.00105506,0.00502034926196
-30.3799230084,-23.9137467282,0.231936848111,3.59121969385e-05,9.49871e-06,-3.34314599068,0.00719531,-0.270215701449,-0.102095311167,0.879463,14.6553,-52.725686628,11,-38.9561834918,-0.00709481,-20.8083677593,9.05178636586,-36.1864536871,0.00148666971531,0.0923637416526,5.19315864511,10.6085,6.79557e-05,0.00730546210046
-20.3309015429,-15.4167949348,0.168639409897,0.00378616192216,7.58433e-06,-11.7721439694,0.0111695,-0.0422116374042,0.0472851134692,0.970563,14.7118,-32.7994283685,12,-34.0190486168,-0.00680097,-6.66356809703,4.72438408098,-23.8742068865,0.0013379248997,0.0474304513104,7.92771077012,10.8001,0.00380242,0.0113325043967
-35.916075564,-15.0947995667,0.132226596585,0.00225714621195,8.04378e-06,-12.7480315732,0.0113966,-0.115538444311,0.0107660729683,0.887272,14.8086,-37.7054079727,13,-53.3474542226,-0.00639525,-22.0101588068,5.22793291402,-25.1309576263,0.00139875602644,0.0524512388147,9.35826704232,11.1153,0.00226386,0.0115587711911
-25.1949397475,-13.7661406634,0.217620413834,0.00351693659108,9.13016e-06,-7.31144406616,0.0141296,-0.0789750952662,0.0510542098579,0.979285,15.2396,-36.8784548713,14,-46.5664114209,-0.00238263,-8.47335578927,6.33219023377,-23.9643677205,0.0014890841996,0.063391444641,10.3626227412,11.3225,0.00351984,0.0142895037942
-22.4037489769,-20.6144755245,0.100058975473,-0.000915560698849,8.2223e-06,-18.5827692109,0.0116537,-0.239071290715,-0.0735832142472,0.961541,15.5256,-52.567302444,15,-40.8217777621,-0.000112001,-12.2350030364,7.38332731704,-35.8663278796,0.00142629294356,0.0736074161194,8.1647017932,11.5144,-0.000917354,0.0117906149056
-25.5235567905,-16.6804433574,0.170490785371,-0.0025315941274,8.21537e-06,-12.4994789527,0.0123141,-0.172735622107,0.0204726151584,0.991928,15.6932,-46.7709159846,16,-40.9853598325,0.00223033,-14.692873315,7.08652925145,-27.4617814887,0.00137403810233,0.0710256729476,7.17818703218,11.7217,-0.00253033,0.0124298107542
-5.92738547499,-0.468107128545,0.400295217181,-0.00328389376644,8.5667e-06,10.6730003767,0.0124445,0.183889106624,0.292088264789,0.980997,15.9557,-11.2090267581,17,-39.9943446842,0.00233531,4.34466210634,3.93064582454,-0.251661111702,0.00140596919343,0.0383395670612,11.7992757241,11.945,-0.00328687,0.0125665073773
-19.22108894,-17.1417781257,0.091962814678,-0.0030280763514,1.00667e-05,-20.3700999743,0.013296,-0.0869197630828,0.0107490070939,0.995768,15.9823,-38.1951276139,18,-37.4558938004,0.00138806,2.85547013625,3.62906883704,-28.4604464096,0.00153359741943,0.0364784837056,12.2653654201,12.1249,-0.00303185,0.0134417074771
-22.0695674506,-17.563283107,0.0750625325285,-0.0023831417193,1.00191e-05,-22.0754179783,0.0133703,-0.0900012068881,0.0072135591733,0.997845,16.128,-38.5531763585,19,-29.232550866,0.000698619,4.45180326897,3.2245423207,-28.8657921032,0.00153224269356,0.0325505352886,10.2851434184,12.2978,-0.00238002,0.0135239224348
-10.2417896537,-11.713180122,0.324013681172,-0.00179900153856,1.0782e-05,3.54095309224,0.0139154,-0.0582924110483,0.0931262739462,0.954947,16.2745,-33.7584895883,20,-29.4922988208,0.00096746,0.871083349774,6.55468187081,-18.9777456274,0.00162597653841,0.0680190045871,8.99584006319,12.4342,-0.00180163,0.0141032120944
