AverageEsReturn,MaxEsReturn,AveragePolicySurr,AverageAbsQYDiff,MinReturn,MaxReturn,MinEsReturn,AverageReturn,StdReturn,AverageDiscountedReturn,AverageAction,AverageQ,AverageY,Iteration,AverageAbsQ,StdEsReturn,PolicyRegParamNorm,AverageQLoss,QFunRegParamNorm,Epoch,AverageAbsY
-178.681056754,-106.764585556,-1.02355,1.44069520923,98.4981680888,137.002042875,-285.263108121,117.08343773,12.2938006355,6.19524720176,0.222856,0.627378,1.9229815452,9,0.69231,50.8445341048,11.7797,2.85506,11.5827,9,1.9229815452
-289.092548358,-289.092548358,-1.44445,0.329319421943,-598.611507286,-595.858165686,-289.092548358,-597.187301323,0.911536628186,-62.0241040333,0.9909,0.913621,0.92921967762,10,0.913781,0.0,12.5341,0.230176,11.8472,10,0.929248986649
-281.220518278,-281.220518278,-1.03378,0.144734185713,-287.021541528,-261.237024282,-281.220518278,-268.524856929,6.95262817629,-33.9252283211,0.999069,0.791403,0.795009432761,11,0.791403,0.0,13.419,0.0353263,11.8552,11,0.795088917742
-269.153927559,-269.153927559,-1.18776,0.116247053806,-399.861722205,-352.971837455,-269.153927559,-378.280740312,16.2400313356,-36.0380974977,0.973225,0.880885,0.883673040372,12,0.880885,0.0,14.8209,0.0225786,11.8301,12,0.883744602633
-254.473245186,-254.473245186,-1.46904,0.105133007528,-594.45202699,-586.645762664,-254.473245186,-589.626625251,2.00370488427,-53.1270065226,0.99624,1.10634,1.10894303748,13,1.10634,0.0,15.0009,0.0190557,11.915,13,1.10902438004
-475.864507772,-475.864507772,-1.42586,0.0778130320747,-770.526107396,-380.129674941,-475.864507772,-693.750472594,124.276052845,-38.3708780868,0.96033,1.26344,1.26471093279,14,1.26344,0.0,15.6617,0.0106778,11.9339,14,1.26474648588
-362.408940223,-362.408940223,-1.45601,0.0741344009438,-573.839183678,-427.755119413,-362.408940223,-535.641055863,44.5835439572,-38.8404433221,0.993221,1.32875,1.32973204438,15,1.32875,0.0,16.4046,0.0106606,12.0489,15,1.32980907267
-373.66451129,-373.66451129,-1.42771,0.0671649868401,-598.419501772,-570.868051475,-373.66451129,-587.796636676,8.15533291324,-54.8255439175,0.989666,1.35581,1.35665486931,16,1.35581,0.0,16.9854,0.00896199,12.1771,16,1.35672529012
-351.978374225,-351.978374225,-1.3922,0.0595776172287,-591.864339664,-441.982192499,-351.978374225,-517.987902548,47.3507893452,-33.365636304,0.994762,1.35273,1.35321962071,17,1.35273,0.0,17.307,0.00724702,12.3675,17,1.35328595364
-237.83833701,-237.83833701,-1.38234,0.0559909599572,-883.98617472,-515.640062784,-237.83833701,-666.485745174,105.775250486,-58.0923261246,0.985224,1.33388,1.33415619011,18,1.33388,0.0,17.7201,0.00684005,12.653,18,1.33423981543
-374.068506652,-374.068506652,-1.39077,0.0575828560724,-1203.52245817,-724.3375851,-374.068506652,-880.553561581,159.160219221,-107.902235177,0.951928,1.34247,1.34303429472,19,1.34247,0.0,18.0489,0.00764763,13.0681,19,1.34312056214
-268.652231979,-268.652231979,-1.41377,0.0572972261402,-747.022586334,-432.534310708,-268.652231979,-574.913799677,88.139041054,-42.7513811996,0.889619,1.34669,1.34713474463,20,1.34669,0.0,18.277,0.00744965,13.5222,20,1.34721469589
-335.111782326,-335.111782326,-1.43517,0.0564719271745,-282.29110825,-83.0363313157,-335.111782326,-162.667458732,55.9212682685,-13.2728067377,0.926407,1.36368,1.36405773847,21,1.36368,0.0,18.8442,0.00718813,14.011,21,1.36411255539
