AverageDiscountedReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsY,StdReturn,MinReturn,MaxReturn,PolicyRegParamNorm,AverageEsReturn,AverageQ,AverageReturn,AverageQLoss,AverageY,Epoch,StdEsReturn,MinEsReturn,AverageAction,MaxEsReturn,AverageAbsQ,Iteration,AveragePolicySurr
15.1773299469,0.40437284522,19.1278,0.224161417363,0.137571989835,16.1142844796,16.7351392356,19.2554,20.8133718276,-0.171615,16.4225481267,0.3162,0.137019457702,9,21.90753945,-0.839944370485,0.207081,111.539062021,0.208605,9,-0.392956
3.52900188065,0.038023540584,19.2535,0.147242969155,0.114631530452,3.27428453803,3.89114404413,20.96,6.868271919,0.137119,3.58305475048,0.0045503,0.137271678411,10,4.29184883217,3.62802722376,0.999921,40.5299453209,0.150367,10,-0.174705
3.52901998257,0.0225540062175,19.4283,0.212965490315,0.112925453674,3.29994554647,3.90847540251,22.3323,4.18203523582,0.209972,3.58305681667,0.00127802,0.210368514077,11,0.884029246054,2.98087343553,1.0,12.8353187568,0.212718,11,-0.219238
34.5062868832,0.0244270311025,19.758,0.294142073022,0.956237296302,36.7341530231,41.8098128227,24.1487,8.60538671287,0.289271,38.8335216579,0.00172224,0.289655705567,12,10.3732646149,0.991547951821,1.0,65.4628029437,0.294207,12,-0.301907
34.5177878882,0.0323689223865,20.443,0.416913601747,0.946020767876,36.6067777011,40.6574658218,24.149,43.1348740705,0.41056,38.8472377363,0.0033746,0.411072234459,13,10.0596625164,27.1717362788,1.0,95.5417536178,0.416491,13,-0.466761
34.4694440834,0.0360506703602,21.2542,0.568625059437,0.976691962581,36.620610545,40.8851753931,24.1493,40.4162872892,0.563206,38.7864079024,0.00456525,0.563778425981,14,5.51709980359,8.70216311788,1.0,51.7926677101,0.567983,14,-0.635117
34.4963361996,0.0414434375449,22.227,0.715952953857,0.9255772107,36.7435769528,40.6709215175,24.1499,41.3652857012,0.711821,38.8187040641,0.00594381,0.712302141045,15,7.79192962059,3.08631689061,1.0,66.6152647646,0.71546,15,-0.790331
34.4678229286,0.040133011281,23.0969,0.850829130044,0.93187213289,36.682233573,40.7848205692,24.1509,41.2530527671,0.84731,38.7833250899,0.00516113,0.847736882131,16,5.77104182725,15.1995517113,1.0,59.9691568362,0.850491,16,-0.935015
34.4922676998,0.0409200497284,24.0207,0.997100867397,0.938598954081,36.7067211513,40.7981021785,24.1525,41.0525844725,0.994271,38.8140643891,0.0052484,0.994556150826,17,6.92757410682,6.40452751176,1.0,63.3262617634,0.996932,17,-1.09401
34.4466865995,0.0456965351156,25.0985,1.14139571197,0.949535190841,36.6389617984,40.6940028009,24.1543,42.3565775562,1.13869,38.7558638696,0.00649759,1.13928902037,18,10.1912798371,5.22502111542,1.0,84.6535884666,1.14091,18,-1.24319
34.395245179,0.047567723643,26.1148,1.28518547597,0.916111117787,36.5849661658,40.5904019069,24.1572,42.0907159614,1.28321,38.6924897036,0.00669888,1.28368996479,19,5.04504744164,35.6525828949,1.0,57.7439215456,1.28498,19,-1.39106
34.5324264845,0.0498846176678,27.0699,1.41968235123,0.872774726946,36.6934499704,40.5962402208,24.1598,41.3697155369,1.41765,38.8669100363,0.00765198,1.41818217766,20,4.21485697041,34.3676236833,1.0,60.2258550929,1.41947,20,-1.52844
34.459304814,0.0547062295539,28.0747,1.56369537179,0.910983842369,36.7435143288,41.7812298497,24.1602,41.658632975,1.56213,38.7701244839,0.00899021,1.5625539609,21,6.39482469127,24.5227457135,1.0,66.2650164878,1.56366,21,-1.68255
34.4935251416,0.0623529217853,29.122,1.68854097734,0.908392437908,36.5926586324,40.7885653485,24.1605,41.0752930878,1.68685,38.8163970143,0.011774,1.68742312151,22,8.23021446735,3.15259674702,1.0,66.2618402224,1.68845,22,-1.80176
34.5447049219,0.0627718689168,30.1241,1.79607519483,0.922239251534,36.5993033117,40.7326881008,24.1609,39.9331492904,1.7946,38.8817167041,0.0118349,1.79507022156,23,6.21318919789,7.50286748544,1.0,52.3138517467,1.79609,23,-1.90634
34.4809417188,0.0644737086927,31.0152,1.90112600338,0.969748905434,36.5410984842,41.8456174226,24.1612,40.6568643516,1.89969,38.8027860983,0.0131047,1.90011325156,24,7.12015736619,4.12768042006,1.0,61.3145127306,1.90135,24,-2.00123
34.4435326364,0.0682313729309,31.9559,1.98298103652,0.928297251994,36.6251691392,40.7691689978,24.1616,41.6228654675,1.98167,38.7544744654,0.0142169,1.98204257268,25,6.96267810714,24.2703795078,1.0,68.6966593293,1.98317,25,-2.07259
34.429549548,0.0724644682516,32.796,2.04044254187,0.918713161558,36.7050865079,40.6217193403,24.1619,41.4749378064,2.03884,38.733924039,0.0171436,2.0394572747,26,8.72104614331,9.6409415168,1.0,64.4741544328,2.04031,26,-2.12316
34.5002156429,0.0698423147234,33.6244,2.10413157809,0.930701651452,36.6429595757,41.8349549229,24.1623,41.5912670522,2.10292,38.8232219593,0.0151358,2.10321919566,27,4.89801262504,22.7450918977,1.0,54.4120998097,2.10441,27,-2.18013
34.4882276006,0.0686091919437,34.4496,2.15217951423,0.89303155897,36.5261532801,40.7194238598,24.1627,40.5767664692,2.15076,38.8091442411,0.0155735,2.15124934496,28,6.31122835528,6.29751168746,1.0,52.6994465418,2.15223,28,-2.22206
34.4374706831,0.0707054616009,35.2327,2.18346049155,0.920892043765,36.6112761924,40.8417212161,24.163,43.8764974131,2.18219,38.7468129247,0.0166335,2.18246635302,29,7.67713767979,36.1417370732,1.0,74.1367961418,2.18382,29,-2.25234
34.4648957836,0.0689285073116,35.9121,2.21084564597,0.920463776975,36.7492215686,40.7465861404,24.163,42.6664802344,2.20956,38.7794691636,0.0150369,2.21005278367,30,4.68780504826,37.200403382,1.0,58.1184382403,2.21074,30,-2.27172
34.507882405,0.0695218282831,36.4827,2.24961750503,0.915279518988,36.7062897055,40.7875818406,24.1631,40.8702302596,2.24849,38.834199289,0.0151859,2.2489778059,31,5.99301965691,11.3817807775,1.0,55.3169718364,2.24976,31,-2.29756
34.5418660796,0.0709113447453,37.0408,2.23365697516,0.916721154473,36.7022780135,40.7814821729,24.163,41.5454566822,2.2329,38.8789022889,0.0167623,2.23306670786,32,4.06628318083,26.7996714842,1.0,55.2785195978,2.23423,32,-2.27885
34.4516222612,0.0724127201075,37.5856,2.23050941709,0.88265279073,36.6450329752,40.6758237259,24.1627,40.6918744609,2.22934,38.7633877269,0.0181853,2.22987924968,33,4.61620093986,32.9749180065,1.0,66.1914041374,2.23036,33,-2.27021
34.4908594924,0.0676055592208,38.0452,2.23687149703,0.945232119754,36.6615282575,41.8989243064,24.1629,42.0262024668,2.23595,38.8120837086,0.0143556,2.23627320561,34,7.95780457443,34.8522984126,1.0,79.0633995966,2.23722,34,-2.27897
34.4865281425,0.0682149208463,38.5541,2.22091964527,0.933833896884,36.7306812694,40.7808033946,24.1627,42.3225467493,2.21995,38.8054453012,0.0145807,2.22032812055,35,9.22040638542,9.83909689059,1.0,74.0205298083,2.22122,35,-2.25666
34.3972414978,0.0664826212006,39.0131,2.22256794862,0.936865313362,36.7229021596,42.022067617,24.1629,41.9127666423,2.22169,38.6931180171,0.0155968,2.22195960461,36,5.78155666204,35.7466260752,1.0,68.8015233361,2.22289,36,-2.25848
34.4323292278,0.0638647219742,39.447,2.21525544995,0.970551750003,36.736119202,40.6372341984,24.1629,42.3185550557,2.21429,38.7395766749,0.0140299,2.21464582141,37,9.68629736174,11.2836875333,1.0,76.4277533483,2.21543,37,-2.25327
34.4100744359,0.0630542129493,39.8723,2.20513469642,0.994700709264,36.7312783111,40.7588880829,24.1629,42.597189711,2.20426,38.7096672258,0.0138917,2.20450100018,38,9.4914185762,3.02134081741,1.0,66.9705594644,2.20541,38,-2.2462
34.4294224327,0.0604867565868,40.2946,2.19699650042,0.95169723734,36.6109227167,40.8015168985,24.1627,42.1677555109,2.19622,38.7345724713,0.0131716,2.19636247451,39,7.20097750485,6.35986788232,1.0,57.8941758291,2.19734,39,-2.22881
34.4448597831,0.0582889559568,40.6973,2.18862481699,0.854948241013,36.6940810482,40.5944394745,24.1625,42.9333103256,2.18772,38.7529090859,0.0127907,2.18802823752,40,4.83487153065,36.6797756718,1.0,56.6472097533,2.18877,40,-2.22169
34.4812364198,0.0564751079184,41.094,2.18527543801,0.914206381007,36.718317339,40.7658165711,24.1611,40.8655193082,2.18443,38.8010485406,0.0130485,2.18459526349,41,2.78969923099,36.0568728273,1.0,51.2170664299,2.18559,41,-2.22153
53.3943077674,0.0577531182853,41.5157,2.19818475552,1.03290361631,93.157782119,98.4865818055,27.791,64.8734430185,2.19727,95.8400317742,0.0131037,2.19760970558,42,56.7310809448,8.48761757111,0.436971,214.185916085,2.19831,42,-2.37221
