AverageAbsQYDiff,PolicyRegParamNorm,AverageY,QFunRegParamNorm,AverageReturn,AverageDiscountedReturn,MinReturn,AverageQ,MinEsReturn,AverageAbsQ,StdEsReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageAction,AverageEsReturn,MaxReturn,AverageAbsY,Epoch,StdReturn,AverageQLoss
0.875925960376,11.2295,0.731845487499,11.1297,9.18831018143,8.76646828352,9.07398595694,-0.14408,2.13602819438,0.206206,6.9050582938,60.6024748132,-0.0520567,9,0.222224,9.81126702683,9.32909226691,0.731845487499,9,0.045617629529,1.04714
0.0961083497107,11.6506,0.432844796882,11.3161,3.08590250672,3.03671565623,3.05024211811,0.429467,2.90567942861,0.430468,2.50885014386,33.1799241687,-0.53439,10,0.999983,3.88280666425,3.12048570697,0.433726936045,10,0.0176738310704,0.0330874
0.0399006257885,11.6857,0.397891274774,11.4297,3.0857324321,3.03655055598,3.04867540981,0.397605,2.26697931711,0.400648,0.678572094017,7.42463147522,-0.428577,11,0.999993,3.63682069352,3.12249480872,0.398637640982,11,0.0174095363544,0.0045267
0.0258376183016,11.6982,0.395162470606,11.5008,3.08570677513,3.03652864295,3.049689286,0.395105,2.94095573128,0.398187,0.995936455789,9.63712624306,-0.388095,12,0.999982,3.85763537729,3.12315754151,0.396084334198,12,0.0175494517745,0.00160347
0.0221224117469,12.0662,0.396698572555,11.5936,5.83563378002,5.67688238644,5.69440201527,0.396677,2.55931217235,0.40011,2.01259306852,16.5004031137,-0.429212,13,0.999999,6.22570001114,6.01305209699,0.398577700946,13,0.0610554809745,0.00112477
0.0263303768044,12.8602,0.460516878265,11.7524,38.7480857669,34.4406004689,36.6925493167,0.460355,4.43139301911,0.464118,14.8862857353,48.2365682242,-0.554008,14,0.997777,32.3971859164,40.7535192506,0.462889613723,14,0.919150569704,0.00239705
0.0329885984148,13.3297,0.609991218855,12.1773,52.5896867586,45.0955103969,49.378790736,0.609667,36.1556255262,0.61286,11.3001099262,90.1656647546,-0.727349,15,0.957795,50.255581392,55.7734147345,0.611772936278,15,1.42193291143,0.00454278
0.0379623179703,14.2198,0.762904499049,12.7159,128.740885803,89.3405619861,113.3282459,0.762612,41.911281708,0.765423,32.4909571561,165.736771974,-0.894174,16,0.900576,86.8030613716,148.581817715,0.764351558189,16,11.1084003387,0.00586979
0.0387218413001,15.0299,0.913107863146,13.2779,111.235887511,80.9895348664,106.845958194,0.91272,9.93993646381,0.915032,37.8836413652,164.248614196,-1.06413,17,0.913682,100.559623707,140.244235083,0.914308402583,17,4.66197393847,0.00606724
0.0451658943991,15.8377,1.07500019145,13.8795,158.176731833,101.704946504,144.603749425,1.07466,39.6013152861,1.07667,41.7427784613,172.795174875,-1.24907,18,0.938348,103.587236979,173.35069688,1.07586769439,18,7.12354861168,0.00857932
0.049427000143,16.7054,1.23075550193,14.4229,90.3361707461,69.980318556,82.2409971342,1.2303,39.5900446611,1.23231,34.3585536878,163.273540492,-1.4062,19,0.860088,104.648714171,97.1021280964,1.23152051988,19,3.76963592774,0.0097899
0.0513171081856,17.8008,1.39680906907,15.0079,81.0478387835,64.4380481993,79.3733862545,1.39638,34.338986985,1.39818,30.0758229276,148.45216474,-1.58466,20,0.761873,73.464375382,83.4062476477,1.39739522613,20,0.875206573932,0.0117752
0.0546687441049,18.5659,1.55505675055,15.5336,127.929697974,90.4617669498,120.993547235,1.55464,38.1880668284,1.55646,37.6930556351,165.005815111,-1.75556,21,0.746243,97.9646407965,159.93537734,1.55554905541,21,5.97837739436,0.0132282
0.0616896044208,19.2282,1.71208516158,16.066,173.210633281,111.703436444,170.083485655,1.71135,63.5754023473,1.71332,36.5617005187,187.732006558,-1.90583,22,0.69045,159.308019715,176.134199295,1.71262414253,22,1.28348045095,0.0170036
0.0621330403028,19.9535,1.85968514904,16.5523,186.057277228,117.047884311,182.416558899,1.85931,18.0256463012,1.86107,58.3902640274,203.880680828,-2.06248,23,0.724774,132.308560878,189.259881345,1.8601570619,23,1.6374628928,0.0181614
