StdEsReturn,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageAbsQYDiff,AverageY,AverageAbsY,AverageEsReturn,MinReturn,MinEsReturn,AverageAction,AverageReturn,StdReturn,MaxEsReturn,AverageQ,Epoch,AverageQLoss,PolicyRegParamNorm,Iteration,AverageDiscountedReturn,MaxReturn
10.7066150068,0.340248,42.6437,-0.348412,0.0324214068589,0.333288535608,0.336774661791,87.4846283895,-8.46913124547,73.4795467123,0.0888221,9.78005773895,38.5020727537,99.4712110385,0.332943,28,0.0373864,35.189,28,-0.823853341365,91.590530735
38.1677474719,0.374271,44.1322,-0.390156,0.0177903062461,0.369849634183,0.373043052271,71.7894859501,-0.0433900065783,-4.50169093785,0.00016359,-0.0163426448884,0.0155486331395,92.7108300032,0.369713,29,0.0115958,35.4758,29,-0.0006494000286,-0.00224422622734
39.3999741068,0.410519,45.4187,-0.427389,0.024777917009,0.406391847355,0.408850420633,67.6623435141,-0.0896685967673,-0.50062683075,0.00072555,-0.0724824735622,0.0109812142611,92.4112460577,0.406331,30,0.0173189,35.9413,30,-0.00616083943566,-0.0594528556731
42.8142401365,0.449982,46.383,-0.470835,0.0258045300229,0.44668746244,0.448785658141,63.8324063648,-0.87402803958,-10.069182505,0.00848156,-0.847308140786,0.013389211107,93.7005198478,0.446657,31,0.0173241,36.3274,31,-0.0834378531676,-0.835853723388
45.4901607195,0.489926,46.995,-0.515024,0.0217627273858,0.486689111513,0.48860317263,42.4926392711,-2.43335827255,-2.99752144839,0.0242862,-2.4261880699,0.0060690429351,87.9827999907,0.486386,32,0.0106441,36.4895,32,-0.242919004445,-2.41317856064
49.8508066194,0.507114,47.8004,-0.532995,0.0258785639642,0.504269416599,0.50630118221,52.6716794329,-0.224251144238,-17.4534988071,0.00755507,17.4386742861,37.2315344655,94.0190846607,0.504387,33,0.0234337,36.9257,33,-0.00612581703133,96.6521880862
41.8397375493,0.561493,48.6234,-0.58879,0.024813112746,0.557609519092,0.560350866516,71.0171176823,-0.250816307467,-12.5113585768,0.00202159,-0.201956794222,0.0206451707901,94.5218412623,0.55748,34,0.01633,37.3783,34,-0.0190227649357,-0.186220379655
39.5926900003,0.58891,49.292,-0.624315,0.0281506431598,0.584870979512,0.588026461914,71.7980283563,-3.4867722732,-7.28916074405,0.0348604,-3.48255851206,0.0019148694883,93.7887024315,0.584645,35,0.0305025,37.9128,35,-0.349515016753,-3.48097647853
39.7945053358,0.637705,49.8287,-0.672479,0.0367453113452,0.631737107104,0.635404985154,66.4748002807,57.3144052185,-2.33658793825,0.623247,85.9838755247,6.31892361022,91.8881240896,0.632157,36,0.0378046,38.3915,36,12.1874882122,90.955276964
4.41545569265,0.689738,50.5598,-0.726364,0.0312713613986,0.682627220208,0.687335514876,92.4388099976,-0.262172438122,86.2519080759,0.0103559,17.1910391149,36.8552967443,99.4406483739,0.682306,37,0.0287573,38.6107,37,-0.00950973732752,95.5854477749
41.0849360795,0.742035,51.2444,-0.786811,0.0280864728786,0.734576052847,0.739951254035,66.7607177171,-14.5837806263,-4.23303326564,0.145786,-14.5640425387,0.0157198321866,93.3522021281,0.734761,38,0.0267558,39.2331,38,-1.45291503212,-14.5407301467
38.470093097,0.807826,51.9568,-0.855406,0.0259362990181,0.800650802986,0.806448770871,74.5386302919,-10.6185462683,-11.4431165613,0.188003,89.2159583236,19.3617657872,94.1072420502,0.800577,39,0.0153328,39.6887,39,6.02839510753,95.4048599119
6.13252870987,0.851368,52.7938,-0.904532,0.0287946562774,0.84350929223,0.849616548568,91.5222379703,-3.99002150962,83.1922807228,0.0628703,74.0631797602,39.5308514705,99.8844800751,0.843403,40,0.024989,40.3132,40,0.265279980467,95.6195822272
3.29852005704,0.93825,53.9051,-0.998393,0.0280964532408,0.930852367893,0.93660467761,93.5778243624,-7.32600138638,88.697384805,0.186316,91.0583855034,17.4285145342,99.9093133349,0.930718,41,0.020842,40.8542,41,11.1635322477,95.5023059659
