QFunRegParamNorm,AverageAction,AverageDiscountedReturn,AverageEsReturn,StdEsReturn,AveragePolicySurr,MaxEsReturn,AverageAbsQ,Iteration,AverageAbsQYDiff,AverageAbsY,StdReturn,AverageY,MinReturn,MinEsReturn,AverageQ,MaxReturn,PolicyRegParamNorm,AverageQLoss,Epoch,AverageReturn
11.4923,0.00886515,-5.76314944278,-313.807678095,17.3988747499,0.188269,-284.399901285,1.25194,9,3.12495754841,2.34182560765,25.1967316088,2.34182560765,-67.4685400545,-341.785925383,-0.783132,0.517887543649,11.7091,13.2655,9,-16.9005545869
11.98,0.998711,-62.7031730539,-321.579616352,0.0,-1.88835,-321.579616352,0.981268,10,0.424996453282,1.02282352097,1.36238554832,0.919141157749,-604.423262264,-321.579616352,0.906525,-599.989815259,12.1411,0.366539,10,-602.1228737
12.6369,0.998245,-62.8718460783,-326.744336393,0.0,-1.60415,-326.744336393,1.05251,11,0.294686312286,1.0919427218,1.39454956514,0.982709282246,-603.978349725,-326.744336393,0.977057,-599.621747387,12.8384,0.156081,11,-601.932234575
13.5239,0.855212,-47.8242684913,-332.382566324,0.0,-1.73863,-332.382566324,1.17572,12,0.296854076276,1.22079047919,2.91255371424,1.00030669551,-537.028139916,-332.382566324,1.00182,-524.299049957,14.3923,0.15835,12,-530.840456987
14.1139,0.795677,-39.5235469777,-283.572049199,0.0,-1.95814,-283.572049199,1.35625,13,0.304416663185,1.38994861454,8.0780957255,1.23903514454,-472.464902076,-283.572049199,1.23749,-444.187391351,15.0183,0.163147,13,-468.33732684
14.74,0.832837,-93.2674483706,-374.008941783,0.0,-1.98208,-374.008941783,1.55071,14,0.308891557415,1.58623156008,60.9813793253,1.43978572144,-1139.38366685,-374.008941783,1.43709,-941.843014837,15.5104,0.173195,14,-1047.81740465
15.3887,0.526746,-2.4944117731,-231.910758773,0.0,-1.84391,-231.910758773,1.61075,15,0.323811778705,1.65049830686,10.1453860347,1.44473895899,-283.904214835,-231.910758773,1.44463,-254.543507649,15.8819,0.19769,15,-272.647197671
16.1426,0.541926,-6.44804046491,-221.996159517,0.0,-1.8182,-221.996159517,1.6349,16,0.337975721052,1.67771777334,31.6764456537,1.43115528698,-207.449160538,-221.996159517,1.4311,-87.9296535925,16.1877,0.218069,16,-126.797922537
16.931,0.491524,-6.47559739002,-238.067863511,0.0,-1.88385,-238.067863511,1.68372,17,0.34829090513,1.72292228691,28.8251981543,1.47928802428,-259.574984546,-238.067863511,1.47981,-162.503989805,16.463,0.230712,17,-209.204375205
17.7091,0.384805,3.28234551962,-280.089363307,0.0,-1.97097,-280.089363307,1.78944,18,0.360568162247,1.83019391041,13.288399505,1.55736771731,-151.517179897,-280.089363307,1.55615,-111.352719743,16.8567,0.256987,18,-131.401844794
18.5076,0.41022,4.4644938933,-242.423400289,0.0,-2.06766,-242.423400289,1.88185,19,0.371418389623,1.92018672629,38.9898730737,1.64353663765,-203.333169849,-242.423400289,1.64239,-67.3051016186,17.4324,0.275417,19,-158.945415106
19.244,0.373678,23.7779257141,-192.52997337,0.0,-2.17853,-192.52997337,1.97712,20,0.379659664811,2.01540743175,19.0133958617,1.72454209622,101.062777421,-192.52997337,1.72266,166.753065049,17.8839,0.289683,20,134.998697457
19.9032,0.582506,-2.15360459434,-147.620819238,0.0,-2.38013,-147.620819238,2.13026,21,0.38138907493,2.16865174394,18.3908018104,1.89545589474,-157.596826402,-147.620819238,1.89307,-90.3530881399,18.3225,0.298348,21,-123.830517586
20.5967,0.782037,3.48088391079,-123.867760536,0.0,-2.60042,-123.867760536,2.30251,22,0.395224145733,2.33758945048,41.3007232104,2.07952618624,-267.971575394,-123.867760536,2.07729,-113.270893689,18.688,0.328262,22,-189.465343344
21.2494,0.673577,11.748556341,-52.960005649,0.0,-2.83864,-52.960005649,2.50016,23,0.417951580173,2.53543661038,38.3020346799,2.29780871815,-148.269227325,-52.960005649,2.29495,-22.4583279775,19.0567,0.373038,23,-106.119356948
21.8241,0.650777,7.79231693302,-54.636252794,0.0,-3.16344,-54.636252794,2.79279,24,0.428499296587,2.82403811467,36.9649810928,2.59929744408,-81.8012943426,-54.636252794,2.59646,35.1226229613,19.487,0.377358,24,-34.3520365109
22.4153,0.640944,23.6708685383,-37.6273454473,0.0,-3.37713,-37.6273454473,2.99338,25,0.446348446962,3.02627504392,51.1393939651,2.82680779951,46.1853364876,-37.6273454473,2.82312,226.122741545,19.865,0.4202,25,145.964397296
22.9202,0.700375,29.9798516978,30.0874972027,0.0,-3.7284,30.0874972027,3.27467,26,0.452238296029,3.30475310502,55.7931820883,3.13616436311,84.0420546449,30.0874972027,3.13216,269.088328256,20.316,0.42278,26,195.669278112
23.4668,0.701865,8.92233854223,6.93135315195,0.0,-4.04867,6.93135315195,3.57562,27,0.466233593815,3.60245468522,33.0142896555,3.46055252586,72.5642951313,6.93135315195,3.45732,191.855630194,20.7569,0.454792,27,122.226241975
23.9534,0.765754,11.775350602,46.005485638,0.0,-4.3226,46.005485638,3.83827,28,0.482302294249,3.86348022432,50.3205945533,3.74340354687,-7.02809184681,46.005485638,3.73924,146.298788307,21.184,0.482808,28,71.3248901998
24.4365,0.7806,-3.78234271422,90.2658135232,0.0,-4.7051,90.2658135232,4.2012,29,0.489781883203,4.22374828227,81.8786165837,4.11542217981,-339.051117094,90.2658135232,4.11099,-97.0879237351,21.62,0.48412,29,-196.404793793
24.9144,0.757924,4.56195600239,69.0399316033,0.0,-5.05143,69.0399316033,4.50173,30,0.508869638858,4.5220643561,28.3311231155,4.43236521201,-97.8724378615,69.0399316033,4.42829,4.96165819596,22.0097,0.531255,30,-66.5380661368
