AverageY,AveragePolicySurr,MinReturn,AverageAbsY,AverageEsReturn,AverageAbsQYDiff,MaxEsReturn,AverageAbsQ,StdReturn,MaxReturn,PolicyRegParamNorm,Epoch,QFunRegParamNorm,AverageDiscountedReturn,StdEsReturn,MinEsReturn,AverageReturn,Iteration,AverageQLoss,AverageAction,AverageQ
0.709080634749,0.459482,11.3179738746,0.710125466736,14.082825022,1.40712234482,97.4228524927,0.698042,0.261769597492,12.7685145375,11.1815,9,11.1656,11.3523949422,13.600847672,0.853737795074,12.0855703016,9,2.54559,0.0403348,-0.698042
0.46494035857,-0.559814,1.64305421105,0.467726952031,2.19712011657,0.100173336309,4.90534383675,0.463257,0.0813678870351,2.07108827585,12.3825,10,11.2838,1.86165235044,0.755727451969,0.612798455288,1.86052552799,10,0.0387092,0.963948,0.461514
0.448891929444,-0.498182,1.50111731933,0.452592547363,2.29558957179,0.0530627247391,4.27480582925,0.451117,0.0795780375361,1.90398364428,12.7502,11,11.3856,1.70598335133,0.551267495578,1.00810269241,1.70049001351,11,0.00814604,0.999952,0.448292
0.497403638064,-0.521914,0.964673097824,0.502713049383,2.29797206082,0.0427871978035,4.82214573581,0.504562,0.103870123981,1.45197538017,13.1288,12,11.512,1.25684154661,0.742342933815,-0.463777843992,1.1970617482,12,0.00487912,0.937093,0.497017
0.504184659171,-0.544354,-2.06460736988,0.515099671647,5.04179559631,0.0382733010802,59.5897945101,0.517345,0.296388095666,-0.538176973577,14.2282,13,11.6768,-0.683385297149,13.2997831071,-1.69964871703,-1.44071301352,13,0.00383865,0.996619,0.504051
0.562761599782,-0.645474,66.1298650019,0.575115166723,38.4422271318,0.041507422569,121.669230894,0.576107,26.3961315406,157.346182512,14.5077,14,11.915,76.9997400799,44.0848784601,-1.71282232879,102.969805363,14,0.00454353,0.965765,0.562491
0.692687899856,-0.794097,103.968637743,0.704848496335,86.4235212129,0.0434549066279,137.360139564,0.704997,3.51230664362,120.552680899,14.7518,15,12.3013,82.4145652725,24.2462673867,33.4891472445,110.927042548,15,0.00603475,0.944859,0.692329
0.844275145443,-0.961379,100.416434998,0.854936760207,101.385976877,0.0476789494188,177.686387461,0.854809,1.02216825479,105.739989844,14.8865,16,12.7369,78.3296681914,42.4989621208,36.8040875803,103.69296732,16,0.00808229,0.906329,0.843704
1.00143340398,-1.14002,169.349454216,1.01316998801,123.552478568,0.050046409799,182.416698714,1.01287,1.64107201677,177.482484099,15.2493,17,13.2331,112.288196488,42.195312544,45.2330731165,173.950219528,17,0.0100578,0.697561,1.00099
1.17152158337,-1.316,62.1670114061,1.18202745917,129.025171198,0.0518743013654,184.75922421,1.18168,52.3911076315,176.425531837,15.8192,18,13.7104,90.3945713036,52.2004658995,39.0382772265,132.39255201,18,0.0115416,0.734294,1.17113
1.33749081067,-1.50044,171.685253373,1.34741675712,125.391380868,0.0583984494131,197.714889549,1.34709,2.78658628514,183.673596994,16.9908,19,14.3134,113.125229791,57.0852359506,33.5458919487,177.149281177,19,0.016119,0.644949,1.33703
1.51410614184,-1.68573,169.494727497,1.52243274184,134.098129483,0.064601140185,190.752742819,1.52209,1.55856559594,176.659823549,17.5922,20,14.9562,112.365047603,51.3123566158,41.6125442823,173.921884869,20,0.0209625,0.709364,1.51348
1.69965709513,-1.88834,166.933231605,1.70754033671,143.331998375,0.0684753891303,211.237587148,1.70716,1.52827937023,174.392377274,18.3958,21,15.6528,111.08545285,59.5425566399,34.1761069188,171.576690206,21,0.0227603,0.648879,1.69901
1.89644884154,-2.09835,173.13617083,1.90372002651,112.796737544,0.0750590007863,217.882427032,1.90378,2.25702935689,182.232805048,19.0819,22,16.4421,113.427712351,56.3268171194,10.3432604633,177.379855675,22,0.0289241,0.761613,1.896
2.0832681229,-2.29686,168.775252629,2.08935800649,131.790270125,0.0805259386792,188.156188217,2.08926,1.21432991144,175.670426903,19.7981,23,17.1656,111.511930489,60.4110026359,7.81880566594,172.731917817,23,0.0308581,0.713813,2.08255
2.30641806599,-2.5239,173.908888437,2.31145715937,146.95955318,0.085133144463,185.161126971,2.31148,1.57378309384,180.166886565,20.5814,24,17.922,113.365361919,44.8619576993,38.6424113602,176.43672422,24,0.0348104,0.720948,2.3057
2.4976251103,-2.72308,171.107163116,2.50183191885,139.0121328,0.0846827679985,212.085415667,2.50227,1.19194747715,179.168803586,21.1914,25,18.6067,113.156226139,66.5125920938,39.2665908256,176.169078471,25,0.0340717,0.704992,2.49709
2.69300468311,-2.915,219.783996161,2.69700364479,158.978193315,0.0902245627577,239.839653522,2.69725,10.7674215569,300.537809209,21.7941,26,19.3203,136.184283098,63.5760456055,44.4885527157,233.584755264,26,0.0394738,0.547161,2.69214
2.89622298197,-3.11753,198.76396845,2.90052336394,144.06693101,0.0945099140071,230.81423144,2.90088,30.84144311,301.389423925,22.3946,27,20.0155,140.563849334,70.580554275,38.0051310691,244.901100106,27,0.0426511,0.609344,2.89533
3.0735079247,-3.3021,203.929624303,3.07805582946,173.513533218,0.100579814813,290.057846707,3.07901,11.7350393468,291.766892899,22.9898,28,20.6996,132.094809067,72.6232897268,77.2468284212,222.582765151,28,0.0464993,0.763354,3.07294
3.2806855696,-3.51729,173.046780206,3.28471041841,171.248057292,0.10950375879,267.505393686,3.28538,8.42483352817,211.541561033,23.5957,29,21.3575,122.588183361,82.602151942,12.8962758003,197.686309245,29,0.0516535,0.728088,3.27977
3.47791996621,-3.72087,271.641976656,3.48142185238,183.286465897,0.111888767281,332.511191693,3.48206,10.661759982,314.501370683,24.1656,30,22.0367,156.685623604,102.804722778,38.5853646653,296.9789964,30,0.0578394,0.553249,3.47674
3.68838418765,-3.94816,228.19022723,3.69148618797,233.451317418,0.121953758789,551.501995377,3.69327,189.407731431,1487.67833566,24.6829,31,22.6814,151.937983895,159.904420127,13.3679746098,364.187464875,31,0.0661349,0.709768,3.68768
