AverageReturn,MinEsReturn,MaxReturn,AverageQLoss,QFunRegParamNorm,StdEsReturn,AverageDiscountedReturn,AverageQ,AverageY,AverageAction,AverageAbsQYDiff,Iteration,PolicyRegParamNorm,AverageAbsY,AverageEsReturn,AverageAbsQ,AveragePolicySurr,Epoch,StdReturn,MinReturn,MaxEsReturn
275.633976098,16.4611777699,284.717249848,14.9757,50.2697,124.794814093,149.573012217,66.038,66.0504451899,0.601505,1.7537615289,46,31.7677,66.0784863617,220.256809693,66.1034,-68.6218,46,5.35633405736,251.583748581,416.881671275
288.295401627,84.0159194182,332.341778244,15.1651,50.969,86.9604085809,152.984825613,68.4572,68.4652389353,0.695042,1.76746535057,47,32.0978,68.4885357667,242.988021621,68.5142,-71.0968,47,24.664665635,256.697372703,388.456877693
325.146594002,36.189271872,341.913045088,17.6176,51.7131,79.5694503722,165.749074334,70.4352,70.4463386204,0.634135,1.87502058158,48,32.3202,70.4728150211,208.969702445,70.4999,-73.1512,48,5.14630200709,315.665118904,301.159412021
322.570224917,6.56390824809,331.753950963,19.6677,52.528,97.0414381941,164.683901682,72.6673,72.6771049581,0.632084,1.90289274552,49,32.7178,72.7035222604,203.816739627,72.7309,-75.421,49,4.17932551772,311.537789957,335.795947545
331.458257801,74.8863667383,343.904591762,18.3902,53.1928,107.87592528,165.68211558,74.9403,74.953292241,0.655013,1.94693634408,50,33.0945,74.9812652014,245.84082377,75.0108,-77.7356,50,5.89098009579,316.947750067,359.678629364
317.076515904,4.36195792585,330.940535354,19.1545,53.8134,119.938063869,162.564096334,77.1577,77.1677279739,0.681251,1.98506172218,51,33.4651,77.20014456,241.049338945,77.2279,-79.985,51,6.37284214311,303.42705703,400.536197401
317.402526282,54.9104531024,331.259642524,20.0656,54.5058,92.2929600579,163.054377939,79.6108,79.6234954339,0.742821,2.01284730708,52,33.7474,79.6586435618,265.822481037,79.6867,-82.5125,52,4.9278671615,298.038958392,370.183092439
288.90499894,93.1687239998,317.165485764,18.9029,55.2732,78.141694905,153.442169652,81.878,81.8883569278,0.580207,2.03888629706,53,33.9999,81.9264848935,216.408000244,81.9631,-84.8328,53,10.252885061,252.179807974,312.479545792
320.56618306,59.667549425,331.990788158,22.1185,55.9828,102.989279696,163.279620149,84.2047,84.2134755431,0.608306,2.12003405006,54,34.3133,84.2650121906,233.292305753,84.3089,-87.2505,54,5.190969597,307.184403295,369.322480758
298.93226329,106.746653843,311.818761723,23.9608,56.7561,95.9536656896,154.595257046,86.6041,86.6226449009,0.588263,2.20377611711,55,34.6144,86.663095732,247.740012893,86.6947,-89.7633,55,6.72588685159,287.375436169,352.311158187
300.405707565,41.9599626746,312.157041127,25.5696,57.4265,82.6529116462,155.441582726,88.847,88.8590276864,0.57174,2.26970865907,56,34.88,88.8941676622,244.76045703,88.937,-92.0463,56,4.412344896,287.907669013,326.302260159
306.857864217,86.0013207007,323.674784823,28.2217,58.1892,91.6285960943,158.091358309,90.982,90.9950261666,0.557451,2.32948995598,57,35.1618,91.0311232016,261.360251379,91.0785,-94.2965,57,8.01084958772,285.841021214,340.839310474
306.152019312,114.886436072,331.369532695,26.6314,58.9247,74.1415749457,157.57674951,93.3086,93.3246616458,0.599005,2.31285563999,58,35.3905,93.3518724307,243.355581775,93.3933,-96.5407,58,12.1007890532,277.50046149,336.792291439
314.699435527,53.3705610222,337.650932476,29.8645,59.7215,116.146347329,160.408184291,95.6039,95.6173769714,0.614161,2.38053313826,59,35.6874,95.6438587733,269.904591533,95.6845,-98.9931,59,14.0594635443,279.995382522,495.828001235
306.988226671,102.622419174,336.302946272,29.3126,60.4305,90.0988985577,159.090618721,98.0393,98.0516822721,0.571962,2.42500225959,60,35.9813,98.0795694808,242.38218356,98.1308,-101.455,60,21.7142405639,237.715584166,341.210065958
288.94876434,141.505311808,314.702593832,31.6031,61.1757,73.6306064217,154.476480394,100.146,100.159665729,0.571637,2.43719819513,61,36.2463,100.18238281,268.111757856,100.224,-103.517,61,16.7224035458,255.953525165,353.931446216
285.784443848,14.4085717712,359.362055672,32.507,61.8404,133.768512898,152.671973667,102.807,102.822374701,0.54125,2.50230751998,62,36.5523,102.841428509,253.726765373,102.882,-106.237,62,36.616279994,223.483463621,416.156221307
300.326990164,62.66232533,330.092562592,34.559,62.5137,83.2181166063,156.196485177,105.091,105.104563513,0.587293,2.56390440868,63,36.853,105.119611906,217.621291156,105.163,-108.653,63,11.142095336,278.630573156,295.908734679
291.208087245,57.7589699031,334.550316987,34.8312,63.2565,98.4185880654,154.307219991,107.399,107.416362408,0.561666,2.65963157143,64,37.0906,107.432248179,231.16277133,107.472,-110.974,64,21.677652267,240.454596064,410.555145075
283.435085124,102.729718358,345.185983505,34.3671,63.9477,70.8547736365,151.221133442,109.918,109.933493265,0.517569,2.61585328374,65,37.4521,109.947066736,233.297947317,109.99,-113.474,65,37.655930595,219.934935739,344.032392015
309.315380623,21.8160023725,445.041976772,37.8572,64.7043,97.2501446116,157.513637775,112.252,112.266471197,0.582121,2.70041877341,66,37.762,112.280802336,243.424184182,112.322,-115.796,66,43.579745171,228.924218108,394.025047109
332.509421571,21.6248976175,368.118602077,40.3913,65.3535,121.80976498,169.18979013,113.952,113.966201685,0.676546,2.81141119121,67,38.0128,113.981025505,232.082359176,114.031,-117.589,67,20.8076850424,291.028019995,366.638689655
299.706088178,86.5202440331,334.972544427,37.8665,66.0207,95.6426855627,159.338064773,116.348,116.36099794,0.584803,2.78937194861,68,38.2848,116.37581476,218.249794512,116.437,-119.997,68,25.5535799819,229.488387077,349.925810525
274.13455518,39.0889984891,332.859312835,38.8239,66.7488,93.2434060367,149.919020332,118.493,118.508158541,0.595712,2.84211712412,69,38.5437,118.519026871,220.542613078,118.578,-122.086,69,14.7527587694,245.407965473,330.319722052
297.062961557,34.1686292326,308.055350524,39.3425,67.4001,87.9513232281,159.245427606,120.312,120.328586339,0.548026,2.90057251139,70,38.8272,120.341921512,227.937908292,120.4,-124.001,70,8.17134987626,272.537564487,345.368486181
336.39010881,15.0466813282,362.986873993,42.2249,68.077,97.390641436,171.002110982,122.655,122.666682154,0.562998,2.91237873347,71,39.0355,122.681259722,214.360566669,122.733,-126.388,71,9.90196538284,314.727860469,355.803381764
301.293013338,50.1728323736,348.655958938,48.453,68.7186,108.801511689,158.578450509,125.096,125.106196012,0.640311,3.00005413568,72,39.2953,125.123671324,215.263815685,125.186,-128.822,72,17.7474296761,264.721736897,355.571325647
303.041873081,11.0273127233,336.615921415,43.379,69.2685,112.897905485,160.307832482,127.069,127.09239954,0.597814,2.99854046161,73,39.4979,127.107969066,199.788496519,127.159,-130.853,73,9.26864805123,286.341654221,339.287207536
314.563488521,98.7381218776,333.009885878,48.4544,69.9777,65.6504771641,164.086540015,129.124,129.135614367,0.571439,3.09935732742,74,39.7443,129.150175133,255.721283582,129.205,-132.964,74,14.0501284169,281.438275663,314.595091376
326.261723507,61.1866453348,336.943033278,48.3605,70.6267,93.4265667191,168.646436378,131.373,131.390616017,0.594389,3.13877069152,75,40.0002,131.404496013,226.354944761,131.452,-135.278,75,4.9818594759,311.605245859,337.594291376
304.021079276,32.6366223322,373.788514981,53.2749,71.2325,105.943040946,159.39432418,133.039,133.056108094,0.674748,3.24651323555,76,40.2533,133.07150419,242.653526177,133.135,-136.932,76,29.2739763556,245.538472267,388.090753275
303.493382947,15.7148228075,341.917695409,53.47,71.7787,125.188038346,159.408664742,135.407,135.420304712,0.649014,3.18485095087,77,40.4792,135.437726946,169.402021019,135.502,-139.251,77,12.2490884987,268.101346898,338.629755463
333.880655633,10.0114822751,358.859207279,57.4375,72.3723,118.100761046,170.524079994,137.25,137.269890367,0.627968,3.37639102417,78,40.7701,137.284775636,176.791926187,137.347,-141.193,78,12.9511801752,294.644852026,336.543438592
326.262660101,38.59902098,343.116698103,52.1605,72.9894,120.343813478,168.104354351,139.449,139.460701559,0.636466,3.25704640354,79,40.9492,139.479177693,222.690573506,139.544,-143.34,79,6.82262441975,308.769995759,373.963397129
