Iteration,AverageQLoss,AveragePolicySurr,QFunRegParamNorm,AverageQ,AverageY,AverageDiscountedReturn,AverageAction,StdEsReturn,AverageAbsQYDiff,Epoch,MaxReturn,MinReturn,AverageAbsY,MinEsReturn,MaxEsReturn,StdReturn,AverageAbsQ,AverageReturn,PolicyRegParamNorm,AverageEsReturn
9,18.8412,0.477661,11.4919,-1.17686,2.60156897899,-1.71760046835,0.205762,4.16221896872,3.82731795982,9,3.17526309484,-5.17606379726,2.66394614411,-16.973086067,23.7156128482,0.691744856923,1.31789,-3.47393024438,11.7101,-4.14864897697
10,0.434197,-1.51637,11.8183,1.17286,1.20729006011,-7.81529906241,0.999915,2.88355477848,0.399477717881,10,-7.93339617858,-8.25767483336,1.44402039208,-17.010303876,1.58784741162,0.0654640115178,1.34495,-8.09260184869,12.1967,-7.97400609128
11,0.0541497,-0.579553,12.0157,0.417744,0.418930269985,-5.34168704896,0.999997,3.56160016321,0.174525517357,11,-5.852521451,-11.544242839,1.30679494683,-45.1340071483,-3.73781806792,1.32388209248,1.29439,-8.7066838962,12.6618,-7.19190308507
12,0.0636515,-1.35741,12.6291,0.378708,0.380333885185,-5.76824432984,0.964186,8.79262638373,0.190412758026,12,-6.50258821609,-11.6602973826,1.78627017733,-32.7052115002,-3.02331556607,1.3879169781,1.77834,-9.16036756031,12.89,-14.5422941685
13,0.0872825,-1.89474,13.4699,0.678795,0.680389116745,-7.04851541312,0.806462,9.01682768783,0.219837860317,13,-9.87573203987,-13.5020078605,2.24310313467,-33.5932555432,-3.72697600919,0.884771683455,2.23425,-11.4358285833,14.2759,-16.2171899618
14,0.114747,-2.21028,14.2867,0.944529,0.945099163467,-5.69806882672,0.657447,2.8817014145,0.245843753469,14,-7.99103718479,-11.5162560711,2.64751976346,-19.1645659318,-8.04003646291,0.692908943286,2.63692,-9.49319003465,15.4258,-12.4958347374
15,0.143916,-2.62441,15.1622,1.18918,1.18995054044,76.9620296634,0.657358,62.9881072497,0.27078486064,15,994.780056623,80.0695659423,3.0418450366,-35.093266477,190.774580114,347.98804908,3.02825,344.270075242,16.1635,11.4635653949
16,0.182076,-3.67295,15.9685,1.97478,1.97633131977,68.2973689772,0.700316,151.102867389,0.294350881048,16,436.27022305,61.9461045968,3.6543827824,45.9026827874,417.478253061,96.0306116421,3.63943,135.85752009,16.7044,240.201166579
17,0.237203,-4.78677,16.8423,3.14434,3.14537091887,84.090963659,0.686651,117.760051349,0.313150084307,17,484.166249834,90.4319219571,4.56014026093,68.5932951023,397.110230062,103.698874606,4.5451,209.093443631,17.5764,190.827430901
18,0.31475,-5.87095,17.763,4.23097,4.23261653622,91.5944489459,0.769726,154.60865703,0.353248639782,18,471.059996983,133.459803225,5.53737658609,27.5977822876,454.058170382,67.7655656598,5.52167,237.008225319,18.4437,168.078599112
19,0.421998,-6.93263,18.6636,5.27613,5.27760729415,105.143737833,0.75819,109.772912697,0.39153934226,19,1171.53497829,3.98570997247,6.47915153534,46.8161097323,354.245231539,277.245580995,6.46168,372.972312854,19.3162,153.582180483
20,0.576755,-7.96933,19.5454,6.26026,6.26269849961,115.173424199,0.752185,63.9423305287,0.447873486454,20,467.31258493,135.429787248,7.38082475325,38.6031392978,207.751119861,63.1724362434,7.36071,252.998420751,20.2961,101.748554198
21,0.748225,-9.18054,20.3253,7.43861,7.44114651082,109.181213181,0.784046,119.16439005,0.495815756926,21,408.92620948,135.513144087,8.49141609953,30.2167351639,394.993783278,65.6003980589,8.4704,247.115107569,20.9247,239.507342852
22,1.01224,-10.4077,21.133,8.67426,8.67677100414,93.6345163313,0.744599,104.113914109,0.559739536171,22,721.104674018,53.5434124684,9.66727106944,65.2230077189,413.630103498,178.540339867,9.64732,317.229543442,21.5852,246.938257111
23,1.25158,-11.7079,21.9543,9.93266,9.93597011904,110.357632186,0.787745,160.30718615,0.614170989821,23,466.526649001,53.8362627201,10.8701193559,22.7461994816,471.689985407,93.2710515871,10.8497,279.554423558,22.1969,232.47526051
24,1.41107,-13.1137,22.7794,11.3212,11.3241903069,121.767680782,0.786705,156.553597893,0.668038565846,24,468.923342447,199.780377506,12.2085472086,5.81039023629,453.836582498,69.7313277998,12.1871,339.358511319,22.8445,283.503989783
25,1.81679,-14.3886,23.5094,12.5669,12.570713868,110.966207673,0.735975,81.8843792345,0.731997447503,25,386.846141912,123.000617271,13.4038490659,84.6954416773,318.953653772,58.9661945053,13.3807,278.565417502,23.4722,192.139755337
26,2.02396,-15.7756,24.3346,13.9745,13.9797110747,112.861668126,0.761602,133.370471959,0.778522749581,26,464.54194281,203.23454463,14.7503267907,107.444622025,523.50497961,50.6413836011,14.729,301.291451648,24.0606,293.474117166
27,2.30122,-17.1474,25.1183,15.2789,15.2831103893,94.8532276138,0.763684,91.5854172455,0.829974752712,27,454.387623156,76.3811967227,15.9998231946,162.31596498,397.752822864,127.867192917,15.9793,290.142957182,24.5928,244.073149594
