AverageAbsQ,AverageAbsQYDiff,StdReturn,MinReturn,MinEsReturn,Iteration,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsY,AverageY,AverageAction,AverageQLoss,MaxReturn,AverageReturn,Epoch,AverageQ,AverageEsReturn,AverageDiscountedReturn
0.382287,0.0554219686988,56.4001754869,178.17331174,-38.2451155256,30,17.6206,-0.435863,-38.2451155256,0.0,22.2664,0.385816197422,0.370423150649,0.817032,0.00562323,388.034231897,231.18406364,30,0.370157,-38.2451155256,25.0950119504
0.419273,0.0579246082143,28.2238532809,95.3124420145,49.5961956147,31,17.9627,-0.476359,49.5961956147,0.0,22.6627,0.422605213275,0.409670774677,0.836527,0.00619312,196.63333221,143.629083185,31,0.409412,49.5961956147,15.0222042414
0.454717,0.0592735180933,28.8745999221,139.615846954,128.957491451,32,18.3285,-0.512746,128.957491451,0.0,22.9942,0.457860557643,0.447879799299,0.758821,0.00646983,246.096829297,213.797696471,32,0.447561,128.957491451,20.97006481
0.484556,0.0606538661307,27.7927618451,371.505649488,102.369461026,33,18.6625,-0.541455,102.369461026,0.0,23.4333,0.4873451504,0.47806231548,0.785183,0.00693653,474.043490562,439.029942936,33,0.477785,102.369461026,27.3659404477
0.524541,0.0610900102762,68.703668373,495.895280254,232.296715861,34,18.9588,-0.585446,232.296715861,0.0,23.7642,0.527067780776,0.519584565904,0.842787,0.0068983,701.446208065,583.975117494,34,0.519238,232.296715861,32.225583958
0.564197,0.0621538510219,39.5371472953,779.916132876,238.75843137,35,19.3073,-0.625195,238.75843137,0.0,24.1486,0.566447698086,0.559718186481,0.88534,0.00714665,919.294548372,836.113038004,35,0.559452,238.75843137,65.5245940233
0.611304,0.064226140359,226.420772922,272.115046039,326.737867448,36,19.6522,-0.675557,326.737867448,0.0,24.4668,0.613130858297,0.608176376071,0.879963,0.00793696,1083.87873443,469.798014365,36,0.607748,326.737867448,31.3540734253
0.663475,0.0672465725984,437.514971522,308.885281903,273.135940572,37,19.996,-0.731299,273.135940572,0.0,24.8677,0.665208351544,0.661049157934,0.876791,0.00838492,1630.28779712,763.625164434,37,0.660763,273.135940572,45.6695041927
0.708119,0.0694487843365,229.196970318,464.584578151,430.862533816,38,20.3022,-0.779524,430.862533816,0.0,25.2589,0.709472662053,0.705926949397,0.884615,0.00915698,1178.49695717,820.685762633,38,0.705573,430.862533816,41.2526020122
0.762603,0.0694764935309,333.642617536,361.164576079,427.602980589,39,20.5798,-0.83464,427.602980589,0.0,25.6768,0.763684073697,0.761365621279,0.840501,0.00885908,1285.71404192,768.930767188,39,0.760957,427.602980589,57.8369889382
