AveragePolicySurr,PolicyRegParamNorm,MaxEsReturn,Iteration,StdReturn,MaxReturn,StdEsReturn,AverageY,MinReturn,AverageAbsY,AverageAbsQYDiff,MinEsReturn,Epoch,AverageAction,AverageQLoss,QFunRegParamNorm,AverageQ,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageReturn
-0.498127,19.6551,-162.695836114,9,5.01808866095,-26.3092110417,47.3034001312,0.0638492522269,-41.6358297569,0.314744574741,0.500173779704,-320.909738451,9,0.0712803,0.380614,19.4772,-0.12576,-258.053361861,0.31053,-4.66208437433,-34.696237572
-0.232303,20.6028,-269.836205221,10,0.737537624656,-596.041546823,0.0,-0.0250152578907,-598.344708919,0.113250563265,0.0857885219414,-269.836205221,10,0.99581,0.0181309,19.607,-0.0253579,-269.836205221,0.105943,-59.4718528679,-597.22361559
-0.137763,21.134,-403.584521574,11,0.519443697659,-595.536397499,0.0,0.0804162047764,-597.370932713,0.09364784637,0.0384835389819,-403.584521574,11,0.997576,0.00250576,19.6992,0.0798004,-403.584521574,0.0905712,-57.9595669257,-596.562831366
-0.110365,21.7815,-425.076932277,12,0.648952458447,-596.229891067,0.0,0.0729312259364,-598.214711758,0.0931460104121,0.0337666948196,-425.076932277,12,0.996756,0.00196015,19.9034,0.0730531,-425.076932277,0.0890116,-59.241390665,-597.447033181
-0.111036,24.3798,-395.807607134,13,1.44145593133,-515.411329225,0.0,0.0565345950967,-520.578487806,0.0859568357768,0.031809702916,-395.807607134,13,0.948313,0.00178207,20.2663,0.0565636,-395.807607134,0.0810231,-47.1333425387,-517.209421695
-0.111888,27.4572,-415.004767802,14,152.154086189,-7.12994740808,0.0,0.0655233820775,-419.848431999,0.100107052348,0.0325944347896,-415.004767802,14,0.945017,0.00195577,20.7943,0.0653695,-415.004767802,0.0956798,-4.70641808696,-185.304524589
-0.120341,29.8039,-404.886114607,15,243.6178256,-371.575294603,0.0,0.0744865550933,-1232.84615054,0.115392896353,0.0338189234662,-404.886114607,15,0.878285,0.00221934,21.5357,0.0744017,-404.886114607,0.110376,-81.515824167,-897.223381753
-0.11485,31.6038,-322.051643807,16,46.1315127688,-456.76052594,0.0,0.078262615478,-618.785269835,0.122145248403,0.0343693295298,-322.051643807,16,0.790304,0.00248851,22.4806,0.078211,-322.051643807,0.116841,-32.3192796426,-509.058249572
-0.114224,33.6404,-385.535446737,17,51.1331291778,-285.47592851,0.0,0.0768221114644,-454.796604075,0.126902511187,0.0344673831654,-385.535446737,17,0.759358,0.00260716,23.6076,0.0766887,-385.535446737,0.121265,-21.4433871866,-368.467611601
-0.123106,35.5493,-248.601600173,18,30.570767665,-404.190313643,0.0,0.080509331671,-507.682318326,0.13765151142,0.0338899605162,-248.601600173,18,0.713271,0.00254468,24.8845,0.0803858,-248.601600173,0.132825,-20.7497450714,-465.194544258
