MaxReturn,StdEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageAbsQ,AverageAction,AverageQ,MaxForwardProgress,MinForwardProgress,PolicyRegParamNorm,QFunRegParamNorm,AverageY,AverageEsReturn,StdForwardProgress,Epoch,MinReturn,AverageForwardProgress,AveragePolicySurr,AverageQLoss,MaxEsReturn,StdReturn,AverageAbsY,MinEsReturn,AverageReturn
3.17560338447,3.42258583661,0.0216588071804,-1.93351920065,0.00892002,0.948593,0.003159,0.0206925936599,-0.0245958895879,16.2104,14.9658,0.0160151245453,1.25618576975,0.00834719701491,9,-6.45920419181,-0.00397926098933,-0.0121635,0.000618236,10.6655978462,1.76640284795,0.0205941550127,-6.76443726393,-2.09562303709
2.2739025137,1.83105162845,0.00409293402865,-1.96980152771,0.0267357,0.997139,0.0263036,0.0160579964093,-0.0247588231542,16.6591,15.1948,0.0264663561831,-2.01545843268,0.00751867219612,10,-6.52749299013,-0.00439402770807,-0.0478516,6.86556e-05,2.2241873598,1.59997302053,0.0273382606142,-7.50081047855,-2.13245666819
3.67768685944,2.80252831949,0.00412364110583,-1.90855441154,0.0378536,0.999979,0.0371918,0.0225015897136,-0.0288785917235,16.8829,15.4805,0.0371509657784,-1.13064336752,0.00753655492366,11,-7.35976666876,-0.00410964267741,-0.0473002,5.79321e-05,8.25522609449,1.59239910883,0.0380665643334,-5.74545196456,-2.06621873372
4.28645615577,1.69772681542,0.00489497317331,-2.03061259765,0.0394317,0.999988,0.0367288,0.0253722499029,-0.0339284598175,16.9155,15.7692,0.0366981003228,-2.01067972906,0.00773734598877,12,-8.42206454113,-0.00472401964104,-0.0547911,6.11067e-05,2.35975734073,1.64902088576,0.0403502957379,-5.5879643045,-2.19619166265
3.1976287666,1.43022547872,0.00591641558042,-1.89040833482,0.0557102,1.0,0.0500867,0.0207190783427,-0.0229036921952,16.9563,16.0093,0.0502888558687,-1.92613441676,0.0080735983354,13,-6.08261365311,-0.0040537866785,-0.0676158,0.000103286,1.23485675472,1.71373239435,0.0560962678151,-5.92896910283,-2.04602884914
2.65121961083,1.60035536475,0.00680421332152,-1.84366609096,0.0687258,1.0,0.0565631,0.0176136843445,-0.0263828489071,16.9598,16.2881,0.0565622549415,-2.12079741993,0.00767548463864,14,-6.71672276909,-0.00378935439667,-0.0629022,0.000120236,0.655109047115,1.62901388113,0.0693016070002,-6.08387794676,-1.99596027476
2.33346905824,1.84950454908,0.00736243309586,-2.00804418157,0.0677667,0.999997,0.0437833,0.0174057564416,-0.0265686427817,17.2011,16.5529,0.0439619892647,-2.35219650221,0.00778048828009,15,-6.91461237893,-0.00461356385961,-0.0287728,0.000173421,2.71309289157,1.64947289536,0.0680673810681,-7.15660151243,-2.17311066472
2.6179139364,1.67461389302,0.00726977850591,-1.95823387243,0.0561206,1.0,0.0175368,0.0181952106922,-0.0255202896097,17.2079,16.8512,0.0176786003059,-2.03913106215,0.00785875831544,16,-6.80021790154,-0.0043670826956,0.00277931,0.000149409,1.82789307485,1.66460857539,0.056151554182,-6.16432071361,-2.11955650576
2.35076508265,1.53723969981,0.00824128278485,-1.88671440809,0.0498923,1.0,-0.00640763,0.0178393254159,-0.0275105956104,17.2083,17.0051,-0.00640308012919,-2.2597969755,0.00750710417062,17,-7.16293342455,-0.00400115225434,0.023452,0.000173954,1.38544120391,1.59562720117,0.0501392106905,-5.4991626313,-2.04465138075
2.60238280333,1.65875286995,0.00820455161711,-1.94457402827,0.0469938,1.0,-0.0192331,0.0176323056135,-0.0343615683224,17.2087,17.2345,-0.0191708936884,-1.95641527285,0.00759088115317,18,-8.45856502108,-0.0043030384673,0.0290809,0.000161715,2.39554579791,1.61799284771,0.0472472124811,-5.22009910258,-2.10630989159
2.38613674459,1.82657360344,0.00677109042561,-2.00462573798,0.0361532,0.998907,-0.022066,0.0170166439324,-0.0291985091496,17.1952,17.539,-0.0220151928173,-1.93492427558,0.00786872900368,19,-7.40503968099,-0.00457891180144,0.0300797,0.000111348,2.19308471114,1.66993231468,0.0366226521731,-7.44313293127,-2.16972233786
2.75227501352,1.57339975958,0.00593843286444,-2.0434828998,0.0347153,0.999987,-0.024681,0.0188447821332,-0.0327932427516,17.355,17.7863,-0.0240913225897,-2.13003702544,0.00789699432207,20,-8.33280133906,-0.00479534932492,0.0341614,0.000100867,1.28568507,1.68146225156,0.0342703111458,-5.72653247148,-2.21035128114
3.18263962057,1.49566792292,0.00750947191855,-1.84533315222,0.0280699,0.999989,-0.0229827,0.020409894963,-0.0268288450144,17.5691,17.9482,-0.0231397460955,-1.6413247597,0.00770489314647,21,-6.97402202338,-0.00379694001594,0.0274331,0.000147413,1.73156823655,1.63321079651,0.028626708797,-5.62281195426,-1.99990476513
2.57015919935,1.55096983601,0.00727906657649,-2.01901164497,0.0347781,0.999986,-0.0329256,0.0177863318222,-0.0289976656678,17.5685,18.086,-0.0329594138856,-2.0815797313,0.0072823158417,22,-7.29431540485,-0.00465744726603,0.037103,0.000128667,2.14675980161,1.54658117003,0.0350589907811,-5.96463049898,-2.1870973091
2.21864797872,1.48412674052,0.00840667262852,-1.87775054788,0.0466437,0.992626,-0.0459058,0.0157988324003,-0.027382700394,17.5603,18.2909,-0.0460207381351,-1.6919906565,0.00765768135097,23,-7.0360275472,-0.00392479385238,0.0523499,0.000184526,2.49677496474,1.62889878937,0.046827352615,-5.74843157153,-2.03312486203
