AverageDiscountedReturn,StdEsReturn,AveragePolicySurr,AverageAbsQYDiff,MaxReturn,AverageY,AverageQ,AverageForwardProgress,AverageQLoss,MinReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,PolicyRegParamNorm,AverageAction,AverageEsReturn,MaxEsReturn,StdForwardProgress,MinForwardProgress,MaxForwardProgress,AverageAbsY,AverageAbsQ,StdReturn,Epoch
-31.4033544456,57.044853554,-0.00837987,0.00765118551621,-72.29839096,0.00454676269172,0.00461866,-0.0605373469976,0.000116821,-89.0424104167,-80.7228693601,9.22946,-158.43478752,13.3865,0.999026,-23.039033465,141.315636671,0.0413457113056,-0.143910172374,0.024153556697,0.013979884895,0.012186,4.12828927823,10
-32.5627908901,19.5734945319,-0.0134602,0.00360833608877,-75.3243906663,0.00767167005799,0.00768661,-0.0743174824417,2.56747e-05,-88.8649638314,-82.1774122008,9.44176,-76.0616625814,13.5543,0.999983,-51.3389436778,-21.4638053852,0.032639341303,-0.141151299923,-0.00598332426639,0.0123627719884,0.0118398,3.26267305471,11
-32.3020903041,6.48806116175,-0.0168895,0.00299761364501,-73.680594056,0.0116320827519,0.0116359,-0.0717703104571,1.74519e-05,-90.2213460666,-81.9208235381,9.64534,-68.4003231174,13.6491,0.999999,-61.7035078366,-54.0035259259,0.0372092697206,-0.154814013382,0.0105719525024,0.0149661004,0.014635,3.71616700471,12
-32.5798084691,15.5330783736,-0.015807,0.00281319815773,-77.0775022544,0.013217867489,0.0132188,-0.0752923002566,1.56177e-05,-88.0203701956,-82.2779635843,9.87898,-78.1720233002,13.6587,1.0,-59.5019678499,-41.1477264211,0.0308237434671,-0.132662275829,-0.0232938552531,0.0170353116444,0.0167738,3.08234454863,13
-36.1672643234,11.8556626478,-0.0139603,0.00275061891491,-78.1626070274,0.0131016607358,0.0130987,-0.185905810852,1.53265e-05,-105.059627808,-94.0104813747,10.1401,-103.113192362,13.7098,0.9634,-83.166675311,-74.0933818013,0.0576118418673,-0.299116854114,-0.0226782868581,0.01842167018,0.0181773,5.75077059637,14
-37.1413443497,22.6124729625,-0.00909773,0.0029035044638,-85.8547101054,0.0104714574358,0.0104708,-0.185989525476,1.76697e-05,-105.955137195,-95.4685461044,10.4168,-131.648957296,14.0287,0.976793,-102.947853043,-68.2551645209,0.0522257588824,-0.292455014267,-0.0916065166109,0.0190379976925,0.0188089,5.12532695677,15
-30.1904035375,46.4380894046,-0.00378299,0.00304909743013,-69.6544659436,0.00644004495625,0.00643899,-0.0349032487156,2.00328e-05,-84.7522597297,-78.403536936,10.6022,-137.689508467,14.2962,0.999232,-78.3026686288,-7.91990727719,0.0397368784099,-0.0984785979666,0.0528789497334,0.0190755298924,0.0188508,3.97051624108,16
-29.4768736198,9.35959937195,0.0014135,0.00313968154482,-68.6656456039,0.0017417692095,0.00173791,-0.0250158564737,2.17003e-05,-86.3655295573,-77.4680333025,10.8223,-67.8150148065,14.4172,0.999997,-57.0187463852,-44.3391338817,0.0380423198874,-0.114130407915,0.0629804704235,0.0189948836356,0.0187137,3.80768226659,17
-28.8209041178,21.8558923266,0.00573973,0.00317479667634,-71.4769906705,-0.00269205860511,-0.00269719,-0.0173220595798,2.28556e-05,-84.11406109,-76.6961254666,11.0391,-77.4919444732,14.4254,1.0,-50.5199344375,-23.0107872031,0.0261337583029,-0.0913119338074,0.0345008221138,0.0195185867865,0.019261,2.61425247425,18
-29.1231177265,11.8912656433,0.00943758,0.00325074526555,-70.7114932293,-0.00660128975228,-0.00660785,-0.0219077046171,2.43854e-05,-84.6708775082,-77.1634105908,11.2725,-47.2174745247,14.4267,1.0,-31.5144992279,-17.5888757876,0.0344925813961,-0.0969223719209,0.0424275882819,0.0208175956159,0.0205462,3.45119856857,19
