AverageAbsY,AverageQLoss,MaxEsReturn,AverageAbsQ,AverageReturn,Epoch,MaxReturn,AverageDiscountedReturn,AverageAction,AverageForwardProgress,AverageY,PolicyRegParamNorm,StdEsReturn,MinForwardProgress,MaxForwardProgress,StdReturn,AverageEsReturn,AverageAbsQYDiff,QFunRegParamNorm,MinReturn,AverageQ,MinEsReturn,StdForwardProgress,AveragePolicySurr
0.0261916221108,0.0232042,12.4155023988,0.126955,-0.780570650523,9,4.51380892594,-0.721399579709,0.997575,0.00674458168024,0.022999028496,16.9911,3.76938834771,-0.0142951375744,0.0317651576417,1.6788254937,1.17904132076,0.14995412627,15.665,-5.24383228006,-0.126955,-12.8628155253,0.00782945888338,0.109282
0.0387209980272,0.000998879,2.40349924561,0.0361056,-5.37808237083,10,-1.67540349111,-5.12587278746,0.999995,-0.00544372649096,0.0280210163277,17.2198,1.27324372301,-0.0170200802025,0.00531277451229,1.19524963147,-5.41797525883,0.0141922536053,16.1043,-8.29422149314,0.0266061,-7.76902092038,0.00366075504287,-0.0710008
0.0436127513052,0.00047576,-1.95030048486,0.0410302,-5.40826260098,11,-0.933634947402,-5.15415209538,0.999998,-0.00546781521685,0.0272472438367,17.2274,1.09932996591,-0.0183219858142,0.00745307185671,1.18002924801,-5.53915670597,0.0105335015139,16.5737,-8.49451616152,0.0284618,-7.95434075099,0.00367964930187,-0.0383836
0.0507800571494,0.000580722,-0.944376146355,0.0498353,-5.40341760544,12,-1.17925210449,-5.14891048223,0.999999,-0.00539623473068,-0.0114249101473,17.2343,1.15949043007,-0.0179033626827,0.00641061643048,1.15232704596,-5.41383894292,0.0114886294477,17.0912,-8.50016819516,-0.0109786,-7.5526451641,0.00366208913841,0.0017684
0.0715183014387,0.000712209,-1.72004592833,0.0702004,-5.39739813947,13,-1.22720122247,-5.1432015031,1.0,-0.00538212743875,-0.0558294643422,17.2864,1.17067559007,-0.0162646771117,0.00642062335419,1.15520257045,-5.46811354181,0.0134699172924,17.5303,-7.98855102689,-0.0552438,-7.96274355351,0.00364664641959,0.0591496
0.11404398531,0.00131923,-0.239343059317,0.113558,-5.50954709492,14,-1.30560202211,-5.25100690893,1.0,-0.00575159631686,-0.111157608617,17.2864,1.24590960562,-0.0186498408107,0.00615195004894,1.14571813395,-5.47403020606,0.0173748847519,17.7889,-8.7279554178,-0.110925,-7.53134923539,0.0037130081875,0.133579
0.190671933978,0.00204421,-0.684709244729,0.19023,-5.45186724203,15,-1.30672947218,-5.19597851941,1.0,-0.00560918529036,-0.190538609399,17.2854,1.23163626987,-0.0171702442486,0.00615027036678,1.16190617479,-5.38272657194,0.0232444935323,17.9899,-8.22641874472,-0.190073,-7.83367150975,0.00361448090801,0.253415
0.249670727761,0.00275482,6.08587095374,0.249332,-1.09218116156,16,6.19687106655,-1.0552687798,0.999909,-0.00203749285693,-0.246313584607,17.3196,2.22943334588,-0.03631177659,0.0338343563181,2.22839965215,-0.962319282025,0.0272684285171,18.3807,-8.05421737417,-0.245978,-6.18202413102,0.0109843303228,0.206704
0.226574006575,0.00297391,4.10026088643,0.226436,-1.0551722469,17,6.13296905441,-1.02244279536,0.999523,-0.00192519478052,-0.224420172918,17.3204,2.34159655165,-0.0315444507318,0.0341576951032,2.18615691567,-1.15497176955,0.026456910634,18.6853,-7.06730458158,-0.224124,-6.01802058237,0.0107893479673,0.245556
0.249245516767,0.0034603,-1.6210687137,0.248988,-121.508894497,18,12.9370829729,-55.0514106022,0.99883,-0.577552329865,-0.245579472817,17.6558,80.9285108895,-1.01062654424,0.0897504519741,77.6480128972,-81.0163052818,0.02786759304,19.1129,-210.329749381,-0.24519,-210.703690338,0.380937483992,0.262866
0.272642592859,0.00219163,-91.665419766,0.272422,-104.210523037,19,4.26749076078,-51.5522072249,0.999505,-0.493363294803,-0.270789285729,17.8107,41.7328524986,-0.981382186563,0.0403919796041,75.0655747554,-152.082760543,0.0232548698906,19.4686,-203.674746788,-0.270355,-194.00744575,0.367552196453,0.286184
0.328861846039,0.00208772,-3.05406146528,0.328022,-134.15988929,20,15.8322365389,-56.4093765442,1.0,-0.638592264536,-0.326397576838,17.8284,71.5344617093,-1.03234380814,0.0994904998786,72.8945470672,-119.794154381,0.0242549197949,19.7634,-214.302874411,-0.32567,-201.714812765,0.357916556266,0.368409
0.364463173501,0.00139276,9.54257673217,0.364207,-115.871678232,21,14.5342545341,-52.102998594,1.0,-0.54871563863,-0.358590464739,17.84,82.5459228509,-1.02036073133,0.0960763505185,82.7819465798,-80.2284923079,0.0193891158258,19.9138,-212.083741594,-0.358483,-185.376911464,0.406457937312,0.397652
0.380358339718,0.00146675,2.08445528591,0.380001,-4.10216438987,22,2.45455666649,-3.65659057916,0.990779,-0.0093821536986,-0.369692157298,18.0939,15.0619912839,-0.0385264458142,0.0224061940064,2.26052195956,-5.01156029989,0.0219094555194,20.0845,-9.98644658468,-0.369351,-115.200281052,0.0109823512172,0.364643
0.351108866073,0.00197573,5.07986198094,0.351083,0.686726106134,23,6.39939116537,0.566536893674,0.998849,0.0127431090645,-0.338552901522,18.3681,3.24857727176,-0.0172993747931,0.0402461825377,1.8280842896,-2.33709102916,0.0239141996276,20.333,-5.71995445579,-0.338418,-8.13531214624,0.0086292344297,0.309402
