MinEsReturn,AverageQ,AverageAbsY,MinReturn,AverageY,AverageAbsQ,AverageQLoss,AverageAction,MaxReturn,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AveragePolicySurr,Epoch,AverageReturn,StdReturn,PolicyRegParamNorm,StdEsReturn,MaxEsReturn
2.38158297804,-0.678959,0.290399201881,13.8371495331,0.258241092367,0.678959,1.16725,0.0433829,15.4295174328,9,13.6221424824,11.0965,0.937200360512,17.6052862498,0.463475,9,14.6259876785,0.546918640211,11.1941,16.4573998041,112.708624153
3.29845921271,0.202925,0.215352907724,5.41526157244,0.205255741097,0.215433,0.0120076,0.958225,5.6428376207,10,5.3615300663,11.1183,0.0545477001157,4.93358488637,-0.267163,10,5.50868300957,0.0511562560272,12.8784,3.27253295566,30.4198039226
0.587864357005,0.311441,0.318497833343,21.5117969488,0.312280186451,0.318916,0.00690729,0.831447,43.4288989262,11,30.2393809824,11.2804,0.0491816686311,19.5004493635,-0.377765,11,33.7614901136,4.98379156863,14.0478,17.4422014296,89.6440820637
5.54127305997,0.462798,0.464842855881,37.8358799401,0.463306653553,0.465239,0.00576453,0.917784,52.9985994575,12,36.8395768965,11.6371,0.0423242268764,20.2690480066,-0.53564,12,41.8411377625,2.0677916462,14.7468,16.1271965663,88.2077146579
6.49761188496,0.604989,0.606542846346,112.100290547,0.605487156359,0.607335,0.00526292,0.930959,119.116117417,13,84.2103348319,12.0436,0.0405470397954,61.3355042783,-0.677201,13,115.300552698,1.71914590815,15.5427,45.8238587371,177.508407126
7.77690464353,0.754027,0.755784445239,100.212805045,0.754491596843,0.75665,0.00615005,0.990055,174.790135944,14,97.888930303,12.5342,0.042301849987,104.595102846,-0.845581,14,142.132457265,22.9591516255,16.6598,55.8476293733,189.717441637
42.5989822197,0.921873,0.923246132999,167.127899606,0.922328229897,0.924132,0.00814445,0.845547,177.240024022,15,111.953978234,13.094,0.0470981878996,125.954379307,-1.02115,15,173.153084191,2.43754864612,18.1839,51.6644512736,201.994618089
63.1932358136,1.092,1.09362743836,183.855685979,1.09259044594,1.09435,0.0090015,0.712627,206.543832935,16,120.245916227,13.6286,0.0493180582016,142.747737097,-1.2075,16,193.257433453,5.99383336918,19.1468,34.1035693795,176.752142131
96.5813056964,1.26857,1.27011039393,176.465799581,1.26907705351,1.271,0.0115062,0.69554,205.903981185,17,118.212605978,14.2211,0.0539930455079,165.637607481,-1.3952,17,187.698373689,6.87642537437,19.917,42.9924064139,253.688320745
10.3941756395,1.45593,1.45742676136,172.830777054,1.45650719472,1.45815,0.0168943,0.70986,179.588013458,18,112.944696007,14.8313,0.0612589697534,162.443915867,-1.59295,18,176.062740097,1.46443214066,20.9424,63.8770941194,216.571617772
117.063197857,1.65095,1.65241770066,153.71010126,1.65154498346,1.65309,0.0187213,0.784418,171.823630682,19,107.236550198,15.4358,0.0660367309962,214.386987342,-1.79066,19,161.76906162,4.85784104764,21.8785,47.7784595587,294.498490538
42.5236683419,1.84992,1.85123514348,218.843187757,1.85072877345,1.85195,0.027346,0.87099,246.748368731,20,134.28010001,16.1268,0.0749546207696,171.37005436,-1.99813,20,230.445116936,5.39384540101,22.8171,81.4958835024,284.6921197
60.6284518873,2.04218,2.04355039971,237.007561459,2.04311441194,2.04449,0.029046,0.777943,250.987364166,21,140.298057388,16.725,0.0769144270907,175.07264495,-2.19633,21,243.919085064,2.86797383029,23.491,50.4146095564,247.436865974
20.7289088451,2.24386,2.24500158171,167.56149407,2.24460039672,2.24595,0.0390296,0.719646,204.757247129,22,120.470422906,17.4627,0.0878237814211,159.024732078,-2.4043,22,192.26531905,8.23369012065,24.2151,88.1263398806,257.869330439
10.9929555121,2.44377,2.44519264742,216.128257897,2.44445397378,2.44639,0.0469685,0.74927,241.29070804,23,133.156017435,18.0785,0.096729289862,155.534825219,-2.60844,23,231.281219421,5.05281809013,24.8474,73.9998937181,244.422187286
57.1928724336,2.65222,2.65379626667,265.372962462,2.65328310192,2.6548,0.046671,0.899591,285.89897352,24,152.847843104,18.6949,0.0948135375292,174.27014798,-2.82343,24,277.506809284,3.65433492029,25.5883,72.3743377632,316.752888438
15.3025187175,2.85475,2.85588702629,199.682632022,2.85536750695,2.8574,0.0611018,0.619373,256.859057482,25,129.856853939,19.3828,0.10552664738,151.769589974,-3.03864,25,232.01080862,19.4403357286,26.2304,76.8222378193,260.710165769
16.1115788876,3.06339,3.06474684945,191.73546903,3.06437266665,3.06605,0.0571675,0.839414,214.043192827,26,119.055278023,19.9234,0.109096016039,140.654169899,-3.24834,26,201.015853139,4.46491692392,26.94,83.2638664235,255.256694968
155.945912777,3.25562,3.25709065487,167.627846744,3.25661008755,3.25839,0.0609925,0.722483,193.34052562,27,111.835674831,20.4496,0.112114627223,214.787420346,-3.4406,27,178.823725988,4.90360216442,27.62,38.7242073011,285.330767942
59.2393130861,3.45213,3.45393270189,314.238435343,3.45338414088,3.45528,0.072123,0.712983,801.548369385,28,166.888647907,20.9897,0.122538757484,185.612332953,-3.63952,28,462.697639675,94.8974751874,28.3661,86.5132461049,334.297182458
103.262711381,3.65574,3.65677053684,296.10869707,3.65639729387,3.65867,0.0660676,0.608165,345.466027963,29,139.792604048,21.4624,0.115881696318,215.188490994,-3.83966,29,322.904174989,12.0557267335,28.8831,79.9168476007,327.943685297
133.632069408,3.84891,3.85037414432,241.620354613,3.84994592181,3.8527,0.0727734,0.726607,447.501713446,30,146.859322764,21.9475,0.126262465355,250.68563664,-4.03961,30,310.287961733,58.5938993,29.5113,68.9004686047,336.015486457
202.17521734,4.04466,4.04586968556,296.619064695,4.04550971751,4.04781,0.0770421,0.681049,356.7531715,31,130.29302188,22.4263,0.130650562318,284.924123609,-4.23548,31,318.756103582,13.1385899555,29.8562,53.0444387852,376.139124621
58.1236819429,4.27469,4.27693979387,336.016657109,4.27624774958,4.27854,0.082302,0.691664,397.326933264,32,144.87769423,22.8146,0.12866802264,218.454025025,-4.47519,32,364.916144702,14.0853616882,30.3384,97.702466298,331.473182266
