AveragePolicySurr,PolicyRegParamNorm,StdEsReturn,MinEsReturn,AverageY,AverageQ,QFunRegParamNorm,AverageQLoss,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageAbsY,AverageReturn,MaxReturn,Epoch,MinReturn,AverageAbsQ,StdReturn,AverageEsReturn,Iteration,MaxEsReturn
0.12356,10.8406,13.5659975987,-28.9363109594,0.0194139972608,-0.186851,10.8615,0.735233,0.744599291481,0.00771055,1.33636858439,0.657784623763,16.656764858,23.8076011712,9,8.51801891397,0.31589,5.47376871336,0.798388691601,9,18.4388125579
-0.31231,12.5421,0.0,12.4144110284,0.18781959626,0.186856,11.1437,0.0306684,0.103522196789,0.783892,13.5378617741,0.617846117192,28.9892054107,30.993459869,10,26.2236135829,0.61128,1.35857116397,12.4144110284,10,12.4144110284
-0.569196,13.7617,0.0,32.4983344926,0.31767261357,0.316742,11.7795,0.0398175,0.12352466989,0.952444,26.6793804147,0.865909949512,42.0337979321,44.0048052799,11,39.9537567866,0.855806,1.43215415853,32.4983344926,11,32.4983344926
-1.01285,14.6063,0.0,29.5874160235,0.574603940312,0.572528,12.7524,0.074157,0.169541489818,0.997007,27.1923322811,1.17679152657,40.9207157046,44.3266056855,12,25.6784484169,1.16246,5.15081434718,29.5874160235,12,29.5874160235
-1.58456,15.2227,0.0,38.6375220601,0.992321789442,0.990131,13.8243,0.0991949,0.195993760956,0.950764,24.7602113048,1.52690588154,38.3166257267,42.6586530126,13,25.9614073493,1.51105,4.60709460417,38.6375220601,13,38.6375220601
-2.20668,15.8002,0.0,40.725218215,1.49724041324,1.49473,14.9082,0.1195,0.213800888065,0.798107,25.9919323592,1.92771738718,39.1122906952,43.7111224558,14,25.2280115879,1.91513,6.97466858299,40.725218215,14,40.725218215
-2.8643,16.3764,0.0,45.4411477131,2.08329103582,2.08018,15.9688,0.14214,0.236326154487,0.929405,22.9532630724,2.36315467732,32.7909652198,39.5857014752,15,27.714943375,2.35249,4.64944776394,45.4411477131,15,45.4411477131
-3.5347,16.9283,0.0,37.4162983622,2.72346205077,2.71965,16.9149,0.170997,0.257328473085,0.884274,23.8696025517,2.89565140973,33.9736572904,39.1026664239,16,29.9202564117,2.88491,2.4611961206,37.4162983622,16,37.4162983622
-4.28954,17.4277,0.0,32.4001376679,3.45324925271,3.44995,17.8739,0.177941,0.273868205689,0.987805,21.8103541524,3.55546622809,28.6915892284,35.0925477969,17,18.5513407278,3.5459,5.24729879748,32.4001376679,17,32.4001376679
-5.01593,17.8108,0.0,34.1120904191,4.17353133067,4.17001,18.7258,0.223363,0.288975454504,0.987978,12.7637539429,4.22639027016,12.9272586709,22.0423505747,18,-3.98289840519,4.21986,7.62011808091,34.1120904191,18,34.1120904191
