AverageAbsQYDiff,AverageAbsY,AverageEsReturn,MinReturn,AverageAction,MaxEsReturn,AveragePolicySurr,Iteration,AverageY,AverageDiscountedReturn,MinEsReturn,QFunRegParamNorm,MaxReturn,Epoch,AverageReturn,StdEsReturn,AverageQ,AverageAbsQ,AverageQLoss,PolicyRegParamNorm,StdReturn
0.338825133426,0.180600168129,20.015089122,18.7777757983,0.251121,154.871058522,-0.539693,9,0.0875970197114,18.405509086,-1.18093989101,19.1278,20.8403475955,9,20.2208676885,21.5132180274,-0.178549,0.201864,0.214025,19.257,0.451032030378
0.0358940092235,0.139275785645,7.13729395763,3.4902460994,0.943764,34.7076936607,-0.17025,10,0.129027113968,3.64329428549,2.80377806612,19.2469,4.35823835967,10,3.70866839,4.59669822202,0.128881,0.142291,0.00444441,22.013,0.21040139263
0.0213687952411,0.197671195359,6.35566554365,5.68619548273,0.998916,42.6664073611,-0.209232,11,0.194282394698,5.67595580367,2.52956463457,19.3541,6.02293834853,11,5.83475006436,3.69632746323,0.193974,0.197396,0.00112959,23.3591,0.0602151442384
0.0250326252958,0.296164181653,20.79145704,36.6993405863,0.999997,54.4390448483,-0.322715,12,0.291888505519,34.4918233047,5.41215111515,19.6884,40.7669707391,12,38.8142979251,17.6087521756,0.291443,0.295874,0.00177815,24.1869,0.967618878355
0.0323225375415,0.446616375306,41.8870484107,48.1499762368,0.928824,59.6782210596,-0.498293,13,0.441699022948,50.7622834439,11.9949718058,20.3485,64.8181109399,13,60.5599197226,7.89494172785,0.441171,0.446206,0.00325934,24.5596,3.02889886641
0.0377347875697,0.595121766269,65.2191932123,83.3630757492,0.970775,86.7427519206,-0.65602,14,0.590923431181,72.4698143272,11.6299072126,21.2101,97.6697117131,14,93.9948018754,14.0621646385,0.590426,0.594683,0.00490252,25.8297,1.91801195991
0.0413611454473,0.738426774437,88.4394480967,112.417000743,0.904378,149.920780836,-0.811563,15,0.734584238508,83.5701822041,13.7750294118,22.1902,115.918871065,15,114.248775272,29.5009754877,0.734064,0.737957,0.00624145,27.7098,0.646518335854
0.0444836052983,0.882080445518,134.045962773,114.963933903,0.706327,182.923868191,-0.963651,16,0.878993130381,85.7061786517,74.1221346526,23.1583,120.015272554,16,117.577820738,39.5702002406,0.878493,0.881634,0.00746098,29.6962,1.15708601472
0.0489625443348,1.02940456776,152.798521075,167.371800687,0.505778,189.546341043,-1.12141,17,1.0271066085,111.611701569,85.91661637,24.1889,182.672668274,17,172.960570369,32.9672371974,1.02658,1.02896,0.00946841,32.076,3.93098519464
0.0540930527071,1.18965478429,143.402399839,163.539874514,0.473024,207.564928397,-1.29498,18,1.18753083717,108.293939476,24.4974525234,25.2178,171.947401286,18,167.278203964,51.5170627567,1.18682,1.18901,0.0118093,34.9354,2.31451729786
0.0597900119764,1.3577038514,144.113376809,174.199747404,0.614992,189.207927821,-1.47827,19,1.35608957667,114.505345785,21.8690699796,26.4124,189.414130197,19,181.814469272,52.8953517118,1.35558,1.35748,0.0152876,37.1312,3.76176523972
0.0657416043638,1.53940105309,165.291953746,171.617482199,0.574746,196.500468606,-1.66503,20,1.53797624442,113.637467233,90.322603143,27.5711,187.285648555,20,179.171239826,32.3442571869,1.53733,1.53926,0.0190196,39.0271,3.84864975081
0.0719964242052,1.72225182064,156.13733286,167.424540332,0.724697,221.206082879,-1.86036,21,1.7211522095,110.906910141,47.8226904305,28.7205,172.314266028,21,170.175869948,54.1665172327,1.7204,1.72189,0.023341,40.811,1.1849348512
0.0766911434518,1.91085374552,144.131345128,163.082440031,0.59477,204.26360954,-2.05771,22,1.90967192576,110.421369397,67.6087490377,29.7934,173.646097033,22,169.6242703,43.6313184916,1.90899,1.91078,0.0267162,42.4865,2.06102515867
0.0798080660063,2.09686462094,136.779489917,170.962844332,0.673171,183.84904021,-2.24391,23,2.09586657087,112.878432643,4.3798737331,30.8985,178.04702458,23,175.320150243,52.4710070041,2.09507,2.09664,0.0291989,43.8678,1.53536507443
0.0877669160061,2.27780538417,165.915107804,168.943712693,0.78658,194.468533418,-2.4295,24,2.27689605943,111.234156778,109.026022553,31.8956,174.279321094,24,171.856422664,26.153481282,2.27626,2.27803,0.0333937,45.153,1.32374427294
0.0883707097481,2.45886146305,172.025246058,165.489215621,0.659172,223.544704446,-2.61687,25,2.45806652728,111.958088439,71.9286178505,32.8225,187.929676221,25,176.582836373,35.3905778232,2.45739,2.459,0.0338923,46.518,5.39778441731
0.0952864189313,2.62865863624,139.758877493,180.15166291,0.588296,202.334958781,-2.79172,26,2.62802667926,115.90858754,25.6824477249,33.69,192.958052405,26,186.333939766,54.828650697,2.62703,2.62848,0.0395286,47.9371,2.52569947458
0.103731504974,2.82303959747,157.049710053,273.491862883,0.793344,350.009934908,-3.00714,27,2.82246866358,146.108920175,14.8688512673,34.564,327.309033525,27,291.967213343,80.5544424788,2.82148,2.82315,0.0465982,49.1853,10.7709735476
0.105423660821,3.03827384001,157.817934056,58.3610251648,0.809577,343.36491777,-3.24868,28,3.03778570298,51.8039063878,13.4339925847,35.2614,68.0516750387,28,62.955722002,119.164711198,3.03709,3.03838,0.0460134,50.2946,1.6974696216
0.114022250048,3.24973849561,191.951596005,243.609991201,0.700435,311.689498643,-3.44531,29,3.2492762937,140.304471926,39.0435594072,36.0554,293.447948357,29,269.308522238,80.2285347187,3.2483,3.24977,0.0595222,51.1662,8.10689658698
