MaxReturn,AverageEsReturn,PolicyRegParamNorm,QFunRegParamNorm,Epoch,MaxEsReturn,AverageReturn,StdEsReturn,AverageAbsY,AverageDiscountedReturn,MinReturn,AveragePolicySurr,AverageQ,AverageAbsQYDiff,AverageQLoss,MinEsReturn,AverageAbsQ,AverageAction,AverageY,StdReturn,Iteration
0.358359240421,-303.97529493,11.7093,11.4925,9,-257.328594861,-7.09895827049,23.5736616202,2.53532604399,-3.6210670515,-35.2496251195,-0.0518319,-0.54659,3.0819158835,14.4529,-344.950158251,1.30981,0.00330843,2.53532604399,11.3002673202,9
-599.731284637,-271.255237079,12.1295,11.6393,10,-271.255237079,-601.541781423,0.0,1.15932679833,-63.3892456067,-603.036791143,-1.68386,1.14052,0.332815186975,0.262487,-271.255237079,1.14256,0.996291,1.15930422491,0.919398517325,10
-598.555871602,-362.759960061,12.6963,11.6649,11,-362.759960061,-711.09240039,0.0,1.08104050033,-71.3100964909,-739.674684518,-1.39677,1.07363,0.149119052366,0.0384517,-362.759960061,1.07363,0.997894,1.08098306918,56.1310490216,11
-305.87955279,-354.957773407,13.5068,11.6415,12,-354.957773407,-323.084025361,0.0,1.11961295064,-35.0415296766,-343.880877926,-1.16184,1.11757,0.103364175819,0.0184591,-354.957773407,1.11757,0.947284,1.11956378412,13.7890641138,12
-558.926899028,-439.185221335,13.85,11.6337,13,-439.185221335,-563.360903862,0.0,0.980376033279,-55.1586475912,-565.105354703,-0.994281,0.979824,0.0845900519814,0.0121798,-439.185221335,0.979824,0.941467,0.980349934818,1.96597168247,13
-345.158537842,-375.911555336,14.9096,11.685,14,-375.911555336,-370.580669727,0.0,0.948382835959,-30.5695418123,-398.704983209,-1.05127,0.947095,0.0727540180441,0.00923516,-375.911555336,0.947095,0.975052,0.948346444433,14.8152457531,14
-185.259629461,-329.253491307,15.5083,11.8064,15,-329.253491307,-229.921937884,0.0,1.05173076347,-18.8711872215,-256.452975867,-1.16247,1.05024,0.0705113583085,0.00899686,-329.253491307,1.05024,0.976737,1.05165103568,21.5769586396,15
-425.637297633,-365.606392879,16.0984,11.9769,16,-365.606392879,-493.928706699,0.0,1.09402530738,-32.5289850878,-583.03476945,-1.16877,1.09303,0.066311911819,0.00809363,-365.606392879,1.09303,0.992843,1.09395962544,40.8078495764,16
-380.233696466,39.0623909781,16.7521,12.1729,17,39.0623909781,-502.211522517,0.0,1.10145981381,-11.4448647128,-614.456400509,-1.15668,1.10062,0.0642824514215,0.00771814,39.0623909781,1.10062,0.982978,1.10138613433,64.9008446629,17
630.963943943,-452.255983659,17.3956,12.4266,18,-452.255983659,202.289032357,0.0,1.09550761074,11.7344042529,-646.929170572,-1.15637,1.09482,0.0582935049286,0.00668423,-452.255983659,1.09482,0.96816,1.09543141846,383.726980512,18
-112.599765773,-527.430399422,17.8667,12.7338,19,-527.430399422,-281.8975875,0.0,1.11252749911,-26.0368861711,-1010.19188333,-1.18547,1.11192,0.0581980048244,0.00694342,-527.430399422,1.11192,0.975108,1.11244026549,266.407917208,19
-685.2326348,-240.530787759,18.3975,13.097,20,-240.530787759,-784.74378353,0.0,1.13486267327,-49.9111284457,-892.58793173,-1.18862,1.13429,0.0560030400532,0.00652315,-240.530787759,1.13429,0.967855,1.13478576637,65.6451493455,20
-527.258927774,-230.112284899,18.9007,13.5024,21,-230.112284899,-585.335024591,0.0,1.13860157502,-35.8254949201,-739.800769465,-1.18909,1.13797,0.0546588987288,0.00625145,-230.112284899,1.13797,0.983954,1.13854151167,58.4738278008,21
-525.30477255,-336.082469929,19.2205,13.9385,22,-336.082469929,-549.005743726,0.0,1.13333140442,-31.9257256606,-585.003774629,-1.17065,1.13288,0.0537872400778,0.00605086,-336.082469929,1.13288,0.971295,1.13327462385,17.1932722117,22
-490.532743284,-381.585731261,19.4669,14.391,23,-381.585731261,-526.093719447,0.0,1.1167386332,-25.3004915531,-580.429170628,-1.17141,1.1162,0.0530911538729,0.0064155,-381.585731261,1.1162,0.933626,1.11663255092,23.6057339636,23
-111.211845571,-394.978880612,19.7684,14.883,24,-394.978880612,-199.453701263,0.0,1.12976965478,4.33733986046,-250.539068364,-1.19639,1.12936,0.0532539738367,0.00620564,-394.978880612,1.12936,0.888734,1.12969296809,45.2111875165,24
39.2469589959,-321.085991883,20.1825,15.3332,25,-321.085991883,-57.0240192202,0.0,1.14064912071,-1.84007629878,-292.565295935,-1.20383,1.14004,0.0528199611236,0.00622421,-321.085991883,1.14004,0.817355,1.14054813083,91.031192402,25
12.7162753702,-150.164331021,20.709,15.8006,26,-150.164331021,-137.452586718,0.0,1.16044470981,-13.4956401339,-434.028057111,-1.22898,1.16,0.0532894313648,0.00628499,-150.164331021,1.16,0.76636,1.16037615088,159.610498337,26
-262.985789973,53.9716560142,21.2425,16.2452,27,53.9716560142,-395.509138422,0.0,1.17614223393,-2.04549214267,-527.294557511,-1.23962,1.17565,0.0539952873513,0.00632466,53.9716560142,1.17565,0.748604,1.1760696938,76.524362781,27
189.913827537,-191.151259111,21.8855,16.7647,28,-191.151259111,-74.8153679585,0.0,1.19216547858,-1.39343811253,-639.684795575,-1.25739,1.19175,0.058686367681,0.00804011,-191.151259111,1.19175,0.787471,1.19209274961,332.711239173,28
147.776216393,-114.092480265,22.467,17.1886,29,-114.092480265,40.9506022468,0.0,1.20889357984,10.7781249216,-152.275024781,-1.28372,1.2084,0.0587525703662,0.00761375,-114.092480265,1.2084,0.891677,1.20882719475,91.7333535601,29
428.502164229,-153.467026215,22.9468,17.6241,30,-153.467026215,131.627313903,0.0,1.24117070017,0.934610319633,-329.546505236,-1.31606,1.24065,0.062026670834,0.0085492,-153.467026215,1.24066,0.888777,1.2411036566,237.465417779,30
364.596137217,114.874033627,23.3027,18.0828,31,114.874033627,82.7736983574,0.0,1.27019696186,-16.2487556943,-461.412977165,-1.34293,1.26952,0.064901279577,0.0100272,114.874033627,1.26952,0.913937,1.27012534684,256.664042543,31
442.877741559,-48.6746235003,23.6594,18.5174,32,-48.6746235003,220.911217782,0.0,1.30068689827,16.0932073795,56.2709892626,-1.37666,1.30015,0.0652292904267,0.00960937,-48.6746235003,1.30015,0.896609,1.30062034343,109.732568174,32
271.894877336,132.206950887,23.9954,18.9517,33,132.206950887,181.396720025,0.0,1.3400001745,14.2604594514,-11.4279593886,-1.42028,1.33935,0.0656524087945,0.00991018,132.206950887,1.33935,0.82565,1.33989519682,86.2881386828,33
234.599962277,106.195809705,24.4406,19.4026,34,106.195809705,35.4799900374,0.0,1.37932723965,6.87732533428,-108.971296231,-1.45482,1.37891,0.0664903113831,0.00997584,106.195809705,1.37891,0.872742,1.37923636233,109.911188811,34
527.465889852,190.270753274,24.9402,19.7811,35,190.270753274,371.820801768,0.0,1.41389458258,31.1491176439,-19.439550575,-1.48951,1.41335,0.066180435434,0.00925609,190.270753274,1.41335,0.914997,1.41383812519,160.477742535,35
565.810152882,274.624084259,25.3916,20.2118,36,274.624084259,332.544795483,0.0,1.4498276594,25.8773100411,-374.085719553,-1.52658,1.44925,0.0679501145533,0.01054,274.624084259,1.44925,0.920659,1.44973012175,347.777885874,36
650.265340106,414.909401786,25.703,20.6086,37,414.909401786,443.164796982,0.0,1.50634668731,25.5823175885,-546.847203652,-1.58854,1.50567,0.0696967114079,0.0112383,414.909401786,1.50567,0.923255,1.50623306804,336.075153798,37
754.998234177,356.988318504,26.0871,20.9736,38,356.988318504,696.458769595,0.0,1.55406136743,51.5021132235,646.405600015,-1.63321,1.55333,0.0698585566589,0.0107197,356.988318504,1.55333,0.949941,1.55397960169,31.9079571309,38
871.04508725,430.98619814,26.3793,21.3359,39,430.98619814,833.039346973,0.0,1.61873964129,68.5120521298,798.907087784,-1.70256,1.61809,0.0696942185473,0.010646,430.98619814,1.61809,0.966262,1.61866891601,25.2147625888,39
796.26711814,181.878286215,26.6701,21.6632,40,181.878286215,733.455180821,0.0,1.69020189118,59.3121224328,637.314900194,-1.77849,1.68936,0.0712369380975,0.0111654,181.878286215,1.68936,0.941128,1.69011970387,39.3835069202,40
1134.21312137,242.105754857,27.0183,22.047,41,242.105754857,917.217955659,0.0,1.76456652086,72.9644434892,821.114135877,-1.85423,1.76388,0.0730077444414,0.0121401,242.105754857,1.76388,0.966698,1.76445795463,87.3267259751,41
1022.68691521,458.653598611,27.2292,22.3808,42,458.653598611,933.711815709,0.0,1.8475870109,79.7052559509,840.80686404,-1.93901,1.84686,0.0736380128999,0.0118963,458.653598611,1.84686,0.98185,1.84752496772,53.8212055935,42
626.18396736,392.302644866,27.538,22.784,43,392.302644866,501.713216905,0.0,1.92850778026,39.0335514782,317.626995457,-2.02191,1.92793,0.0744651171226,0.0132759,392.302644866,1.92793,0.953958,1.92842847697,92.4900800111,43
963.807000695,511.000719334,27.7429,23.159,44,511.000719334,734.667697011,0.0,2.0198790685,59.1095625259,127.091599133,-2.11328,2.01891,0.0775899507134,0.013364,511.000719334,2.01891,0.947437,2.0197894449,239.638912804,44
681.697507302,493.401681882,28.0044,23.566,45,493.401681882,570.18219567,0.0,2.10409584602,50.0725794753,238.565223853,-2.19945,2.10329,0.0805675540066,0.0163368,493.401681882,2.10329,0.944282,2.10398044591,139.331368492,45
855.62483997,384.448739563,28.3478,23.9773,46,384.448739563,320.513842704,0.0,2.18673167225,50.255230769,-561.945735733,-2.2838,2.18593,0.0811332163642,0.0161624,384.448739563,2.18593,0.94669,2.18662980445,506.025464278,46
1317.17143937,546.80452997,28.5652,24.3958,47,546.80452997,940.479454867,0.0,2.2747465991,79.0476817995,-591.900061095,-2.36996,2.27379,0.0842548348048,0.0185642,546.80452997,2.27379,0.965537,2.27461910351,622.141836875,47
