StdEsReturn,MinEsReturn,AverageReturn,MinReturn,AverageAbsY,StdReturn,AverageEsReturn,AverageY,MaxReturn,AverageAbsQ,AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,PolicyRegParamNorm,Epoch,Iteration,QFunRegParamNorm,MaxEsReturn,AverageAction,AverageQ,AverageQLoss
60.6669379637,-286.838432964,97.7999282024,87.4715535587,1.5226752711,7.31495610042,-182.400698975,1.51395722283,112.547940675,0.739333,6.97923514265,-0.958284,1.20514834474,11.78,9,9,11.5827,-84.3739698817,0.213658,0.645115,2.30487
0.0,-334.44486046,-555.766824242,-556.869036142,0.814164013668,0.789661482965,-334.44486046,0.705801957575,-554.548313422,0.768237,-54.3415135449,-1.76102,0.360224984472,12.4112,10,10,12.2624,-334.44486046,0.928337,0.696292,0.25976
0.0,-401.215463379,-589.039889375,-591.495402642,0.846923126977,1.50187817131,-401.215463379,0.681439003379,-587.240818134,0.815084,-52.5542888811,-1.75535,0.228003254011,14.2357,11,11,12.9907,-401.215463379,0.993761,0.680671,0.0890274
0.0,-422.325442857,-558.048204765,-561.047923831,1.29715215935,1.5643294937,-422.325442857,1.06870193307,-556.067861837,1.27389,-48.5815243986,-1.94444,0.235276396708,14.7444,12,12,13.6493,-422.325442857,0.942716,1.06639,0.0961383
0.0,-423.857547893,-421.758039262,-495.023087405,1.79771847345,77.7571584215,-423.857547893,1.37104629585,-229.262837696,1.77722,-4.15853354019,-2.1611,0.252767013443,15.5214,13,13,14.3497,-423.857547893,0.869952,1.36954,0.113092
0.0,-342.140550112,-539.554133462,-629.332263968,2.11264843382,53.8171331379,-342.140550112,1.69011355096,-461.448410981,2.0888,-38.8751385333,-2.5014,0.289082051222,16.1924,14,14,15.0704,-342.140550112,0.747459,1.6887,0.145685
0.0,-351.845762069,-311.796508535,-338.305593078,2.31602138152,16.5166481267,-351.845762069,1.94598608789,-282.683900401,2.29131,-11.3772233908,-2.49268,0.305469131415,16.8593,15,15,15.8708,-351.845762069,0.59452,1.9441,0.170405
0.0,-345.340583859,-153.493786211,-216.344600039,2.53134445261,33.8365961546,-345.340583859,2.01879861648,-109.489909541,2.50299,-13.6478182444,-2.61519,0.335400080054,17.5029,16,16,16.7523,-345.340583859,0.671115,2.01692,0.214059
0.0,-357.096897456,-226.636928739,-264.680715118,2.70001885943,43.7965458365,-357.096897456,2.20582524616,-130.534465273,2.67055,3.03923114603,-2.79903,0.357262453414,17.9272,17,17,17.5751,-357.096897456,0.51433,2.2041,0.241225
0.0,-84.8479017992,293.096823302,-62.3783940651,2.89560319441,184.690937209,-84.8479017992,2.45785054606,488.146597332,2.86564,3.17528321571,-3.12013,0.370507604641,18.4474,18,18,18.3703,-84.8479017992,0.690764,2.45582,0.253832
