MinReturn,AverageAbsY,AverageAbsQ,StdEsReturn,MaxEsReturn,MinEsReturn,AverageY,Iteration,AverageQLoss,Epoch,StdReturn,AverageEsReturn,AverageQ,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,QFunRegParamNorm,AverageAction,AverageAbsQYDiff,AverageReturn,MaxReturn
-4.53233869827,2.74237492409,2.74991,36.0340044472,69.2946019594,-2.77340693493,2.46635494898,28,0.568148,28,44.0249106964,33.2605975122,2.46531,21.9808,-0.0433130049997,-2.56051,65.3219,0.0750512,0.107931736148,60.3473568678,92.7507979582
-7.39422416134,3.11851738081,3.13672,11.1144049166,94.6102009011,70.0288381702,2.85407606809,29,1.40577,29,44.8644567841,85.6975932741,2.85319,22.6942,0.139672540427,-2.95641,67.7708,0.0867328,0.151031486256,60.6711186411,93.9780517901
-90.3608983334,3.21561625589,3.24348,4.08560677043,97.6466298105,87.660036837,2.95856283057,30,2.09957,30,51.1286688052,92.8406514304,2.95871,23.2809,-8.88006280126,-3.0742,69.7002,0.899614,0.207338146604,-18.3348196191,36.1424461979
-2.79223612441,3.44527617111,3.46672,54.622819957,89.8846038019,-34.9920411119,3.17857128392,31,1.48757,31,0.247444788291,41.3139244858,3.17828,23.6774,-0.212842934902,-3.29703,71.7147,0.0235931,0.18832169553,-2.35694923786,-1.97599288038
-3.18753671117,3.68916428063,3.71393,40.3525199545,91.1067037059,-6.02294790889,3.395678313,32,1.48833,32,36.340761262,63.6990037878,3.39525,23.7507,-0.278208454417,-3.52294,73.4051,0.0399209,0.194486599513,14.2663054883,92.7060375789
-2.78388808356,4.01095619631,4.03856,34.6686054808,95.4691086577,-0.343275573701,3.70353251837,33,1.1732,33,42.8108107527,77.0367441197,3.70416,24.6021,-0.241705300444,-3.86411,75.0575,0.0408812,0.196600583201,23.5190876021,94.0729458211
-34.4177194004,4.52337229692,4.55014,36.1889269051,93.8675800734,-5.86343424636,4.21615420275,34,2.31832,34,48.3022053214,74.5114471627,4.21527,25.4842,6.95245160463,-4.3933,77.006,0.534114,0.230725421872,60.0067334953,88.0169105889
56.8784724167,4.79968563053,4.83273,38.5691198716,95.1795241316,-1.98364045857,4.50026674933,35,1.57532,35,7.03560311241,63.1615597243,4.50099,25.7761,-3.97148449358,-4.70409,78.5107,0.918045,0.238340381194,69.2602920535,83.6244109112
-1.0264072175,5.20363257555,5.23512,4.79313052468,93.794638465,81.2208940917,4.91609840612,36,2.21633,36,0.0404815822531,89.2997253245,4.91459,26.3281,-0.106791364734,-5.15766,79.907,0.00947736,0.2580292264,-0.946788458561,-0.894607836819
-19.3426987144,5.59038648208,5.62106,41.497034885,90.9859489314,-6.98072168383,5.32689349179,37,2.54237,37,0.16597523186,64.8418257117,5.32521,27.1372,-1.94513008105,-5.5856,81.1784,0.189938,0.268484749797,-18.9747695267,-18.8655384467
-16.8349674691,6.1157756497,6.15941,38.1876781137,94.8174562789,-5.71021491995,5.87392236327,38,1.50224,38,0.218761979269,70.0123890141,5.87255,27.779,-1.70165787691,-6.18079,82.083,0.164147,0.262330886716,-16.3982962304,-16.2513503097
-12.94529848,6.57097752786,6.61646,40.3731744653,87.9420565753,-0.191854187942,6.34762158481,39,2.23615,39,0.197899437787,56.8249180265,6.34648,28.2216,-1.30196175541,-6.6787,82.8375,0.125252,0.283149458097,-12.512640904,-12.3912526189
-17.6259258773,6.83373810157,6.87881,42.1020151389,68.9191175314,-15.2849127464,6.61988409207,40,2.19756,40,0.311645305069,26.8171023925,6.61771,28.7312,-1.8140019942,-7.00156,83.0871,0.170452,0.29871079985,-17.0281331502,-16.7608812076
-25.4782012746,7.03277684568,7.07507,43.6369247915,90.41970576,-6.8753744821,6.8206296259,41,2.04085,41,29.4621278179,54.5482976573,6.81965,29.3742,-2.45805304073,-7.22889,83.1156,0.266192,0.289984044243,-15.8028737472,77.3633221252
-0.0817141325979,7.64922721803,7.69045,46.6696071002,84.1345879701,-18.2840378045,7.44126589011,42,1.84869,42,0.0144985777775,47.5845680846,7.43866,29.7968,-0.011651252391,-7.90365,83.0676,0.000556502,0.3232351906,-0.0555945492173,-0.0408577027426
-0.0214400519324,8.23227885353,8.27574,35.1083692451,91.7415680853,-3.55943341164,8.01296094736,43,0.986709,43,0.00594943604161,74.8945684496,8.01078,30.2253,-0.0034528039442,-8.49739,83.1455,6.93971e-05,0.325998881327,-0.00693277645367,-0.00101830663036
-0.452829734154,8.8218394112,8.86341,34.3660043368,93.950215858,-1.41993158047,8.57997649979,44,1.47529,44,0.0150038168011,75.266590011,8.57797,30.6968,-0.0448026576569,-9.11887,83.1599,0.00418349,0.351193234582,-0.417930492925,-0.40789096843
92.4606004447,10.0162025478,10.0657,28.0291054601,94.6911076251,-4.151997962,9.74894825377,45,2.01543,45,0.0585163030183,84.4486788662,9.74706,31.0696,41.9630895192,-10.3505,83.3735,0.966246,0.404249634845,92.6601923135,92.7596274518
91.6246539495,10.994664049,11.0439,2.90532046383,99.8505293391,88.788690171,10.716872834,46,2.20954,46,0.622378898637,93.3309905576,10.7147,31.4815,41.4949220566,-11.3469,83.6322,0.825606,0.417212559413,93.4653634014,93.9012348175
90.5955344509,12.1388162275,12.1916,1.55238734799,97.069353341,90.8178754136,11.8490016798,47,2.56299,47,0.634230209219,93.7802158841,11.8461,31.9067,43.1876832526,-12.5367,84.4295,0.974032,0.446809715178,92.8072038808,93.1620993337
90.729870057,13.658089626,13.7044,2.09534553087,99.2864017947,89.8410526617,13.3651637931,48,3.19648,48,0.92604116168,93.9966087214,13.361,32.1999,40.8290156319,-14.0835,85.3991,0.929985,0.481396630831,92.6058803094,93.4110980291
91.8337836761,14.4508631858,14.4992,1.89931361426,96.763985025,89.7467037728,14.1551567906,49,3.47189,49,0.876264057798,93.1911639696,14.1553,32.3485,40.8909271252,-14.9089,86.3756,0.871312,0.50238253219,93.0169592027,93.863231811
91.5826775506,15.7948369103,15.8363,1.2344511969,95.0025091035,91.3398467545,15.4972064115,50,3.02695,50,0.898185488569,93.4176432501,15.4944,32.5266,33.7101845146,-16.2973,87.0404,0.739577,0.501547398641,92.7693756045,94.5117672743
81.6359897212,16.9650909741,17.0158,1.43616208417,95.7386487398,90.8771557242,16.6695008195,51,3.23994,51,2.17321348233,93.4522258369,16.6675,32.6953,18.66367427,-17.5079,88.2659,0.738687,0.564906400114,89.0891626718,90.896226463
82.7090289977,18.1011710397,18.1564,2.82268717942,97.4630077952,87.8278688833,17.7860984273,52,3.87691,52,1.8455438486,92.1063125968,17.7844,32.8257,30.7710432524,-18.6271,89.5095,0.709998,0.58625893388,92.3297256611,93.8134465592
78.5753689386,19.1998647114,19.2616,1.55654942226,95.601013282,90.8280809791,18.8758263517,53,4.07788,53,2.6245383091,93.279485832,18.8753,32.938,13.4136819522,-19.7246,90.8332,0.837245,0.604619764187,86.0459164648,88.5585830545
-3.21057249119,20.1987910937,20.2756,6.32668280745,96.4623692487,81.0079667778,19.8578182861,54,4.81422,54,26.2368236842,88.403136847,19.8597,33.1679,0.933291940717,-20.7084,92.2215,0.0357634,0.658931076362,5.79255027667,88.7519871943
-1.70225004274,21.0745304212,21.1661,49.4479587853,82.0239461925,-25.9893972285,20.7278312269,55,5.57861,55,0.186475280177,43.8384665231,20.7293,33.4511,-0.363917017784,-21.5684,93.6527,0.014736,0.696949105366,-1.47212776304,-1.20277132941
-1.35015237621,21.9382764331,22.0252,39.8265593121,93.8896732031,-15.4049685757,21.5907540839,56,6.34637,56,25.524813135,73.5330807011,21.5921,33.6843,1.35645295629,-22.419,95.2986,0.0230024,0.717688336739,6.97176513619,87.6869282542
-7.9187116934,22.9874666149,23.077,36.8549553989,93.0008530598,-2.32588702206,22.6256151486,57,6.38263,57,46.7787962544,71.2570965335,22.6249,33.9254,4.39255671506,-23.4241,96.9196,0.162038,0.709312033567,33.3684165224,87.6550388751
85.1732807684,23.7605563842,23.8545,34.7872270311,93.9424491002,-1.99628018582,23.4006325812,58,7.05843,58,2.81082342365,75.2522048764,23.4044,34.162,20.8132529888,-24.1738,97.9665,0.568797,0.765922573151,90.2215049667,93.9751707392
82.3515674997,24.7325326338,24.8254,1.8127218008,93.0261018251,88.0863185969,24.3733051918,59,7.27015,59,3.2297688099,90.1802609121,24.3758,34.3624,30.0169030019,-25.1376,98.9418,0.787763,0.758138490639,91.0256978491,94.0054577343
82.6794990401,25.3660450067,25.4591,4.52708353697,97.4404483226,83.7794150644,24.9962450678,60,6.19261,60,2.82427958307,91.2470272002,24.9967,34.5327,31.297338747,-25.7144,99.7257,0.830428,0.732911192993,91.1347376725,93.9726297221
80.4288107297,26.249548004,26.3417,1.67305221679,95.18275081,90.4272581315,25.8773860151,61,5.14558,61,2.550848838,92.0650950008,25.877,34.6716,38.2942430123,-26.5684,100.466,0.849835,0.694880109646,92.4680542959,94.2459254865
84.1880064441,27.2551812273,27.3489,2.2360688621,94.6518120643,86.8941510823,26.8862025276,62,5.92267,62,1.75865237224,90.5391405298,26.8843,34.8428,40.9001793602,-27.5737,101.038,0.900997,0.716678107814,92.7120952985,94.0490711154
82.6032121684,28.0452809006,28.1367,3.65976748592,93.3552955499,81.8553885609,27.6714806684,63,6.28933,63,2.19701515976,90.2949057479,27.6708,34.9857,40.4605140551,-28.35,101.688,0.961701,0.739375924655,92.1507973267,93.5970524257
92.6149727553,28.9128779618,28.9953,3.34582599856,96.9547177865,85.1811183975,28.5474331095,64,3.13045,64,0.248949149655,91.1067150063,28.5461,35.1313,46.0993550682,-29.1893,102.541,0.984728,0.617318107705,93.2944730166,93.6063815443
92.1896213557,30.0134617441,30.067,2.53631045207,94.6028252381,87.6835304809,29.6397925771,65,3.41613,65,0.312141732446,91.2059505183,29.6388,35.3425,44.617144178,-30.2486,103.469,0.985928,0.599890819544,93.0207410111,93.5216958186
93.0718081597,30.6040716737,30.6415,2.19652438586,94.384894771,86.7912627205,30.2214037402,66,3.37271,66,0.0895163443757,91.7689130027,30.2204,35.3597,46.3699029112,-30.8119,104.465,0.98937,0.58547176955,93.3174366314,93.4332696548
92.9016624837,31.6609620114,31.7055,2.4574130656,99.1982917598,89.2648342576,31.3040759004,67,3.22195,67,0.0541109252664,93.6507877775,31.3045,35.4978,44.7018671421,-31.94,105.572,0.998147,0.553664268554,92.9693891673,93.1019145299
92.6047092909,32.6263942124,32.6753,2.8324509771,98.069326138,87.5918629001,32.3049839175,68,3.68899,68,0.0623707680842,93.0584329616,32.304,35.7133,43.6021887034,-32.9761,106.744,0.995611,0.591769250787,92.7832640076,92.9203393755
92.3801245442,33.3088615366,33.3586,1.64780170452,94.501861237,88.7378133761,33.0244483944,69,2.7113,69,0.0622588910099,93.1644107332,33.026,35.8613,42.0220488783,-33.7534,107.836,0.995228,0.578323522008,92.4893990092,92.6086855339
91.8645309397,34.5715321176,34.6162,2.6265488147,96.5827176665,87.0239202067,34.3096202323,70,3.81261,70,0.0938680120478,92.5783583499,34.3112,35.938,40.2410039123,-35.0881,108.785,0.997401,0.634202773239,92.1291721447,92.401675026
91.8023449449,35.7100699064,35.7491,1.63120062616,96.4117443849,89.6046714341,35.4761620802,71,3.48871,71,0.0973811679036,93.4260820172,35.4773,36.0801,40.4025128197,-36.3242,109.611,0.99741,0.655740554031,92.1609782104,92.400509618
92.0980688528,36.8765790865,36.9234,1.68692657565,95.0685026945,89.0944054043,36.6776438041,72,2.82899,72,0.107472266499,92.7957268577,36.6771,36.1959,41.2095322591,-37.5891,110.447,0.99567,0.650311350851,92.3302813535,92.5001979313
92.1098035966,37.9963061346,38.0398,1.49554708514,95.4161135794,89.1123510185,37.8098975801,73,4.19456,73,0.108280562466,93.6724686246,37.8094,36.3366,41.5587634714,-38.7405,111.439,0.995922,0.709899242709,92.3960212523,92.5827214646
91.866939526,39.2533067825,39.2892,2.11674936022,95.7266520975,87.9576968848,39.0927644474,74,3.84168,74,0.135710257142,93.2556611669,39.094,36.451,40.6703371774,-40.057,112.421,0.997474,0.707514024022,92.2127398791,92.5001710509
92.2003537898,40.3368952743,40.3604,1.79507060694,96.3589716345,88.7930092059,40.1975045337,75,4.74167,75,0.10981416127,93.8475497895,40.199,36.5453,42.2177265696,-41.2471,113.467,0.997239,0.731359316756,92.5132689363,92.6993905155
92.400440986,41.6822570194,41.7022,0.825662054761,96.0226486417,92.5865836339,41.5783022407,76,3.86074,76,0.108877842507,93.9454978852,41.5773,36.5968,43.4421160063,-42.6713,114.35,0.996442,0.708488740167,92.7483548413,92.8976203561
92.5001425634,43.037014719,43.0526,1.37013648453,96.6830816534,90.9254609292,42.9559192127,77,4.36253,77,0.124036897014,93.7636023142,42.9553,36.7014,43.8444095896,-44.0982,115.226,0.997395,0.753944446604,92.8166013517,92.9998149126
92.4000909418,44.1405325417,44.1492,1.74464143661,98.1761271948,90.384213513,44.0849013517,78,4.85003,78,0.127789235923,93.8470546079,44.0829,36.7997,43.3271847763,-45.2446,116.184,0.997123,0.74636693395,92.7224453278,92.8957161775
92.4803387982,45.904090099,45.9095,1.94898907235,99.6035796501,90.0884082716,45.8745088545,79,3.37779,79,0.103695482991,94.1714858912,45.8742,36.8166,43.552861695,-47.0797,116.973,0.996844,0.683155313043,92.7663826655,92.8989043121
92.6000419016,46.8188089302,46.8195,2.28326515676,99.3877258127,89.773594427,46.8077749101,80,4.75676,80,0.119182422962,93.7938874166,46.8069,36.8662,44.175830741,-48.0395,117.794,0.997294,0.749773107934,92.8781856426,93.0943469355
92.2035897259,48.1554309126,48.152,0.729672573354,94.2130539808,91.4781608373,48.1535267862,81,4.42438,81,0.125121483731,93.5906353012,48.15,36.9953,42.209756152,-49.4378,118.664,0.99745,0.736270008554,92.5101904929,92.6991790003
92.400055047,49.7032998464,49.7002,1.58037325299,97.3843100991,90.1444434913,49.7031448359,82,3.67272,82,0.136126765167,93.9295982631,49.7002,37.0251,43.5078248333,-51.0004,119.56,0.99767,0.709043735217,92.7524340377,92.9821100316
92.2002871653,50.9983614224,50.9945,1.19834170264,98.2031133765,93.235038516,50.9983179566,83,3.50423,83,0.118193876062,94.2531387031,50.9945,37.0505,42.2920179175,-52.3541,120.553,0.998173,0.713122270397,92.5211542414,92.6991839153
92.3000964606,52.6404440414,52.6361,1.48360411676,95.7354864997,89.8600673289,52.6404114423,84,3.6964,84,0.101524551442,93.6911034605,52.6361,37.0173,42.5883573688,-54.0038,121.445,0.997167,0.697769014482,92.5840290173,92.7320381205
