StdEsReturn,AverageEsReturn,MinEsReturn,AverageAction,PolicyRegParamNorm,MinReturn,AverageQLoss,AverageDiscountedReturn,Iteration,StdReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageY,Epoch,MaxEsReturn,AverageAbsY,AverageReturn,MaxReturn
67.6245478156,153.069412198,9.36587059838,0.678032,31.3717,-31.9970104812,22.9066,69.3292654641,61,66.2856078375,2.73869218553,58.0858,58.2623,39.9608,-60.7914,58.1066021464,61,215.725551221,58.2631161184,154.127041461,388.738050962
137.722146855,137.394484402,-12.9251287091,0.751576,31.5888,55.5405947935,22.7361,64.2177426769,62,142.814467611,2.8453070309,59.3803,59.5317,40.4078,-62.1335,59.3945595001,62,377.489965507,59.5335141406,166.668528921,943.249652831
91.3410582899,146.516211638,13.3845007687,0.741055,31.9335,125.467393538,25.9558,110.926690421,63,139.563474363,2.87644034527,60.6621,60.8105,40.8866,-63.4917,60.6834814667,63,290.916876086,60.8139132638,273.222761642,894.952010019
62.5286649471,186.698422133,74.6311287708,0.818873,32.1547,143.735995832,27.8699,104.800058657,64,42.5082116361,2.9946215407,62.5186,62.6804,41.31,-65.4377,62.5390024407,64,288.338254312,62.6831002905,175.088427961,361.979375288
105.79172974,141.603883987,2.30419439591,0.763155,32.3914,154.639596267,25.1316,124.270750042,65,67.3602764768,2.90303193063,64.3558,64.5088,41.7948,-67.2305,64.3773288426,65,346.115313546,64.5162780158,271.569264878,611.048960935
70.3004657298,182.3249905,64.7583601386,0.769819,32.6213,127.331166882,25.7754,116.40255046,66,73.7731996927,2.99566970886,65.7587,65.9112,42.2098,-68.6583,65.7863759042,66,311.118773297,65.9227883016,224.18344428,403.467757863
95.2228706267,158.323918074,6.62194192779,0.820884,32.8191,80.9644320834,28.6199,113.702933503,67,80.118078315,3.05557566764,67.5093,67.6753,42.6725,-70.5221,67.5346546654,67,329.481019906,67.6830791349,247.385486437,470.029246625
72.5616691455,174.210299165,79.0374785976,0.792445,32.9803,120.006726512,29.6855,94.136256885,68,11.2345322039,3.1428171257,69.3794,69.5204,43.0923,-72.441,69.4010928343,68,336.042387975,69.528174051,137.04851709,189.999842805
115.89215889,181.965720408,100.880405221,0.858945,33.1695,81.0311702441,30.7502,116.70315832,69,46.6183669731,3.23835297829,71.4518,71.5987,43.5152,-74.6838,71.4775501538,69,492.925739529,71.6052886119,208.816946539,358.283297769
124.865950298,144.805741267,-6.22995826371,0.78682,33.3134,129.563089039,29.0934,133.828535219,70,66.9165993835,3.19576291763,73.2732,73.4028,43.9402,-76.6003,73.2952999576,70,466.053497909,73.4189329226,274.109169053,444.557963847
85.7840347216,184.11085763,8.83277217427,0.83218,33.481,80.9541017703,30.1763,112.146592022,71,58.7551087898,3.23453188243,75.0723,75.2008,44.2901,-78.2697,75.0839963699,71,300.094816201,75.2102745652,216.226248467,475.431780634
102.70569476,192.368698183,108.041554497,0.762482,33.6558,96.1693775555,35.6332,99.2620267556,72,22.0557449497,3.39498258721,76.2851,76.4245,44.6982,-79.5863,76.3154578576,72,445.931363182,76.4397779133,157.529926362,234.741169315
92.9811740962,154.905888608,6.11667231661,0.829571,33.8383,111.71777631,35.8883,82.5706724169,73,1.68493457719,3.38858482206,78.5708,78.7045,45.0367,-82.0084,78.5916745897,73,388.907166538,78.709496171,116.496527207,125.009380312
114.512454673,143.289246775,-8.30017667737,0.828358,34.0084,103.930456994,37.2308,92.3356733929,74,35.6547437391,3.47713539061,80.4853,80.6172,45.4084,-83.9983,80.5195569506,74,301.907025716,80.6410616441,138.850682138,254.993017814
83.0009365416,110.773991454,0.287183338765,0.764999,34.2504,106.247691148,37.6879,116.824414871,75,70.6364897569,3.51161578562,82.463,82.5964,45.7527,-85.8824,82.4839027617,75,233.976848198,82.601376042,277.349028369,451.417216721
