Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageEsReturn,AverageReturn,MaxEsReturn,AverageAbsY,PolicyRegParamNorm,AverageAbsQ,MinEsReturn,AverageQLoss,Epoch,StdReturn,MaxReturn,StdEsReturn,QFunRegParamNorm,AverageDiscountedReturn,MinReturn,AverageAbsQYDiff,AverageY
41,0.84931,-32.5936,30.3973,169.466300843,235.40894262,376.041711222,31.0822644546,27.0933,31.062,-13.1564118445,8.73175,41,58.5038619828,379.40685058,136.177200568,31.4325,114.471268555,138.509723845,1.63298377129,30.4025788917
42,0.793955,-34.1227,31.8045,140.362481347,68.6702557542,346.30410004,32.5055741493,27.4037,32.4713,-25.7656106393,7.9146,42,127.16979263,386.729802215,131.437154845,32.0833,34.1815019489,-43.892273956,1.6366555278,31.8164281038
43,0.82854,-35.6709,33.2689,280.072947507,212.139603088,475.603322403,33.9048182197,27.7214,33.8807,224.967451501,10.7669,43,72.4171719438,405.485419734,81.989430548,32.6276,112.258995105,137.194809499,1.78644902669,33.2839963952
44,0.816082,-37.2145,34.8898,101.739221117,243.285863171,180.937919666,35.5245298529,28.0564,35.4883,-109.427611464,10.2951,44,75.5908603862,499.899857171,97.7453066544,33.0837,117.49372449,129.927097103,1.81146657313,34.9050623357
45,0.806351,-38.7552,36.3502,172.204721858,192.333685367,336.973026871,36.9849715871,28.4072,36.9533,-5.49087175523,11.4301,45,64.7459706271,407.830426835,109.402323537,33.5555,103.624831527,124.883866687,1.90205071037,36.3630886896
46,0.809857,-40.034,37.6504,178.45960862,236.6660865,281.127862186,38.2532689636,28.6245,38.226,15.9797795115,10.6617,46,87.0900658391,451.356555046,84.2383577606,34.0506,119.958314591,126.734987978,1.90931077122,37.6640697552
47,0.785459,-41.4039,38.9939,159.476864498,226.356074783,327.9096335,39.6233653608,28.876,39.5867,-7.79281833639,13.5465,47,58.9687364977,358.838428367,98.3128231699,34.545,116.757217408,136.684769408,2.01506444158,39.0107924031
48,0.834119,-42.9329,40.4403,187.713285372,207.684824046,427.663792033,41.080847043,29.2871,41.0456,-10.6827476305,13.8103,48,87.2314404723,394.25387125,130.047957361,34.9757,110.124042956,92.2825498621,2.09956194602,40.4574619086
49,0.79429,-44.7779,42.2619,155.680004401,310.336453063,248.657487201,42.8760064412,29.5918,42.845,30.0124692035,14.7372,49,29.5126542983,376.231529739,77.4102903206,35.4225,129.659110043,257.416483686,2.14824945174,42.2784468878
50,0.861607,-46.2377,43.6557,185.276927945,182.359435316,277.965516888,44.2338671596,29.9053,44.1995,86.547595965,15.7232,50,115.318001209,484.116751121,55.3103902031,35.9396,80.5805505881,-27.4206762685,2.21568523977,43.6720459609
51,0.83874,-48.2064,45.4888,191.247523006,191.649574365,258.06117774,46.0279532398,30.0939,46.002,56.9468488756,17.129,51,66.6307529593,411.629595474,62.2246895125,36.3559,84.4450385127,17.0619231325,2.33240406043,45.5067841178
