MinEsReturn,AverageQLoss,StdReturn,AverageQ,AverageY,AverageEsReturn,AverageAbsQ,PolicyRegParamNorm,Epoch,AverageDiscountedReturn,StdEsReturn,AverageAbsY,MinReturn,MaxEsReturn,AverageAbsQYDiff,AverageAction,QFunRegParamNorm,Iteration,AveragePolicySurr,MaxReturn,AverageReturn
3.0,0.0176727,1.41574043795,-0.0232035,0.0440253870725,5.16589147287,0.0256721,10.4335,9,13.0195709415,2.20707680645,0.109750391159,12.0,17.0,0.117861103442,0.00261721,10.5005,9,-0.0266727,19.0,13.8888888889
2.0,0.000923186,0.486171704112,0.129451,0.129673145122,2.8547008547,0.13138,11.0747,10,2.36559599619,0.711304214412,0.133376933005,2.0,10.0,0.0170842351494,0.999933,10.8213,10,-0.181136,3.0,2.3832221163
2.0,0.000798651,0.488523855811,0.201914,0.201876631515,2.79329608939,0.201969,11.1136,11,2.37565926281,0.599589968402,0.201876631515,2.0,9.0,0.0162343979666,0.999964,11.1731,11,-0.232251,3.0,2.39348970799
2.0,0.000343603,0.946169882963,0.227841,0.227817714252,4.65258215962,0.227841,12.1263,12,28.7801758171,5.71888030335,0.227817714252,32.0,37.0,0.0120098389081,0.817877,11.6633,12,-0.260795,35.0,33.7744107744
3.0,0.00090848,1.57075964986,0.284778,0.284856099538,26.2631578947,0.284779,13.0826,13,30.242036151,13.295595255,0.284856099538,33.0,58.0,0.0184856295637,0.416374,12.4231,13,-0.356038,40.0,35.8458781362
3.0,0.0011971,1.71250693539,0.372079,0.372131424108,27.027027027,0.372083,14.1688,14,43.02185789,16.1922345193,0.372131424108,53.0,54.0,0.0212926404905,0.141287,13.3156,14,-0.450654,60.0,55.9832402235
5.0,0.00141472,2.70429573099,0.45195,0.452026328453,29.4848484848,0.451975,15.0622,15,55.7219666674,22.6837563189,0.452026328453,76.0,102.0,0.0219946554146,0.156328,14.2988,15,-0.544555,89.0,81.0967741935
7.0,0.00155181,3.11555238548,0.52126,0.521291012393,28.6470588235,0.521311,15.9066,16,61.6460603612,21.4227508984,0.521291012393,89.0,88.0,0.0223145251868,0.174309,15.3008,16,-0.625346,101.0,95.4
7.0,0.00188672,19.7863558177,0.602331,0.602457948544,40.64,0.602415,16.5893,17,66.9993612554,37.6487768726,0.602457948544,89.0,161.0,0.0237755285117,0.333738,16.2301,17,-0.722075,215.0,112.011111111
3.0,0.00244271,4.16553567857,0.688529,0.688629074283,32.5,0.688642,17.3264,18,53.0104778032,21.4854601999,0.688629074283,67.0,78.0,0.0268474963179,0.539466,17.1118,18,-0.818562,88.0,75.2330827068
