MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,StdReturn,MinReturn,AverageEsReturn,AverageAbsY,Epoch,MinEsReturn,Iteration,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,AveragePolicySurr,AverageReturn,AverageQ,AverageAction,MaxReturn,StdEsReturn,PolicyRegParamNorm,AverageY
87.9762928717,0.0443183059059,2.76071,45.8265404,-11.4943649259,56.8787640707,2.75000772734,28,-1.42321088333,28,73.3673,0.139450234073,1.26855,-2.57958,60.3333891173,2.45794,0.0728521,94.343821764,41.2563468716,22.9527,2.45904487951
96.672643186,-0.139431662616,2.94973,27.0042450639,-1.42761677457,88.3935576337,2.93044362435,29,81.5952590687,29,75.2045,0.167230544695,1.83919,-2.77111,7.1726623518,2.64138,0.0192701,92.5675042204,6.24373955955,23.1999,2.64209604243
70.9367106075,-9.99956392679,3.25225,0.0,-99.9,32.5450465562,3.22905705141,30,-5.8466174951,30,76.9014,0.194092811465,1.91444,-3.08436,-99.9,2.93798,1.0,-99.9,38.3916640513,23.6746,2.93793302153
73.4998522876,0.176163014514,3.56139,43.9986896987,-3.753211186,25.1508350454,3.53995950905,31,-23.1981821968,31,77.739,0.190375221777,1.46613,-3.38154,29.8623354694,3.2242,0.0412968,92.240227518,48.3490172422,24.0829,3.22294533787
95.3867380647,0.981177374117,3.74998,1.26865823631,90.2798663992,68.1081634179,3.72372776775,32,-21.1340926743,32,79.0142,0.213481570972,1.39228,-3.57493,93.5137968529,3.39181,0.109564,95.5784659476,44.7881781218,24.4637,3.39269689964
95.1575558887,-0.174011564785,4.07022,45.7130848442,-4.8874648297,92.0812778741,4.04132099173,33,84.0886315068,33,79.681,0.244707205819,1.89774,-3.87387,32.3502920119,3.68144,0.0413321,93.5369659481,3.8090875165,24.8949,3.68184687687
92.9549040068,22.0234499507,4.50971,0.318508775156,90.1488047669,70.754622015,4.47562576004,34,-0.46909683156,34,80.4688,0.274840147226,2.63732,-4.31386,91.0551029896,4.09886,0.687245,91.3854976703,35.7343113792,25.554,4.09972942234
98.2120737411,8.59982787796,4.92276,0.164728675431,91.9478489134,93.4327632732,4.87499901088,35,91.0791972492,35,81.3788,0.294710735608,2.03974,-4.70974,92.3374957572,4.47229,0.205488,92.6148425365,2.15980012002,26.0218,4.47494379876
95.0888063754,0.736919643455,5.61052,22.8272943325,-3.67791713536,91.879701136,5.54425557013,36,88.627703492,36,82.8222,0.360507276889,3.1563,-5.39335,87.1296108801,5.12986,0.113877,95.0953616681,1.89997503985,26.2351,5.13218787299
99.9193149765,8.21807242038,6.02331,25.2851952316,-4.49343044987,94.2782712136,5.94726297891,37,92.9930972923,37,84.1219,0.391311800252,3.34784,-5.804,85.8559735996,5.50182,0.181889,93.6962170688,2.52999540289,26.6127,5.50426314352
94.3243805403,-0.00190417414792,6.85816,0.0142967263585,-0.0567862325507,91.5055739165,6.78113770478,38,88.717606026,38,84.6883,0.400833011658,3.0445,-6.66514,-0.0206414216145,6.32555,0.000206621,-0.00572432771945,2.03168112612,26.8879,6.32736062046
94.4773272325,-0.0758946815783,7.57496,0.0209231026441,-0.821127791974,73.3937579579,7.4857311848,39,-4.09162812828,39,85.0094,0.456514046882,3.31123,-7.37507,-0.758068849289,6.99985,0.00758828,-0.747599253881,38.7543129656,27.1174,7.00171277904
95.0585840015,10.3022843627,8.1845,46.2878769487,-1.49818551292,80.2651355739,8.09978068955,40,-8.44657922419,40,85.0588,0.487771051183,3.68954,-7.9941,37.2512633204,7.57712,0.0611851,94.6381651092,33.552044044,27.3139,7.57863250981
