AverageQ,Iteration,AverageAbsQ,AverageAbsQYDiff,Epoch,AverageY,AverageDiscountedReturn,AverageAbsY,AverageReturn,StdEsReturn,QFunRegParamNorm,MaxEsReturn,AverageEsReturn,PolicyRegParamNorm,AverageQLoss,MinEsReturn,StdReturn,AverageAction,AveragePolicySurr,MaxReturn,MinReturn
1.79155,32,1.79257,0.0577640704359,32,1.791864871,30.3620111242,1.79191776894,36.0107913669,10.852790117,28.5465,56.0,14.027027027,22.8998,0.0171545,3.0,1.09440635644,0.186376,-2.0487,38.0,34.0
1.86668,33,1.86835,0.0592891726744,33,1.86676035156,39.7367847724,1.8668643568,50.4572864322,10.2994214263,29.0707,48.0,13.3815789474,23.2747,0.0176569,3.0,3.62527901174,0.454279,-2.12214,61.0,42.0
1.94226,34,1.94404,0.0601290157103,34,1.94252952592,38.080504953,1.94258031895,47.8564593301,12.5199274052,29.5736,74.0,14.347826087,23.6134,0.0184524,2.0,5.71981102672,0.244436,-2.2073,64.0,37.0
2.02077,35,2.0228,0.0659883843596,35,2.02101935761,99.9956828753,2.02105693752,1000.0,12.3506411949,30.1079,63.0,15.2878787879,24.0185,0.0224576,3.0,0.0,0.522647,-2.29294,1000.0,1000.0
2.08234,36,2.08451,0.0693238417379,36,2.08244955574,99.9956828753,2.08256424143,1000.0,14.3632941659,30.7528,76.0,16.393442623,24.3823,0.0260901,3.0,0.0,0.562559,-2.36208,1000.0,1000.0
2.15633,37,2.15849,0.0685766035639,37,2.15652622405,99.9956828753,2.15660944708,1000.0,15.228802878,31.2791,96.0,14.8484848485,24.7234,0.0262404,3.0,0.0,0.512389,-2.44588,1000.0,1000.0
2.24167,38,2.24379,0.0699266201209,38,2.24184407377,99.9956828753,2.2418935762,1000.0,14.327099803,31.9021,59.0,16.4754098361,25.0231,0.0255931,3.0,0.0,0.524128,-2.53475,1000.0,1000.0
2.31287,39,2.31578,0.0737943555893,39,2.31301841014,99.9956828753,2.31308403017,1000.0,18.5594741745,32.5093,114.0,17.7142857143,25.3097,0.0283834,3.0,0.0,0.494618,-2.61066,1000.0,1000.0
2.39507,40,2.39807,0.0779681754951,40,2.3954376999,99.9956828753,2.39548987005,1000.0,17.0117190173,32.9557,75.0,20.7755102041,25.6814,0.0327773,3.0,0.0,0.486271,-2.70453,1000.0,1000.0
2.46492,41,2.46767,0.0761125195818,41,2.46525073242,99.9956828753,2.46531077237,1000.0,13.4153949795,33.4971,69.0,14.7611940299,26.0503,0.032192,3.0,0.0,0.359851,-2.78509,1000.0,1000.0
2.5411,42,2.54474,0.0846168900305,42,2.54132606892,99.9956828753,2.54139298696,1000.0,13.658451156,33.9945,61.0,16.0476190476,26.2944,0.0401605,3.0,0.0,0.393339,-2.867,1000.0,1000.0
2.63984,43,2.64274,0.0756146540404,43,2.64032884392,99.9956828753,2.64043017322,1000.0,13.565232875,34.3821,64.0,14.5507246377,26.6114,0.0330327,3.0,0.0,0.456607,-2.96506,1000.0,1000.0
2.70334,44,2.70694,0.0844536840829,44,2.70346491892,99.9956828753,2.70363652692,1000.0,11.1283421946,35.0063,71.0,13.0,26.8994,0.0416023,3.0,0.0,0.384824,-3.0373,1000.0,1000.0
2.78354,45,2.78784,0.0882826085,45,2.78377095667,99.9956828753,2.78405178641,1000.0,14.626017331,35.6098,72.0,16.0158730159,27.1716,0.0442628,3.0,0.0,0.456618,-3.11841,1000.0,1000.0
2.85656,46,2.86061,0.0906745357806,46,2.85688008928,99.9956828753,2.85715647151,1000.0,12.1509325276,35.9535,49.0,16.0,27.498,0.0479061,3.0,0.0,0.301384,-3.20822,1000.0,1000.0
2.93591,47,2.94062,0.0939439402757,47,2.93633994521,99.9956828753,2.9365216809,1000.0,15.9114644694,36.3285,88.0,15.2878787879,27.8286,0.0514379,3.0,0.0,0.423953,-3.28548,1000.0,1000.0
3.00909,48,3.01278,0.0916197717944,48,3.00937365341,99.9956828753,3.00952325963,1000.0,24.6700943192,36.8014,167.0,18.3090909091,28.0569,0.0536157,3.0,0.0,0.218608,-3.37065,1000.0,1000.0
3.08879,49,3.09307,0.0924777404463,49,3.08913319733,99.9956828753,3.08933430904,1000.0,11.7371051451,37.3553,63.0,15.9523809524,28.287,0.0521185,3.0,0.0,0.303193,-3.45528,1000.0,1000.0
3.1658,50,3.1704,0.0969564219154,50,3.16585761936,99.9956828753,3.16608704049,1000.0,15.0005169979,37.6463,77.0,14.3142857143,28.6059,0.0575953,3.0,0.0,0.448112,-3.53706,1000.0,1000.0
3.23598,51,3.24058,0.0951780355149,51,3.23640277797,99.9956828753,3.23662083985,1000.0,23.6107416271,38.1059,98.0,23.2380952381,28.9602,0.0543514,3.0,0.0,0.253169,-3.60881,1000.0,1000.0
3.30538,52,3.31124,0.103065169232,52,3.30562205198,99.9956828753,3.305971658,1000.0,9.56700788132,38.3911,52.0,12.9367088608,29.3142,0.0674736,3.0,0.0,0.343163,-3.68259,1000.0,1000.0
3.38024,53,3.38549,0.103051545627,53,3.38082176624,99.9956828753,3.38117013045,1000.0,11.8553726848,38.8018,67.0,12.9473684211,29.5178,0.0669907,3.0,0.0,0.222375,-3.76156,1000.0,1000.0
3.44802,54,3.45464,0.105841481976,54,3.4481596234,99.9956828753,3.44851465804,1000.0,7.88349534488,39.1257,40.0,11.2197802198,29.7368,0.0719938,3.0,0.0,0.379119,-3.84049,1000.0,1000.0
3.51303,55,3.51829,0.107020038255,55,3.51335616644,99.9956828753,3.51362181462,1000.0,13.1318664766,39.5056,60.0,15.0153846154,30.0845,0.0765997,2.0,0.0,0.344353,-3.91121,1000.0,1000.0
3.55772,56,3.56269,0.109288904761,56,3.55789055162,99.9956828753,3.55838953681,1000.0,11.9577955179,40.0979,58.0,12.5432098765,30.2339,0.0779874,3.0,0.0,0.192769,-3.9785,1000.0,1000.0
3.63746,57,3.64301,0.10607489783,57,3.63797912872,99.9956828753,3.63819968386,1000.0,9.8682431173,40.492,55.0,11.2,30.3802,0.069114,3.0,0.0,0.143863,-4.06385,1000.0,1000.0
