AverageQ,PolicyRegParamNorm,MinEsReturn,AverageQLoss,Epoch,AverageAbsY,StdReturn,Iteration,AverageY,AveragePolicySurr,MaxReturn,AverageAbsQYDiff,AverageEsReturn,AverageReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,MinReturn,AverageAction,AverageAbsQ,MaxEsReturn
1.71896,19.3266,-6.47124630346,0.735516,28,2.26661426789,1.58244237592,28,1.72030861271,-1.85648,95.8963985333,0.104808823924,54.2234109109,93.8631199489,0.226357089477,43.5277838063,64.4959,89.954479647,0.0974108,2.26833,93.4657315837
2.10303,19.6852,84.2793797334,1.85509,29,2.59693570766,21.7290216648,29,2.10523985018,-2.24433,95.9830996033,0.163930379432,90.9743384512,89.2807990416,1.28508172686,4.2842853032,66.5076,-2.37405215974,0.103665,2.60613,96.2028393134
2.42159,19.8423,81.2113042502,2.65173,30,2.87493229836,1.73683868512,30,2.4233941526,-2.59407,94.3635667331,0.213096936296,85.6619140546,92.3236369634,1.00079977125,5.2798228492,68.4723,87.0473593848,0.147509,2.88878,93.0794100411
2.62967,20.1277,88.0572380413,2.16501,31,3.05593645696,21.6388644642,31,2.63074058946,-2.81481,95.9077057629,0.210339838861,90.7015265448,88.8667499296,0.754781660317,2.53571735713,70.3237,-0.0894064461106,0.0998394,3.07355,94.5091649506
2.90471,20.4057,85.2258182318,2.05471,32,3.3068439086,1.08683029817,32,2.90642617503,-3.09668,95.7772952502,0.224271590189,89.5213991311,94.9944281962,2.68405964246,3.07618525778,71.7596,91.7199546804,0.126686,3.32856,92.7907164469
3.07447,20.6552,78.6390392134,1.98626,33,3.4734890573,1.60794071225,33,3.07577902011,-3.28822,95.7156172471,0.25057617767,84.6967050359,94.0619324024,3.6193303199,8.12432775051,73.4737,90.2254796335,0.164734,3.50262,96.1804516477
3.60197,21.041,89.6015223243,3.58401,34,3.99093056978,2.97261998537,34,3.60447120321,-3.84783,93.581206104,0.326195597059,92.0432216718,90.2019976192,8.22743269715,1.86604964514,74.9706,80.6951663956,0.358211,4.03073,94.2733285536
4.17288,21.6706,87.0474751472,3.03493,35,4.57379513226,18.0166054755,35,4.17533628583,-4.44221,95.1147368241,0.349164111601,92.3218097817,89.3102590169,2.75261338185,3.3884949642,76.4009,-0.142284737345,0.165566,4.63038,98.6729642025
4.62628,22.1935,-7.46617222788,3.54594,36,5.0301264958,6.55385223602,36,4.63359239185,-4.91317,91.0597926411,0.369975087348,77.2771021158,86.6301451028,12.091382954,34.6966314005,77.7625,67.2172777252,0.494024,5.07931,94.2983526006
5.1249,22.3199,90.4900220421,3.08648,37,5.52868026826,22.5262078411,37,5.13387148855,-5.4327,93.4163582483,0.386748153972,92.8271347446,82.0105303583,3.05309269571,3.02611797921,79.0707,-19.6511680207,0.290653,5.58938,99.2695311083
5.82871,22.683,90.7274758756,3.16252,38,6.22742972555,0.00397665819832,38,5.83543652307,-6.20977,-0.754371452707,0.451441440048,93.3112009375,-0.762587054336,-0.0766192205039,1.95615835836,80.1522,-0.76861877033,0.0076335,6.32026,97.1710570013
6.46048,22.7522,-2.42121712827,4.4426,39,6.89216144701,1.87444708377,39,6.46867267128,-6.87208,92.9432424114,0.473360940205,71.1655100551,90.060650528,2.06471945461,37.0055449104,80.9369,85.3613369771,0.224541,6.9784,94.1736819614
7.0664,22.9811,88.467734337,4.05915,40,7.51101023852,1.06001944263,40,7.07316673319,-7.53424,94.7993252588,0.480856755578,91.012059775,93.4940878544,4.5796433908,1.41221784314,81.4091,90.8672168167,0.181476,7.59192,92.3194352482
7.45408,23.2246,85.9004522561,5.74668,41,7.92849261568,1.98126448334,41,7.46009892145,-7.95085,94.2045579423,0.534015473156,90.2087999357,91.3612574647,10.0770615938,3.2915334599,81.83,85.7931133682,0.356027,8.01501,96.0376251223
8.17262,23.5272,83.0452429723,4.35501,42,8.67334969083,0.835648446218,42,8.17839513496,-8.69511,-19.4030534007,0.540948025843,90.0694543722,-20.5531317467,-1.7757247907,4.58153175771,81.9929,-21.6901373393,0.205737,8.76632,94.3423517977
8.7552,23.8423,-0.0905888423476,3.99329,43,9.32102030449,3.04235524667,43,8.75842180633,-9.32634,93.3958696383,0.535912122285,77.5115477802,89.6864196779,12.0876945028,34.7216032213,81.7565,81.8943316564,0.466948,9.41844,95.2124895155
9.56112,24.1354,82.8209692901,4.57367,44,10.1450686949,2.01438716939,44,9.56575713926,-10.1821,93.9235197053,0.521880303598,90.3768727407,91.4836068068,12.9790695132,4.24838699709,81.8831,84.9608194733,0.408093,10.2133,95.3148667171
10.062,24.5249,87.1248058295,5.27327,45,10.6445743434,0.90329181815,45,10.0665014107,-10.7396,-18.6345278837,0.569726795176,90.5948832556,-19.3497759409,-2.28669180194,2.21465112483,81.6696,-21.3944869041,0.193691,10.7229,92.9409467638
11.1603,25.1062,-0.444112885282,4.56501,46,11.709633748,0.485439682286,46,11.1647624586,-11.9035,-26.2824838344,0.57493076679,65.6111130273,-26.7983534605,-3.07419769063,38.2478293585,81.5397,-28.1824716724,0.268252,11.784,91.4117379012
11.9293,25.7351,-13.7580267726,4.42549,47,12.4692867717,0.531743225676,47,11.9356037332,-12.6957,-28.4354789211,0.580112859495,72.7812823995,-28.9383778004,-3.22525414833,38.7333354816,81.3327,-30.2695374903,0.289673,12.5421,92.3545148498
12.6294,26.2067,-3.36810593827,4.705,48,13.1530661456,1.55093530354,48,12.6366213004,-13.4238,91.9500285565,0.631018265426,64.810864629,90.3839396082,12.05510233,39.669733312,81.1223,84.104357088,0.470683,13.2304,92.240694175
13.3526,26.6929,87.9789962497,4.23997,49,13.8474944885,2.0572853859,49,13.3586111208,-14.1893,91.9946507354,0.617586744334,90.7485626777,89.3986602277,7.32191951513,2.17332990643,81.179,84.8009352842,0.395728,13.9201,93.3704659911
13.9825,27.1664,76.5767723398,3.85075,50,14.4246925033,2.9670201639,50,13.9889798854,-14.8693,89.4115244634,0.606401911427,89.0891331566,86.187930389,3.1773642115,7.22671845561,81.4816,79.9265844435,0.368832,14.4846,93.514945302
15.3598,27.6397,88.0656014648,4.60761,51,15.7512711299,0.183609404802,51,15.3654171406,-16.3074,-36.2364109772,0.614119526099,90.5997416068,-36.4735465325,-3.72698531262,2.20591423813,81.6115,-36.7967194473,0.365101,15.8047,93.9716386155
15.8593,28.0898,-4.64232712168,4.48388,52,16.2169535458,18.1542577156,52,15.8651176425,-16.8477,92.3054078145,0.661103937632,50.9985955803,85.3375215005,7.12059206918,39.4888778558,81.8185,-14.534394021,0.359283,16.2761,82.9570518709
16.9203,28.547,87.7738739407,4.11907,53,17.2256462011,4.10439991493,53,16.9254726155,-17.9255,89.3788067317,0.637394322457,90.4084791791,86.000310507,4.60696697443,2.29057385255,82.0961,74.8080102731,0.473603,17.2822,94.0467314472
17.8089,29.0508,70.0529106473,4.5248,54,18.063667282,35.7023387759,54,17.8108196083,-18.8081,91.5574585005,0.699760286986,86.5744158878,-21.3420122723,-0.854503501001,9.73733483302,82.6116,-32.8899549169,0.331087,18.1309,94.7157325012
18.9322,29.5723,-5.04839417964,6.36335,55,19.155469585,29.89619697,55,18.9348962687,-19.9314,92.2040752656,0.782217772875,69.4673184849,78.5577016927,4.4439197959,37.3906864512,83.1287,-25.329065017,0.340184,19.2236,92.8709451179
19.9454,30.038,82.0322488878,7.66412,56,20.1356389217,1.2311042399,56,19.9447924381,-20.9163,92.9725383663,0.837190899452,90.5411822328,90.4839227613,10.5075850958,5.61874350823,83.5885,87.3084184396,0.436997,20.2036,99.6565416829
21.107,30.4569,82.2683792173,10.0331,57,21.2727466574,5.4748496732,57,21.1069220455,-22.0497,90.691985131,0.937577408604,89.1504589274,82.8682923925,6.24274964585,4.65518951246,83.9552,74.6047637054,0.618352,21.3405,93.9325938208
22.0732,30.8871,83.0037749287,9.61575,58,22.2241448055,1.58777781801,58,22.0753100682,-22.9767,92.8881584357,0.90740221163,89.9905872415,89.3304853698,9.41038619879,4.1809837127,84.3693,86.2711150136,0.476176,22.283,93.626950805
23.0392,31.3308,74.718803626,10.0885,59,23.1627194774,62.6225917857,59,23.0383875359,-23.9016,91.549543522,0.887804175824,77.2500548882,0.398115699853,2.7910189744,1.80334794189,84.7634,-44.3634167805,0.458197,23.2104,78.7852560836
23.7186,31.7927,-4.65752166816,11.7788,60,23.8145223151,0.544432470466,60,23.7164762414,-24.5488,-89.6155270579,0.937923317624,68.4845112037,-90.2840717589,-7.92258285836,36.7636126247,85.1135,-91.2541916709,0.903744,23.8535,91.4760015286
24.5578,32.1393,-1.74215542936,12.0709,61,24.633416801,47.2773908306,61,24.556520515,-25.375,91.2232455864,0.950597549962,68.9813233791,-14.9211548624,0.918553782248,35.5537291218,85.4925,-36.4040075825,0.370206,24.6659,93.371798287
25.047,32.48,-3.97170975166,8.80111,62,25.1109933794,0.55266469546,62,25.0476130655,-25.8164,-67.3578075318,0.815353480706,54.247398011,-68.0192070332,-5.75568691305,41.3154704887,85.9654,-68.6690248491,0.680873,25.139,87.6410820302
25.5882,32.7994,-21.3020798254,8.61913,63,25.6440638145,43.7690981004,63,25.5851536042,-26.3025,88.8435642082,0.838623881209,56.775016141,-49.4597655464,-2.40448704028,45.2939636979,86.5541,-65.4107125441,0.636295,25.6725,89.9168006571
26.2659,32.9116,-2.21774249894,7.6726,64,26.3134100307,47.274830856,64,26.2647942082,-26.9103,92.9485700987,0.797797245263,68.080431799,16.6940360061,7.21978882917,35.2159903652,87.1398,-14.2236294725,0.159505,26.3384,89.7757347048
26.826,33.0874,-0.379863414638,4.9729,65,26.8701571838,43.5296253474,65,26.8257926564,-27.4216,89.4285748318,0.710982469185,63.886136905,-24.6664579817,-0.0484960547024,38.1286551928,87.7624,-59.649856739,0.367364,26.8945,93.2380531919
27.3874,33.2382,-4.23425651011,4.36782,66,27.4298680121,26.6294080959,66,27.387956385,-27.9583,-23.0208734178,0.65811748107,70.5609180021,-40.1557623562,-2.67151501859,37.4597982573,88.3889,-86.0695887738,0.40196,27.4546,91.9592810893
28.0357,33.6409,-1.30075029783,3.57397,67,28.0709830233,0.261581555912,67,28.0343469153,-28.6175,93.3153724229,0.622174356447,78.0603543643,92.9912120036,32.9219504642,32.4428557901,89.0979,92.3333140763,0.689047,28.0928,93.2460919073
28.7441,33.8151,81.3248774859,5.27974,68,28.7773367033,0.240718292295,68,28.7440171938,-29.3458,93.782881509,0.663835698473,92.2934027962,93.4153633555,35.1758528199,5.05722731468,89.7891,92.7859042666,0.683504,28.7891,99.6293260362
29.0743,34.0927,92.2448463868,4.3842,69,29.1002071889,0.330371293624,69,29.0758279458,-29.736,93.2368871023,0.634342745926,93.5407402189,92.821464915,34.1636974545,0.743191338284,90.516,91.801443595,0.737913,29.1092,95.0583093751
30.2427,34.5327,84.7330476921,5.08603,70,30.2623450291,0.351959516355,70,30.2451705375,-30.9627,93.1388791237,0.671750987371,91.8111031344,92.6390502834,37.7715531149,3.04497187549,91.2677,91.9552044503,0.849537,30.2688,94.2507823972
31.28,34.8583,85.5627685384,3.96577,71,31.2920236129,0.46444894708,71,31.2820858161,-32.0418,93.2434184853,0.631399710061,92.9290549728,92.5701482787,39.0997118877,2.84116267127,92.0224,91.8058151703,0.898204,31.2922,97.341131288
32.2855,35.2368,88.158872509,5.16365,72,32.2922144144,0.294607887692,72,32.2871876331,-33.1255,93.0578797796,0.691459111994,93.302363479,92.480529636,40.4069210094,2.34884983033,92.7627,91.9870971876,0.948429,32.2921,97.7027253011
