PolicyRegParamNorm,AverageReturn,StdReturn,Iteration,AverageAbsY,AverageAction,QFunRegParamNorm,MaxReturn,StdEsReturn,MinEsReturn,AverageEsReturn,AveragePolicySurr,MaxEsReturn,AverageQ,AverageQLoss,Epoch,AverageY,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,MinReturn
18.255,-0.152099616504,2.77555756156e-17,28,0.293054689284,0.00152251,26.6476,-0.152099616504,48.0370272296,-14.4709784363,53.4560798461,-0.292977,88.2971295958,0.276521,0.00543336,28,0.276614327071,-0.0152245229077,0.29568,0.017865474181,-0.152099616504
18.4864,-0.874909233064,0.000188375928619,29,0.325365874644,0.00875785,27.4028,-0.874776715686,38.0094456028,-3.10566284069,72.8780787303,-0.32709,93.5322746861,0.309675,0.00428584,29,0.309784011997,-0.0875765797913,0.327094,0.0144844667895,-0.87528019029
18.6773,-6.38603311146,0.0575728350842,30,0.365483024604,0.0639243,28.1964,-6.32093090677,44.0905835504,-6.24804969821,56.1006770902,-0.368921,87.9432751907,0.35029,0.00507422,30,0.35042414185,-0.638672545236,0.368335,0.0187597027618,-6.48564773165
18.8926,-13.3168236475,1.14280900991,31,0.368561240514,0.133302,28.9897,-12.8182737803,43.1071096219,-7.84978135289,66.6892330726,-0.376015,94.6452291388,0.354346,0.00339495,31,0.354491420515,-1.29401949724,0.370564,0.0159283969637,-16.8970173366
19.0432,-0.856810140147,45.4916406995,32,0.425246258076,0.300383,29.9479,74.8047702197,43.2337872648,-12.6487180092,62.1209818685,-0.435128,90.8437472724,0.411641,0.00342292,32,0.411735461595,-2.86613636104,0.428104,0.0180263422523,-29.034967332
19.1869,-8.57143322044,45.932375622,33,0.453633545251,0.376658,30.7275,69.9071547007,37.7531334269,-1.23496418167,63.7633232798,-0.46246,92.1651060226,0.438816,0.00332271,33,0.4388464397,-3.59781157007,0.45704,0.0197408574679,-41.9281341285
19.2336,93.7754484922,0.777209300005,34,0.486066952957,0.153571,31.44,95.0465680331,39.1144832581,-6.56097624445,71.5506538344,-0.494612,93.9983673766,0.468364,0.00300528,34,0.468425088458,2.42371835507,0.489814,0.0213202798896,92.2725843991
19.4951,89.0901472699,23.2859017277,35,0.544837264877,0.0736372,32.1048,96.4884765547,1.27792292024,93.1899558886,94.7346049148,-0.55573,96.5282602244,0.526024,0.011453,35,0.52606566233,0.893535679935,0.550469,0.0266692186197,-0.944840345235
19.6429,90.1768376849,20.5080924674,36,0.586966737697,0.103502,32.7664,96.130052552,3.85330190192,83.7184552159,89.8667980311,-0.601928,93.6972181461,0.569188,0.018361,36,0.569313089684,1.47749117716,0.592138,0.0278329446511,-1.154742648
19.8319,88.5556636844,22.0111655047,37,0.650690284586,0.111574,33.342,94.992550454,1.12595059518,90.2270907415,91.3631282723,-0.67077,92.8218235931,0.634295,0.0133294,37,0.634415298419,0.45471069802,0.656782,0.0305730802408,-4.73607461484
20.1321,92.6594805978,1.84859779288,38,0.682513699321,0.146298,33.9566,94.8226605786,5.82848019008,80.8581317411,90.5939601349,-0.704717,96.3320832974,0.665969,0.00753953,38,0.666042799766,0.993465585102,0.687427,0.0265717906954,88.8213860777
20.5116,69.717049183,40.8106579917,39,0.75195135044,0.087411,34.7403,94.2274488753,2.72712873705,89.7409366346,92.7272050958,-0.778875,98.216356098,0.736108,0.00393547,39,0.73624366209,-0.314090423139,0.757885,0.0279360631891,-4.78782840012
20.7931,95.6546008949,1.07277516739,40,0.794437718905,0.119449,35.3822,96.2749201786,6.6303250696,79.9156961165,92.1043123464,-0.827294,99.3526440365,0.780309,0.0112128,40,0.780476947804,3.63842346317,0.803397,0.0352459335422,90.8021164258
21.0186,94.7273226216,1.51769479974,41,0.832459948531,0.104482,36.1295,95.8448020973,2.99187186542,91.0028062779,94.0085204432,-0.875335,99.9985173812,0.823203,0.0171811,41,0.823172450229,1.35240630752,0.839449,0.0344380824297,89.0893631599
21.12,84.746957481,28.3531014334,42,0.919597022952,0.100623,36.9764,95.7735188861,2.38699625438,89.8456933905,92.6728443254,-0.965422,95.8487235092,0.91219,0.0225524,42,0.912422683785,1.49494914691,0.926138,0.0392197863493,-0.173337654866
21.3227,87.5784804936,23.9896055625,43,1.01009728952,0.0845059,37.7792,95.1730536126,2.2519452718,91.1576512479,93.8791623855,-1.06203,98.6050740717,1.00285,0.0161239,43,1.0029353786,0.146688425162,1.01535,0.0357630441022,-2.13652210001
21.4742,58.2024469472,44.879159472,44,1.06330763149,0.118436,38.6156,91.647061228,1.88992594629,89.7923739557,92.6759567669,-1.1204,94.6853690713,1.05666,0.0254796,44,1.05689718793,0.0244357697087,1.06982,0.0429108483638,-5.31001084345
21.6981,73.743209941,36.5647052141,45,1.16982702052,0.166431,39.5895,92.762328391,34.2267190536,-0.646405941717,75.7947273205,-1.23407,93.1398610884,1.16426,0.0244524,45,1.16434900068,2.29122388171,1.17436,0.0404166626127,-8.60972429161
21.8215,72.4192410332,38.0473237876,46,1.27268510477,0.108266,40.5312,93.5054405474,3.40134420761,87.3147963874,91.8115942369,-1.3439,98.5355233792,1.2674,0.0191439,46,1.26766084196,0.0281981249484,1.27749,0.0456175817963,-3.66048656322
