Iteration,AverageDiscountedReturn,AverageQ,Epoch,AverageAbsY,AverageAbsQ,StdReturn,QFunRegParamNorm,MinEsReturn,AveragePolicySurr,PolicyRegParamNorm,AverageY,MaxEsReturn,AverageReturn,StdEsReturn,MinReturn,MaxReturn,AverageAction,AverageQLoss,AverageAbsQYDiff,AverageEsReturn
9,8.79522818113,-0.168041,9,0.709574846635,0.227169,0.0486154256374,11.1296,1.79854733614,-0.0639857,11.2295,0.709574846635,54.4729924352,9.21959464619,6.73208570471,9.09304659206,9.34112154182,0.219138,1.07597,0.877615436763,9.84563243554
10,3.03640447533,0.342525,10,0.345452185058,0.343541,0.0178709316298,11.2908,2.39239610968,-0.454583,11.6543,0.345443707632,33.2496866435,3.08558107462,2.49805478074,3.04896826275,3.1225199054,0.999974,0.033021,0.0964111760629,3.86994253755
11,3.03685167825,0.284924,11,0.285050645811,0.28836,0.017378648825,11.377,2.27526418511,-0.323886,11.6991,0.285024517792,7.46346041571,3.08604090304,0.671093745726,3.05008804756,3.12264049456,0.999872,0.0042656,0.0384971366272,3.63517796601
12,5.67959823781,0.263783,12,0.264751538238,0.269092,0.0619529517906,11.4124,3.11807279007,-0.305384,12.0059,0.263799978933,31.1197154529,5.83833243762,4.93028600287,5.69822626693,6.02414603389,0.999999,0.00158052,0.0259789652966,7.62438618531
13,5.67734856536,0.252187,13,0.252829186363,0.255908,0.0620343908864,11.4704,2.77694552087,-0.270103,12.0054,0.2521805948,14.545079771,5.8361757826,1.87575600544,5.70054582466,6.01369415507,0.999999,0.000824575,0.0196165883305,6.95251148704
14,5.67855110406,0.221696,14,0.223270318125,0.226046,0.0617080294244,11.5202,4.45203198736,-0.227314,12.0066,0.221668573771,28.7477428396,5.83739720371,3.42661241503,5.70202560193,6.03199671485,1.0,0.000583229,0.0171865296231,7.20724619367
15,34.5661478849,0.175489,15,0.180076000987,0.182084,0.93117385711,11.5655,5.25348054042,-0.207376,12.3072,0.175468908368,51.5868476544,38.9097607652,15.534504427,36.6228147996,40.7370429496,0.999999,0.000497509,0.0154210331023,15.5367821239
16,34.4555721546,0.203042,16,0.206098855108,0.207215,0.918727524456,11.6483,8.59538661195,-0.259648,12.3084,0.203125110441,53.9781640251,38.7659296653,6.21589216814,36.8370970037,40.6569781299,1.0,0.000675873,0.0162546368166,41.0853911508
17,34.4512321019,0.234574,17,0.235291278492,0.236284,0.882509617448,11.7677,5.28679401581,-0.272323,12.3093,0.234616049555,58.4718140604,38.7628956078,6.83871105069,36.5639503592,40.6763319604,1.0,0.000534348,0.0144746475145,40.921611935
18,97.9594836762,0.239064,18,0.239783639108,0.240822,6.30462248443,11.9737,11.4256939022,-0.272499,13.12,0.239118330752,121.19877508,148.251377943,19.0152370831,133.403017445,163.978496439,0.985546,0.000519415,0.0145122682517,45.3064949053
