StdEsReturn,MinReturn,AverageEsReturn,AverageQLoss,Iteration,AverageAction,MaxEsReturn,AverageY,AverageAbsY,AveragePolicySurr,StdReturn,AverageAbsQ,AverageReturn,AverageQ,MaxReturn,MinEsReturn,Epoch,AverageAbsQYDiff,PolicyRegParamNorm,QFunRegParamNorm,AverageDiscountedReturn
6.8185152542,9.08496891043,9.7966373136,1.13009,9,0.220157,57.0973442827,0.685646504246,0.685646504246,0.00445989,0.0479934242011,0.284189,9.19732101601,-0.231555,9.32039073897,3.11743963182,9,0.9172010227,11.2291,11.1295,8.77476052076
2.55616392011,3.05090225118,3.87438921704,0.0306653,10,0.999976,33.9586041722,0.34675095724,0.346835595384,-0.4533,0.0172253973218,0.345103,3.08554653108,0.344017,3.12073938473,2.46009506504,10,0.0936745307928,11.6284,11.2813,3.03637085609
0.632392580579,3.05048221401,3.62281956789,0.00367231,11,0.99999,7.47260459947,0.283230396315,0.283350952783,-0.316301,0.0175919525288,0.286375,3.08576758219,0.283123,3.12273299137,2.24628548652,11,0.0359582332238,11.6606,11.3662,3.03658491157
0.961793587657,3.0494340884,3.86688168248,0.00122461,12,0.999985,9.55882207492,0.251806755179,0.25232177047,-0.252878,0.0173810193788,0.255819,3.0861184029,0.251798,3.12150732441,2.89717384863,12,0.0230455198195,11.6715,11.392,3.03692620841
1.98952323919,5.70437613022,5.84321237703,0.000642813,13,0.999998,12.4256358445,0.21584401281,0.217244280204,-0.239117,0.0593779545255,0.219709,5.83424928836,0.215865,6.01220586872,2.56524860384,13,0.0175528134137,11.9688,11.4285,5.67551564086
3.7351567826,5.70634370122,7.47305047606,0.000515108,14,0.999998,28.3048238425,0.206309274141,0.207366541449,-0.209939,0.0608516385025,0.209441,5.83373863477,0.206315,6.00123136145,4.42993364729,14,0.0161238014313,11.9631,11.4754,5.67505673608
3.29889648521,5.6905885651,7.18028618438,0.000390785,15,0.999997,27.1754335142,0.169716019976,0.17146186566,-0.157712,0.0617293264824,0.173174,5.8380442961,0.169737,6.00579158448,5.45984769916,15,0.0140057778661,11.9561,11.507,5.67921635494
6.31636445356,36.8386015442,7.56395919619,0.000250478,16,0.875755,57.0923954878,0.129741843014,0.131653354262,-0.111275,0.958811026495,0.132595,39.0218915886,0.129747,40.8834163298,4.67885946595,16,0.0111210539271,12.0008,11.5473,34.6596897572
7.17081757119,36.7306419582,40.0222257935,0.000519169,17,1.0,55.5631499608,0.111837384829,0.114122738292,-0.152779,0.903513789128,0.115319,38.8157441796,0.111773,40.6224568856,3.02998487636,17,0.0139417490787,12.3019,11.6223,34.4926421799
7.21561104311,36.6607081079,40.6763173567,0.000627283,18,1.0,59.0009692786,0.170513701283,0.174329791743,-0.219454,0.880692908638,0.174399,38.8105894801,0.170485,40.8069183952,4.21025591661,18,0.014505262281,12.2942,11.8012,34.4899358627
7.13691027475,36.7010888984,41.7591475308,0.000541473,19,0.994934,70.6361992968,0.204345876818,0.206047021085,-0.250499,0.956074450293,0.206454,38.7633355844,0.204287,40.7514624578,18.8345398242,19,0.0138841966523,12.3558,12.0436,34.4508813422
5.48468554251,51.5597505283,41.4232790641,0.000515743,20,0.83445,60.4758184891,0.235306934701,0.236329602576,-0.280849,1.91584277843,0.236767,56.9606098436,0.235244,61.1398289191,26.0830157556,20,0.0134942845457,14.031,12.2973,48.2951745651
41.8439704157,114.127120141,81.87718584,0.000426797,21,0.802158,173.403641475,0.257999723734,0.259203317865,-0.306946,14.8129909499,0.259668,149.047586049,0.257953,165.231239318,14.9029886207,21,0.0125948001239,15.3901,12.5506,100.532356955
51.0250416659,156.521793204,135.085461789,0.000592298,22,0.864168,200.754054675,0.285486785206,0.286941638483,-0.332988,11.4832362108,0.287454,174.037264419,0.285411,194.516767748,5.26417393587,22,0.014085842928,16.6016,12.8317,110.975117064
46.9500171483,171.452215944,130.75253655,0.000539457,23,0.764326,187.818150211,0.30501455474,0.306257908766,-0.355334,1.96299241738,0.306588,175.499723978,0.30494,180.426078417,38.2478183321,23,0.0131132273584,17.9568,13.1326,112.834808778
41.5598783374,94.8781806749,150.085444458,0.000550892,24,0.720663,211.03312548,0.323970154127,0.325029271784,-0.376131,0.888059565019,0.325355,97.2940427317,0.323902,99.0038044695,53.2730341377,24,0.013022631561,18.907,13.4387,74.0866747324
45.9750742668,107.294745166,136.466587014,0.00061003,25,0.648632,204.001060113,0.3389659046,0.33953917771,-0.392994,16.6548290848,0.339913,140.917949492,0.33891,161.718845111,56.4397801407,25,0.0133306306187,19.7772,13.7923,97.1746868317
61.0611076677,112.848067035,124.638726839,0.000640024,26,0.566848,198.175252383,0.359810202034,0.360046028775,-0.413011,0.841565499513,0.360389,115.265206665,0.359736,117.478192035,4.13249983095,26,0.0134088172564,20.4596,14.1469,84.0779658238
39.7205037187,98.232314278,114.076088707,0.000615705,27,0.548256,196.627960443,0.374809910986,0.375147739475,-0.428763,0.862494415381,0.375458,100.029995036,0.374717,102.216920761,53.1477883141,27,0.013298708165,21.3113,14.4873,75.7017196344
52.6953724112,146.726550088,137.021327719,0.000602091,28,0.732104,196.243647761,0.388631350879,0.389016031754,-0.445766,2.32232157685,0.389272,150.359234725,0.388582,154.833721869,3.29560268245,28,0.0129672409102,22.1749,14.8472,98.8501423893
41.7893474607,131.692724902,136.330476188,0.000623327,29,0.818257,181.400186412,0.404687161608,0.405315087304,-0.460874,3.16653379246,0.405514,139.211755601,0.404616,146.318861938,13.4754335702,29,0.0131975541292,22.7916,15.1859,94.5424897255
