PolicyRegParamNorm,AverageDiscountedReturn,StdReturn,AveragePolicySurr,QFunRegParamNorm,Iteration,AverageAbsQYDiff,StdEsReturn,AverageQ,AverageAbsQ,MinReturn,AverageAction,AverageAbsY,AverageY,MinEsReturn,AverageReturn,AverageEsReturn,MaxReturn,Epoch,MaxEsReturn,AverageQLoss
11.7101,-1.87586443743,0.635082996074,0.485931,11.4919,9,3.59905790672,4.03137803876,-1.23204,1.34791,-5.04896057228,0.204066,2.62473152049,2.32196788461,-16.8344420901,-3.62237029355,-4.13138595558,-1.5949135351,9,14.675716107,16.2418
12.2702,-7.97358283938,0.0670548660692,-1.62963,11.8478,10,0.41423549719,2.62431788506,1.24081,1.39343,-8.44248180005,0.999933,1.49752029441,1.27582345611,-16.3068084783,-8.25708635423,-8.00764122097,-8.05947997107,10,0.863434083742,0.445805
12.3196,-7.9755204992,0.0661282009586,-0.634264,12.1176,11,0.191203167591,1.31405837947,0.603085,1.35795,-8.43783560751,0.999995,1.37351275473,0.605071306897,-17.6595273201,-8.2590669487,-7.71435452941,-8.0645263299,11,-5.47455156249,0.0649427
12.7643,-9.51581027517,0.0799884135464,0.248853,12.7289,12,0.207335729326,1.89735884145,-0.155307,1.86783,-10.4745506953,0.988861,1.87504344819,-0.156025577115,-17.2578488287,-10.2491112222,-7.45157521473,-10.0354999907,12,-3.55487111772,0.075785
13.6528,-5.4149051003,1.24890448478,0.160178,13.6064,13,0.236938183192,5.17549996119,-0.946177,2.31093,-11.3646013166,0.999919,2.32048952822,-0.945971094474,-17.678634262,-8.80480745739,-8.76330109089,-6.50261416563,13,21.7549951016,0.100143
13.7751,-5.33024882925,1.21377067272,-0.734258,14.5188,14,0.256593018375,7.03405195913,-0.742287,2.59136,-11.4303124357,0.999983,2.60281242622,-0.739984944215,-29.7885314347,-8.69514262105,-10.5775190314,-5.71774672306,14,-5.33268344434,0.120641
14.2769,103.926991819,229.522775316,-2.20567,15.3426,15,0.262417095914,95.2438013068,0.284265,2.97492,181.331552315,0.707442,2.98600189572,0.285254700779,-23.5967369777,449.164998116,55.7647239374,780.338481884,15,253.846687781,0.131836
14.8166,65.3877448014,21.6864641344,-3.43158,16.037,16,0.281493116736,112.484075591,1.52403,3.56027,73.0700783434,0.695233,3.57189839349,1.52593394257,5.40812970257,105.443659842,152.607265101,181.749222105,16,309.166459077,0.170347
16.1092,110.416100545,1.74839165702,-4.6122,16.7797,17,0.317331422471,86.5340647996,2.69452,4.33145,1021.44142138,0.548179,4.34512425239,2.69617295495,88.9687550373,1025.13975805,168.265714232,1027.21785607,17,322.122798829,0.23334
16.8085,73.9822604528,165.062818538,-5.7319,17.5786,18,0.375141491748,140.578542686,3.85558,5.20953,38.3919557414,0.746732,5.22432677393,3.85787309338,124.000988812,168.235147669,236.785930221,519.636884248,18,468.473955705,0.330774
17.5506,101.38623221,158.984829458,-6.91302,18.4205,19,0.418199493448,154.741599396,5.03436,6.19785,30.0065155124,0.616475,6.21410656792,5.03575083466,38.7786898694,349.962484585,220.67147571,723.357614482,19,387.628006342,0.422371
18.4634,104.443780399,107.757092262,-8.18114,19.2784,20,0.485351901701,38.5436642789,6.25901,7.30717,40.6042204199,0.6985,7.32410915537,6.26111095162,126.815148224,277.514827752,205.454741288,507.725655301,20,247.74837709,0.621659
19.3341,105.977058321,135.076827022,-9.3403,20.2222,21,0.544167610423,95.4022845991,7.346,8.36974,85.7382952587,0.719748,8.38620900194,7.3482066337,-15.9356073011,339.271935769,128.534106836,805.953618696,21,261.382389652,0.820486
20.1017,96.5172225076,129.620823181,-10.6248,21.0987,22,0.598124378737,96.8317281044,8.57391,9.57334,39.3855216513,0.721665,9.58779775673,8.57701436351,24.9549200013,266.65624196,115.628250086,516.872531894,22,270.577426333,0.958504
20.8858,101.041872521,115.607508782,-11.7523,21.9687,23,0.637357058931,108.234584547,9.67945,10.6148,43.4440109056,0.741245,10.630487755,9.68181280427,20.5906653266,307.306537264,175.296218632,466.717959474,23,296.125140105,1.12768
21.5477,99.3928055021,130.384733519,-12.9067,22.8966,24,0.713301399667,82.7626541739,10.8396,11.7399,54.1663628058,0.667921,11.7548584862,10.8438238026,70.4221458313,298.942543781,197.882210366,543.080002994,24,301.99091841,1.536
22.1727,110.907822514,61.6425807537,-14.1535,23.7236,25,0.760486030533,139.60517478,12.0536,12.9272,105.354112439,0.688305,12.9394108498,12.0569690545,53.9820207545,336.138662319,178.581624383,494.196927648,25,435.157023577,1.74892
22.7021,109.081873073,284.53984748,-15.2283,24.5775,26,0.805650310546,81.3836361098,13.1477,14.0273,310.496004037,0.603608,14.0402347751,13.1517973799,34.345538567,571.254174991,116.513639656,1002.60643912,26,236.501851568,2.02743
23.1198,105.400261332,101.771114146,-16.4943,25.3201,27,0.846451373715,94.5281035146,14.3751,15.2305,79.4926122379,0.65754,15.2430412052,14.378394983,83.7255183815,403.233926436,210.727329851,572.789699586,27,371.613370203,2.11035
23.6699,108.154014987,72.4285559063,-17.7477,26.0599,28,0.910797652605,118.618131303,15.6292,16.4865,84.5556897577,0.694934,16.4979362585,15.6330879906,91.0219963602,370.350927991,264.2364529,572.676812687,28,416.785237161,2.47054
24.1896,111.314570239,44.61734169,-19.0771,26.7886,29,0.97303699487,177.205501155,16.8832,17.7044,84.4722515898,0.718885,17.7137257453,16.8875979294,122.147187092,223.298800048,305.372024258,374.33756129,29,588.155341778,2.79326
24.5518,44.3418834585,142.2959458,-20.3153,27.4658,30,1.01712365517,98.7196796755,18.115,18.8916,-3.93790482733,0.668498,18.8994231271,18.1202173978,15.3878855837,105.089317012,137.315653254,480.92961495,30,291.003214074,3.02413
24.9755,95.6729958861,79.9916588655,-21.4917,28.2329,31,1.10238562478,83.6988908427,19.3156,20.0752,18.6456387616,0.679859,20.085364506,19.3215790325,-16.4016204905,208.928426849,80.4093579966,460.498334846,31,237.266075068,3.59008
25.4637,108.851901367,63.0649139954,-22.5841,28.9399,32,1.16028847601,79.2789290857,20.3862,21.1303,-51.0253156673,0.677925,21.1411191344,20.3928022099,15.4709607743,238.654372222,156.178924001,387.770093049,32,241.240794535,3.93499
25.9801,107.070902301,67.0987885046,-23.879,29.6157,33,1.23097786292,87.8944565532,21.6318,22.353,106.445465309,0.72357,22.3562608417,21.6335997846,17.7939142518,291.359023748,147.701894,527.07263056,33,285.311398394,4.63464
26.3836,108.961673968,37.7618055299,-25.0896,30.29,34,1.31602141217,143.34064323,22.826,23.502,133.946248265,0.689551,23.5105932009,22.8344210706,7.33476413122,237.726925742,154.327865632,342.58499051,34,401.658746556,5.21206
26.7471,80.9456676232,167.506232979,-26.4936,30.9315,35,1.33786227501,117.356488,24.1941,24.8311,36.2904403359,0.708637,24.836036719,24.200154168,3.0064732598,272.383346428,119.030500301,574.262143958,35,305.837766102,5.28552
27.0907,96.1153996189,52.3462170238,-27.8791,31.5586,36,1.45135068586,70.0516401206,25.5694,26.1744,89.9397840193,0.65772,26.179197499,25.5765354622,24.7671066507,177.68991556,148.773111167,356.793662209,36,258.677920927,6.29334
27.4039,92.4827929738,136.601433368,-29.3269,32.1155,37,1.52870548072,95.056197284,26.8938,27.4379,40.7579281649,0.640113,27.4474055616,26.9051644652,17.4813730654,253.790086288,167.377196718,681.187812547,37,307.719792326,7.14471
27.6721,108.630328926,56.4492438899,-30.9198,32.6918,38,1.59189472759,51.0153518291,28.4,28.8727,97.4350826028,0.646042,28.8784178266,28.4080437278,48.0317681295,199.695100189,124.840502443,334.920228317,38,209.280149596,7.35703
27.9838,83.2552172487,17.6991304004,-32.5418,33.2279,39,1.68497903097,98.1371688305,29.9284,30.3326,119.884627177,0.667589,30.3426813508,29.9378269966,30.2166885454,136.628628214,141.551780285,250.462541698,39,289.792394996,8.67937
28.2526,128.635267317,159.567076905,-34.3692,33.7684,40,1.72743550442,70.4312136554,31.6061,31.955,110.339627509,0.67822,31.9638669752,31.616188647,7.24813473787,334.050951202,129.377163715,1180.53868343,40,272.727375194,8.79027
28.4713,105.62032951,123.118964506,-36.2894,34.3667,41,1.84250783965,79.7207868247,33.4073,33.7126,52.1103536413,0.652638,33.7256775659,33.4192376347,-12.2806430092,292.15669013,122.579757867,607.975592908,41,235.167899642,10.2939
28.7011,115.231101737,82.0686063127,-38.113,34.9732,42,1.94331582931,102.588743046,35.0809,35.3586,110.22506201,0.601653,35.3694524727,35.0942124306,23.1790822327,252.561226194,153.540465188,471.193167436,42,319.64695552,11.1746
29.0028,104.895532724,113.035295594,-40.2752,35.5093,43,2.00611453104,57.8308154728,37.1714,37.4174,103.956824022,0.675148,37.4234854989,37.1802844037,9.53892570232,211.100632006,114.151170601,571.13287396,43,195.576194802,11.8347
29.2148,123.568081433,31.4386973241,-42.6025,36.0283,44,2.06058621589,86.7112292464,39.3586,39.5914,310.938414725,0.599667,39.6068360552,39.3747181289,25.7945125401,354.743214395,129.883570703,503.003373639,44,266.137026001,12.3039
29.3621,88.9632605974,369.547727463,-44.9149,36.5294,45,2.10094310972,109.631340821,41.48,41.6829,99.4979163917,0.38071,41.6945460788,41.491421982,5.82921466575,505.482811555,106.686911939,969.552802338,45,314.765549148,12.4691
29.5987,46.4805709949,9.82346551914,-47.0651,37.0693,46,2.17234354619,47.9831142423,43.4843,43.6783,77.7439539222,0.391584,43.6939152359,43.5017151139,3.56481511867,91.1873650424,50.9508927867,119.165515206,46,140.851970904,13.8143
