AverageQLoss,AverageAbsY,AverageForwardProgress,AverageEsReturn,StdForwardProgress,StdReturn,StdEsReturn,PolicyRegParamNorm,QFunRegParamNorm,MinEsReturn,AverageDiscountedReturn,AverageAbsQ,MaxReturn,MinForwardProgress,AverageAbsQYDiff,AverageY,AverageReturn,Epoch,MaxForwardProgress,AveragePolicySurr,AverageAction,MinReturn,MaxEsReturn,AverageQ
0.00134688,0.0256922898026,0.083765844306,23.3073417095,0.0495281568368,6.14069856745,8.77502367655,14.1287,14.1907,0.19231884312,16.4587909227,0.00865692,42.2918930601,-0.0759143157193,0.0342795409052,0.0256922898026,24.3524647065,9,0.227531903535,-0.0202998,0.000341785,4.51883509172,41.7838495521,-0.00858725
7.32058e-05,0.0577378881721,0.0142100519758,21.863130463,0.0399224608218,5.17812777561,22.2524574974,14.8731,14.9794,-1.12368993693,8.43904653476,0.0576117,27.2350827931,-0.11119317373,0.00468249943445,0.0576576670755,10.5432398702,10,0.144971754217,-0.0929502,0.963706,-5.8295429856,98.490146759,0.0575882
0.000148896,0.129468262697,0.238031662131,31.4907851691,0.0752055710451,10.564581881,19.9693918838,15.1283,15.9007,1.65207843401,28.6631376362,0.129344,71.5823852598,0.0703639837372,0.00642343842637,0.129467393495,43.6366600837,11,0.428141571756,-0.177656,0.999752,19.9767039334,65.3799866223,0.129344
0.000279152,0.202652647795,0.232929440321,40.0396067721,0.0746790832706,10.638768179,16.6462938131,15.2265,16.6924,1.92769612712,28.2365524553,0.202548,69.944804436,0.0764810668904,0.00835088695587,0.202651778593,42.8821031462,12,0.426712400829,-0.239837,0.999936,20.0172432964,67.3364335362,0.202547
0.000457005,0.262816380827,0.244357993532,36.0131410403,0.0854706349514,11.9696058993,13.7193766162,15.2887,17.4477,4.03369819033,29.1814382246,0.262729,67.4914045787,0.0538081289039,0.00998310285792,0.262815511624,44.4205350099,13,0.411342466688,-0.289254,0.999958,19.8095402545,64.2230240582,0.262723
0.000622532,0.317162822454,0.239734473434,39.2680792923,0.0774944739841,11.0840497945,10.5318966878,15.3718,18.1122,19.7569567567,28.7395214169,0.317121,68.4459887584,0.0119428070243,0.0116147700606,0.317162300933,43.8173163026,14,0.417176583916,-0.338661,0.999959,12.3833658243,57.4940998988,0.317095
0.000930832,0.36781149409,0.0543625837208,44.1001131534,0.0963108822151,13.9723289,14.8401163324,15.8708,18.8496,9.65161400387,11.8635567153,0.367704,47.5073184832,-0.105384462674,0.0141932974994,0.367810624888,17.4972314295,15,0.270567237172,-0.39037,0.980636,-4.96906727591,65.3155649439,0.367683
0.00133001,0.42284831259,0.159497449759,30.7819257923,0.0449371200162,5.96996931515,11.7704781936,16.2271,19.5943,-0.0699885319262,21.9280158279,0.42276,47.7643045097,0.04533959667,0.0170917927605,0.422847791069,30.9047962806,16,0.28890653796,-0.459335,0.996479,15.8254808759,45.3629853595,0.42271
0.00194446,0.494597991994,0.000399986971599,8.79381333742,0.0293402031205,3.78539927846,6.85987441273,16.7756,20.5022,-2.64587131043,5.27145041781,0.494454,18.4476023229,-0.0857574694365,0.0211687355669,0.493649507838,6.17664307046,17,0.09513793274,-0.553171,0.978634,-4.50206493089,34.7372579482,0.493483
0.0019575,0.564933303147,-0.00539412395462,4.79120849282,0.0388531979926,5.06462362338,4.35166767832,17.1804,21.1311,-3.52393215653,5.15637802689,0.564685,18.9607486871,-0.12104614978,0.0220028100789,0.563851504524,6.05435301629,18,0.0951174126276,-0.631331,0.988941,-8.95183926716,14.2110375727,0.563672
