PolicyRegParamNorm,MinReturn,Iteration,AverageAbsQ,AveragePolicySurr,AverageQLoss,MaxReturn,AverageDiscountedReturn,AverageY,Epoch,MinEsReturn,AverageEsReturn,QFunRegParamNorm,AverageQ,AverageAbsQYDiff,AverageReturn,AverageAbsY,MaxEsReturn,StdEsReturn,StdReturn,AverageAction
11.7094,-5.55813987974,9,1.47945,0.540023,19.7971,2.37209118171,-1.96488211363,2.64313031271,9,-16.9528679126,-4.13874950412,11.4913,-1.25392,3.98187962494,-3.72745815234,2.71813638276,22.8951005036,4.07549842446,0.637692952615,0.208022
12.2801,-8.45031300164,10,1.35537,-1.57051,0.438183,-8.05941521928,-7.97347569468,1.22114902452,10,-17.9109545539,-8.04595715215,11.8111,1.18657,0.402735039391,-8.25698490607,1.45733105546,1.47549805807,2.834977862,0.0644835398582,0.999956
12.5868,-11.5003658183,11,1.35784,-0.88571,0.0582014,-5.95704404419,-5.32822106783,0.55853539234,11,-58.3584764269,-8.16263197715,12.0741,0.557051,0.182305550238,-8.68444763531,1.37134408989,0.416160056414,5.58985254752,1.41819762637,0.999996
12.5961,-11.4549619586,12,1.80481,-1.534,0.065415,-5.63730044557,-5.19819904676,0.543797977552,12,-18.9390026539,-11.1737835029,12.6755,0.542115,0.192457835244,-8.51091012139,1.81504693004,-4.97208846927,4.39621070255,1.29238753419,0.999997
12.6062,-11.02789563,13,2.22605,-1.92553,0.0896649,-5.99973090724,-5.33945258155,0.818609113647,13,-41.6142726578,-14.1391702391,13.5389,0.816756,0.221631954073,-8.7070457466,2.23703505491,-4.69285762459,11.3183175146,1.32825059527,0.999999
12.5901,-11.5234480365,14,2.56468,-1.96064,0.111273,-5.99248434828,-5.239976302,0.940141603895,14,-15.4707505641,-9.05247283538,14.4495,0.939229,0.240537228657,-8.57321095031,2.57836804389,-6.35126086547,2.29005578248,1.25372630261,0.99997
14.3231,64.8568801943,15,2.96891,-2.7366,0.138061,154.512090292,59.819395856,1.1671843779,15,-36.5707375239,-13.5451830409,15.3537,1.1664,0.259464610062,95.0549974085,2.98362690332,15.947779579,19.7878122397,17.9301879985,0.593054
15.3595,52.5468408381,16,3.70346,-4.00017,0.161295,144.624828668,57.2132543283,2.34345299556,16,51.8675359885,346.967505851,16.1419,2.34167,0.271286003363,77.6357539169,3.71577570595,786.483135826,269.618227729,19.7208837541,0.624115
16.2062,48.8944146018,17,4.41798,-4.9503,0.181944,171.696944144,57.0331327673,3.29168988048,17,65.4810878121,151.248145686,16.8934,3.29004,0.286561628846,80.7420852086,4.43138219086,372.950320886,105.1873059,27.1845106907,0.69013
17.307,71.703570557,18,5.22994,-5.82353,0.230111,449.613793581,87.4322006615,4.21993336542,18,32.7140736247,142.341296052,17.7035,4.21802,0.310325510647,216.199822201,5.24322783711,328.252229895,104.181681445,121.280118326,0.83137
18.2649,65.7022311082,19,6.09895,-6.80994,0.279246,421.995743577,69.2849779064,5.16708772052,19,46.209281897,207.190777142,18.501,5.16534,0.331456346967,147.902055034,6.11276317136,413.376148001,132.837565657,109.521199725,0.75112
18.9385,168.523362703,20,7.08834,-7.874,0.423369,535.392949447,108.839704608,6.23585722953,20,53.7090805514,241.482288266,19.2135,6.2337,0.379920037716,354.893538756,7.10151033627,357.950129401,120.135079095,62.1632402553,0.692197
19.7961,51.5310965173,21,8.06069,-8.95063,0.518648,332.695986094,72.9343218955,7.27765304011,21,44.1186278003,180.952393638,19.9915,7.2752,0.42083413195,149.90054697,8.07304465114,336.446826051,134.364199137,73.4139473241,0.610221
20.5348,37.1838496534,22,9.02493,-10.0383,0.789468,884.68711365,74.5022958942,8.29674714083,22,5.29553006134,151.222550223,20.6602,8.29342,0.481584237132,508.759180065,9.04004924518,310.030643901,100.216841922,324.349881543,0.651024
21.1839,25.2139250184,23,10.0137,-11.1319,0.902262,517.399048026,59.425327594,9.34853692137,23,41.9033954369,160.21163243,21.338,9.34595,0.528476011878,140.246971289,10.026845772,304.52636037,101.733478562,144.365725432,0.6398
21.8632,28.8199465282,24,11.0927,-12.2086,0.989796,519.523397799,68.6171965443,10.4796407269,24,33.579393727,135.92921956,21.9712,10.4771,0.576167941512,180.4070486,11.1075402842,441.389944276,131.091326178,168.055356067,0.68277
22.3352,133.991331234,25,12.1128,-13.251,1.20033,439.147592193,117.803465921,11.5334072479,25,39.6097104153,140.657985518,22.6312,11.5302,0.618174501705,331.105055661,12.1261302647,352.147922678,127.437102584,55.2690238597,0.670615
22.7574,57.0089520385,26,13.1741,-14.4085,1.64514,463.693162991,69.253841033,12.6518803127,26,75.3275329103,257.871669082,23.3952,12.6476,0.694393174118,144.569382836,13.1870449956,524.259279098,168.142444506,113.657704427,0.61932
23.2309,56.7916694877,27,14.1641,-15.4301,1.7418,470.243237788,80.3142116488,13.673558126,27,19.3783348913,180.910127816,24.0714,13.6696,0.720872066817,189.364349203,14.1762090563,284.532842726,101.532976738,129.164695841,0.601904
23.6568,68.9538907264,28,15.3768,-16.6394,2.05922,563.191492916,78.8215122855,14.907158238,28,201.560016956,286.421029178,24.7727,14.9026,0.77166216186,192.717289703,15.3907818945,412.93869908,68.5963518903,127.40952415,0.613849
24.1093,99.8253842949,29,16.615,-17.9667,2.08211,444.661941596,114.721521947,16.1730740686,29,47.5006099792,227.908890114,25.3964,16.1684,0.790233243846,247.658856987,16.625542271,507.827650903,167.565675346,98.2245727885,0.668421
24.5425,58.8573287368,30,17.7796,-19.1724,2.3483,726.267985596,96.9728361906,17.358114391,30,35.5766183852,189.83584957,26.0448,17.3532,0.83783230008,297.39664216,17.7888501826,389.089560567,132.874800342,171.534474976,0.659782
24.9676,35.8734935847,31,18.8676,-20.2862,2.96192,848.962653388,94.7733603563,18.4725341163,31,34.5825009555,151.111273857,26.6462,18.4672,0.912362584438,283.667290899,18.8805127118,237.676315763,73.4168133888,125.093409691,0.657375
25.449,30.4473433596,32,19.997,-21.4452,3.16737,928.37469498,86.7534901269,19.6292625694,32,156.914144749,275.674002703,27.2668,19.6244,0.946412238546,404.078816744,20.0092613505,474.784423669,138.803347528,245.745851218,0.682991
25.8077,55.7297415287,33,21.2026,-22.6922,3.33539,451.343363481,96.9652299872,20.8360959572,33,-11.8305155476,172.954266463,27.8644,20.8301,1.00550891522,269.396083524,21.2133809761,374.826906748,132.531099511,116.083070581,0.712953
26.1904,23.9123189471,34,22.5061,-24.0093,4.22739,493.098736716,113.877289695,22.142332574,34,56.1978362943,253.67035867,28.5301,22.1354,1.08381694003,286.887414927,22.5166836398,545.145617917,181.874910873,95.0859628539,0.668967
26.499,151.715704935,35,23.7365,-25.373,4.33514,540.084990211,144.318590683,23.4002009225,35,181.496322483,258.140474326,29.1375,23.3947,1.12552008868,408.270073955,23.7456549617,360.237638704,64.4292359597,66.7269444752,0.701638
26.8135,43.3626353642,36,25.0876,-26.7189,4.55801,934.538941736,92.3693999099,24.7574169062,36,-21.1517182392,196.77590446,29.7227,24.7507,1.16239937183,341.091690967,25.096179513,368.843369759,141.665781785,212.467540631,0.710688
