AverageQ,MaxEsReturn,AverageForwardProgress,AverageY,MaxForwardProgress,StdEsReturn,AverageAbsY,MinEsReturn,Epoch,StdReturn,AverageDiscountedReturn,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,MinReturn,AverageAction,MinForwardProgress,MaxReturn,QFunRegParamNorm,AveragePolicySurr,StdForwardProgress,AverageAbsQ
13.2124,102.021888147,0.135379349663,13.1869511009,0.918269859678,35.7155608506,13.1882233424,-25.3000754844,20,40.4879092826,18.4869149211,32.1518289336,14.5947,1.27281273898,28.2354028911,6.78363,-40.928858567,1.0,-0.534220790618,113.431908297,30.2211,-14.5506,0.391389352678,13.2421
14.7259,90.636856362,0.081591346482,14.7161114709,0.913284454666,46.2308352286,14.7181040701,-33.6032660686,21,40.4600303598,15.3759089475,27.1521711695,14.6668,1.22740472378,25.6686477167,6.0605,-35.7142648632,0.999998,-0.537591621993,111.242951115,30.9867,-16.9452,0.392778371693,14.7443
16.1144,107.806460704,0.102172419792,16.0284300683,0.888851881291,48.5922133475,16.0299962772,-29.5258948133,22,39.622627627,16.4554472753,28.8893344121,14.7569,1.59129513214,26.2516022869,14.5731,-41.4831855938,1.0,-0.601797734745,110.141521673,31.6168,-17.431,0.381479674472,16.1736
17.2513,76.0479886484,0.0985444621339,17.1964372083,0.904082455225,36.1682824322,17.1984730983,-31.6102232316,23,44.3703173281,16.0031958218,28.3212946422,14.7597,1.59471765116,23.1175783806,12.259,-43.3267318871,1.0,-0.597128518174,111.548648339,32.2698,-18.4894,0.428433411462,17.3075
18.0801,109.214689974,0.129691172153,18.1024892007,0.858069662521,51.9326592725,18.1041639898,-25.5689881618,24,41.9817922744,18.0134468371,31.5343265572,14.7605,1.43812716693,30.2483144312,8.70983,-38.6500449478,0.999982,-0.564384821096,105.386914285,32.4855,-19.9157,0.405220699976,18.1009
19.0183,68.6353195331,0.133227543649,19.0181477827,0.951110783409,33.7416585341,19.0196004426,-16.9382290297,25,38.7589148898,18.4947337946,32.2818029637,14.7648,1.50768303336,27.9558875276,10.0561,-30.6619739562,0.999999,-0.502299322609,116.575833928,33.0226,-20.3294,0.375519303844,19.031
19.2832,62.8075799484,0.139105386408,19.2985394467,0.869625318664,21.0164233094,19.300096003,-11.6829728528,26,27.5332289649,18.1528412053,32.6774220141,14.8287,1.35521137548,25.7459527733,9.487,-25.2545698136,0.991196,-0.414280293501,106.104996612,33.3209,-20.1251,0.264030094622,19.2877
19.7843,42.0405575128,-0.043890786331,19.8344807027,0.263073528359,17.639290215,19.835574898,-21.653888742,27,12.9321810599,8.77975919336,12.3732550643,14.9396,1.40900100936,18.2826976146,10.0163,-16.4516859953,0.981926,-0.350068918893,45.6647030269,33.7508,-20.7969,0.129303654529,19.7896
19.9242,36.3235360935,-0.0310340433098,20.009283479,0.367399513684,13.4810988377,20.0104252507,-4.76212263294,28,15.6163424965,10.3642289918,14.5609307639,15.0849,1.52332117964,15.7513589496,10.4848,-23.7264831602,0.988219,-0.398413093742,57.5940913078,34.0962,-21.2746,0.150668455429,19.9498
20.2266,24.0483804898,-0.0457021330359,20.2328663906,0.338975595902,10.0831691282,20.2332784843,-13.4994611411,29,13.7626515195,8.69277371301,12.0536746903,15.1388,1.34529549057,8.14195657224,9.17848,-17.6833046959,0.990621,-0.3424722104,54.2460175124,34.4343,-20.7455,0.133094245287,20.2342
