StdEsReturn,MinEsReturn,MaxReturn,AverageY,AveragePolicySurr,AverageReturn,AverageEsReturn,Epoch,MinReturn,AverageAbsQ,PolicyRegParamNorm,AverageQLoss,AverageAbsQYDiff,AverageQ,Iteration,StdReturn,AverageAbsY,AverageAction,QFunRegParamNorm,AverageDiscountedReturn,MaxEsReturn
3.70963379292,-22.7660965038,-14.8114483444,0.535151133561,1.38556,-15.7556189259,-13.560463795,9,-16.5717687355,2.05571,11.8645,8.33602,2.5908632012,-2.05571,9,0.456505361739,1.01474678203,0.716752,11.6053,-14.1661336593,14.3156765487
20.2182752493,-89.6100262033,-10.1694694868,0.049168515078,-0.281467,-11.0299417739,-17.5593890239,10,-11.8251288971,0.282204,12.8544,0.0980823,0.185763168028,0.0488703,10,0.247609469159,0.305978432965,0.986725,11.6356,-10.1693144366,14.1249435313
7.54935051791,-15.3060207697,-3.65278129219,0.303565618601,-0.467535,-4.04374849892,-3.16166082886,11,-4.29334525452,0.315028,13.6136,0.019182,0.10147354544,0.300659,11,0.107373147818,0.325455883404,0.957758,11.7199,-3.91029830418,37.316788162
5.18927756103,-4.33365954001,950.48679546,0.351911780067,-0.544842,119.60213348,-1.7461974355,12,-75.1776200384,0.370603,14.2331,0.0140032,0.0888686070835,0.350331,12,211.766601196,0.378586700937,0.920336,11.8295,47.536269237,27.5912618826
44.4784486099,-14.0253549599,88.3541535053,0.41990843268,-0.627001,70.4608821343,41.9686805272,13,19.2832777715,0.444398,14.9882,0.0138915,0.0878035006531,0.418619,13,7.16259757805,0.451552552403,0.979664,12.0172,43.1132824929,119.653373606
115.398787315,-56.1574841264,110.585384437,0.497426691993,-0.705499,81.4862345615,76.1344330871,14,62.6998306329,0.517838,15.4539,0.0118683,0.080649552486,0.496462,14,11.7947273944,0.523097864719,0.953815,12.2767,58.9760860461,321.625219881
36.5223581797,-21.5540153256,149.286146561,0.586341821563,-0.78284,88.4045686079,50.0001464988,15,60.2568107046,0.604517,15.8895,0.0114817,0.077139134573,0.585556,15,20.7382436687,0.608237584849,0.882208,12.5985,58.6859171724,89.4427158528
115.037509858,-49.6852362101,-16.184005418,0.675362133775,-0.850079,-51.3163862833,78.6440883207,16,-115.051733125,0.69316,16.7744,0.0104592,0.0721020436718,0.67473,16,19.9747327554,0.696071369023,0.954189,12.9726,-16.4993913876,327.999487699
98.2087110165,3.96582365931,971.410593985,0.755031957001,-0.920557,169.734479885,87.1587410188,17,2.28926375905,0.776491,17.5721,0.0119738,0.0735070532016,0.754292,17,177.632324671,0.779451017526,0.93584,13.4059,69.8098561927,256.360575922
109.302295429,-21.8092879133,289.82141099,0.83171692312,-1.00544,127.984373733,84.7900687898,18,-4.10599619266,0.85831,18.3187,0.0148471,0.0783148047046,0.830983,18,93.7909883617,0.862318749986,0.900805,13.8624,59.843880153,290.785963945
148.475338996,-11.3422840642,1036.03968594,0.930476383357,-1.12003,290.072391209,142.652461065,19,-23.5487893269,0.960325,18.9682,0.0192212,0.0872953008411,0.929759,19,323.696091144,0.965122338721,0.929456,14.358,75.5184440022,358.565615277
92.3819510958,39.3004703787,244.673582402,1.04265513989,-1.24521,33.6362865408,140.903964039,20,-17.3863743362,1.06859,19.6589,0.0201298,0.0907176824479,1.04182,20,49.5228890662,1.07378565224,0.867261,14.9239,26.6274941343,281.93061209
133.156371805,15.3086201355,473.45491307,1.1713524199,-1.37006,180.899098141,116.485055713,21,1.58422532233,1.19431,20.5166,0.024408,0.0973961393462,1.17039,21,128.231716781,1.19969347876,0.865006,15.5194,69.5045208345,350.234108628
106.418833614,13.0645580748,1036.76865902,1.29146899692,-1.50356,90.5481880872,149.996404181,22,19.0951519231,1.31413,21.3667,0.0320122,0.107849024062,1.29049,22,167.63729787,1.31857647377,0.867172,16.2232,46.6973066672,271.282404503
131.389023,28.3096154626,998.473787563,1.42996295243,-1.65181,231.308703075,184.944716359,23,54.0455774866,1.45007,22.2048,0.0320289,0.110998394435,1.42906,23,261.444724211,1.45372731394,0.821473,16.8284,71.5953223291,359.053852357
138.700504409,39.5061849242,992.9716974,1.57869069558,-1.80293,359.301318395,272.841167776,24,15.7353641821,1.5969,22.9445,0.0376276,0.118333569635,1.57738,24,333.50413083,1.60024687518,0.767965,17.4601,87.2216998851,412.342151307
78.4352346864,45.6283844314,435.216936371,1.75385701299,-1.98957,274.895506025,169.408857737,25,56.7483834762,1.77318,23.7812,0.0416812,0.124689666544,1.75279,25,67.3230774187,1.77559833559,0.8901,18.1072,113.631210107,291.764548805
33.4190311497,197.507992495,709.373805135,1.92758377414,-2.16808,331.199722668,265.965289963,26,141.446713863,1.94939,24.4605,0.0448645,0.130370319414,1.9262,26,94.4925845203,1.95203730314,0.860893,18.7471,110.022729684,304.810459873
51.0682573041,230.083915508,570.839381641,2.12045917439,-2.36899,345.670019165,296.526143385,27,78.4473921827,2.13807,25.012,0.0515584,0.136432050173,2.11942,27,118.388841795,2.13999638053,0.875428,19.3899,104.00461989,363.849651565
95.9760254254,46.2175100628,997.074763225,2.31394319487,-2.57247,323.970517594,208.327587461,28,32.2832240624,2.33273,25.5999,0.0595849,0.143529160349,2.31258,28,237.971112847,2.33413141421,0.826104,20.0567,91.5164794269,303.816949629
150.954515044,9.00722209174,374.510111535,2.4797601705,-2.7375,250.373003341,221.186967286,29,19.2081162483,2.4973,26.2059,0.0643207,0.148493923411,2.47827,29,71.3595976962,2.49889147358,0.913485,20.6613,110.649942496,458.252279772
101.364498687,43.2494390315,1028.62217422,2.66065503151,-2.925,250.653317807,170.417585754,30,-33.6031767592,2.67741,26.7824,0.0693107,0.154948267534,2.65936,30,256.27489007,2.67810588761,0.876732,21.1964,72.6054187746,331.053525133
74.8283726307,86.9086134179,953.304737749,2.8350659507,-3.10501,485.819658939,201.014439581,31,42.4247893604,2.85189,27.4941,0.0704723,0.160490083322,2.83351,31,338.858752009,2.85247093242,0.938574,21.7553,88.5421113556,275.364233254
79.9483096673,4.56964293587,790.115082373,2.99432951121,-3.26089,243.916626868,95.5130842774,32,151.24138672,3.01149,28.0288,0.0800375,0.16995895493,2.9931,32,85.5406166305,3.01175349026,0.901125,22.3203,112.156404398,244.282798237
52.7411938401,158.225570998,992.613040329,3.18289189616,-3.44752,529.113860887,238.285011588,33,0.526204151507,3.20004,28.5788,0.0819133,0.17614384342,3.18112,33,449.29923647,3.19984971858,0.921187,22.8011,71.1439396355,326.185145399
58.3657916929,14.8174319633,900.633927957,3.34279430369,-3.60763,-6.99348341245,62.745237611,34,-59.6230343727,3.35901,29.0482,0.0913215,0.183295024779,3.34138,34,109.664938349,3.35899220507,0.847769,23.2366,9.24821541448,225.061387368
98.308909502,-31.779694914,340.006213069,3.50315809405,-3.76189,143.818494686,68.4202187306,35,-25.9438201511,3.51937,29.6086,0.0963113,0.190863022914,3.50182,35,87.1363814645,3.51882736999,0.879816,23.725,60.1780893829,257.253086961
285.628997755,6.33160101238,959.09049469,3.6657376434,-3.92321,197.28944089,222.119233281,36,107.008124446,3.68221,30.1446,0.111642,0.200657573917,3.66402,36,108.121443531,3.68181425854,0.89531,24.2046,96.5720172391,703.727982846
34.0820713166,-17.0474208372,995.274728553,3.83135322667,-4.08586,230.951084856,37.4668532824,37,-54.8946634703,3.84508,30.6427,0.118742,0.210205057953,3.82956,37,192.92834944,3.84478641404,0.875653,24.6453,91.5698870867,85.7669308658
131.735252535,-26.5147087637,822.375063349,3.96566317671,-4.22757,251.085099878,122.45618262,38,-40.5971362731,3.97891,31.078,0.127469,0.217053474156,3.96407,38,303.678177772,3.97888169449,0.866199,25.1238,43.2968078602,392.865606714
74.4230221235,-1.02905695356,914.333146211,4.11410859584,-4.37949,85.5242512061,45.7280775576,39,-102.417775948,4.12584,31.4399,0.132918,0.225295164591,4.11226,39,205.898312225,4.12533697927,0.886595,25.5683,31.1486690104,277.883386841
31.1061585987,-12.1245537096,932.333653276,4.28000994615,-4.54961,47.00841992,36.3683667152,40,-141.370327312,4.29278,31.7976,0.141018,0.231937230558,4.27825,40,175.950430094,4.29225416442,0.84438,26.0003,9.00989442235,106.764982574
35.3678727005,-40.8394856918,550.339976521,4.41917457466,-4.68279,173.939979563,19.8124866673,41,-26.3597451465,4.4312,32.0726,0.145985,0.233263613841,4.41749,41,126.612066651,4.43058765316,0.842055,26.414,71.9603801715,81.4644747608
40.0959237291,-2.29794210669,460.157101494,4.54097461945,-4.79429,187.376950445,37.9785997001,42,17.1848348388,4.55251,32.4908,0.170272,0.247690691076,4.53908,42,96.9827371479,4.55151320976,0.865879,26.8536,84.5619621154,130.750383569
69.1063547675,3.6333358823,804.12678695,4.656191875,-4.91507,105.869710768,122.407707006,43,-104.642916573,4.66771,32.9118,0.174749,0.248629596602,4.65438,43,143.911748443,4.66741428529,0.868533,27.2479,46.6159293841,216.731763556
99.0968804589,0.487743477886,972.506829897,4.81376730727,-5.07465,183.775984887,169.184703759,44,-43.7787905261,4.82472,33.3063,0.176476,0.25450901446,4.8114,44,225.980159199,4.8248085967,0.829246,27.6152,59.1806633072,267.803529032
61.521176778,1.67144143202,882.535364339,4.9766634532,-5.24399,632.66646362,48.1451098381,45,-106.139853121,4.98708,33.6758,0.180066,0.255488866463,4.97497,45,367.226091147,4.98629767497,0.830845,27.9791,28.8196271142,214.634940419
46.3919166368,60.0542313101,418.030786205,5.16388279627,-5.4438,210.485455442,115.261277078,46,66.668507633,5.17213,34.0357,0.179247,0.257317203679,5.16146,46,87.2619601812,5.17244872805,0.871351,28.3192,78.6926769229,176.580231171
101.581665845,4.44700300138,883.455227579,5.2927022092,-5.57729,494.781059996,126.207671081,47,2.33245155924,5.30423,34.4529,0.219451,0.27109014789,5.29105,47,331.88653288,5.30341101285,0.861251,28.7317,61.4339340394,266.089140907
91.114280738,6.10707912482,896.829582754,5.50170738182,-5.81258,125.661669684,108.724299552,48,-1.23467363344,5.51069,34.785,0.194446,0.265548951822,5.49991,48,163.446996701,5.51055367237,0.842049,29.028,59.243848048,279.193884594
82.9011564038,-3.11349566128,828.846303874,5.71114835513,-6.03508,131.439959713,77.8334631418,49,-6.01471932624,5.71973,35.1615,0.22529,0.281034671546,5.70867,49,194.514556811,5.71931633863,0.865629,29.4192,39.9477173317,254.670396606
70.7130327643,24.8478331216,718.185977708,5.89201331887,-6.23535,154.114256905,105.547389178,50,34.6763874908,5.90152,35.5936,0.227567,0.283378122535,5.88933,50,112.110665713,5.90155193968,0.869031,29.8181,63.7018525453,249.649773696
89.8501521949,6.8457204413,927.686421054,6.12102424805,-6.46213,51.456195811,86.3901208706,51,-26.427699534,6.12925,35.8813,0.251781,0.292975863385,6.11897,51,98.6887979295,6.12844763947,0.893966,30.141,28.4024165628,336.461855023
109.1242018,1.16966839446,445.290114646,6.36489450519,-6.72112,90.6187127367,95.4087531325,52,-20.8884380414,6.37083,36.1515,0.247631,0.289489520891,6.3615,52,45.3393135834,6.37173982716,0.893118,30.4621,49.1525427423,347.965531543
66.6785746343,3.40828623544,780.198765554,6.56219306378,-6.90844,217.964008809,63.0430784247,53,32.6511504209,6.56906,36.5291,0.273447,0.293488733593,6.55889,53,128.549421294,6.56828944632,0.847254,30.7534,82.8695914621,251.791503266
87.3174846453,10.0566602717,915.16110481,6.77833697,-7.12138,174.682460941,96.415135464,54,88.1005165524,6.78413,36.8684,0.290481,0.303268089044,6.77623,54,136.111715328,6.78315675808,0.842016,31.0938,80.6885059459,262.460563729
75.4047159205,2.41969332764,869.920463563,6.98665445545,-7.33589,263.620933161,74.3308165905,55,13.4395818911,6.99088,37.2275,0.292164,0.30252607195,6.98376,55,283.661609958,6.99079042775,0.839216,31.4411,64.977871678,224.321117574
104.318552075,1.60660581769,935.420619025,7.14581666551,-7.49214,155.311543629,93.6838270172,56,34.038305052,7.15076,37.4831,0.302109,0.300289874223,7.1433,56,108.128573412,7.15032723827,0.853762,31.7703,74.3922066096,347.593430196
66.778057365,8.14978363106,172.944799501,7.32652228509,-7.65217,115.568158137,96.8807616051,57,96.9022416405,7.33045,37.7445,0.322531,0.309626731601,7.32357,57,10.9155918331,7.33023313701,0.818843,32.1021,71.1734941905,236.230898771
210.201494879,-2.10156631679,928.314639306,7.47938571032,-7.80299,522.033976369,136.982187716,58,12.7420128666,7.48549,38.0913,0.325196,0.313907665631,7.4769,58,335.613498564,7.483600979,0.828264,32.4286,55.9085715358,600.196537125
125.568505641,8.9431212474,1005.58629163,7.62583686873,-7.94311,288.485468718,229.186674281,59,88.5002817177,7.63216,38.474,0.334269,0.311447462474,7.62334,59,250.138926055,7.63105519686,0.857392,32.7676,80.0059032057,394.300285237
92.128362153,-0.376492766864,420.173362785,7.80348955014,-8.13588,208.440354166,80.3159406493,60,42.5921798731,7.81083,38.8113,0.319242,0.314212466665,7.80076,60,96.1295336456,7.80883236044,0.84318,33.0751,86.2475573605,273.732376167
36.4353485008,1.21869998262,884.175616087,7.93952077983,-8.25892,302.457935624,69.4963858823,61,37.7618074128,7.94756,39.1798,0.345905,0.316361959156,7.93771,61,169.743092525,7.94546576773,0.86737,33.4005,103.218275419,116.918555245
91.3969890454,0.288513466381,265.479626656,8.10536342236,-8.45187,149.603642572,145.237638733,62,104.557352205,8.11317,39.4759,0.331491,0.319627064705,8.10222,62,29.6355939294,8.11169398557,0.923895,33.6829,93.5097572146,305.193821638
112.683638833,-3.77061841129,471.377580225,8.23787590503,-8.58061,139.118463662,147.71179703,63,-78.5071716274,8.2483,39.8235,0.377898,0.331045739894,8.23575,63,138.98153771,8.24560331385,0.88265,33.9858,63.8034977994,366.078374781
74.761460375,-49.5480811413,504.285150693,8.42342330185,-8.76508,172.883213283,100.490615204,64,-77.5361961083,8.43069,40.1606,0.418732,0.344611245657,8.42024,64,152.801431764,8.42998371708,0.84698,34.3311,69.2955654047,174.762947832
62.8145063062,-2.88115728437,1140.45526786,8.54016984663,-8.88161,85.1630865517,102.399743162,65,-51.0051845934,8.54908,40.446,0.401923,0.347779809665,8.53759,65,176.731463282,8.54608347378,0.859808,34.6227,44.0894258505,216.515187716
98.8973021512,-38.98614235,614.609389811,8.70678458975,-9.04342,161.155655269,78.1641773294,66,-39.4453905649,8.71669,40.7769,0.417391,0.348286408656,8.70404,66,103.913277986,8.71442564667,0.865487,34.9346,77.2403490056,257.326615631
53.4167713462,50.0474758748,297.695752535,8.85551077421,-9.20185,23.9861107466,152.186697228,67,-148.173992986,8.86465,41.0657,0.392081,0.34150634088,8.85291,67,92.6785730672,8.86228293282,0.865615,35.2256,20.059246008,243.865422824
65.2599310892,-57.7747663942,768.414230439,8.99031968575,-9.32796,214.320955398,41.3712443009,68,-84.4542374938,8.99992,41.305,0.473242,0.362423761423,8.98766,68,106.563729689,8.9970614336,0.885365,35.5209,101.23032843,148.023326122
86.1248570758,0.929573201027,534.082149565,9.18239797081,-9.52254,180.578951956,110.356800843,69,1.02251827942,9.19326,41.5469,0.391324,0.348888715442,9.18028,69,90.4927628693,9.19023384004,0.869206,35.8616,91.0781117262,256.391947938
69.0423280003,1.45237692118,674.092279829,9.25484919644,-9.58161,187.770270341,94.5637861481,70,23.5795143867,9.26603,41.8497,0.472816,0.369172556075,9.25207,70,114.224257183,9.2620947856,0.890505,36.1755,87.3290249267,205.77136006
135.309654443,-29.4256915106,418.852264313,9.37995627527,-9.70253,161.154509558,111.410789979,71,14.0634804689,9.38913,42.1058,0.407243,0.352612779435,9.37708,71,68.8694764583,9.38691479958,0.892904,36.4541,82.68817017,432.741754112
62.5824937768,0.736460733081,537.669578453,9.50065436047,-9.81635,76.9355679023,108.489468335,72,-68.235926521,9.51183,42.3887,0.512897,0.38281696074,9.49782,72,102.743787445,9.50914110395,0.895538,36.7221,45.5193682027,194.381354563
