AverageDiscountedReturn,AveragePolicySurr,AverageReturn,Iteration,AverageAction,StdReturn,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,MinReturn,AverageAbsY,AverageQLoss,MaxEsReturn,Epoch,AverageY,AverageAbsQYDiff,QFunRegParamNorm,StdEsReturn,AverageQ,MaxReturn,MinEsReturn
40.4490633084,-6.59103,-92.6928284233,30,0.429968,160.759773629,7.4961,24.2131,-120.903958951,-218.205330248,7.52245885242,0.811727,-120.903958951,30,5.87021456101,0.550480774583,25.0059,0.0,5.86191,343.594472536,-120.903958951
15.3306512071,-7.05617,-216.871336397,31,0.490293,27.0473552127,8.00242,24.6167,-126.197768464,-252.156243273,8.02695070403,0.852098,-126.197768464,31,6.30140261377,0.55823752585,25.5367,0.0,6.29481,-163.572276589,-126.197768464
46.4876618396,-7.2995,9.63049267868,32,0.473828,109.478775738,8.37271,25.0179,-118.551831532,-114.788754879,8.39770893111,0.893493,-118.551831532,32,6.55533287902,0.567803690329,26.0344,0.0,6.55007,253.330361902,-118.551831532
30.4824320198,-7.65904,-223.067507677,33,0.559219,75.0796823175,8.79296,25.3996,63.4517287507,-299.254173025,8.81844637218,0.977522,63.4517287507,33,6.90879435442,0.578972079761,26.4935,0.0,6.90095,-56.4125018525,63.4517287507
79.5824256598,-8.24157,5.62695371846,34,0.455539,180.200116223,9.42304,25.7661,81.1584860529,-163.373433635,9.45368733914,1.05879,81.1584860529,34,7.47567633805,0.595193215172,26.9686,0.0,7.46805,298.048363698,81.1584860529
126.745413172,-8.43651,1398.51260461,35,0.7941,540.904714952,9.74999,26.1465,-59.795408706,-77.9987590084,9.77239117711,1.0943,-59.795408706,35,7.68525576634,0.599927325461,27.4478,0.0,7.67754,1790.46209549,-59.795408706
167.300485171,-9.23263,1850.69945607,36,0.845462,446.054490785,10.5075,26.5168,697.592834681,521.644276379,10.5401338016,1.38511,697.592834681,36,8.44823958696,0.650695097711,27.9584,0.0,8.44106,2080.31232702,697.592834681
163.168308612,-9.84383,1905.26517049,37,0.825901,702.225027825,11.0922,26.9123,183.309004229,-194.494005073,11.1210463167,1.36717,183.309004229,37,9.02037704434,0.638744058291,28.4334,0.0,9.0113,2227.67671976,183.309004229
178.194395238,-10.7551,2153.76888603,38,0.871713,40.6210173582,11.9595,27.2181,1022.70486821,2101.03184973,11.9982619664,1.6699,1022.70486821,38,9.92578771001,0.680246556562,28.8614,0.0,9.91881,2234.89599779,1022.70486821
148.118522445,-12.187,716.371087495,39,0.555213,735.012905283,13.3096,27.5358,1201.35729565,20.8455544873,13.3341636011,1.54821,1201.35729565,39,11.3429932203,0.696757050383,29.3272,0.0,11.3335,2206.79044083,1201.35729565
