PolicyRegParamNorm,AverageDiscountedReturn,Iteration,StdEsReturn,MaxEsReturn,QFunRegParamNorm,AverageAction,MinReturn,AverageAbsY,AverageReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAbsQYDiff,AverageAbsQ,Epoch,AverageQLoss,AverageY,StdReturn,MaxReturn,MinEsReturn
34.0302,127.003373254,48,91.2417742409,435.044480938,47.0487,0.488268,144.805229078,72.43367956,216.748803228,72.4108,223.654607718,-75.4743,1.90022570955,72.4681,48,18.6057,72.4237361758,25.2681734416,261.980345329,84.9878387961
34.3652,179.882435983,49,133.51928126,412.886343977,47.693,0.469366,343.279874291,74.6824301856,374.200325845,74.6627,250.888008649,-77.8218,2.05713861915,74.7215,49,21.7583,74.6734120909,7.14655321421,380.548365771,3.86493296494
34.6577,185.651446789,50,98.862046153,414.304032795,48.314,0.42158,364.008798765,77.1965129762,410.781385349,77.1737,261.743616771,-80.3082,1.9487469887,77.2333,50,18.9127,77.1843390562,47.5970147398,501.230072566,61.3382844687
34.881,136.326145631,51,112.750657766,384.026965054,48.9864,0.421103,232.916201781,79.3695458493,236.206229377,79.343,185.952928568,-82.5515,2.10304522859,79.4033,51,22.5484,79.3548038137,1.46314277247,240.811314267,10.0170953007
35.1868,176.490534402,52,121.679476706,343.43261228,49.6754,0.43313,228.182928158,81.7547196051,364.518514814,81.722,175.526357442,-84.9532,2.17658827901,81.797,52,24.5909,81.7380863819,27.2514841297,386.926160574,11.8668727461
35.5294,178.874412181,53,117.828886765,391.502438059,50.3235,0.459956,322.718049944,83.9991198737,375.688293933,83.9765,200.22387315,-87.2965,2.1908987469,84.0392,53,23.13,83.9868893248,22.687480611,403.82676123,28.8893252764
35.8272,133.348422415,54,86.5562152933,309.786231364,50.9573,0.498842,145.381385759,86.0972724499,238.346102775,86.0665,219.751061643,-89.4859,2.25799024467,86.1435,54,25.2599,86.0805630854,57.2520295687,451.190877384,7.58073390236
36.1192,183.55400809,55,103.480472127,365.306699826,51.5683,0.485855,283.88379356,88.6377502497,399.209514454,88.6102,212.253620233,-92.0358,2.29172708682,88.6796,55,25.4004,88.6243677554,58.9141987602,506.909020557,14.7273264718
36.4072,149.373841031,56,123.566689614,402.192407537,52.1841,0.485165,192.139674747,90.8907738233,273.692156722,90.8677,211.992224392,-94.3621,2.41412611402,90.9493,56,26.9828,90.8769318408,36.6530386066,364.97557413,16.1109884627
36.6662,182.13997726,57,100.432122622,493.428279572,52.7947,0.539808,325.383715512,92.9157814453,384.989345156,92.8858,278.272932146,-96.3966,2.45354461791,92.9621,57,30.6752,92.9058833804,34.727383544,471.974568697,100.053476858
36.988,175.959084333,58,121.520863754,376.369303266,53.3589,0.4968,318.345892691,95.1123495978,358.937054361,95.0927,236.083971634,-98.6665,2.46695838014,95.1643,58,28.6708,95.1012945189,22.0512402163,400.029584265,36.1396679323
37.3054,154.630342365,59,127.427680786,384.285950235,53.991,0.528835,213.343188056,97.4607166983,285.793532997,97.4304,245.358529879,-100.962,2.55787737145,97.5079,59,32.4857,97.4476613508,48.4836857001,500.12127128,32.7270564542
37.577,166.839618369,60,101.033269534,358.737370974,54.5907,0.555781,205.043605418,99.9247489633,336.188638683,99.8992,228.717901337,-103.505,2.4928233561,99.9803,60,27.3863,99.9114851578,88.8725175187,532.196707334,102.311072816
