MaxEsReturn,MaxReturn,AverageReturn,AverageQLoss,StdEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageAbsY,AverageAbsQYDiff,AverageY,Iteration,PolicyRegParamNorm,AverageAction,QFunRegParamNorm,AveragePolicySurr,AverageEsReturn,StdReturn,MinEsReturn,AverageQ,MinReturn
55.9726670637,9.33611791851,9.22136138075,1.20246,6.68896578661,8.79682099893,0.227561,9,0.769212810349,0.929408569614,0.769212810349,9,11.2285,0.221639,11.1298,-0.0460226,9.65767187436,0.047283431541,2.91077633382,-0.160196,9.11296081665
8.2686529484,3.12170008514,3.08535323932,0.0318174,0.845508382974,3.03618097157,0.429246,10,0.432214967093,0.094105039281,0.431300503588,10,11.7217,0.999981,11.3006,-0.534028,3.72550603616,0.0174380800614,2.45679234216,0.427966,3.05058904003
18.6236700386,6.01713746728,5.83868515063,0.00500663,2.43917794853,5.67992631831,0.397818,11,0.3955983457,0.0413529436179,0.394770366407,11,12.1304,0.999999,11.4003,-0.436331,4.93935706475,0.0615339413897,2.26758773409,0.394565,5.70901184176
34.6389103042,6.02084344261,5.83491261179,0.00189343,5.24120921963,5.67613545084,0.393219,12,0.390443998732,0.0281372497801,0.38821573083,12,12.129,0.999999,11.4338,-0.418454,7.93160336273,0.061057880267,5.43395819777,0.388126,5.70072759447
25.2510386258,6.01659831717,5.83657707729,0.00149712,2.29998062427,5.67771415858,0.421466,13,0.420117512169,0.0251861044329,0.417406046676,13,12.1279,0.999999,11.5425,-0.429969,6.94078401204,0.060794940097,5.332554524,0.417392,5.70040553278
28.4720807772,6.03044295351,5.83457752333,0.00124512,3.68483746061,5.67588704877,0.432892,14,0.432041086318,0.0232022504823,0.428938295135,14,12.1282,0.999999,11.672,-0.427236,7.49534335482,0.0615190796549,5.42399250036,0.428934,5.68872054715
22.3783727837,6.02492791873,5.83349267899,0.00117193,2.96076543757,5.6748259973,0.427291,15,0.426829659132,0.0219643809535,0.422963917592,15,12.1285,0.999999,11.8958,-0.408759,7.11086683045,0.0610934125513,5.30914082522,0.42293,5.7031797473
56.0895687998,6.01590821644,5.83575677481,0.00111117,6.23083530415,5.67690212952,0.419949,16,0.419659640497,0.0210773788424,0.415310807295,16,12.1294,0.999999,12.1775,-0.394809,7.52357508154,0.0614468807086,5.3901229363,0.415211,5.70741780306
28.1909641519,6.01173625285,5.83498751394,0.000887526,2.31087974835,5.67615968935,0.409568,17,0.409341690085,0.0191196115324,0.405336541189,17,12.1279,0.999999,12.4817,-0.383733,6.6760366285,0.0610647389245,5.30387665772,0.405353,5.70658923182
40.8474917583,6.0149124761,5.83332255392,0.00074549,4.01712282232,5.67459439141,0.401509,18,0.401426466253,0.0172512812873,0.397798637642,18,12.1266,0.999999,12.7817,-0.376352,7.37326988541,0.0617082004188,5.2465642676,0.39779,5.70049522674
13.9563036328,6.01378725333,5.83803708925,0.000778231,1.58449809677,5.67923646484,0.395094,19,0.39502658403,0.0174234814159,0.391443231512,19,12.1247,0.999999,13.1198,-0.370875,6.72823560329,0.0610598734783,4.32855088018,0.391401,5.68822209719
40.3651529062,5.99873930627,5.83636241274,0.000703008,3.5532509369,5.6775317833,0.39052,20,0.390534590794,0.0158291378219,0.387011198965,20,12.1244,0.999999,13.4617,-0.367319,7.10511618628,0.0598345300158,5.2683049347,0.386982,5.70120994154
16.2857700552,6.02289701189,5.83707931905,0.000561238,1.87464620256,5.67824548824,0.383489,21,0.38351772838,0.0146287343347,0.380450429962,21,12.1256,0.999999,13.7408,-0.360845,6.78811467812,0.0609879969309,1.87174220956,0.3804,5.70108114272
