AverageAction,AverageAbsQ,PolicyRegParamNorm,Iteration,AverageQ,AverageEsReturn,AverageY,AverageReturn,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,AverageAbsY,QFunRegParamNorm,StdReturn,MaxReturn,StdEsReturn,Epoch,MinReturn,MinEsReturn,AverageQLoss
0.00409776,0.359323,13.4119,9,0.35245,16.2997644015,1.00495836016,59.9835983124,45.5698806376,0.76276010706,-0.202984,145.509681408,1.07362595168,11.0988,4.59619832072,69.5528665271,16.4493726428,9,50.4028032421,1.72285072388,0.720071
0.999969,1.47605,13.9786,10,1.44024,7.47525468826,1.44620339322,5.83313772148,5.67441676998,0.122524195684,-1.19572,57.6508023551,1.48658425276,11.6062,0.0611962176648,6.0173343903,5.93516179325,10,5.70027349252,-0.599011641914,0.0433096
0.999996,2.10483,14.1488,11,2.03384,19.5171379075,2.03541760339,38.7762302786,34.4630555606,0.12263931752,-1.53436,49.8214600607,2.10745924558,12.4474,0.918276106242,40.7051721093,16.9563603795,11,36.636041949,5.41342319876,0.0544355
0.999999,3.15427,14.1649,12,3.07748,41.0588334448,3.07897166126,38.7276125418,34.4220920333,0.179467573607,-2.13779,54.1910640252,3.15602666764,13.6371,0.927462608419,40.6580634493,3.79947244064,12,36.7352536352,36.5903674519,0.136192
1.0,4.29567,14.1765,13,4.22297,41.7652801794,4.22488853027,38.7915106674,34.4744676748,0.236323640236,-2.77786,63.4020970435,4.29691813002,15.101,0.956632214551,41.8136994681,5.15283433804,13,36.6451919888,38.2644393643,0.242842
1.0,5.52152,14.186,14,5.45272,42.7410040142,5.45432328359,38.7395805265,34.4338402771,0.266027436722,-3.43652,85.8702965241,5.52248049612,16.5794,0.995351082667,40.6895345465,9.07077799599,14,36.6707495412,16.6835375335,0.30139
1.0,6.79937,14.1932,15,6.73583,40.0287785777,6.73733776094,38.7853854238,34.4709728439,0.298976971978,-4.10451,54.3133073852,6.79941032102,17.942,0.875074972334,40.7381866014,6.8103278981,15,36.5865607358,7.38273430515,0.352845
1.0,8.10263,14.1995,16,8.04635,41.3669542197,8.04755337745,38.7764447993,34.4636554764,0.313230680637,-4.80656,68.6224076895,8.10128149525,19.2218,0.930708565554,40.7033688995,7.27207495388,16,36.7536179159,8.66200716588,0.370471
1.0,9.43409,14.2056,17,9.38246,40.673305668,9.38366908899,38.8463042184,34.5176569918,0.319481702006,-5.51589,48.8429955823,9.43262612486,20.2492,0.928479322969,40.7286797758,2.52750522839,17,36.6990598818,34.5176981001,0.386089
1.0,10.7434,14.2116,18,10.6981,40.0577444516,10.6997574324,38.7699631565,34.4578616431,0.338515699189,-6.21018,64.1926467952,10.7416742695,21.2559,0.911277902928,41.9360112723,6.20204789801,18,36.6332123939,16.6694414702,0.389144
