StdEsReturn,AverageDiscountedReturn,MaxReturn,AverageAction,AverageAbsQ,AverageQ,QFunRegParamNorm,PolicyRegParamNorm,AverageReturn,Iteration,MaxEsReturn,Epoch,MinEsReturn,StdReturn,AverageY,AverageAbsQYDiff,AveragePolicySurr,AverageQLoss,AverageEsReturn,MinReturn,AverageAbsY
3.32407131298,-7.58183062778,-8.06838235119,0.558939,0.608209,0.23901,11.5833,11.7814,-8.18170592176,9,-0.305206239972,9,-18.570621062,0.0359185214459,2.90931971083,2.72824395154,-0.839175,8.39973,-9.62968663595,-8.28761676852,2.92219961141
1.72935202103,-7.83404749075,-7.95793481222,0.972234,1.58585,1.5764,11.8647,12.602,-8.11500334178,10,-2.36975355353,10,-15.7198820442,0.0621042220733,1.58853002408,0.380725570073,-2.37399,0.352459,-7.70067706508,-8.28152159297,1.61761932358
1.80958385664,-7.8149138537,-7.93489498228,0.999997,1.07409,1.04453,11.9386,12.6676,-8.09217857484,11,0.575066029372,11,-12.8589303535,0.0644540564766,1.04833002221,0.159407581491,-1.34181,0.0465581,-7.29354701819,-8.25912170233,1.08037622888
1.84832277941,-7.8158261326,-7.93086201561,0.999999,0.932287,0.879311,12.0856,12.675,-8.09312574896,12,-3.97424829372,12,-15.1975524206,0.0637349898005,0.880796812459,0.122024790405,-1.01102,0.0254806,-7.37836130322,-8.24790546961,0.936390049135
1.99062755443,60.0240645745,363.283474395,0.997974,0.758458,0.608396,12.2652,12.9438,87.8067573756,13,-2.54092784674,13,-13.7779391208,45.9512959461,0.608672871648,0.106772313169,-0.773512,0.0192056,-7.57020646947,51.4547502803,0.762856263812
57.6947148855,-5.72178564981,-8.14648535129,0.881525,0.852304,0.734037,12.3794,14.2421,-9.49565277271,14,152.586492828,14,-51.7812953321,0.533919019983,0.735978026279,0.103056216337,-1.2477,0.0195981,13.1277682222,-11.2213490491,0.856161265787
6.45839077461,-4.280248189,-3.27328638498,0.961609,1.06021,1.00896,12.5133,14.7609,-6.71246399995,15,-1.16293017989,15,-24.4315685956,1.68613096947,1.0098786205,0.0893260842781,-1.48589,0.015222,-12.4457211844,-13.6370815147,1.06337733179
9.70918949459,-13.7172528791,-24.8405801404,0.97481,1.16636,1.12522,12.7143,14.9227,-33.7717560552,16,-6.89989906941,16,-38.8668873687,2.37718002422,1.12593354942,0.085067582392,-1.56161,0.0139776,-20.0342772929,-37.5063354028,1.16963750415
107.155119311,31.7626162164,36.2317491293,0.889322,1.25591,1.21697,13.0376,15.3597,19.272592937,17,299.024199574,17,-41.3000790193,8.52947133645,1.21755473976,0.0831580000238,-1.59332,0.0139373,18.2295277736,-3.02370258824,1.25969241685
133.835816378,3.54496939818,11.9559397174,0.87147,1.35471,1.30962,13.3725,15.8141,-6.94575231043,18,407.177353403,18,-1.18101939766,5.01353713041,1.31007069064,0.0841935414865,-1.66328,0.0144756,107.177068969,-18.4391096576,1.35833886857
85.4447405152,38.3885389048,84.7352691185,0.746587,1.44232,1.39253,13.7877,16.1012,38.8290019951,19,239.962600359,19,-17.44468187,10.748854676,1.39298686345,0.0870068875743,-1.72024,0.0167619,85.6600070251,29.5072629298,1.44594176608
43.2459198035,54.0703659235,142.99069739,0.777552,1.50294,1.44536,14.2723,16.5192,78.8977446959,20,140.448599926,20,19.8156989412,17.7283635843,1.44571563669,0.0873029974015,-1.73508,0.0166837,72.2892665104,51.9619824846,1.5065626006
174.881222157,-10.2999989352,-11.9808530641,0.838411,1.56409,1.49029,14.9172,16.9568,-24.554774717,21,505.962804175,21,5.51895651796,6.79256436477,1.49088936989,0.0923068348597,-1.79549,0.0204131,118.711030723,-64.6399210904,1.56739177997
14.8584498161,-5.32353664673,-2.58631073437,0.873654,1.63637,1.558,15.5084,17.7452,-11.8217007798,22,26.3264888803,22,-31.6638251398,7.49258181867,1.55871634566,0.097529929175,-1.91817,0.0255879,-12.6763782392,-50.0941054061,1.6397966952
10.0289634258,-6.37296002967,-2.79723461717,0.845606,1.73011,1.64993,16.0018,18.1834,-13.5944650354,23,-0.372731472161,23,-35.8959327274,6.1977688198,1.65036655947,0.0919515900234,-2.01179,0.0210561,-12.5098899095,-30.3375199118,1.73303596042
15.7218014751,-12.7344869275,-8.93916252791,0.800982,1.77276,1.68467,16.4974,18.9581,-32.8004031216,24,-2.17970265992,24,-65.0554205548,17.7595798537,1.6852901594,0.0955674387109,-2.01955,0.0237222,-25.7496739451,-96.274940444,1.77534675159
88.9561923465,105.144859036,508.267418741,0.854605,1.82647,1.743,16.9255,19.8078,258.526210488,25,267.15288327,25,-49.777224928,91.7002308639,1.74386354672,0.0964933968546,-2.06939,0.0227999,13.0998884746,33.2096338006,1.8296348879
53.8725552803,55.7138779691,98.7157934388,0.80055,1.91609,1.83345,17.4876,20.4548,74.6287435,26,173.353210795,26,29.0557230411,10.0407338035,1.83412204308,0.103662602996,-2.16016,0.0280094,91.2178356807,54.3760664621,1.91914473402
113.845500936,78.8336053319,657.403267385,0.756448,2.02387,1.9489,18.0675,20.9505,199.954347008,27,376.041730441,27,47.8228127344,182.878030981,1.94941776657,0.109459603257,-2.28221,0.0365079,180.747263017,29.2746348179,2.02681985761
69.2676610733,108.838574558,1042.94669337,0.804509,2.11288,2.04881,18.5336,21.5172,247.115805668,28,249.657187503,28,87.5979447628,133.473584029,2.04990460108,0.104018237304,-2.39958,0.0308731,148.70935646,123.808736045,2.11620552048
82.3892672167,61.2783892308,133.676896952,0.869125,2.25164,2.19709,19.0815,21.8943,53.5074341604,29,360.897504717,29,107.239442301,17.4596100389,2.19803503579,0.112665483665,-2.54352,0.0387946,228.684708826,26.1641079695,2.2547873867
103.025552202,113.702906381,282.12307572,0.915733,2.41728,2.3626,19.5828,22.321,240.49403613,30,464.439590555,30,157.640137083,31.8574756888,2.36331616762,0.112305999524,-2.70565,0.0392339,303.061052718,44.14016912,2.42006556606
103.108821872,112.178570638,442.650736376,0.886415,2.55138,2.49317,20.0498,22.668,354.87837871,31,305.274929477,31,60.1622758867,36.5588820912,2.49372380221,0.11685694405,-2.83713,0.0454654,199.595382968,272.99072976,2.55414623165
111.234520682,75.2546796709,491.72420398,0.812408,2.69964,2.64256,20.6095,23.1998,211.054399964,32,315.631201636,32,8.41342992625,172.405163504,2.64354835703,0.124360871339,-2.98172,0.0514542,144.893851269,53.8672985304,2.70152980967
131.34784137,80.531366373,1024.01759362,0.817686,2.81818,2.75888,21.1442,23.7323,564.771297405,33,407.830159555,33,74.1186548858,440.435054793,2.75982494762,0.13026932131,-3.09595,0.0551524,190.255864295,10.1247767713,2.82031547089
