AverageQ,StdReturn,AverageAction,AverageDiscountedReturn,MaxEsReturn,Iteration,StdEsReturn,MinReturn,AverageY,AveragePolicySurr,AverageAbsQYDiff,MinEsReturn,AverageAbsQ,QFunRegParamNorm,AverageQLoss,Epoch,AverageReturn,PolicyRegParamNorm,AverageAbsY,MaxReturn,AverageEsReturn
0.24648,37.5997426148,0.0220799,-0.143248213994,87.0621268807,28,44.2139713905,-1.83740229803,0.246558787505,-0.260976,0.0156775180972,-8.37720101985,0.246754,27.0793,0.0126493,28,16.098475656,22.6627,0.246567345407,96.1996755332,54.1202229282
0.279311,48.3602124218,0.0487233,0.0230841002459,94.0631149471,29,38.1038434997,-5.80938771695,0.279439248298,-0.294884,0.013730618577,-3.20186532383,0.279355,27.9196,0.00690678,29,45.8556799725,23.4347,0.279453085264,95.6803114459,72.9590255253
0.316743,46.7181184948,0.0238187,-0.089637761674,94.0644412636,30,41.5577693036,-1.13596140128,0.316757079047,-0.333709,0.0140797296222,-2.24905131438,0.316759,28.5539,0.00604411,30,34.1943980981,23.9007,0.316762738533,96.5344960568,55.4208450154
0.326488,32.6652068045,0.137439,-0.282607568938,93.742480434,31,40.1788080432,-9.52590731063,0.326473316585,-0.344654,0.0196602720056,-8.10823268274,0.326687,29.0592,0.0116938,31,80.1239659144,24.5125,0.326480453685,93.1143043868,72.1455484137
0.357695,0.0162872996434,0.024869,-0.248517735147,96.7441227582,32,6.98083818845,-2.53537401955,0.35772626214,-0.377928,0.0142029475272,79.6447159687,0.357699,29.4484,0.00992939,32,-2.48441614516,25.1003,0.357730283756,-2.47794150051,88.2099605092
0.389084,0.0322055579383,0.0843552,-0.849276498269,94.1279595674,33,39.8824905702,-8.4861032576,0.389113957734,-0.411362,0.0146655821859,-0.585376212839,0.389086,29.9252,0.010741,33,-8.42708559524,25.7886,0.389117036957,-8.39377078778,68.3544193345
0.415438,0.0229756202166,0.0555305,-0.558344086015,94.4590047112,34,48.358605907,-5.59004925751,0.415452863832,-0.440428,0.0145845444874,-9.76836292124,0.415441,30.3937,0.0119735,34,-5.54749819939,26.4295,0.415456199536,-5.51808132518,58.5933577714
0.431341,0.0868701408913,0.083816,-0.831369986718,93.2393117147,35,44.0169691396,-8.42919882178,0.431376553952,-0.45993,0.0187916253347,-19.1514374983,0.431342,30.9112,0.013445,35,-8.37322155755,26.6738,0.431382171022,-8.16704916122,68.8036470433
0.474737,3.80901690983,0.391172,1.33098642364,95.1145015915,36,40.1919697498,78.6002821104,0.474631500686,-0.507346,0.0191524496154,-2.50424986782,0.47474,31.3655,0.0196453,36,85.0528943934,26.9106,0.474635658679,91.2900571913,66.7148913695
0.568906,1.69860170895,0.573723,15.211489606,97.9710734453,37,3.30124531761,87.9262142782,0.568865667518,-0.606806,0.0210017019161,86.2720987072,0.568925,31.8614,0.0195843,37,89.8430850809,27.4149,0.568869519709,92.4125584953,92.6242105386
0.616662,3.37413622939,0.824765,18.4616547899,95.1470538059,38,5.03986831793,78.9585841637,0.616558152702,-0.66065,0.0206330596988,79.6325828836,0.616714,32.276,0.022281,38,87.4148302269,27.7953,0.616564657222,90.7931738005,88.5948837551
0.677513,0.10358866158,0.0944168,-0.951478099539,96.2544230737,39,5.48850315715,-9.69823031481,0.677578078554,-0.725093,0.019349718882,79.6364519283,0.677582,32.7671,0.010538,39,-9.43223888879,27.877,0.677594625849,-9.36064349111,90.8732283905
0.738771,0.055788516662,0.176684,-1.76641435693,94.501880895,40,34.2695583661,-17.704890536,0.73884451725,-0.792376,0.0230886953256,-1.11711032747,0.738906,33.2479,0.0179255,40,-17.6506847993,28.0116,0.738877376086,-17.5351497967,75.2217560643
0.812126,0.00560137313715,0.0373276,-0.372277996807,92.0008299313,41,35.7776479222,-3.73445578981,0.812213852365,-0.873493,0.0272005855816,-0.0659030207195,0.812313,33.7179,0.0152713,41,-3.72903144964,28.1889,0.812291100976,-3.71654011771,71.3515271337
0.854584,0.0286180274218,0.00444535,-0.0494688005578,92.0239787626,42,44.50093372,-0.491462848022,0.854687095627,-0.918857,0.027467924442,-5.13515353073,0.855125,33.9851,0.0254836,42,-0.444090424884,28.3357,0.854888067865,-0.413024937137,57.7100520563
0.931487,0.00655838974525,0.0472773,-0.473742754966,92.8757063283,43,41.2369847881,-4.73544254512,0.931666879393,-1.00099,0.0238079948387,-12.6351040484,0.932434,34.3978,0.00600147,43,-4.72299851769,28.622,0.932030322801,-4.71189959798,69.6419961217
1.01292,0.108521489848,0.0174367,-0.180535488405,94.1824816255,44,34.471685203,-1.88501407306,1.01315964869,-1.0891,0.0288068190168,-5.71843327617,1.01456,34.8466,0.0209998,44,-1.7419271547,28.8507,1.01392347994,-1.590692395,78.6681200209
1.0885,0.0285431797152,0.051042,-0.506484076259,93.2841108133,45,40.5176166975,-5.11681537565,1.08897370212,-1.17295,0.0346449559039,-0.0427607060661,1.09097,35.2565,0.0349302,45,-5.09910045278,29.2336,1.09018759303,-5.01211794237,56.3681475016
1.20092,0.0428262743743,0.112563,-1.09982520765,94.7533145932,46,35.7995976724,-11.2971907616,1.20124924903,-1.29133,0.0372967359724,-10.7929921253,1.20428,35.6014,0.0317912,46,-11.2450397121,29.3191,1.20303592622,-11.1682625639,76.7053885319
1.33683,0.110686645695,0.165186,-1.55986788502,94.7758074739,47,40.3634588815,-16.6648578012,1.33749792396,-1.43299,0.0446952733552,-9.54722300996,1.34136,36.0039,0.0376128,47,-16.5020996677,29.4067,1.33998593697,-16.3453207653,71.0078580898
1.41958,0.115639631461,0.158496,-1.52603073512,94.2486187327,48,38.5394534703,-15.9311099307,1.42103885468,-1.51774,0.0409253631265,-6.79445735222,1.42505,36.4294,0.0394104,48,-15.8337431969,29.698,1.42412246057,-15.5957098781,70.0967208417
1.52762,3.37045266791,0.845541,7.77367402983,94.7496222971,49,34.0001902863,74.1385410427,1.52809750757,-1.63,0.0540510012537,-0.0637718083918,1.53327,36.8183,0.0503267,49,82.9319088843,30.1543,1.53134111738,87.3350641369,75.7255627481
1.64003,0.27764583579,0.618837,-5.15940488777,90.6839065589,50,0.0,-62.5655432763,1.64081643553,-1.74662,0.049840307449,90.6839065589,1.64683,37.1972,0.0352508,50,-61.8218367174,30.4084,1.64536557532,-61.5893452932,90.6839065589
1.74848,0.795928886789,0.608715,-4.73929767922,84.8498376152,51,65.8524982086,-62.2294421384,1.74899188707,-1.85107,0.0640195762001,-46.855158802,1.75499,37.4551,0.0727501,51,-60.8106688172,30.6164,1.75328243816,-60.09445263,18.9973394066
1.75401,4.57231274597,0.899355,-8.23943963659,-42.1505844172,52,0.0,-99.5394110307,1.75467616638,-1.85206,0.0619317537362,-42.1505844172,1.76092,37.8114,0.0724918,52,-89.8456066506,30.7499,1.75888832377,-87.1477914036,-42.1505844172
