MinReturn,EnvExecTime,MeanKL,Perplexity,AverageDiscountedReturn,LossBefore,NumTrajs,PolicyExecTime,Time,ExplainedVariance,Entropy,Iteration,StdReturn,LossAfter,MaxReturn,ProcessExecTime,AverageReturn,ItrTime,dLoss,MeanKLBefore
-66,0.4378163814544678,0.00989310350269,3.72021,-19.2786301682,-8.97043950232e-09,653,1.589991807937622,34.48375606536865,0.321973006227,1.31378,12,10.3758585479,-0.025156384334,-5,0.0791482925415039,-20.0076569678,2.679478883743286,0.0251563753635,5.37001776379e-09
-63,0.4248199462890625,0.0090693756938,3.52946,-19.0838324787,1.35140378887e-08,652,1.5380384922027588,37.09883904457092,0.325277022255,1.26114,13,10.3409125567,-0.0472947657108,-5,0.07636833190917969,-19.7975460123,2.611582040786743,0.0472947792249,9.56283052744e-09
-65,0.42740750312805176,0.00983365438879,3.26795,-18.1273916114,1.25571251175e-08,685,1.53926420211792,39.71316885948181,0.334190203091,1.18416,14,9.90706713518,-0.0475073643029,-5,0.07796120643615723,-18.7605839416,2.609858989715576,0.04750737686,2.60026613574e-08
-112,0.43047451972961426,0.00868897326291,3.14842,-18.0906765221,6.67038368984e-10,706,1.5617880821228027,42.366227865219116,0.246083675384,1.1469,15,10.8526794792,-0.0479818098247,-5,0.07960796356201172,-18.723796034,2.64861798286438,0.0479818104917,4.81804329766e-09
-59,0.42967796325683594,0.00903166271746,3.0129,-17.6576993977,1.61540985033e-08,714,1.5516090393066406,45.00381302833557,0.259553160269,1.1029,16,9.17977516145,-0.053727786988,-5,0.07972073554992676,-18.2605042017,2.634132146835327,0.0537278031421,1.02504378319e-08
-56,0.4345512390136719,0.00839494168758,2.92758,-18.4473158117,-2.97546378647e-08,724,1.6129369735717773,47.7525110244751,0.342454024185,1.07417,17,9.85202037193,-0.0496150180697,-5,0.08175230026245117,-19.0511049724,2.744215965270996,0.0496149883151,-2.45288038769e-08
-56,0.4358556270599365,0.00842935685068,2.80416,-18.2750736862,-1.52465917669e-09,739,1.5981173515319824,50.47662401199341,0.405935739414,1.03111,18,9.37182302125,-0.0473750531673,-5,0.082366943359375,-18.8403247632,2.7197141647338867,0.0473750516427,-9.29004373429e-10
-59,0.4416666030883789,0.00600290345028,2.6919,-17.261906376,-3.21800719405e-09,755,1.61029052734375,53.33635401725769,0.355161863167,0.990246,19,9.75152517931,-0.0275145657361,-5,0.08411645889282227,-17.757615894,2.856096029281616,0.027514562518,1.61644084784e-08
-52,0.4637796878814697,0.00592893455178,2.64247,-18.0929460471,-2.89562755995e-08,764,1.6007328033447266,56.264699935913086,0.404892097674,0.971714,20,9.56876103124,-0.041856020689,-5,0.08902812004089355,-18.5746073298,2.9236350059509277,0.0418559917327,-2.5962979322e-08
-62,0.4488797187805176,0.00850371550769,2.63783,-18.5730239426,1.22960628346e-08,736,1.6947848796844482,59.098803997039795,0.435496875666,0.969957,21,9.28147972831,-0.0293827410787,-5,0.08574342727661133,-19.1019021739,2.829380989074707,0.0293827533748,3.56257201517e-09
-52,0.4372749328613281,0.00776087492704,2.61406,-20.4548050857,1.91535303173e-08,736,1.6730077266693115,61.88159108161926,0.52979717218,0.960903,22,9.0758591484,-0.0515658147633,-5,0.08319401741027832,-21.0326086957,2.777912139892578,0.0515658339168,-1.04849364746e-08
-48,0.4373471736907959,0.00727467052639,2.51479,-18.2261326197,-1.39014026956e-08,762,1.6371917724609375,64.61745405197144,0.470990373005,0.922188,23,8.83572566825,-0.0456085689366,-5,0.08371376991271973,-18.7020997375,2.73239803314209,0.0456085550352,1.04845057081e-08
-45,0.42642807960510254,0.00779367052019,2.43667,-18.0061671405,2.04283860938e-08,770,1.5894782543182373,67.30007886886597,0.491600391409,0.890634,24,8.57228409741,-0.0290968753397,-5,0.08101511001586914,-18.4519480519,2.677983045578003,0.0290968957681,-4.92050222789e-09
-49,0.4282097816467285,0.00710687600076,2.46902,-18.2708544453,-2.52319978244e-08,754,1.5913491249084473,70.03152894973755,0.508593695377,0.903822,25,8.1772077573,-0.0344370380044,-5,0.08206892013549805,-18.7214854111,2.7268941402435303,0.0344370127724,-2.78566627543e-08
-47,0.42897462844848633,0.00834540557116,2.42543,-16.7976763367,5.29787627102e-08,800,1.5797293186187744,72.74867987632751,0.473833587974,0.886008,26,8.21581848859,-0.0371414646506,-5,0.08331727981567383,-17.19125,2.71238112449646,0.0371415176294,-3.83753784305e-09
-46,0.4272279739379883,0.00944021996111,2.37285,-16.1741253329,3.2399007921e-08,802,1.556079387664795,75.44704103469849,0.398456749783,0.864093,27,8.95982003918,-0.037374202162,-5,0.08249211311340332,-16.5635910224,2.694880962371826,0.037374234561,-3.78828630687e-08
-43,0.4299278259277344,0.00603571301326,2.26965,-14.0156732648,1.18089173995e-08,839,1.523667573928833,78.12332892417908,0.345374951084,0.819628,28,8.55468201684,-0.0285077858716,-5,0.08571934700012207,-14.3396901073,2.671602964401245,0.0285077976805,-2.26232526046e-08
-46,0.4316127300262451,0.0073670623824,2.17431,-13.3114839324,3.24249271877e-09,859,1.514153003692627,80.77322006225586,0.342416612389,0.776712,29,8.41455199689,-0.0165712684393,-5,0.08670449256896973,-13.6158323632,2.644759178161621,0.0165712716818,-2.31365682168e-08
-43,0.4364500045776367,0.00839174725115,2.1745,-13.8562942122,2.01855989701e-08,838,1.5312438011169434,83.47541904449463,0.320212040866,0.776799,30,8.62570346662,-0.0194358211011,-5,0.08649945259094238,-14.2028639618,2.697723150253296,0.0194358412867,5.10225497408e-08
-46,0.4245188236236572,0.00690478179604,1.99392,-12.091162908,-1.41893128358e-08,868,1.442011833190918,86.04542207717896,0.305748103846,0.690102,31,8.02992548706,-0.0117850648239,-5,0.08530521392822266,-12.3894009217,2.5653209686279297,0.0117850506346,-1.60035042995e-08
-45,0.42613768577575684,0.00801766570657,1.95002,-11.2651721345,-1.4085556721e-08,881,1.4208800792694092,88.68080306053162,0.264245521192,0.667839,32,7.70632861933,-0.0146677521989,-5,0.08574891090393066,-11.5459704881,2.630831003189087,0.0146677381133,-1.69828384688e-09
-46,0.43420839309692383,0.00823383405805,1.84642,-11.0682379775,4.86797091526e-08,903,1.45587158203125,91.27744507789612,0.284212540338,0.613247,33,7.41012719529,-0.00367417559028,-5,0.08988761901855469,-11.3510520487,2.5931241512298584,0.00367422426999,1.71945675476e-08
-45,0.4356071949005127,0.0089547438547,1.81949,-12.071917849,-3.73840336465e-08,904,1.4914586544036865,93.91493606567383,0.302394153554,0.598555,34,8.10830294878,-0.0164820160717,-5,0.08915185928344727,-12.3805309735,2.6339449882507324,0.0164819786876,9.20751208611e-09
-46,0.42377614974975586,0.00842900481075,1.65673,-10.451547654,1.52035344314e-08,931,1.412919044494629,96.44073104858398,0.286408281293,0.504844,35,7.33809242476,-0.0101144080982,-5,0.08675193786621094,-10.708915145,2.521260976791382,0.0101144233017,9.00331276199e-09
-43,0.42644286155700684,0.00761118810624,1.65238,-11.4331516911,2.50910563437e-08,936,1.4562067985534668,99.00980401039124,0.330591755624,0.502216,36,7.78074100299,-0.0286086369306,-5,0.08789682388305664,-11.7083333333,2.565549850463867,0.0286086620216,-6.49943432407e-09
-42,0.42911791801452637,0.00548008969054,1.56636,-11.9339013282,-3.64561678623e-08,945,1.4909772872924805,101.61953401565552,0.331394637246,0.448757,37,8.21916035954,-0.0162726771086,-5,0.08876395225524902,-12.217989418,2.606114149093628,0.0162726406525,1.89957880536e-08
-43,0.42618632316589355,0.00783813931048,1.50668,-10.5041257357,1.06811519629e-08,944,1.428520679473877,104.18639898300171,0.319309060522,0.409908,38,7.35272058493,-0.00397183327004,-5,0.08826923370361328,-10.75,2.5622401237487793,0.0039718439512,-1.72246039654e-08
-46,0.42812037467956543,0.00713046500459,1.58254,-10.4591210746,8.63498605952e-09,916,1.4217987060546875,106.75518488883972,0.296967398653,0.459033,39,7.57223017916,-0.00240896316245,-5,0.08800339698791504,-10.7259825328,2.5630719661712646,0.00240897179744,-3.03651432887e-08
-44,0.43804430961608887,0.00742140645161,1.61823,-10.9037640015,3.85137717274e-08,929,1.469639539718628,109.3806459903717,0.28924062156,0.48133,40,7.66422545655,-0.0277107283473,-5,0.08977127075195312,-11.1711517761,2.620975971221924,0.0277107668611,-6.06452355001e-09
-42,0.43199896812438965,0.00889916438609,1.55126,-10.6141335291,-1.67541251983e-08,946,1.4519128799438477,112.00220489501953,0.28201784851,0.439065,41,6.72500644512,-0.216198921204,-5,0.09020495414733887,-10.8720930233,2.6180388927459717,0.216198904449,1.75410370673e-08
-41,0.427950382232666,0.00814530905336,1.48917,-10.1457032862,6.86645496017e-09,956,1.4204940795898438,114.57086896896362,0.27177120668,0.398218,42,6.08304169796,-0.0044118668884,-5,0.08954167366027832,-10.3891213389,2.5643510818481445,0.00441187375486,-2.88589863118e-09
-35,0.4219374656677246,0.00910087395459,1.44706,-9.92441232178,-2.28698882054e-09,966,1.4043922424316406,117.13458204269409,0.278947602916,0.369533,43,6.00695835939,-0.00803105998784,-5,0.08850550651550293,-10.1552795031,2.5593810081481934,0.00803105770085,-1.16387282034e-08
-32,0.42574548721313477,4.67034633189e-09,1.36375,-9.03092334664,-3.94029093798e-08,987,1.3927421569824219,119.82510805130005,0.269587918674,0.310241,44,5.63529442613,-3.94029093798e-08,-5,0.0902249813079834,-9.22796352584,2.686711072921753,0.0,4.67034633189e-09
-33,0.4312856197357178,0.00772765558213,1.36437,-9.17718336714,-4.50311787858e-08,985,1.3977291584014893,122.39832997322083,0.284753746555,0.310694,45,5.80130038796,-0.00316692679189,-5,0.0915827751159668,-9.37258883249,2.569823980331421,0.00316688176071,4.68990624114e-09
-33,0.43471193313598633,-3.40343824234e-08,1.3242,-8.86093203063,8.52073611668e-08,994,1.3910481929779053,125.05428886413574,0.227656675064,0.280806,46,5.62028991683,8.52073611668e-08,-5,0.09273648262023926,-9.06237424547,2.6512110233306885,0.0,-3.40343824234e-08
-33,0.42733287811279297,0.00597612978891,1.3241,-9.1034597139,-1.41030973566e-08,993,1.3874154090881348,127.5611219406128,0.247371536004,0.280734,47,5.52315495091,-0.00159273808822,-5,0.0902702808380127,-9.3081570997,2.502209186553955,0.00159272398512,-3.37490781988e-08
-25,0.4286618232727051,-6.38637276396e-09,1.25772,-8.08879166275,6.09262826856e-08,996,1.3440988063812256,130.15702104568481,0.1837105731,0.2293,48,5.09216320703,6.09262826856e-08,-5,0.09228730201721191,-8.27911646586,2.5906660556793213,0.0,-6.38637276396e-09
-32,0.4301271438598633,-6.40226094362e-09,1.25789,-8.08710395192,-5.97595217755e-08,998,1.348980188369751,132.77326607704163,0.187620054088,0.229436,49,5.11786110001,-5.97595217755e-08,-5,0.0919952392578125,-8.27755511022,2.612886905670166,0.0,-6.40226094362e-09
-32,0.42250776290893555,0.00649003405124,1.25756,-8.17013546994,5.43159828226e-08,998,1.333902359008789,135.26586198806763,0.201432043659,0.229173,50,5.20076500476,-0.000916295393836,-5,0.08851003646850586,-8.35971943888,2.4892330169677734,0.000916349709819,-6.39018837845e-09
-32,0.44135165214538574,0.00561422063038,1.30037,-8.17082881737,1.60217279443e-08,996,1.3478972911834717,137.80719804763794,0.225358384944,0.262651,51,5.37246162741,-0.00445284508169,-5,0.09261178970336914,-8.35441767068,2.537971019744873,0.00445286110341,9.64655555435e-09
-41,0.4328150749206543,0.00827788840979,1.2655,-8.35596118354,-7.12778174261e-08,999,1.3609964847564697,140.3295419216156,0.222266397174,0.235466,52,6.37720760874,-0.0131960455328,-5,0.08829593658447266,-8.54054054054,2.5178680419921875,0.013195974255,-9.55327017493e-09
-41,0.4394800662994385,0.00770852342248,1.21939,-7.75886920163,1.04841273441e-08,1000,1.3480284214019775,142.8672080039978,0.237212446515,0.198349,53,6.32066578772,-0.0111413262784,-5,0.09268021583557129,-7.928,2.5340259075164795,0.0111413367626,-3.39067618427e-09
-41,0.432070255279541,0.00780727528036,1.29069,-9.51643955655,4.22477732798e-08,998,1.4012997150421143,145.4075939655304,0.252648788655,0.255179,54,8.04148589001,-0.00447593862191,-5,0.09172415733337402,-9.73547094188,2.535087823867798,0.00447598086968,2.94665163381e-08
-41,0.43445277214050293,0.00693993642926,1.24712,-8.9453309916,-1.99476559715e-08,999,1.3857998847961426,147.92867398262024,0.296312536016,0.220837,55,8.164586719,-0.00977729074657,-5,0.08766484260559082,-9.14214214214,2.517547845840454,0.00977727079891,3.40629435769e-09
-43,0.43384885787963867,0.00992319639772,1.27542,-9.43006533549,1.93837212947e-08,990,1.4119336605072021,150.57986497879028,0.317015076117,0.243275,56,8.59438649566,-0.0053519718349,-5,0.09958696365356445,-9.64444444444,2.6457369327545166,0.00535199121862,3.47228983344e-08
