ItrTime,MeanKLBefore,ExplainedVariance,Time,AverageReturn,LossAfter,Entropy,Perplexity,NumTrajs,MaxReturn,MinReturn,StdReturn,ProcessExecTime,PolicyExecTime,Iteration,LossBefore,AverageDiscountedReturn,dLoss,EnvExecTime,MeanKL
3.104887008666992,-2.69380018292e-10,3.26377813664e-11,3.1048800945281982,47.6698113208,-0.0291041843593,1.09705,2.99531,106,147.0,10.0,29.5343489498,0.07963037490844727,2.2168586254119873,0,-5.21850296309e-08,35.5873157452,0.0291041321743,0.23261189460754395,0.00792060047388
3.2703559398651123,8.00664645695e-10,0.0820912187842,6.380873918533325,52.3092783505,-0.0258452799171,1.08967,2.97328,97,200.0,12.0,39.1906155464,0.08396458625793457,2.4395904541015625,1,3.39549117712e-08,37.0359655804,0.025845313872,0.2592325210571289,0.00697424635291
3.217611074447632,-1.12571903188e-10,0.146880216113,9.6040780544281,64.0375,-0.018012739718,1.09394,2.98602,80,190.0,10.0,44.9089199798,0.08220124244689941,2.36899733543396,2,4.99361973993e-08,42.6643998238,0.0180127896542,0.24034833908081055,0.00383270788006
3.142885208129883,4.97371692443e-11,0.198371278277,12.751467943191528,71.5,-0.00785331893712,1.0936,2.98499,70,200.0,12.0,47.2158417725,0.08335685729980469,2.2801942825317383,3,1.56841792887e-08,46.2209204296,0.0078533346213,0.2404482364654541,0.00706741306931
3.2157018184661865,-5.31261180881e-11,0.22678232169,15.97054409980774,81.0,-0.0107794264331,1.08463,2.95835,62,200.0,11.0,58.2065288434,0.08668351173400879,2.4047930240631104,4,1.0506772341e-08,48.6118240359,0.0107794369399,0.244002103805542,0.00449490034953
3.372844934463501,-6.21125317846e-10,0.305148747258,19.34919309616089,105.854166667,-0.0118261799216,1.07743,2.93711,48,200.0,13.0,57.3857522907,0.09372186660766602,2.5063366889953613,5,9.23807430553e-09,59.5250832695,0.0118261891597,0.26409363746643066,0.0035943381954
3.725635051727295,-4.7217674215e-10,0.273113427673,23.079052925109863,90.7321428571,-0.0265014916658,1.06752,2.90816,56,200.0,10.0,52.7184201582,0.1013033390045166,2.7851667404174805,6,1.30212862715e-09,54.3323284501,0.026501492968,0.2864835262298584,0.006825203076
3.8579540252685547,1.80388426418e-10,0.459674079953,26.94303011894226,141.083333333,-0.0413938723505,1.05359,2.86793,36,200.0,16.0,59.3920004902,0.0911262035369873,2.9810385704040527,7,2.71794355911e-08,70.5406898075,0.0413938995299,0.28626418113708496,0.00976482406259
3.230958938598633,-3.60778851238e-10,0.566388836922,30.179749965667725,147.676470588,-0.0241940189153,1.04853,2.85344,34,200.0,15.0,55.6320477826,0.08074021339416504,2.3890573978424072,8,-2.14628954609e-08,72.8464913841,0.0241939974524,0.24961614608764648,0.00816145073622
3.7937018871307373,3.01090735677e-10,0.796424307052,33.97902798652649,181.535714286,-0.0293009579182,1.02861,2.79717,28,200.0,32.0,39.9182039952,0.09276223182678223,2.8830342292785645,9,-7.56344604724e-08,81.9462298604,0.0293008822837,0.2906045913696289,0.00968192517757
3.8493449687957764,1.60192040188e-10,0.902317996057,37.841866970062256,192.5,-0.0325472205877,0.996832,2.70968,26,200.0,109.0,20.7924727504,0.08646726608276367,2.727461338043213,10,-8.50304004985e-09,85.155513475,0.0325472120847,0.26632213592529297,0.00734813138843
4.129715919494629,1.58080534773e-10,0.991935833804,41.97680997848511,199.461538462,-0.206467732787,0.96168,2.61609,26,200.0,187.0,2.4997041245,0.10861396789550781,3.1667678356170654,11,-1.0114169946e-08,86.5249041009,0.206467722673,0.3164501190185547,0.00883789174259
3.4708261489868164,3.33638429384e-11,0.955246506867,45.4546000957489,195.461538462,-0.0454855896533,0.9802,2.66499,26,200.0,141.0,12.9799572396,0.08424854278564453,2.6083121299743652,12,2.29912249239e-08,85.8382233672,0.0454856126445,0.2536640167236328,0.00669720489532
3.8711130619049072,-1.35048028316e-10,0.980306151203,49.331483125686646,197.730769231,-0.0386274494231,0.971357,2.64153,26,200.0,152.0,9.27178388075,0.09718942642211914,2.9059488773345947,13,-7.3737704831e-09,86.2238541372,0.0386274420493,0.28466105461120605,0.00731737725437
3.61871600151062,-8.01081923019e-10,0.854114914001,52.95706796646118,186.444444444,-0.0503985472023,0.934146,2.54504,27,200.0,58.0,33.8803267872,0.0837857723236084,2.7317721843719482,14,8.61330917701e-08,83.3729524022,0.0503986333354,0.26906871795654297,0.00904268957675
3.818385124206543,-1.75607819952e-10,0.975638457804,56.781343936920166,199.615384615,-0.0814330726862,0.964196,2.62268,26,200.0,193.0,1.44320484918,0.08850693702697754,2.817464590072632,15,-2.34284147638e-09,86.5487002045,0.0814330703434,0.2613849639892578,0.00700170267373
4.460463047027588,-1.24201884888e-10,0.988408389988,61.24791407585144,198.423076923,-0.0416759997606,0.964673,2.62393,26,200.0,165.0,6.73208778294,0.10461688041687012,3.3759286403656006,16,2.65731117111e-08,86.3532476628,0.0416760263337,0.3170769214630127,0.00699443649501
4.9634411334991455,-1.52392176656e-09,0.996853127719,66.21831703186035,199.576923077,-0.25365999341,0.929061,2.53213,26,200.0,191.0,1.75790690493,0.12762117385864258,3.8831114768981934,17,-1.53692454319e-08,86.5427856032,0.253659978041,0.341663122177124,0.00617176480591
5.125854015350342,1.74728894548e-11,0.967460089932,71.35800814628601,197.615384615,-0.01744700782,0.963003,2.61955,26,200.0,138.0,11.9230769231,0.1027517318725586,3.9607279300689697,18,7.01555258331e-09,86.1564272004,0.0174470148356,0.32719945907592773,0.00813135877252
