AverageReturn,PolicyRegParamNorm,MaxReturn,AverageAbsQYDiff,Iteration,AverageQLoss,AverageY,QFunRegParamNorm,AverageEsReturn,StdEsReturn,MinReturn,AverageDiscountedReturn,AveragePolicySurr,AverageQ,Epoch,MaxEsReturn,MinEsReturn,AverageAction,StdReturn,AverageAbsY,AverageAbsQ
111.643517097,11.7794,145.169371522,1.33465003667,9,2.89821,1.72351404159,11.5824,-173.982438449,60.082010851,83.2273131616,6.69333875049,-0.937943,0.526813,9,-69.5611007751,-271.782447641,0.221583,18.7351669607,1.72351404159,0.704255
-584.736033369,12.4817,-583.328163205,0.323590355207,10,0.219641,0.907467716485,11.8558,-315.288123074,0.0,-586.013709388,-60.1730419943,-1.41864,0.893072,10,-315.288123074,-315.288123074,0.971106,0.850839656699,0.907498587495,0.893161
-762.65617541,14.1952,-473.40725756,0.151777115461,11,0.0391105,0.826973816503,11.8868,-223.094784679,0.0,-986.946432871,-67.0754185882,-1.15775,0.822559,11,-223.094784679,-223.094784679,0.989457,152.97483116,0.82704080411,0.822567
-357.916070185,15.214,-103.098583962,0.124492182025,12,0.0261536,1.02719489935,11.9083,-447.242722205,0.0,-599.924118794,-42.0987454775,-1.3386,1.02361,12,-447.242722205,-447.242722205,0.980244,146.459913864,1.02725283779,1.02361
-710.982241234,16.1963,-325.202757757,0.108405100058,13,0.0205993,1.27558742049,11.9705,-473.203549598,0.0,-887.205704232,-46.865508313,-1.6175,1.2727,13,-473.203549598,-473.203549598,0.983557,163.545347107,1.27565194631,1.2727
-406.61993815,16.8986,-272.147126301,0.0902159872433,14,0.0147249,1.48196320165,11.9974,-427.964206743,0.0,-705.493866986,-26.9987083113,-1.71655,1.4799,14,-427.964206743,-427.964206743,0.987437,110.947282307,1.48202033858,1.4799
-482.789348839,17.5263,-356.169179804,0.0794090413308,15,0.012779,1.56947249732,12.0794,-429.215557468,0.0,-614.056947365,-34.6685639929,-1.70522,1.5681,15,-429.215557468,-429.215557468,0.979736,94.5412559408,1.56955778827,1.5681
-450.270835023,18.0801,-324.4338907,0.070587410516,16,0.0102836,1.60176633591,12.188,-434.007888963,0.0,-551.391422399,-28.7099770964,-1.69171,1.60084,16,-434.007888963,-434.007888963,0.976964,61.4517079941,1.60181718818,1.60084
-761.698947026,18.3796,-602.677049932,0.0646752397124,17,0.00868389,1.61411618308,12.326,-438.205294222,0.0,-1240.52716794,-36.4251839115,-1.68812,1.61336,17,-438.205294222,-438.205294222,0.985827,174.197681232,1.61418524441,1.61336
-587.781640925,18.699,-572.03576889,0.0616407933259,18,0.00858005,1.61219444492,12.5521,-499.062799715,0.0,-599.481091361,-49.889787722,-1.66979,1.6115,18,-499.062799715,-499.062799715,0.999632,10.5479924898,1.61228440864,1.6115
