Iteration,AverageReturn,MaxEsReturn,Epoch,AverageDiscountedReturn,MinEsReturn,AverageQ,AverageAbsY,MaxReturn,AveragePolicySurr,AverageQLoss,AverageAction,StdReturn,QFunRegParamNorm,MinReturn,AverageEsReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsQ,StdEsReturn,AverageY
9,70.8948167989,-139.860466204,9,2.70771699786,-203.711071583,-0.116758,0.335909105931,95.2141370564,-0.129652,0.170501,0.127245,25.9531045633,19.5147,-1.80689408575,-180.28766276,19.6916,0.311284936095,0.211711,18.808194883,-0.093380141401
10,-443.34847636,-174.309011214,10,-48.3197168503,-174.309011214,-0.0766359,0.142164931135,-349.066577542,-0.18739,0.0254952,0.896041,77.0593023767,19.6312,-520.995604866,-174.309011214,20.9056,0.100079285194,0.13576,0.0,-0.0764419720333
11,8.33449554432,-394.142235118,11,-1.43486472734,-394.142235118,0.00215729,0.0674192809416,103.916701359,-0.0648763,0.00315354,0.983348,49.5416954903,19.6848,-61.3960560248,-394.142235118,22.3508,0.0432263486629,0.0642817,0.0,0.00268305780633
12,-576.800085569,-388.178853021,12,-55.5814343646,-388.178853021,-0.0118934,0.0758611369082,-575.297024375,0.00532204,0.00275922,0.965321,0.886586077305,19.923,-578.258839796,-388.178853021,23.8901,0.0395608240694,0.0699274,0.0,-0.0118904738692
13,-160.347810554,-378.414600942,13,-18.5563978788,-378.414600942,-0.0134685,0.0784147543534,-81.7405288078,-0.0434026,0.00219783,0.928571,36.5908025376,20.2426,-206.350193738,-378.414600942,25.506,0.0350619047024,0.0727574,0.0,-0.0135094979261
14,-610.313361011,-347.712097205,14,-55.487859223,-347.712097205,0.016312,0.0852556003652,-588.760769841,-0.0615854,0.00201306,0.754034,11.4050634476,20.6851,-629.143174155,-347.712097205,27.9232,0.0334020661897,0.0798325,0.0,0.0165270669353
15,-163.637292009,-402.712687461,15,-12.0615135048,-402.712687461,0.0286533,0.0961389104592,-127.89487367,-0.0646636,0.00215711,0.72022,29.9596169388,21.328,-236.016742465,-402.712687461,29.9943,0.0340263202962,0.0904381,0.0,0.0287558973466
16,-349.2782954,-310.991612665,16,-13.668143745,-310.991612665,0.0306818,0.100632330869,-253.317996052,-0.0632509,0.00222462,0.627205,60.1119972427,22.1034,-444.305299599,-310.991612665,31.9799,0.0341426762366,0.0952964,0.0,0.0306918019868
17,-160.589587086,-242.617435437,17,-25.0049816308,-242.617435437,0.0346046,0.104844441833,-59.2709226234,-0.0704046,0.00221074,0.274073,69.4225654121,23.0676,-291.562829575,-242.617435437,34.0169,0.0338170657976,0.0993573,0.0,0.0346272636582
18,-42.0041039891,-212.511344856,18,-8.80005655287,-212.511344856,0.0474384,0.113445677594,-4.04936760653,-0.0843881,0.00222612,0.165627,33.4688252018,24.2251,-121.524555049,-212.511344856,36.0583,0.0336655345854,0.108611,0.0,0.0476105957709
19,-5.986579119,-200.97516034,19,10.3726035258,-200.97516034,0.0609066,0.120832030069,6.0005886736,-0.0994353,0.00230291,0.0695835,5.97746933912,25.5656,-14.5742531077,-200.97516034,37.9488,0.0336227611284,0.116361,0.0,0.0611322362506
20,7.94878930286,-152.51082472,20,4.01930920546,-152.51082472,0.0769602,0.131967698015,143.899079172,-0.120537,0.0022018,0.113387,50.9800938925,26.8712,-44.128152711,-152.51082472,39.6272,0.033082767547,0.127791,0.0,0.0771407778908
21,20.3347194931,-94.9654854549,21,-6.72716618465,-94.9654854549,0.0955833,0.144641810496,112.497173424,-0.141368,0.00233197,0.191702,46.5376647203,28.3351,-78.464627458,-94.9654854549,41.462,0.0338107837359,0.140874,0.0,0.0958126748814
22,106.601537815,-61.3801390795,22,20.163455425,-61.3801390795,0.124677,0.164073816122,192.680639045,-0.175463,0.00247787,0.633056,39.9647165199,29.7574,24.987880877,-61.3801390795,43.3433,0.0347726281147,0.160549,0.0,0.124940505764
23,92.1148321713,105.450289147,23,18.7164604795,105.450289147,0.154751,0.187583825004,109.874034315,-0.21048,0.00259602,0.645306,14.047433709,31.2372,57.4771293918,105.450289147,45.1878,0.035944050771,0.18415,0.0,0.154980655143
24,135.351366792,109.412253869,24,21.7690536121,109.412253869,0.199002,0.222306830121,203.023772549,-0.262746,0.00301762,0.674714,41.4746622332,32.7309,51.184612901,109.412253869,46.9784,0.0388134314908,0.219318,0.0,0.199374441033
25,103.81361072,276.342210079,25,20.2023034992,276.342210079,0.249136,0.264031338711,213.617242182,-0.312649,0.00321317,0.703981,61.7525841026,34.0981,-18.4334967646,276.342210079,48.4322,0.0402378737439,0.261642,0.0,0.249556136731
26,211.210953963,174.053528594,26,21.5027637868,174.053528594,0.299153,0.308669541716,258.373322627,-0.367348,0.00344669,0.782207,30.7880156423,35.4173,140.560307483,174.053528594,49.7777,0.0416787903572,0.306888,0.0,0.299562129483
27,444.310018607,160.09756549,27,47.7950899202,160.09756549,0.352052,0.35778313725,483.836612597,-0.419444,0.00354952,0.684051,29.5417415842,36.6909,389.114316566,160.09756549,51.1727,0.0427934793657,0.356462,0.0,0.352487526264
28,317.877313925,265.40843242,28,43.0565064545,265.40843242,0.406793,0.410406073632,476.354617685,-0.474332,0.003706,0.744326,279.426816549,37.8359,-500.403533529,265.40843242,52.4737,0.0436834317366,0.409505,0.0,0.407217449084
29,456.098607588,232.802867436,29,41.3865625859,232.802867436,0.464443,0.467035163523,544.468577124,-0.53376,0.00376965,0.692535,121.061088242,38.9104,104.902038399,232.802867436,53.7203,0.0444505465637,0.466313,0.0,0.464861636106
30,626.525574102,390.826917275,30,56.7730064985,390.826917275,0.525839,0.527590802601,668.882620008,-0.596979,0.00402726,0.686099,24.2918236451,39.9907,599.609042211,390.826917275,54.818,0.0456307634866,0.52693,0.0,0.526240578882
31,599.884500089,477.624525282,31,59.9414805997,477.624525282,0.588571,0.59003213068,659.927989764,-0.659466,0.00420595,0.750064,29.4969689593,41.0095,549.729064225,477.624525282,55.9198,0.0466638187309,0.589347,0.0,0.589008962387
