AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageReturn,Iteration,MaxReturn,AverageQLoss,AverageY,AverageAction,MinEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsY,MinReturn,StdEsReturn,Epoch,StdReturn,AverageAbsQ,AverageEsReturn,MaxEsReturn
110.990281752,-14.6778,0.556873027993,21.6118,170.82678189,20,173.694911662,1.5649,13.6183084618,0.711171,106.990554707,17.9934,13.6139,13.6798738388,166.343180603,19.3175805347,20,1.60200217585,13.6752,164.162434088,177.570168839
112.13310784,-16.5186,0.60247145999,22.6801,173.196280119,21,176.433608519,1.69708,15.3961668867,0.696535,38.3477891995,18.5874,15.3906,15.4493082168,168.206718025,46.9350834614,21,1.53990357947,15.4441,148.491283107,193.444339087
110.019587965,-18.4925,0.667630682042,23.8739,168.618753209,22,172.689190664,2.08023,17.266456645,0.579145,39.8960416865,19.3805,17.2595,17.313341051,162.695279118,53.036478497,22,1.89714594356,17.308,125.212914943,208.51341569
109.791905345,-20.474,0.676347247968,25.0761,168.028077465,23,171.576582607,2.17998,19.1536536314,0.620052,42.4900256071,20.0665,19.1478,19.1922474591,164.070600645,47.5498335603,23,1.64095371326,19.189,139.480062979,179.193197434
114.336196695,-22.5795,0.713117957245,26.1369,177.918505042,24,184.676906559,2.40754,21.1582194334,0.551726,66.8846727541,20.8026,21.1508,21.1905854126,172.942449957,30.8522861049,24,1.97027762387,21.1842,161.893321204,187.61315898
114.186179005,-24.647,0.763130984579,27.2762,177.77975602,25,183.565197133,2.76136,23.1343082103,0.619662,61.629399787,21.3939,23.1275,23.1626494408,171.387671596,41.945026414,25,2.62427524429,23.1589,145.89573971,193.14757655
112.64777021,-26.7537,0.842941468674,28.3634,174.773974088,26,177.174653513,3.35,25.1408909606,0.615256,35.3846548837,22.0158,25.1334,25.1637517191,172.493976827,57.7644394369,26,1.16450012511,25.162,125.109471783,183.263017482
110.898677701,-28.8689,0.857210561446,29.3421,171.782078277,27,175.180035037,3.5293,27.2482712841,0.601483,53.324280285,22.645,27.2404,27.2707499371,168.033514473,48.1993196468,27,1.42939119324,27.2699,125.171865224,191.030729959
111.79695849,-30.868,0.879561265509,30.2125,175.2388988,28,180.078863903,3.76971,29.1844801724,0.605324,26.0335957126,23.1598,29.176,29.2053073882,170.875373871,53.6706547571,28,2.18427381496,29.2055,107.199058455,190.620509001
113.811303655,-33.0178,0.921084911966,31.1445,182.184797975,29,185.654939985,4.36499,31.3097727185,0.586851,21.5183491729,23.7019,31.3022,31.3296004023,174.52938256,51.7145507774,29,1.5550242192,31.3328,129.188825818,191.626701708
114.110964337,-34.9801,0.968613956931,32.0391,186.112063779,30,209.393322357,4.66766,33.2153073719,0.613139,12.6931732692,24.1938,33.2043,33.2354384494,179.071905012,53.8942731029,30,7.32638471204,33.2383,122.506282285,188.598913026
110.301145072,-36.8162,1.04138890441,32.8972,172.159817926,31,175.402701862,5.33441,34.9795724727,0.6573,49.4208836138,24.6234,34.9744,34.9985694232,168.423117903,43.3839785475,31,1.4399461486,35.0084,126.737045709,197.749222326
115.132830577,-39.0192,1.07758071185,33.7342,181.288563815,32,185.25523477,6.0016,37.2224957454,0.695401,47.016573669,25.0505,37.2125,37.240228815,175.40094192,50.044241807,32,1.58168508761,37.2478,128.978454601,183.098234329
114.1230199,-40.8401,1.17512967149,34.7644,177.727372716,33,184.939401913,7.52822,38.9768043718,0.714684,49.9848871507,25.4132,38.9665,38.9924077897,170.410790339,53.2506727523,33,2.98252109034,39.0023,125.571635788,195.008894181
112.332439969,-42.7443,1.19451180044,35.619,175.258892403,34,179.414134377,6.94045,40.7990571173,0.618044,13.6257771938,25.7368,40.7919,40.8142039551,169.903037447,52.5160888929,34,1.88782023695,40.8283,124.380830832,188.881899438
116.045642949,-44.7002,1.15993701623,36.3886,182.284339021,35,189.112006817,6.51711,42.7315158567,0.668799,26.069430893,26.0744,42.7218,42.7481550134,174.123369744,47.6350320429,35,3.01766906512,42.7617,135.394603116,194.153239805
117.676239152,-46.3088,1.26140809986,37.234,185.466389178,36,199.68295925,8.02294,44.3365865695,0.686837,7.41559794918,26.4521,44.3283,44.3546463501,175.582586779,55.1268378839,36,4.44045063348,44.3699,149.832572104,220.022717125
116.64861549,-48.3778,1.28304541952,37.8795,183.324614248,37,193.206997059,8.01215,46.3492462138,0.693328,16.5797224898,26.7786,46.34,46.3634018087,175.732329713,61.5548936465,37,4.50784738373,46.3775,142.394530618,204.161540177
115.900253358,-50.3522,1.39826689657,38.6221,187.933132258,38,219.72057869,10.2984,48.2962815297,0.668682,9.14842286978,27.1165,48.2879,48.3105612913,165.378564021,63.4488602415,38,7.88235529219,48.3324,148.513336937,228.064405998
115.501944891,-52.1298,1.42417802032,39.3843,183.484314014,39,193.005890478,9.98115,50.0034486964,0.71533,26.98056157,27.4437,49.9917,50.0229612159,175.480699103,59.9871540232,39,3.72774170817,50.0356,142.84360736,218.186865731
116.89565972,-54.1954,1.5073930097,40.2215,193.427296295,40,203.410684041,11.9172,52.0633888014,0.514309,63.0492460786,27.7825,52.0559,52.0780136312,180.808409056,41.1880539339,40,6.32113093361,52.1,179.163154724,210.613429425
107.12246725,-56.06,1.57212110949,41.007,169.165062889,41,196.527968062,13.3838,53.8539317677,0.525275,10.9825574992,28.0592,53.846,53.8665668694,141.984262269,65.5247814546,41,14.7211450709,53.8818,137.083084392,214.649608444
