AverageAbsQ,AverageAction,AverageDiscountedReturn,MaxReturn,AverageQ,AverageEsReturn,AverageY,MinEsReturn,AverageReturn,StdEsReturn,MinReturn,QFunRegParamNorm,StdReturn,Iteration,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsY,Epoch,AverageQLoss,MaxEsReturn,AveragePolicySurr
0.0252016,0.000943192,18.3717508949,31.0,-0.0215734,5.18733783083,0.959646797575,2.0,20.2651821862,2.27293945909,15.0,10.5019,3.67733542351,9,10.4336,0.98122015026,0.959646797575,9,0.974944,20.0,-0.0436227
1.13321,0.999969,2.37276371893,3.0,1.13321,2.80392156863,1.14883268506,2.0,2.39053537285,0.617835994401,2.0,11.7397,0.487870367416,10,11.1211,0.0619183015087,1.14883268506,10,0.0176233,8.0,-1.22568
1.55747,0.999979,2.36782480916,3.0,1.55747,2.79329608939,1.55799161824,2.0,2.38549618321,0.657368867937,2.0,13.4837,0.486712313322,11,11.1411,0.0630094287714,1.55799161824,11,0.011216,10.0,-1.57751
1.94353,0.00326008,54.392495596,131.0,1.94353,5.69142857143,1.94385805961,2.0,79.0157480315,8.15119172456,60.0,15.2531,13.7531581209,12,14.0126,0.0796981360796,1.94385805961,12,0.017638,59.0,-2.1086
2.63357,0.280758,43.5484207991,62.0,2.63357,28.7058823529,2.63383936502,4.0,56.9090909091,19.786402657,53.0,17.4498,1.82866297181,13,16.0867,0.118541405762,2.63383936502,13,0.0414047,67.0,-3.04454
3.3283,0.397119,46.9474311711,69.0,3.3283,24.575,3.32848012207,3.0,63.0943396226,17.2088458358,59.0,19.5022,2.14796218427,14,17.2673,0.149542738466,3.32848012207,14,0.0639269,65.0,-3.92909
4.04327,0.366714,51.0068749602,79.0,4.04324,41.875,4.04341684466,4.0,71.0354609929,25.3300093762,67.0,21.3741,2.95932555935,15,18.5059,0.1775194779,4.04341684466,15,0.0891408,102.0,-4.83122
4.83792,0.342277,52.957206207,108.0,4.83779,33.2258064516,4.83817335065,4.0,75.2857142857,22.0698446688,64.0,23.3267,7.23459881255,16,19.3742,0.200395041852,4.83817335065,16,0.116221,88.0,-5.77299
5.65254,0.555945,61.6629575901,159.0,5.65198,31.1875,5.65203747347,4.0,96.4134615385,22.3221267748,78.0,25.1244,14.7840939584,17,20.16,0.214966647413,5.65203747347,17,0.145754,76.0,-6.69862
6.43857,0.231119,51.3722784513,124.0,6.43763,28.1388888889,6.43721620846,4.0,72.2014388489,23.3180340054,57.0,26.8613,9.94891979684,18,20.9087,0.228708612583,6.43721620846,18,0.187833,85.0,-7.58784
7.23122,0.33027,62.8960953593,199.0,7.2297,22.6511627907,7.22964729004,3.0,100.72,18.9379448321,69.0,28.4888,21.5495150758,19,21.8122,0.256995784909,7.22964729004,19,0.242803,89.0,-8.51618
8.04954,0.102521,49.524588109,81.0,8.04725,23.2790697674,8.04674691689,3.0,68.1156462585,16.7808384376,60.0,30.052,4.24026216428,20,22.6925,0.266998814288,8.04674691689,20,0.277326,61.0,-9.4482
8.87329,0.0903894,56.2724669804,231.0,8.86992,18.2321428571,8.86843236808,3.0,83.5833333333,15.5861557977,67.0,31.7275,18.0621996323,21,23.6756,0.29521213829,8.86843236808,21,0.336399,87.0,-10.3724
9.70953,0.00175852,99.9956828753,1000.0,9.70557,18.5925925926,9.70406406131,3.0,1000.0,14.7830214404,1000.0,33.1981,0.0,22,24.5907,0.31622463198,9.70406406131,22,0.401212,59.0,-11.2941
10.5226,0.0646338,52.8436805241,1000.0,10.5168,15.625,10.5149865951,3.0,81.6666666667,11.8407400529,66.0,34.6495,83.3379510916,23,25.3771,0.342516826296,10.5149865951,23,0.498357,66.0,-12.2208
11.3786,0.00619183,99.9956828753,1000.0,11.3715,15.3384615385,11.370268094,3.0,1000.0,12.405057186,1000.0,36.2027,0.0,24,26.2673,0.373882172927,11.370268094,24,0.586983,59.0,-13.172
12.1844,0.0198089,96.9924420176,1000.0,12.177,16.0322580645,12.175103067,3.0,858.583333333,13.5336709632,104.0,37.6344,275.855777033,25,26.9703,0.397444791145,12.175103067,25,0.682965,74.0,-14.0961
13.0189,0.0677039,87.0945165463,1000.0,13.0092,14.8208955224,13.0065986975,3.0,370.962962963,12.1457877633,75.0,39.1082,284.702636484,26,27.7399,0.422169104772,13.0065986975,26,0.785658,70.0,-15.0249
13.8632,0.286948,87.7043088873,1000.0,13.8516,13.3289473684,13.8479251715,3.0,267.447368421,9.89469309901,84.0,40.7203,187.988059163,27,28.5352,0.465375680487,13.8479251715,27,0.942742,51.0,-15.9633
14.7012,0.462433,94.5106239184,1000.0,14.687,13.8591549296,14.685025317,3.0,802.307692308,11.9639079002,131.0,42.1409,360.95948731,28,29.1642,0.506543258621,14.685025317,28,1.13247,63.0,-16.9275
15.6277,0.208862,82.8891106118,685.0,15.6114,12.974025974,15.6073480675,3.0,208.770833333,9.59704232844,104.0,43.4907,108.429362487,29,29.7034,0.524209754826,15.6073714903,29,1.22843,44.0,-17.8468
16.3867,0.137059,75.9937166284,341.0,16.3666,11.7906976744,16.3622216303,3.0,152.818181818,10.3901969441,92.0,44.946,52.4695897758,30,30.3584,0.574592142497,16.3623191352,30,1.44047,61.0,-18.7389
17.2169,0.108469,71.6645250568,434.0,17.1963,13.472972973,17.1921791853,3.0,134.68,10.9077495053,51.0,46.4706,51.4413996699,31,30.9449,0.60976094244,17.1924705411,31,1.61845,52.0,-19.6733
18.0114,0.1268,73.0461284613,455.0,17.9876,11.2988505747,17.9821896393,3.0,145.071428571,8.55692895621,76.0,47.7729,68.1926517676,32,31.5293,0.638139359653,17.9826043132,32,1.67944,44.0,-20.632
18.8579,0.142207,73.4927468575,374.0,18.8302,10.24,18.8259106461,3.0,145.347826087,8.07356179143,92.0,49.2967,61.4477098515,33,32.0525,0.69828345206,18.8261013185,33,2.05834,39.0,-21.5657
19.7111,0.116548,69.8329112199,269.0,19.6811,10.8695652174,19.674550218,3.0,127.113924051,7.16455252297,51.0,50.7071,41.5302199995,34,32.5154,0.728678726205,19.6751890129,34,2.29934,32.0,-22.5789
20.5159,0.472408,78.5783595524,1000.0,20.4843,9.48571428571,20.4804041287,3.0,321.34375,6.95990460487,92.0,52.0586,355.765074292,35,32.8617,0.759230707401,20.4808499809,35,2.42884,43.0,-23.5092
21.4075,0.297895,65.99812168,119.0,21.3751,9.59047619048,21.370682285,3.0,107.446808511,7.45742868758,98.0,53.3324,4.71443465006,36,33.2563,0.807518929722,21.3712363738,36,2.687,43.0,-24.5049
22.2552,0.286719,63.0480055869,108.0,22.2222,9.32710280374,22.2172548407,2.0,99.1089108911,7.61549784939,93.0,54.5037,3.23930376977,37,33.7596,0.871406888778,22.2177510854,37,3.12464,59.0,-25.5113
23.132,0.300101,72.3574538637,157.0,23.0974,9.24074074074,23.0923983396,3.0,128.367088608,6.86897260414,113.0,55.8409,9.35133810934,38,34.3204,0.908494408216,23.0927984388,38,3.40975,36.0,-26.5257
23.933,0.335617,58.5220954652,96.0,23.8944,8.61206896552,23.8908374414,3.0,87.6260869565,5.99248315309,79.0,57.131,3.63188984119,39,34.7989,0.969142675155,23.8920580613,39,3.78212,34.0,-27.4409
24.8594,0.280485,65.8142099973,122.0,24.822,9.05405405405,24.8155746153,3.0,106.925531915,7.32616911045,93.0,58.2141,5.00688751515,40,35.1587,0.986515798251,24.8164654441,40,4.0616,48.0,-28.5235
