AverageAbsY,AverageAbsQ,MinReturn,QFunRegParamNorm,StdReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MaxReturn,AverageAction,AverageDiscountedReturn,AverageQ,AveragePolicySurr,StdEsReturn,MinEsReturn,AverageY,AverageAbsQYDiff,Epoch
17.6946156563,17.6986,37.0,43.8582,0.620358456644,38.4444444444,1.21044,25.0621,72.0,32,18.5090909091,40.0,0.118274,32.0474252562,17.6923,-20.006,14.3373291887,3.0,17.6945792978,0.485623985183,32
18.5244582107,18.5288,37.0,44.9809,1.02628365259,39.604743083,1.2107,25.175,45.0,33,14.6911764706,42.0,0.127007,32.8329800606,18.5228,-20.822,10.8536485502,3.0,18.5244582107,0.481885751417,33
19.3164135602,19.3225,36.0,46.1791,0.879859991193,38.2633587786,1.33638,25.4152,49.0,34,14.8955223881,40.0,0.137063,31.9223017804,19.3153,-21.6962,10.4312022294,3.0,19.3164135602,0.517753841237,34
20.0962165911,20.1015,33.0,47.3011,0.899472029554,35.4204946996,1.52683,25.7216,48.0,35,15.6825396825,38.0,0.127558,29.9490286851,20.0931,-22.5679,12.2653537041,3.0,20.0962126293,0.538869331617,35
20.769882151,20.7794,35.0,48.4327,0.779901567123,36.7435897436,2.10282,26.0365,52.0,36,16.1451612903,39.0,0.116272,30.8750665194,20.7678,-23.2992,12.5297668467,3.0,20.7698638271,0.625541403551,36
21.5237204823,21.5334,37.0,49.524,0.786473636131,39.0116731518,1.89507,26.4373,55.0,37,14.4492753623,41.0,0.179291,32.4329116701,21.5224,-24.1816,10.626104351,3.0,21.5237060437,0.593717903697,37
22.2921084572,22.3006,36.0,50.7952,1.75169480499,41.2345679012,2.19523,26.8258,59.0,38,15.703125,46.0,0.195233,33.9174681972,22.2866,-24.9599,12.3600663523,3.0,22.2919701994,0.642175501259,38
22.9617313313,22.9746,38.0,51.7835,2.72064257243,42.5254237288,2.18517,27.0747,46.0,39,13.5540540541,58.0,0.194154,34.7555278371,22.9617,-25.6775,9.52257898847,3.0,22.9616996297,0.619096670128,39
23.7998878941,23.8089,47.0,52.7626,421.59133302,562.894736842,2.54035,27.3614,51.0,40,15.4769230769,1000.0,0.0760811,84.3833185029,23.7963,-26.6015,11.1701631312,3.0,23.7996039287,0.677373154353,40
24.3859139993,24.3993,41.0,53.7581,2.55871545768,45.6454545455,2.66338,27.6209,56.0,41,15.7301587302,66.0,0.135824,36.7724070194,24.3833,-27.3199,13.1078630821,3.0,24.3853879928,0.695613657419,41
25.1575752551,25.17,1000.0,54.8271,0.0,1000.0,2.89007,27.9622,51.0,42,13.8904109589,1000.0,0.0404899,99.9956828753,25.1542,-28.129,10.8533962159,3.0,25.1571668203,0.717192187719,42
25.9671409469,25.9843,1000.0,55.912,0.0,1000.0,2.90545,28.3048,94.0,43,12.45,1000.0,0.0663726,99.9956828753,25.9662,-28.9667,12.7523527241,2.0,25.9665431364,0.724643159501,43
26.5753840901,26.5946,1000.0,57.0648,0.0,1000.0,3.48304,28.6064,61.0,44,12.3037974684,1000.0,0.182901,99.9956828753,26.5715,-29.7027,10.1062136926,2.0,26.5748156306,0.776057356923,44
27.2973994096,27.3135,1000.0,58.152,0.0,1000.0,3.66736,28.9012,53.0,45,14.6428571429,1000.0,0.160128,99.9956828753,27.2922,-30.4482,11.2033613761,3.0,27.2945124411,0.810766925479,45
28.0525943253,28.0711,1000.0,59.1419,0.0,1000.0,3.74911,29.1791,50.0,46,14.6764705882,1000.0,0.236987,99.9956828753,28.0461,-31.3369,11.5928999271,3.0,28.0487285226,0.81688239378,46
28.8237549911,28.8437,1000.0,60.2024,0.0,1000.0,4.09808,29.4813,64.0,47,13.602739726,1000.0,0.223479,99.9956828753,28.819,-32.1634,10.4511121857,3.0,28.8215573819,0.838335088847,47
29.5920797171,29.6105,1000.0,61.1275,0.0,1000.0,4.52241,29.7002,51.0,48,16.6557377049,1000.0,0.295647,99.9956828753,29.5893,-32.9828,12.686491132,3.0,29.5915956256,0.852608544615,48
30.4108511868,30.4271,1000.0,62.0127,0.0,1000.0,4.16353,29.9582,46.0,49,12.6202531646,1000.0,0.266656,99.9956828753,30.406,-33.9165,8.80060958399,2.0,30.4103064834,0.856175090942,49
31.2838112755,31.2999,1000.0,62.938,0.0,1000.0,4.71737,30.2059,78.0,50,13.8059701493,1000.0,0.291729,99.9956828753,31.2788,-34.8379,13.7474435137,3.0,31.2829267315,0.887261811131,50
32.0509712292,32.0711,1000.0,63.9888,0.0,1000.0,4.7952,30.4406,86.0,51,16.6825396825,1000.0,0.268821,99.9956828753,32.0473,-35.6982,17.751213146,3.0,32.0500648374,0.901651037041,51
32.9430294679,32.9641,1000.0,64.8979,0.0,1000.0,5.06883,30.6578,35.0,52,12.0235294118,1000.0,0.289814,99.9956828753,32.9396,-36.6778,8.76218676787,3.0,32.942347386,0.937614832036,52
33.7532510024,33.7719,1000.0,65.7107,0.0,1000.0,5.71334,31.0101,67.0,53,14.3428571429,1000.0,0.305199,99.9956828753,33.7487,-37.5022,12.8228431372,3.0,33.7524026441,0.996766442903,53
34.5341069158,34.5524,1000.0,66.5527,0.0,1000.0,5.64466,31.2754,50.0,54,14.3768115942,1000.0,0.322851,99.9956828753,34.5291,-38.3735,10.967807239,3.0,34.5329578634,0.956510496461,54
35.1329382144,35.1525,1000.0,67.4939,0.0,1000.0,6.65023,31.568,65.0,55,15.3384615385,1000.0,0.311444,99.9956828753,35.1277,-39.1675,13.2308228979,3.0,35.1322191414,1.01529030895,55
36.0443633423,36.0667,1000.0,68.1954,0.0,1000.0,7.17983,31.8574,59.0,56,12.5375,1000.0,0.313232,99.9956828753,36.0396,-40.1139,9.99117579417,3.0,36.0418429915,1.04617100818,56
36.6005110657,36.6215,1000.0,69.0856,0.0,1000.0,6.30762,32.1533,52.0,57,13.2631578947,1000.0,0.282096,99.9956828753,36.5903,-40.9287,10.3280002918,3.0,36.5975786457,1.05531315419,57
37.8123583329,37.836,1000.0,69.9173,0.0,1000.0,7.04287,32.4364,45.0,58,13.4794520548,1000.0,0.294458,99.9956828753,37.8069,-41.9487,10.4043057328,3.0,37.8106560128,1.066737132,58
38.5282063963,38.5577,1000.0,70.6734,0.0,1000.0,7.41841,32.6826,73.0,59,15.3939393939,1000.0,0.288803,99.9956828753,38.5256,-42.7449,12.8061050638,3.0,38.5262844738,1.1023884247,59
39.3531437115,39.3805,1000.0,71.6,0.0,1000.0,7.78077,32.9423,49.0,60,14.4782608696,1000.0,0.342035,99.9956828753,39.344,-43.6493,11.2322113089,3.0,39.3494985433,1.12765502231,60
40.0839911703,40.1079,1000.0,72.2034,0.0,1000.0,8.63502,33.2262,75.0,61,12.4,1000.0,0.281013,99.9956828753,40.0749,-44.5129,10.7872610055,3.0,40.0800904292,1.13268518612,61
40.9065483774,40.944,1000.0,72.8197,0.0,1000.0,9.60884,33.5121,49.0,62,13.5890410959,1000.0,0.252766,99.9956828753,40.9002,-45.3559,8.49308440098,3.0,40.9035536769,1.24106158742,62
41.4756740695,41.5095,1000.0,73.7303,0.0,1000.0,9.59625,33.8213,68.0,63,15.5555555556,1000.0,0.227575,99.9956828753,41.4694,-46.2397,12.1417262675,3.0,41.472594884,1.21544901621,63
42.5884316472,42.6204,1000.0,74.542,0.0,1000.0,9.96742,34.1186,58.0,64,15.0144927536,1000.0,0.210761,99.9956828753,42.581,-47.221,10.8005538688,3.0,42.5853415775,1.20665262222,64
43.3269878442,43.3559,1000.0,75.2463,0.0,1000.0,9.2653,34.3556,78.0,65,17.4385964912,1000.0,0.248879,99.9956828753,43.3186,-48.1609,13.5374950958,3.0,43.3240692673,1.19109435685,65
44.175921481,44.2079,1000.0,76.0485,0.0,1000.0,10.2875,34.51,66.0,66,15.7096774194,1000.0,0.219081,99.9956828753,44.1662,-49.1044,11.6347464821,3.0,44.1724685373,1.24789931843,66
45.0282133003,45.0589,1000.0,76.6002,0.0,1000.0,10.1579,34.7196,43.0,67,14.25,1000.0,0.217386,99.9956828753,45.0171,-50.0116,10.4771576934,3.0,45.0244562577,1.2695013564,67
45.9958765395,46.0333,1000.0,77.0796,0.0,1000.0,10.4875,34.9469,56.0,68,14.3285714286,1000.0,0.166217,99.9956828753,45.9917,-50.996,9.93079111878,3.0,45.9923874674,1.2322517112,68
46.8440585156,46.8834,1000.0,77.6897,0.0,1000.0,11.4528,35.2978,54.0,69,16.6333333333,1000.0,0.139311,99.9956828753,46.8359,-51.7755,13.9403092585,3.0,46.8410124038,1.323921222,69
47.5326313832,47.5737,1000.0,78.3081,0.0,1000.0,11.8474,35.5252,59.0,70,13.038961039,1000.0,0.184775,99.9956828753,47.5208,-52.6878,10.2380009697,3.0,47.5278205348,1.33616409632,70
48.2002620575,48.2364,1000.0,78.9208,0.0,1000.0,12.4755,35.787,50.0,71,12.6708860759,1000.0,0.215659,99.9956828753,48.1886,-53.5803,9.68715908374,3.0,48.1934872914,1.35987979472,71
49.2833926787,49.3237,1000.0,79.5076,0.0,1000.0,12.9725,36.0046,41.0,72,15.40625,1000.0,0.152673,99.9956828753,49.2725,-54.4995,9.7383243393,3.0,49.2770381663,1.38744809869,72
50.1365182004,50.1799,1000.0,80.3201,0.0,1000.0,13.5436,36.1877,60.0,73,14.4571428571,1000.0,0.160392,99.9956828753,50.129,-55.4092,11.1184347746,3.0,50.1302442933,1.40398833962,73
50.6388131246,50.6805,1000.0,80.9632,0.0,1000.0,13.4,36.4706,51.0,74,14.2173913043,1000.0,0.202544,99.9956828753,50.6264,-56.1736,10.5471605702,3.0,50.6336872727,1.42767288386,74
51.5800285788,51.6156,1000.0,81.6653,0.0,1000.0,12.3792,36.6852,38.0,75,13.6164383562,1000.0,0.174577,99.9956828753,51.5631,-57.0834,9.00628416374,3.0,51.5708292826,1.36998787475,75
52.5635957903,52.6103,1000.0,82.3769,0.0,1000.0,13.956,36.8863,33.0,76,11.9302325581,1000.0,0.134602,99.9956828753,52.5513,-57.8893,8.14232510315,3.0,52.5552135124,1.41751489399,76
53.3428803441,53.392,1000.0,82.9436,0.0,1000.0,15.1767,37.1186,51.0,77,14.0,1000.0,0.156055,99.9956828753,53.3278,-58.993,10.0757692888,3.0,53.3342583919,1.51595725593,77
54.0245401333,54.0711,1000.0,83.5501,0.0,1000.0,14.4451,37.3672,51.0,78,16.7966101695,1000.0,0.155686,99.9956828753,54.012,-59.8156,10.3330630453,3.0,54.0156293665,1.44712941534,78
54.8845812257,54.9446,1000.0,84.3025,0.0,1000.0,16.7334,37.5704,50.0,79,13.0519480519,1000.0,0.137505,99.9956828753,54.873,-60.496,10.7472691837,3.0,54.875510105,1.56255394194,79
55.7188892569,55.7676,1000.0,84.9761,0.0,1000.0,15.5689,37.7675,49.0,80,13.012987013,1000.0,0.17328,99.9956828753,55.6933,-61.3006,10.3227066652,3.0,55.703237434,1.51263806586,80
56.3674517741,56.4271,1000.0,85.6385,0.0,1000.0,16.3788,38.0125,45.0,81,12.7894736842,1000.0,0.1839,99.9956828753,56.3528,-62.2022,9.5066677286,3.0,56.3527072052,1.53975045775,81
