AverageAction,StdEsReturn,Epoch,StdReturn,AverageQLoss,QFunRegParamNorm,MaxEsReturn,AveragePolicySurr,AverageAbsQYDiff,AverageEsReturn,AverageAbsY,MinEsReturn,MaxReturn,PolicyRegParamNorm,AverageReturn,AverageDiscountedReturn,Iteration,AverageAbsQ,AverageQ,AverageY,MinReturn
0.00575621,14.9491507651,9,2.34029310036,0.912346,11.1189,107.697431482,0.0978697,0.853856974078,12.8992475745,0.768307562417,-0.979340411128,60.5502948955,13.2983,53.9864126713,41.2663191345,9,0.227161,-0.210038,0.5385913833,49.237969492
0.893545,16.1790485189,10,1.15501647864,0.0298336,11.6855,65.8691585433,-1.06044,0.104455503487,35.6891217986,1.11491396047,1.7115915548,52.158741129,14.2866,49.7534243279,41.8352557182,10,1.10371,0.871078,0.87656511122,47.4530615771
0.951325,33.7981751014,11,1.08973711152,0.0479542,12.8077,195.06765548,-1.74501,0.12297598395,46.8511489808,1.76636858393,4.72921773372,42.1973813252,15.1893,39.5529236035,34.9772638602,11,1.76328,1.52906,1.52985358858,36.7541573312
0.928583,7.02062418156,12,0.957537175579,0.115076,14.3104,65.9768949434,-2.66968,0.169177796138,42.0437762483,2.61642078378,22.5546884505,40.7113473313,16.0085,38.8345099908,34.5077898916,12,2.61424,2.3918,2.39312982684,36.6278065528
0.889645,8.15757728291,13,0.948137098835,0.180417,15.9176,70.9891821127,-3.77581,0.206660641084,40.9805846279,3.61188009711,5.18802348697,41.64035091,16.8544,38.6563703958,34.3609094523,13,3.60928,3.41215,3.41346143627,36.5416955248
0.762369,24.4529959065,14,0.663088358152,0.238911,17.3733,118.56858528,-5.03734,0.245015752951,65.0325182489,4.74270672349,36.9794772618,110.801727628,17.8325,109.154117616,81.2417183582,14,4.73899,4.56831,4.57021535495,107.445777278
0.723113,49.6567924169,15,1.88554049014,0.314658,18.6733,171.271902938,-6.427,0.273197841402,108.006478974,6.02474927847,40.7459070082,173.767651451,19.1719,170.551100146,111.039079041,15,6.02096,5.86798,5.87018548231,164.797018933
0.699403,51.0653391994,16,1.28623863759,0.415377,19.8339,179.651970484,-7.9539,0.30620082547,146.79846157,7.45515594778,7.96896223628,174.412507527,20.2309,171.369033704,110.86446785,16,7.45069,7.31371,7.31648208205,167.749218893
0.703695,36.6434599948,17,2.23941652525,0.567928,20.9559,175.266455803,-9.62333,0.346182682784,151.747452918,9.00693443328,60.2705880275,171.772045195,21.2985,168.164813156,109.521102173,17,9.00217,8.8804,8.88350411578,160.829836952
0.744267,48.1817074853,18,2.11269998947,0.764497,22.1887,186.427186919,-11.3614,0.393282587255,147.339684585,10.627792408,18.5615186009,171.163209773,22.3775,168.298314013,109.523441182,18,10.6233,10.5167,10.5202166406,162.630759435
0.633691,60.4901319724,19,6.57148214799,1.00143,23.3759,267.715748823,-13.176,0.440127799917,141.286841805,12.3555490357,44.3151637975,209.575416955,23.4575,195.676295611,120.926379422,19,12.353,12.2552,12.2580525651,181.467272227
0.647994,24.2822708088,20,1.58619778919,1.2403,24.6578,184.527855415,-15.0278,0.486839503721,166.548530929,14.0954657512,94.334117386,129.813298911,24.1739,126.692309177,90.0672137659,20,14.092,14.0022,14.0070926242,123.321224837
0.664883,41.9496122753,21,3.31417080726,1.57087,25.8949,221.741598753,-16.9637,0.551731059019,157.131862246,15.9138515717,65.6498114754,179.361437247,24.7873,171.954952969,111.031094436,21,15.9135,15.8265,15.8300312045,164.738145337
0.653249,27.7160458907,22,2.23535461092,1.80518,27.0792,193.893400763,-19.0377,0.594915803838,164.774405381,17.861883423,105.069156956,171.52645608,25.3436,165.610356035,108.533024672,22,17.8615,17.7796,17.7834403969,156.999236127
0.600911,37.545425609,23,2.87196866226,1.98585,28.4266,186.654782039,-20.9945,0.626753500467,158.590589894,19.7941646112,44.6595909382,173.77761544,25.8509,168.2425047,109.563353409,23,19.7911,19.7143,19.7209656179,159.11744715
0.500562,46.64456735,24,12.877314481,2.33025,29.8258,207.844302515,-22.9782,0.699217340902,160.050636619,21.6871104092,34.6669613017,181.938444158,26.274,162.778966579,106.996794249,24,21.6862,21.6184,21.6240524353,137.638139626
0.599739,47.4508362709,25,8.17447799761,2.60082,31.0566,223.501658253,-24.9674,0.750380741724,164.678805139,23.6091571637,34.2031148235,198.616100931,26.7008,185.072185976,115.681765035,25,23.6098,23.5431,23.5477151336,163.891882975
0.559739,43.9895066021,26,2.9085172155,2.92388,32.2812,222.484116838,-27.1222,0.776518156468,173.283622332,25.67955512,54.609741357,185.881989787,27.1448,178.021113248,113.442223912,26,25.6798,25.6173,25.6223242142,169.121948279
0.55512,37.5676719985,27,7.108940451,3.08267,33.4048,224.809579781,-29.0679,0.805067034761,172.011733632,27.6518014,65.9175025921,206.385869308,27.6045,195.57473602,120.743010488,27,27.6531,27.5932,27.5991486969,162.344109654
0.509279,67.4024251775,28,19.230601811,3.3661,34.5537,237.70984391,-31.1183,0.82996249727,160.253322725,29.6714733043,20.1722855333,260.979177503,28.0568,224.015953387,131.079051502,28,29.6736,29.6181,29.6231114848,183.085499298
0.510933,85.0476406628,29,7.14459506922,3.9186,35.6398,300.21377564,-33.0734,0.910280522997,188.317354168,31.5771170275,16.2479687945,263.227289871,28.5128,245.404362365,139.463016031,29,31.5787,31.5299,31.5371873151,210.862037636
