AverageAbsQYDiff,MaxReturn,MinReturn,Iteration,PolicyRegParamNorm,StdReturn,Epoch,AverageQ,AverageAbsY,AverageAbsQ,AverageAction,AverageReturn,AverageEsReturn,AverageY,MinEsReturn,AverageQLoss,AveragePolicySurr,MaxEsReturn,AverageDiscountedReturn,QFunRegParamNorm,StdEsReturn
1.58464530026,12.7909566678,11.2512405005,9,11.1819,0.259687825279,9,-0.820192,0.765327729906,0.820192,0.0393127,12.1494221108,14.3496980536,0.764453220499,1.86493947474,3.22097,0.526421,100.876407579,11.4080698835,11.1656,14.1441944281
0.102568704694,2.03663996161,1.61852175181,10,12.2301,0.0810908487077,10,0.457911,0.46426593161,0.459426,0.96859,1.83259129142,2.07786246361,0.461658683406,0.192882877775,0.0402632,-0.535466,4.98662085072,1.83449921871,11.265,0.886845080852
0.0519240997776,1.9049580637,1.50279082615,11,12.7835,0.0805669415456,11,0.428772,0.433361980156,0.431682,0.99993,1.69830865532,2.30194198448,0.429383732493,1.04930438797,0.0077575,-0.471334,4.20620375361,1.70388175952,11.3777,0.563335908028
0.0394861653215,0.624375302247,0.00248639658953,12,13.3825,0.114451217267,12,0.482823,0.488106730749,0.489568,0.96906,0.307673557915,1.8298841487,0.483124636035,-0.581804357741,0.00409195,-0.512736,5.67062296062,0.454484637162,11.479,1.07643992617
0.036295826675,48.1903370988,9.67377596022,13,14.2296,8.08394145183,13,0.501819,0.513007482115,0.51458,0.919973,43.684991194,4.60709448709,0.502033187387,-1.01319154103,0.00321189,-0.535155,64.4730518833,36.2691532858,11.5912,12.5075081341
0.0428993922108,74.4953413523,59.9313085451,14,14.6811,2.53551560257,14,0.5678,0.581738322633,0.582551,0.972365,69.8672308771,85.6377133653,0.568174950536,9.72278554906,0.00531133,-0.653526,166.561442335,57.4907026314,11.8683,41.8068148802
0.0444138891822,104.506803671,101.391144494,15,14.6915,0.695413435041,15,0.699189,0.710901670245,0.710791,0.956232,103.080807579,78.8451962905,0.699643628393,14.5276925369,0.00661803,-0.796737,116.45326101,78.0931682487,12.1757,23.4462940757
0.0464836227384,174.109441196,165.329557041,16,14.8466,1.60682807425,16,0.849125,0.856857656687,0.856718,0.834597,171.522520501,128.773220832,0.849637699359,41.6108997254,0.00810732,-0.964238,178.485166657,111.399346556,12.5548,40.0539788095
0.0474077858869,174.956463567,166.34663408,17,15.325,1.90169872332,17,1.0177,1.0245023936,1.0245,0.935414,171.275691531,124.238147219,1.01818720949,47.8287356366,0.00898493,-1.14545,177.717037783,111.238687514,12.972,53.3024035948
0.0533223695024,53.4089031153,43.1914315308,18,16.1095,1.88988060755,18,1.18332,1.19047410564,1.19047,0.935986,48.5796631564,120.682794462,1.18374253532,41.9926558501,0.0133787,-1.31975,185.926342813,42.1409111196,13.5434,56.5794876851
0.0581287093889,178.040923678,171.784296009,19,17.0125,1.34033618984,19,1.35383,1.36093007224,1.36085,0.915246,174.806910372,147.071128202,1.35431235043,11.2823894257,0.0158015,-1.50928,183.138432817,112.61586325,14.2207,52.2068122149
0.063378540083,176.279416352,168.679073906,20,17.7272,1.67564481022,20,1.54528,1.55130662256,1.55132,0.876317,172.803134448,152.378426193,1.54565362615,38.5235415761,0.0200938,-1.70471,176.252051011,112.011485406,14.8701,39.2036679918
0.0666296769551,174.911306981,169.783366344,21,18.4992,1.24418113051,21,1.7212,1.72772997092,1.72746,0.751522,172.107645165,149.101470808,1.7219284438,36.45033694,0.0206892,-1.89195,191.424709904,111.118180425,15.5474,45.0607866588
0.0731322746075,177.965781767,169.468101045,22,19.1536,2.22220394822,22,1.91168,1.91788977819,1.91751,0.77,173.916484032,124.139974615,1.91241015276,22.3102510026,0.0248252,-2.08824,189.497827002,112.270936096,16.3372,52.1783310107
0.073969232856,178.121789907,171.241591334,23,19.854,1.55643260847,23,2.08916,2.09500046965,2.09504,0.742662,174.535083493,140.824248416,2.08979020591,3.61182382479,0.0241529,-2.27371,181.425442167,112.158814322,17.0643,45.8656808731
0.0750066816443,241.240841558,194.092442224,24,21.0039,9.88422890194,24,2.2932,2.29901525275,2.29851,0.942249,214.628635635,169.694135706,2.29418056383,117.78389012,0.0255185,-2.49003,203.085977496,115.644722169,17.6941,25.6878804672
0.0868174578657,203.701573456,197.128238491,25,21.5529,1.52253873356,25,2.49545,2.50047402226,2.50023,0.741006,199.803818213,179.238823323,2.49648208423,84.8599111915,0.0332245,-2.75274,227.660705995,122.054663224,18.4384,40.0035132036
0.0900737516802,208.345780714,201.632321601,26,21.945,1.48335131408,26,2.74894,2.75355678546,2.75318,0.782385,204.424252978,149.585357131,2.74996047479,18.4244417678,0.035856,-2.9991,209.414089355,122.461965551,18.9995,69.7883190356
0.0928676426628,211.818453864,206.08626533,27,22.3044,1.31979839676,27,2.99703,3.00162921266,3.00138,0.861974,209.22325015,179.973928391,2.99795336182,51.3796689411,0.0378306,-3.25267,223.931995574,123.835546186,19.7015,51.0436138034
0.101027097709,194.301742926,184.906058833,28,22.7235,1.8667088642,28,3.20351,3.20835180829,3.20823,0.79173,190.093414336,173.011806765,3.20466169981,40.2773202483,0.0433315,-3.46372,225.51478889,118.388031912,20.3397,65.7557925526
0.106648569119,275.476560481,224.752886681,29,23.1838,12.5893343775,29,3.44203,3.44651900742,3.44627,0.80913,252.056923836,173.412275618,3.44322301295,82.615244725,0.0521491,-3.68745,227.476327385,142.862631733,20.9435,51.830045358
0.111049390819,259.99052924,206.831627221,30,23.6412,10.6094015653,30,3.66303,3.667281409,3.66746,0.734115,230.784653322,200.991500614,3.66397758807,84.7967408794,0.053943,-3.91066,284.375684159,134.72418544,21.6368,51.6731311408
0.117612354852,361.039581686,301.770149115,31,23.9947,16.1149543792,31,3.85906,3.86398567003,3.86441,0.668732,335.336360301,275.50606096,3.86021929106,146.955997414,0.0591707,-4.10302,432.61058303,170.359845946,22.216,83.5666573426
0.12653957517,312.03851934,287.415857685,32,24.374,6.87616131756,32,4.11271,4.1173108435,4.11767,0.504511,299.747756971,248.668799556,4.11382940011,102.607757175,0.0782325,-4.35533,345.736436353,158.381023358,22.8255,80.4569788138
0.128668906469,288.487256644,245.039551348,33,24.8045,7.67246102691,33,4.30351,4.30810018846,4.30835,0.524178,273.48099373,203.740982539,4.30463961424,34.4810736989,0.0885916,-4.55047,294.830894598,150.359787855,23.3863,81.4002898552
0.133642302037,261.681702699,229.881151169,34,25.1861,7.8520688485,34,4.51546,4.51973411829,4.52033,0.464804,244.876377477,229.977114982,4.51656982917,77.6846962701,0.0878381,-4.77962,337.549081833,140.563490121,23.9376,77.9684225546
0.141630975596,381.889908257,259.715163434,35,25.6243,28.0347492085,35,4.76088,4.76474983884,4.76546,0.644668,307.380323007,191.713353521,4.76239033161,43.8459688038,0.0980671,-5.03524,315.793162009,146.652270093,24.4667,101.167140689
0.141076537653,344.268651631,258.158557398,36,25.9613,21.6007053071,36,4.9872,4.99073428754,4.9916,0.704735,295.240363201,183.617393261,4.98826657117,54.8295342215,0.0964525,-5.28789,335.146220427,150.089312318,25.0094,93.4303891205
0.162206968763,335.088587447,240.532195296,37,26.3304,24.9315851867,37,5.23628,5.2406341294,5.24125,0.728979,280.862618364,209.570847228,5.23792791455,35.5655380776,0.133331,-5.53707,377.736126681,151.184002552,25.6554,118.407588965
0.16233562959,359.830271093,275.550375644,38,26.7348,17.3171912933,38,5.4886,5.49250214001,5.49393,0.729473,317.005462991,269.010137939,5.49000307594,190.113573998,0.138899,-5.79859,364.525859562,157.360298838,26.1779,59.6914517727
0.160410251417,379.911678051,245.367070806,39,27.0554,27.5153573023,39,5.74389,5.74786375942,5.74877,0.7167,320.427513389,269.927312598,5.74550706036,172.822791978,0.128328,-6.05029,340.068672316,158.132287239,26.6949,63.6540696571
0.177866748042,384.416345032,260.055143769,40,27.3949,24.7276716467,40,5.99757,6.00156743149,6.00222,0.697226,326.261623572,282.363122532,5.99897172357,240.338343134,0.159984,-6.30711,322.489887907,157.336712087,27.2604,26.8913920077
0.190749910181,398.290068146,267.594527245,41,27.7222,29.4529280775,41,6.23982,6.24509036806,6.2464,0.668244,345.423989383,294.587961857,6.24166671414,243.131414221,0.194912,-6.55305,319.401903165,163.172952071,27.8657,25.5213686808
0.185077700614,374.319596828,233.809112294,42,27.9215,21.7315875378,42,6.45554,6.46023373483,6.46275,0.626376,322.599505828,274.416524783,6.45679525932,67.416498532,0.160791,-6.76215,372.002032299,158.518215752,28.4827,89.9935011041
0.200876021393,370.721446926,181.637372071,43,28.2401,49.6093789261,43,6.67415,6.67951224699,6.68108,0.70566,281.144020439,250.311752308,6.67617953335,116.009140076,0.222937,-6.96633,372.787947496,148.086492778,29.0161,78.415867877
0.194977551,321.610433198,288.105191999,44,28.468,5.86784794977,44,6.85902,6.86315922753,6.86657,0.619658,303.271546821,226.603258635,6.85976531327,79.4221299566,0.194366,-7.16056,314.096796708,157.018298877,29.5419,95.6745908763
0.202687558625,629.837431659,282.197920834,45,28.7822,89.2846514266,45,7.12999,7.13396832809,7.13649,0.762594,491.86340473,206.683285204,7.13138423151,67.0431200395,0.210482,-7.42654,368.20406807,204.619981766,30.0214,108.969494897
0.202403041657,616.149017519,340.998266061,46,29.1386,88.6587545162,46,7.33153,7.33563662401,7.33718,0.778056,487.108969192,234.931162158,7.33305169665,63.6636973006,0.19945,-7.62278,359.436851532,200.357330542,30.4831,93.2880148882
0.214164888627,482.767438322,262.280107761,47,29.4379,54.8841305563,47,7.5442,7.5487849836,7.54995,0.767439,409.225224457,207.3243965,7.54636716895,37.4490484679,0.237779,-7.84466,527.736095999,186.295950819,30.9999,144.873502994
0.223903157167,544.512205392,253.709095728,48,29.8092,77.4422535248,48,7.74275,7.74623926807,7.7483,0.753798,402.401545159,204.313414055,7.74414343386,17.3950830693,0.258158,-8.04564,478.907873051,181.027171328,31.4724,145.016890028
0.224318082198,357.92957949,324.621894847,49,30.1651,6.49160487149,49,7.96607,7.97039198612,7.9715,0.759904,349.342198145,251.7649264,7.96871575498,84.1455702628,0.249457,-8.28488,402.529712227,172.502984006,31.9189,102.339852688
0.229318718123,501.982800585,146.292988976,50,30.4734,65.5829814514,50,8.16524,8.16788757612,8.17082,0.738214,303.430459604,202.953590548,8.16597261919,48.4419877356,0.284595,-8.47409,407.863562367,155.898846414,32.3322,125.464718534
0.228533905,489.627262499,54.898145983,51,30.6863,124.070188905,51,8.38618,8.39009518138,8.39192,0.801187,182.501160762,165.629357165,8.38838762121,65.6460771445,0.256429,-8.7032,388.366851014,105.198646798,32.7193,89.780380595
0.2443339909,433.270094286,342.964982189,52,30.9491,11.7287439622,52,8.60704,8.61093483678,8.61273,0.730775,378.605421487,247.630391192,8.60928423611,78.0268819987,0.294292,-8.94096,534.498337701,178.722224092,33.1967,129.747745429
0.239141981394,357.614928463,151.772360581,53,31.2777,29.3768602961,53,8.86081,8.86441858754,8.86732,0.726691,329.745374403,254.742679285,8.86279658202,51.164782881,0.277174,-9.21489,398.073763536,165.923938657,33.6513,133.425904448
0.24439526474,362.454203127,219.545585711,54,31.5621,30.2194398754,54,9.08891,9.09207414165,9.09461,0.705607,339.104733445,314.184653249,9.09059185711,238.332720483,0.286768,-9.45702,364.648270716,169.345732734,34.0766,44.6358622396
0.25603251439,365.345363467,352.04276485,55,31.8565,2.82105866114,55,9.33753,9.34099847363,9.34302,0.73713,358.227991549,241.191937213,9.33922935666,7.05683409166,0.339206,-9.70434,352.247483337,177.524771208,34.5207,95.9965424042
0.272649317089,384.641793562,318.0771391,56,32.0662,16.1370634145,56,9.57689,9.58054314751,9.58347,0.791251,350.919107888,236.975242806,9.57890857059,70.8022841933,0.381498,-9.93152,366.511473935,174.567880298,35.0076,95.689162304
0.254029722812,393.423004197,238.459526856,57,32.3372,18.5038195685,57,9.74537,9.74894158223,9.75144,0.793768,372.083106314,216.292948796,9.74713838446,36.6793083987,0.329283,-10.1118,368.917809516,178.993125194,35.4283,132.360338839
0.275144349977,492.595859066,25.6105470844,58,32.5624,61.4302268033,58,10.0005,10.0042717345,10.0088,0.776576,424.050693753,258.908080321,10.0025922206,112.044216844,0.393207,-10.356,374.863756199,185.59486984,35.9247,88.1164060956
0.27098951773,383.389386775,343.76153375,59,32.8443,8.47670659426,59,10.169,10.1737848805,10.1787,0.761305,361.911379883,297.703958535,10.1716246036,184.065991933,0.364941,-10.5321,454.398493505,177.096725925,36.3368,87.1185734387
0.277737366452,485.791777321,327.583854601,60,32.9973,41.4138146526,60,10.41,10.4139964503,10.42,0.727057,385.310029323,227.936983993,10.4117646897,77.5647731026,0.351856,-10.759,366.903975225,182.162436304,36.7553,101.600432145
0.288829979113,582.835943951,343.136261191,61,33.2379,32.0792638506,61,10.6078,10.6122364679,10.617,0.693003,383.395093439,200.997955854,10.6097672903,13.472644537,0.415731,-10.9627,371.469231305,171.000150948,37.1715,147.952975501
0.288957268185,440.024980914,324.310634363,62,33.5276,27.5156681525,62,10.8052,10.8098977322,10.8154,0.708585,377.234719122,273.176595384,10.8072626229,27.321477759,0.396336,-11.1586,394.282674271,171.607940149,37.5584,118.424544578
0.305282362299,493.697366093,336.105295091,63,33.7473,45.378729581,63,10.9835,10.9878143469,10.993,0.734369,416.791217969,184.046271353,10.9854350904,25.2307208579,0.483865,-11.367,347.048412152,183.234662522,37.983,112.673036051
0.303956609592,363.815218933,268.260924865,64,34.0128,19.5051598948,64,11.194,11.1981403134,11.2035,0.784241,318.329732318,192.945300578,11.1956516103,35.1044152088,0.449533,-11.5879,372.185480581,156.982338064,38.3232,111.128231543
0.307273678213,377.141013776,288.889802461,65,34.234,19.6419875442,65,11.4453,11.4493458552,11.454,0.693609,329.378473204,291.931007711,11.4471545669,102.519549272,0.468435,-11.8146,376.874506427,162.744058005,38.6801,81.0562123507
0.310905134022,426.934005446,311.260780889,66,34.52,24.172604111,66,11.6225,11.6266660207,11.6303,0.737951,370.896061999,218.907987603,11.6246418096,36.8200520343,0.467119,-12.0186,344.893543244,174.777639371,38.9976,102.872279067
0.316391622273,385.51190436,348.486032953,67,34.7568,7.56389804528,67,11.8272,11.8316776678,11.8355,0.801618,367.116879754,241.726972,11.829754766,70.4762225423,0.475093,-12.2055,369.708720826,179.692265848,39.3978,101.683612247
0.317207535301,473.246877213,379.165807535,68,34.9109,16.9599921005,68,11.9851,11.9889419311,11.9941,0.824096,415.149143927,259.3683334,11.9870511494,45.6582623142,0.499202,-12.3723,406.922996024,188.707854595,39.7168,115.557026468
0.319748344171,408.888622103,304.111664245,69,35.1447,17.700870257,69,12.2558,12.260462392,12.2636,0.775517,350.148032637,271.937865422,12.2587804765,26.3516755436,0.464343,-12.6424,403.058815558,173.252693206,40.0758,133.668406055
0.31542672142,387.635066519,307.080142225,70,35.3076,16.3807840167,70,12.4046,12.4070029053,12.4129,0.692111,338.354382122,206.185765266,12.4054312642,6.32513177956,0.445261,-12.7783,336.181476786,169.950383967,40.4023,111.593540417
