PolicyRegParamNorm,MaxReturn,MaxEsReturn,AverageAction,AverageQ,MaxForwardProgress,MinForwardProgress,AverageY,StdEsReturn,MinReturn,MinEsReturn,QFunRegParamNorm,AverageAbsY,AverageQLoss,StdReturn,AverageDiscountedReturn,AveragePolicySurr,AverageEsReturn,Epoch,AverageAbsQYDiff,AverageForwardProgress,AverageReturn,AverageAbsQ,StdForwardProgress
14.8795,4.66385199441,70.2894341782,0.895912,0.014247,0.0173973448179,-0.0255784497033,0.122785094608,11.9551226298,1.47955409287,1.06085406179,15.2067,0.122785094608,0.0134865,0.396005194359,2.95246805896,-0.0186583,34.989150772,9,0.109028894608,-7.53908599716e-05,2.98267793056,0.014247,0.00542567658261
15.1064,6.06011710903,41.6008495727,0.992171,0.0553451,0.0301636858906,-0.0250287541684,0.0560458719252,2.32991962954,2.89247311112,1.89428003693,15.4108,0.0560489635879,0.000319135,0.405811070022,4.33255603136,-0.0571937,3.5252159818,10,0.00938528239154,0.00237504111889,4.40251728823,0.0553469,0.00706259259655
15.171,5.88353894452,5.53559398641,0.998208,0.04348,0.0272506879028,-0.0216361566297,0.0435737264043,0.392816702906,3.10493919279,3.1763554623,15.7217,0.0435737264043,8.03771e-05,0.409864375009,4.34254711458,-0.0477913,4.43583852384,11,0.00523750745217,0.00260691636556,4.41258655112,0.04348,0.00714002115636
15.2198,12.278532655,10.4162464438,0.999938,0.047257,0.0240275642974,-0.0735401919768,0.0473172482765,1.38598158903,4.48832676176,3.60328575243,15.9897,0.0473172482765,4.83862e-05,1.16588519891,7.20199283582,-0.0510103,7.25771241957,12,0.00438089241746,-0.0190190913894,7.46435047821,0.047257,0.0140547681471
15.3234,4.37323396909,10.6231975962,0.841406,0.0530691,0.01878893597,-0.0179851818782,0.0530721490672,1.88586760919,1.64673058334,1.93957574048,16.3692,0.0530721490672,5.97206e-05,0.366419215987,2.9632681706,-0.0539659,3.91444856994,13,0.00472604716144,6.35623473354e-05,2.99330611213,0.0530691,0.00526051803466
15.4358,25.7902636911,23.8350470493,0.998592,0.0542321,0.0912253072255,-0.039048059904,0.054231934652,4.85603610253,5.30630024608,2.10715063277,16.7717,0.054231934652,7.24495e-05,4.10756627728,13.5407590953,-0.0585864,4.88636951867,14,0.0050303926798,0.0208458105519,14.5397390638,0.0542321,0.0229021745727
15.4645,8.31738949772,23.641772575,0.872129,0.0650915,0.0276886242414,-0.0532149514233,0.0651011357339,5.16365601879,3.18787743971,2.81746418874,17.1101,0.0651011357339,9.75415e-05,0.769177998544,5.34772557063,-0.0732078,9.95650110485,15,0.00570208426843,-0.00365961348487,5.47662314612,0.0650922,0.0106603146321
15.4424,8.91269237979,7.7786936271,0.871011,0.0720538,0.0298408109981,-0.0532386815979,0.07206536915,0.798893856847,3.13943895393,3.38032351433,17.5725,0.07206536915,0.000134687,1.03846613128,6.01605860838,-0.0792641,5.37528553078,16,0.00700472940493,-0.00554309087578,6.18699547073,0.0720641,0.0119924951457
15.3442,14.0830131051,10.9498459555,0.883031,0.0739571,-0.000945704673264,-0.140792983789,0.0739626529199,1.51072508261,5.67072236672,2.65184458328,18.006,0.0739626529199,0.000164775,1.23991888957,8.47621851347,-0.0756476,5.82230698326,17,0.0079148368129,-0.0580525497281,8.8971995843,0.0739686,0.0222748941043
15.4752,45.7869267971,57.1296896583,0.932637,0.0737916,0.0353175399052,-0.623666090373,0.0738110278852,12.3868491798,11.7128371774,2.87250004017,18.4322,0.0738113430131,0.000202286,6.40257665953,19.7424763073,-0.0853048,21.1982619754,18,0.00906674317739,-0.0889563678931,22.6511419822,0.0738094,0.107551074937
15.6266,25.9302011733,46.5121627489,0.854931,0.0831275,0.0576612467518,-0.127539037681,0.0831796105188,8.02802085081,3.0193261163,2.73162445637,18.8566,0.0831797121277,0.00026528,4.79890220956,9.91971022778,-0.095481,15.9437034286,19,0.0104082690092,-0.0109126722289,10.5564518152,0.0831364,0.0207736399717
15.6715,7.2268608067,20.1718673988,0.781667,0.08201,0.033665103709,-0.0327615321926,0.0821670712456,1.17433928221,2.2610424722,2.31455461038,19.2414,0.0821670712456,0.000340802,0.576664107962,4.13799201136,-0.0923601,4.23899509032,20,0.0114400185575,0.000219088481255,4.20495270854,0.0820232,0.00813195100141
15.7131,35.5091152319,29.1506729569,0.924368,0.0802703,0.205256301243,-0.0259482426991,0.0802682606805,3.09933086275,4.91963644767,1.92062803749,19.5999,0.0802682606805,0.000243914,6.25789001973,17.9212993371,-0.0867507,4.79202460216,21,0.0105255112223,0.0703476684412,19.559308022,0.0802853,0.047379773091
15.7685,34.7589774629,32.7551445576,0.926995,0.0738987,0.209473143737,-0.0363581767133,0.0739387007812,9.13383428786,6.63916290861,2.21982255419,19.9498,0.0739387007812,0.000292977,5.9774015095,18.03210219,-0.0796288,12.4972878673,22,0.0114997430691,0.0704710695322,19.6750902998,0.0739019,0.0482932797231
15.7399,48.7938182442,54.0140267716,0.87062,0.0755051,0.058428382877,-0.176411935144,0.0755407728677,9.58906817063,8.48084119084,2.47956112593,20.4663,0.0755407728677,0.000240571,4.5902284686,15.5906939938,-0.0830368,10.3010713398,23,0.0107198871812,-0.0112092339279,17.0920940674,0.0755159,0.0273676674219
15.7283,11.7896075477,27.8349596765,0.775051,0.0750242,0.0326345671106,-0.0733545828142,0.075067858231,3.18944678084,5.3065599714,4.89937367823,20.7919,0.075067858231,0.000243702,1.06891513276,7.84462595243,-0.0880753,8.55998381727,24,0.0109213258582,-0.0222626879118,8.15685880132,0.0750312,0.0167715843913
