AveragePolicySurr,AverageAbsQ,PolicyRegParamNorm,AverageAbsY,AverageAbsQYDiff,MaxReturn,MinEsReturn,AverageEsReturn,AverageDiscountedReturn,AverageReturn,Iteration,AverageQ,AverageQLoss,AverageAction,Epoch,AverageY,MinReturn,StdEsReturn,StdReturn,QFunRegParamNorm,MaxEsReturn
-0.958166,0.659098,11.7816,2.88633423736,2.63573446783,-7.98884625418,-21.2093489055,-9.69214650846,-7.52717373457,-8.12409729762,9,0.363591,8.2102,0.562552,9,2.86722671571,-8.22192470501,3.23036877822,0.0357395672112,11.583,0.46676616643
-2.48616,1.64225,12.5559,1.67531363952,0.39317990288,-8.10200709793,-16.4954599604,-7.70878261413,-8.04251906297,-8.33148424327,10,1.63441,0.365937,0.999954,10,1.64685689712,-8.50628678397,1.71156852653,0.0821025864422,11.9074,-2.65627593097
-1.62284,1.18999,12.8711,1.19828175446,0.173152724682,-7.93138927638,-12.7059953826,-7.35080656159,-7.81401926378,-8.09125761209,11,1.163,0.0570439,0.999999,11,1.16724567431,-8.25232197044,1.74379251009,0.0651614740854,12.0462,0.418597364035
-1.41401,1.16146,12.8974,1.16588092787,0.138221580307,-7.94038777914,-14.9959047215,-7.3744428353,-7.81536704466,-8.09264547515,12,1.11837,0.0332177,1.0,12,1.12062661302,-8.25888201972,1.8465874291,0.0644950245895,12.2148,-3.88233698543
-0.932454,1.00587,13.0501,1.01054139681,0.119394070295,-3.53950331268,-12.1336629958,-6.48261086982,-3.65394455341,-3.78034011716,13,0.874403,0.0239217,0.999999,13,0.875288217744,-3.94826063932,2.27235477973,0.0730978627763,12.3419,-0.975081677392
-0.360644,0.778264,13.0506,0.783648549134,0.11229893072,-3.53749878839,-3.91635252892,-3.28340852019,-3.65977097851,-3.78626599849,14,0.462941,0.0213216,0.999999,14,0.463057796384,-3.96409964161,0.646377343787,0.0701394708181,12.5191,0.737640716777
0.0966781,0.594708,13.7205,0.599439908367,0.105358839005,-4.84756316765,-5.89433683524,-4.47151223648,-5.28914414816,-5.47095770574,15,0.00114132,0.0192811,1.0,15,0.000499516962008,-5.6754623564,0.959716492385,0.0788325160537,12.7082,1.96562865448
-0.169759,0.555121,13.9989,0.55717638648,0.0990732884199,3.70154459801,-5.56389792966,0.320050086916,3.35404430883,2.28880004047,16,-0.206133,0.0198294,1.0,16,-0.205877691513,1.14487061204,4.49484273653,0.585897837845,13.0729,9.57429446057
-0.421587,0.58882,13.9989,0.59079540976,0.0802014684277,3.57694235499,-4.5053124272,1.34049702932,3.4178318563,2.368932346,17,0.0135873,0.0130404,1.0,17,0.0140358017617,0.942285397911,3.4339588045,0.539776645606,13.3878,8.12682855457
-0.435027,0.626081,13.9989,0.628128130338,0.0774710275519,3.86903472872,-6.21361612359,-0.376805878625,3.40161987843,2.34739674562,18,0.0651243,0.0124348,1.0,18,0.0654072768957,0.749429330684,4.17577475628,0.611903662657,13.7301,14.4232873579
-0.402962,0.640483,13.9989,0.642810695643,0.072480126309,3.56070318763,-4.80850406686,1.80693310622,3.39552852615,2.32469786336,19,0.0874262,0.0110774,1.0,19,0.0876712960251,0.894502405953,3.97227671392,0.566466548101,14.0675,12.8051717547
-0.374062,0.632318,13.9989,0.634250056728,0.0678879372422,3.69913540456,-12.0441787373,2.19944582136,3.39336011351,2.32830213309,20,0.0944346,0.00937441,1.0,20,0.094555599227,0.943320110943,5.49426851744,0.582325959648,14.381,20.5074041215
-0.323561,0.613153,13.9989,0.615237795873,0.0638688603085,3.91565232556,-7.72395173297,1.63758929805,3.44646849283,2.38436586385,21,0.0861176,0.00846353,1.0,21,0.0862184823224,0.97191755943,4.04277444551,0.596613461385,14.6992,10.7761531843
-0.290939,0.590666,13.9989,0.593050508018,0.0599463196436,3.90629944492,-10.0544671773,0.416580239206,3.407477068,2.3478864423,22,0.0773972,0.00742819,1.0,22,0.0772972712442,0.973018062102,4.10279741613,0.590883060475,15.0173,5.16249350158
-0.267137,0.572114,13.9989,0.574823927583,0.0572683691891,3.73446404063,-3.44432502746,1.49499287871,3.36029462944,2.28924755797,23,0.076978,0.00672701,1.0,23,0.0767903143724,0.90573337559,3.20406931676,0.608564320173,15.4059,8.01222239188
-0.231908,0.549742,13.9989,0.55205649753,0.0522854378807,3.55769143134,-4.12558802935,1.07021019792,3.41434266373,2.35686729347,24,0.0581232,0.0056446,1.0,24,0.0579691726283,1.13870434034,3.41135554096,0.551402926064,15.7698,9.40924672945
-0.210921,0.533076,13.9988,0.535425573905,0.0507384717852,3.76673237336,-31.6860818754,-0.281640952752,3.38891511313,2.33206910784,25,0.0510719,0.00519242,1.0,25,0.0509828778029,0.894169312138,6.89585010143,0.585904507441,16.1901,14.2576998145
-0.196001,0.520974,13.9988,0.523350387695,0.0489855401718,3.97879024229,-7.37260342133,0.455559223135,3.44269568414,2.39917515341,26,0.0453274,0.00491058,1.0,26,0.0452122978857,0.900533348794,3.60969399424,0.570393684232,16.6048,10.9919332056
-0.168918,0.513453,13.9988,0.515868172098,0.0486175476655,3.85981636555,-3.89081344476,1.69781282616,3.47571278587,2.4234596213,27,0.0275545,0.00486601,1.0,27,0.0273172610158,1.1514745155,3.41348928024,0.57576718244,17.0037,8.25304331999
-0.164143,0.507564,13.9988,0.509846445349,0.0475378530963,3.67538334111,-3.95436049061,1.8879641342,3.43445775003,2.38781418621,28,0.0226192,0.004696,1.0,28,0.0225930742979,1.1090064658,3.5941927843,0.620870371298,17.4203,9.51504277838
-0.154485,0.497164,13.9989,0.499563777311,0.0479875473736,3.69952145072,-4.19723121477,1.34510673611,3.40286726488,2.35007563252,29,0.0188019,0.00469471,1.0,29,0.0186361967169,1.06640511573,3.55970241645,0.610438446792,17.8524,9.14641036823
-0.144165,0.49202,13.999,0.49437255555,0.0472327130993,3.63935078759,-5.12049386507,0.68963739195,3.3976375031,2.32953552812,30,0.0147161,0.00460482,1.0,30,0.0145123196407,0.930351261561,2.99263650121,0.578467523942,18.2233,5.17075836865
-0.122326,0.487176,13.999,0.489444108913,0.0466381629719,3.78043095478,-16.7686160793,1.95645283909,3.38161526247,2.32451203358,31,0.0024771,0.00446431,1.0,31,0.00243502779385,0.856674953761,4.92787236219,0.599706617345,18.6083,12.5149469789
-0.115087,0.482287,13.9991,0.484158942417,0.0468422890579,3.84188208435,-3.89554165867,1.92832618405,3.44457588785,2.3945579839,32,-0.000764377,0.00450148,1.0,32,-0.000933552849694,1.0682672804,3.50284897468,0.568280553497,18.9926,13.4521199687
-0.105228,0.48208,13.999,0.483897331018,0.0460116530413,3.84566807189,-7.89978749755,0.154381614457,3.34927412562,2.28253589549,33,-0.00541225,0.00433276,1.0,33,-0.00549918602534,0.971678672289,3.24940083633,0.572248560572,19.3762,4.55349068638
-0.100991,0.477559,13.9991,0.479333918054,0.0452373569042,3.583814653,-3.80807850959,1.51161937577,3.38405451374,2.32426705744,34,-0.00397892,0.0041646,1.0,34,-0.00409125676436,1.02311052951,3.54884983396,0.570854287963,19.7389,7.21178566396
-0.0989009,0.473585,13.9993,0.47567319845,0.0443203076102,3.79032353965,-26.7818583256,0.587117478787,3.40922962472,2.34068059746,35,-0.00232883,0.00398984,1.0,35,-0.00242197843072,1.09200991215,6.16352602644,0.585096409935,20.122,9.81597275605
-0.0929123,0.474196,13.9993,0.476172498936,0.0450235100069,3.6941608651,-13.4303076873,0.94378316487,3.38247506732,2.31952284781,36,-0.00197754,0.00419058,1.0,36,-0.00208362009072,0.901151422893,4.32093439388,0.599329155877,20.4632,8.15307776791
