MinEsReturn,StdEsReturn,AverageAbsY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff,StdReturn,AverageReturn,MinReturn,Iteration,QFunRegParamNorm,AverageY,Epoch,MaxReturn,AverageDiscountedReturn,AverageQLoss,AverageAction,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,AverageQ
81.4922752388,0.250790806069,0.271670766684,-0.286455,81.993856851,0.0156569332702,41.3164673302,71.4863035163,-4.13521562852,28,29.7728,0.271666999127,28,95.2749833059,-0.149145384547,0.00876291,0.0679662,0.272425,20.1588,81.7430660449,0.271592
86.4860642018,1.68611205983,0.276072889193,-0.292088,91.0427094995,0.0208760249683,41.1391805281,24.7523391536,-3.02615166065,29,30.8201,0.276065533336,29,94.8477568634,-0.000620962486278,0.0126718,0.0258044,0.276753,20.4172,88.9798151163,0.275848
-2.67247321918,33.2728785667,0.327253636745,-0.344308,95.1203000725,0.0177873638343,31.4889019874,82.9125997702,-7.54368457514,30,31.2509,0.327249793383,30,95.3463101888,0.294835868177,0.00849764,0.0985012,0.327655,20.7604,78.7280722567,0.32724
-2.56050290826,37.6240788595,0.375357429843,-0.394663,93.7725260528,0.0201345866284,47.5718155125,59.3977135772,-7.64359902084,31,31.9946,0.375351797752,31,95.7893785587,0.009393643369,0.0110342,0.0624893,0.375959,21.1262,72.563895873,0.375217
-3.14351526583,40.2142091797,0.406494119164,-0.428144,94.3946598155,0.0223434844357,28.8178700374,85.0902135868,-3.7067653315,32,32.7487,0.406490589913,32,95.6514643308,1.1936708854,0.0121014,0.105854,0.406842,21.4092,66.1310297963,0.406421
-5.32569316148,43.4725404233,0.430997739686,-0.455116,92.1457199689,0.0197037975793,44.106708556,67.1041222964,-2.66202531135,33,33.3671,0.430994272477,33,95.9400851371,0.417930366102,0.00629372,0.0598895,0.430924,21.722,55.7877294272,0.430877
87.7498714787,2.24006973507,0.470921006779,-0.497317,94.4881555951,0.0243218448794,37.3541837427,76.8985556088,-6.92599915349,34,34.1574,0.470918978008,34,95.5078144795,1.4959401496,0.0100106,0.112442,0.47088,22.0872,92.3798696968,0.470772
88.0149840866,2.68799929485,0.528360429672,-0.557356,95.4345726616,0.0189174351654,44.3029923268,66.8088882354,-5.02255476816,35,34.6804,0.528354705243,35,95.8476770473,0.335632753822,0.0120725,0.0643154,0.528698,22.2585,93.052879918,0.528358
86.8834853753,3.89462654044,0.569577789356,-0.601099,97.651557758,0.0263505935999,48.3609841875,49.5354738299,-7.26135288006,36,35.3316,0.56957444091,36,95.2006274214,-0.0298852338636,0.0255608,0.0519552,0.569819,22.5457,91.9726738613,0.569674
-4.29601052173,38.491791694,0.64154865011,-0.675972,92.6518416628,0.0177197918877,47.3466326066,49.6496451662,-0.964280025774,37,35.9218,0.641544907118,37,95.6793007686,0.536762460979,0.00626643,0.0504062,0.641439,22.8685,72.65243666,0.641398
-4.03961421591,41.2610621155,0.652860553484,-0.691948,93.1217769064,0.0192143758711,19.119582314,91.219591527,-0.217892743375,38,36.6768,0.652855891433,38,96.3881713798,3.36985648295,0.00973017,0.107798,0.652945,23.0583,67.3425630333,0.652908
