QFunRegParamNorm,StdEsReturn,MaxEsReturn,AverageEsReturn,Iteration,Epoch,MaxReturn,AverageAbsQ,AverageQ,AverageAction,StdReturn,AverageAbsQYDiff,PolicyRegParamNorm,AverageDiscountedReturn,AverageY,MinEsReturn,AverageAbsY,MinReturn,AverageReturn,AverageQLoss,AveragePolicySurr
10.4455,2.82158892881,23.0,5.7947826087,9,9,47.0,0.0713272,0.0665946,0.00100103,5.8582864327,0.114402279851,10.4742,16.51340979,0.0858621231881,2.0,0.101433531409,13.0,18.125,0.0183713,-0.0726796
10.6917,0.608709542366,6.0,2.83333333333,10,10,3.0,0.133492,0.131502,0.99997,0.487998242109,0.0172673710067,11.2911,2.37332383457,0.131680685846,2.0,0.135248090938,2.0,2.3911068611,0.000916101,-0.180773
11.0298,0.582564662162,9.0,2.83002832861,11,11,3.0,0.195164,0.195145,0.999931,0.487297645229,0.0131335886498,11.2331,2.37029190544,0.195177594506,2.0,0.195177594506,2.0,2.38801337154,0.000557967,-0.163781
11.3141,0.57095409372,7.0,2.79329608939,12,12,3.0,0.212471,0.212466,0.999986,0.488252065272,0.01202061313,11.7883,2.37444486965,0.212505247344,2.0,0.212505247344,2.0,2.39225065774,0.000433558,-0.218912
11.8843,5.99371451952,75.0,3.76226415094,13,13,42.0,0.275344,0.275341,0.0176414,1.12493948852,0.0154318344472,13.3616,32.3068511062,0.2754314907,2.0,0.2754314907,37.0,38.8294573643,0.000572436,-0.307788
12.5823,14.7247805076,54.0,22.5476190476,14,14,50.0,0.355027,0.355021,0.0493597,0.777108103444,0.0190208457411,14.8201,38.3197908451,0.355050824015,4.0,0.355050824015,46.0,48.0817307692,0.000935211,-0.443785
13.4067,16.4836092832,59.0,25.875,15,15,53.0,0.439346,0.439333,0.1178,1.08914232166,0.0219859127952,15.9435,39.951642235,0.439444877084,3.0,0.439444877084,48.0,50.7525252525,0.00140372,-0.540752
14.3949,14.6398370869,63.0,23.6428571429,16,16,58.0,0.520059,0.520019,0.0927103,0.901754950855,0.0236233038102,17.0421,42.7616972173,0.520138754908,3.0,0.520138754908,53.0,55.5193370166,0.00168738,-0.640357
15.4431,19.1930312608,89.0,36.3571428571,17,17,83.0,0.604271,0.604204,0.708424,2.58716694159,0.0256364365088,18.402,53.7701021754,0.604340214648,4.0,0.604340214648,72.0,76.8015267176,0.00214516,-0.734391
16.5308,19.2384746294,78.0,34.1379310345,18,18,87.0,0.688214,0.68815,0.227988,4.12318380785,0.0252093103872,19.3757,50.7991620192,0.688330892708,4.0,0.688330892708,62.0,70.6549295775,0.00220969,-0.824691
17.4699,13.7587350619,68.0,20.4081632653,19,19,83.0,0.766624,0.766514,0.0695882,2.60241332896,0.0269669822399,19.8651,52.9534964208,0.766610056198,4.0,0.766610056198,69.0,75.0597014925,0.00279754,-0.915343
18.4744,12.9795006844,46.0,18.5272727273,20,20,103.0,0.847816,0.847702,0.0755107,7.90024475823,0.0289308187597,20.2726,56.2232138894,0.847896726172,3.0,0.847896726172,58.0,82.5081967213,0.00335633,-1.00827
19.4197,14.5760063439,91.0,15.40625,21,21,188.0,0.930168,0.930003,0.134464,19.0403920777,0.0317747612271,20.8255,73.207768015,0.930147352133,3.0,0.930147352133,93.0,132.828947368,0.00407436,-1.09897
20.3616,13.4732793409,54.0,18.3272727273,22,22,70.0,1.01033,1.01011,0.316891,3.38341294479,0.0343162825606,21.4731,44.0057907381,1.01035462943,3.0,1.01035462943,54.0,57.7586206897,0.0050971,-1.19075
21.2868,11.1694387417,60.0,15.6825396825,23,23,250.0,1.08599,1.08573,0.277384,22.3332006716,0.0350591104169,21.8112,54.8442766622,1.08587880875,3.0,1.08587880875,62.0,81.0483870968,0.00551116,-1.28121
22.1743,15.91681893,81.0,16.7068965517,24,24,144.0,1.16533,1.16484,0.14554,13.5349737807,0.0391648553211,22.1038,54.7741696952,1.16510177179,3.0,1.16510177179,66.0,79.7936507937,0.00663781,-1.36192
23.0349,10.183210304,53.0,13.6081081081,25,25,63.0,1.2551,1.25454,0.163924,1.61222207839,0.0430476474647,22.5863,41.8443691702,1.25472461372,3.0,1.25472461372,50.0,53.9462365591,0.00851608,-1.46403
23.9907,11.154413845,53.0,14.661971831,26,26,84.0,1.33245,1.33192,0.144664,5.38235792265,0.0423663128522,23.0825,45.990246317,1.33212630358,3.0,1.33212630358,51.0,61.4355828221,0.00911107,-1.54823
24.8761,10.6393196188,53.0,12.0,27,27,94.0,1.40595,1.40513,0.172961,6.61537361094,0.0476137389149,23.5729,48.047845453,1.40530959952,3.0,1.40530959952,54.0,65.3725490196,0.0105418,-1.63624
25.7561,12.4605550478,79.0,14.1111111111,28,28,69.0,1.48844,1.48704,0.215302,2.36789222311,0.052003867788,23.8685,42.8199845812,1.48735736471,3.0,1.4873575882,51.0,55.6444444444,0.0130084,-1.72302
26.5628,8.61283933748,51.0,11.4942528736,29,29,74.0,1.57816,1.57649,0.0909414,6.67979983192,0.0534556375656,24.2691,40.3380817701,1.57681338693,3.0,1.57706069893,46.0,51.6082474227,0.0139814,-1.82686
27.4197,11.6769402385,61.0,13.32,30,30,47.0,1.65797,1.65532,0.183101,1.4370980643,0.0599197535678,24.5417,35.6868143744,1.65559018509,3.0,1.65678668173,41.0,43.9298245614,0.0171901,-1.91007
28.2595,11.0530903353,53.0,12.4430379747,31,31,47.0,1.73274,1.72894,0.137592,1.42055026105,0.0621274632856,24.7857,35.5515326315,1.72912324421,3.0,1.73159873756,41.0,43.7205240175,0.0181009,-2.0118
29.0943,9.59296531649,39.0,12.9743589744,32,32,45.0,1.82327,1.82031,0.135244,2.19008470719,0.061107772622,25.0661,33.2754720207,1.8207180146,3.0,1.82223792761,37.0,40.281124498,0.0193512,-2.10646
29.7154,10.8059125905,55.0,13.6944444444,33,33,36.0,1.91503,1.91269,0.0370225,0.361065527153,0.0653020909546,25.3219,30.2502615252,1.91299143807,3.0,1.91311876015,35.0,35.8458781362,0.0220111,-2.20771
30.3955,10.780290385,46.0,14.7536231884,34,34,36.0,1.99026,1.98804,0.0441504,0.343001576639,0.0680981188603,25.5298,30.2628681147,1.98856704497,3.0,1.98862329126,35.0,35.8637992832,0.0248141,-2.29148
31.0004,11.2197802736,48.0,14.1285714286,35,35,35.0,2.07925,2.0773,0.0535376,0.395845891863,0.0695534084483,25.8352,29.0266547941,2.07728599646,3.0,2.07746503134,33.0,34.1156462585,0.0268539,-2.38745
31.64,14.4423489126,55.0,17.1694915254,36,36,37.0,2.16047,2.15779,0.0858854,0.636339527489,0.0739284793562,26.1629,30.254320847,2.15814544125,3.0,2.15820961008,35.0,35.853046595,0.0316675,-2.48235
32.101,12.2246129636,64.0,15.109375,37,37,35.0,2.23826,2.23577,0.148388,0.470706589018,0.0731729967293,26.3943,28.7440268818,2.23614892676,3.0,2.23616780719,33.0,33.7205387205,0.0305907,-2.57574
32.6221,13.5481182769,49.0,16.3548387097,38,38,37.0,2.32136,2.31773,0.202823,0.914236879761,0.0778905966619,26.5453,28.806439656,2.31793313633,3.0,2.31794970238,32.0,33.8108108108,0.0337516,-2.65964
33.1045,11.3660610481,47.0,12.6125,39,39,33.0,2.40933,2.40589,0.405,2.23355322,0.0802266632123,26.7312,25.5235276516,2.40620684333,3.0,2.40623395145,27.0,29.3460410557,0.0360416,-2.75129
33.6076,12.6815108719,67.0,14.3676470588,40,40,35.0,2.49094,2.48687,0.0928801,0.334444189408,0.0811307488805,26.9134,28.9418550103,2.48724664006,3.0,2.48733347811,33.0,33.9966101695,0.0369524,-2.84091
34.1173,12.1244456412,48.0,14.5915492958,41,41,35.0,2.56154,2.55771,0.271337,0.5,0.0827400758845,27.1068,29.2999538864,2.55787595126,3.0,2.55797619918,34.0,34.5,0.040641,-2.92725
