AverageQ,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,MinReturn,StdEsReturn,StdReturn,Iteration,Epoch,AverageReturn,AverageAbsY,AveragePolicySurr,MaxReturn,AverageY,PolicyRegParamNorm,AverageAbsQ
0.2523,0.0344146,25.3069,-9.98770813124,0.0198975,66.5210652839,92.6451620918,0.0195991966413,0.0832470057349,-2.34523890089,44.1742084583,47.2657105573,28,28,55.3851519749,0.252118536835,-0.266196,96.2852324387,0.25205436571,22.6698,0.252531
0.280321,0.0352244,25.7135,-6.82533466012,0.0122762,71.7548639539,92.8266412018,0.0159336338155,0.340080980009,-3.15491085582,39.3128210413,47.8881970096,29,29,43.412036766,0.280488409248,-0.295645,96.4967379607,0.280444213301,23.1031,0.280431
0.30987,0.0563705,26.2089,-2.40614273288,0.00655836,75.7502830519,93.3282504482,0.0143499453586,0.0789644392805,-0.698581576839,34.9848373123,24.8020134428,30,30,88.7062613604,0.310101567006,-0.328441,96.3460719362,0.310051365243,23.5534,0.309979
0.365845,0.0741718,26.8519,90.9441746669,0.0096252,94.104286995,99.9608644354,0.0160415429621,0.48916422097,-0.783211374182,3.06746969264,37.7444113434,31,31,75.0319716267,0.365784745038,-0.386115,96.1262164397,0.365736502117,23.9817,0.365985
0.40967,0.118706,27.3986,-2.13844761234,0.0129094,65.686538994,92.8163871924,0.0190067743537,1.40976269654,88.1231328856,39.3050929691,2.10489187248,32,32,93.9602534873,0.409826675269,-0.432559,95.8561907472,0.409755172772,24.3332,0.409828
0.462641,0.236842,27.9475,82.8621333217,0.0241076,91.2610767253,99.0853699904,0.0240497216451,10.3380578547,88.7053148494,5.53598051836,1.62475122595,33,33,92.7554953165,0.462705035656,-0.487657,94.9558496933,0.462645249991,24.6932,0.462803
0.489482,0.0945839,28.4327,89.0445924886,0.0156655,92.9157844358,99.9335240072,0.0217972168434,0.56977071782,-1.03482240663,3.81570429578,30.5462016412,34,34,82.5741721811,0.489576519527,-0.51604,95.1628332963,0.489472699177,24.789,0.489611
0.536324,0.109169,28.8862,-3.18831493676,0.0429452,79.4577413231,95.3007729989,0.0294656079999,2.46541472178,92.36135747,33.838852465,1.30188077788,35,35,94.8238792435,0.536577892389,-0.564091,96.1769579696,0.536433905092,25.0726,0.536525
0.594686,0.458837,29.265,86.8834768683,0.0250089,91.8639760694,95.4145699793,0.0248924590385,22.1612484471,83.406313628,2.60299572342,2.61175046565,36,36,92.4607865587,0.594587356062,-0.624623,94.6156149976,0.594468478788,25.2227,0.594838
0.672827,0.862054,29.6087,80.3597085793,0.0262083,92.1696778911,97.9536338773,0.0253722265787,20.1773991521,83.6281892571,5.29999584884,3.25352752175,37,37,87.7005550123,0.672944789901,-0.706436,90.9452818445,0.67283084306,25.3664,0.672969
